dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.428571	2.523	0.799845	0.003	0.227	2.295	2.526
Amazon_employee_access	0.942173	10.284	0.799994	0.004	0.158	10.126	10.288
BLE_RSSI_dataset_for_Indoor_localization	0.729094	1.014	0.799980	0.003	0.034	0.980	1.016
BNG(breast-w)	0.986030	16.462	0.799980	0.004	0.253	16.209	16.466
BNG(cmc)	0.572694	31.737	0.799986	0.005	0.300	31.437	31.742
BNG(tic-tac-toe)	0.791339	16.653	0.799980	0.005	0.253	16.400	16.659
Bank_Customer_Churn_Dataset	0.872000	2.007	0.800000	0.004	0.072	1.935	2.011
Basketball_c	0.708955	0.252	0.800000	0.003	0.040	0.212	0.254
Cardiovascular-Disease-dataset	0.731357	50.803	0.800000	0.005	0.391	50.412	50.809
Click_prediction_small	0.831790	5.897	0.799990	0.003	0.076	5.821	5.900
Credit_c	0.707196	42.996	0.801311	0.006	0.795	42.201	43.002
Customer_Personality_Analysis	0.890625	0.495	0.800000	0.002	0.047	0.448	0.497
Diabetic_Retinopathy_Debrecen	0.744589	0.265	0.799305	0.002	0.030	0.235	0.267
E-CommereShippingData	0.674545	2.157	0.799982	0.003	0.067	2.091	2.160
Employee	0.858217	0.712	0.799914	0.003	0.026	0.686	0.715
FICO-HELOC-cleaned	0.741266	2.582	0.799919	0.003	0.135	2.448	2.586
Firm-Teacher_Clave-Direction_Classification	0.736111	2.390	0.800000	0.003	0.100	2.290	2.393
Fitness_Club_c	0.798658	0.188	0.799596	0.002	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.637500	0.337	0.800000	0.003	0.035	0.302	0.340
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.681250	0.340	0.800000	0.003	0.036	0.303	0.343
Gender_Gap_in_Spanish_WP	0.597895	0.846	0.799831	0.002	0.038	0.808	0.848
GesturePhaseSegmentationProcessed	0.636962	2.982	0.799959	0.004	0.170	2.812	2.985
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	1.832	0.797432	0.003	0.063	1.769	1.835
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.405	0.800000	0.002	0.051	0.354	0.408
INNHotelsGroup	0.866713	15.998	0.800000	0.004	0.301	15.697	16.002
Indian_pines	0.913067	11.389	0.799978	0.008	1.014	10.374	11.397
JapaneseVowels	0.993979	2.176	0.799920	0.003	0.079	2.096	2.179
KDDCup09_upselling	0.772904	1.804	0.799922	0.004	0.141	1.663	1.807
MIC	0.900000	1.082	0.799879	0.003	0.167	0.915	1.085
MagicTelescope	0.877497	4.746	0.800000	0.004	0.110	4.636	4.749
Marketing_Campaign	0.892857	0.509	0.800000	0.003	0.049	0.460	0.511
Mobile_Price_Classification	0.962500	0.415	0.800000	0.003	0.039	0.376	0.417
National_Health_and_Nutrition_Health_Survey	0.826754	0.296	0.799824	0.002	0.019	0.277	0.298
PhishingWebsites	0.970149	3.177	0.800000	0.004	0.146	3.030	3.180
PieChart3	0.875000	0.357	0.799443	0.002	0.056	0.301	0.359
Pima_Indians_Diabetes_Database	0.766234	0.145	0.799479	0.003	0.014	0.131	0.148
PizzaCutter3	0.880383	0.351	0.799617	0.003	0.053	0.298	0.353
Pumpkin_Seeds	0.876000	0.401	0.800000	0.002	0.026	0.375	0.403
QSAR_biodegradation	0.867299	0.378	0.799810	0.003	0.061	0.317	0.380
SDSS17	0.972150	99.486	0.800000	0.006	0.677	98.809	99.493
Satellite	0.993137	1.484	0.800000	0.003	0.109	1.375	1.487
Telecom_Churn_Dataset	0.949025	0.658	0.799880	0.002	0.041	0.616	0.660
UJI_Pen_Characters	0.472527	2.703	0.799853	0.007	0.121	2.582	2.710
Water_Quality_and_Potability	0.647866	0.496	0.799756	0.002	0.024	0.472	0.498
Wilt	0.990674	0.481	0.799834	0.002	0.020	0.461	0.483
abalone	0.630383	0.642	0.799856	0.003	0.027	0.615	0.645
ada	0.846988	1.392	0.799855	0.003	0.108	1.284	1.395
ada_agnostic	0.838992	1.535	0.799868	0.003	0.112	1.423	1.538
ada_prior	0.836872	0.827	0.799955	0.003	0.039	0.788	0.830
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.600000	0.260	0.800000	0.002	0.017	0.243	0.263
allbp	0.973510	0.924	0.799841	0.003	0.061	0.863	0.927
allrep	0.974834	0.918	0.799841	0.003	0.060	0.858	0.921
analcatdata_authorship	0.988166	0.460	0.799049	0.003	0.096	0.364	0.463
artificial-characters	0.699609	1.927	0.799961	0.003	0.049	1.877	1.930
autoUniv-au4-2500	0.464000	1.527	0.800000	0.003	0.193	1.334	1.530
autoUniv-au7-1100	0.377273	0.202	0.800000	0.002	0.021	0.182	0.205
bank	0.897379	23.184	0.799982	0.005	0.384	22.800	23.188
banknote_authentication	0.538182	0.097	0.799563	0.003	0.010	0.088	0.100
baseball	0.947761	0.266	0.800000	0.002	0.027	0.239	0.269
car-evaluation	0.849711	0.366	0.799769	0.002	0.035	0.331	0.369
churn	0.952000	1.076	0.800000	0.003	0.062	1.015	1.079
cmc	0.586441	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.969208	3.958	0.799971	0.004	0.321	3.636	3.962
contraceptive_method_choice	0.616949	0.236	0.799728	0.003	0.017	0.219	0.239
credit	0.777146	4.032	0.799988	0.003	0.101	3.931	4.035
default_of_credit_card_clients	0.827000	12.474	0.800000	0.004	0.382	12.092	12.478
delta_ailerons	0.948107	0.764	0.799972	0.003	0.025	0.739	0.767
dis	0.986755	0.925	0.799841	0.003	0.060	0.865	0.928
dna	0.932602	3.287	0.799749	0.004	0.379	2.908	3.291
drug_consumption	0.403183	0.318	0.799894	0.002	0.023	0.295	0.321
dry_bean_dataset	0.926184	3.319	0.799941	0.003	0.126	3.193	3.323
eeg-eye-state	0.954272	3.717	0.800000	0.003	0.118	3.599	3.721
electricity	0.824120	22.071	0.799987	0.004	0.269	21.802	22.076
estimation_of_obesity_levels	0.971631	0.398	0.799621	0.002	0.030	0.368	0.401
eye_movements	0.591865	3.011	0.799927	0.004	0.165	2.846	3.014
eye_movements_bin	0.588699	1.763	0.799947	0.003	0.092	1.671	1.766
first-order-theorem-proving	0.619281	2.226	0.799935	0.003	0.165	2.061	2.229
gas-drift	0.994249	11.219	0.800000	0.007	1.041	10.178	11.227
gina_agnostic	0.821326	23.212	0.799885	0.011	2.282	20.930	23.224
golf_play_dataset_extended	0.926941	0.192	0.800000	0.002	0.015	0.177	0.194
heloc	0.720000	2.560	0.800000	0.003	0.115	2.445	2.563
house_16H	0.884729	3.320	0.799970	0.003	0.118	3.202	3.323
htru	0.980447	4.391	0.799978	0.003	0.080	4.311	4.395
ibm-employee-performance	1.000000	0.402	0.800000	0.002	0.051	0.351	0.404
in_vehicle_coupon_recommendation	0.689655	3.067	0.800729	0.003	0.132	2.936	3.071
internet_firewall	0.923400	43.573	0.799991	0.004	0.170	43.403	43.577
jm1	0.816720	2.690	0.800000	0.003	0.119	2.572	2.694
jungle_chess_2pcs_raw_endgame_complete	0.856983	21.151	0.799996	0.004	0.185	20.967	21.155
kdd_ipums_la_97-small	0.868979	1.113	0.799923	0.003	0.061	1.051	1.116
kr-vs-k	0.601212	28.332	0.799971	0.003	0.129	28.203	28.335
kropt	0.605132	28.525	0.799971	0.004	0.119	28.406	28.529
led24	0.732812	0.723	0.800000	0.003	0.057	0.666	0.726
led7	0.743750	0.452	0.800000	0.003	0.020	0.433	0.455
letter	0.972000	19.461	0.800000	0.004	0.180	19.281	19.465
