dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.416988	2.310	0.799845	0.003	0.206	2.104	2.313
Amazon_employee_access	0.941410	10.292	0.799994	0.004	0.142	10.150	10.295
BLE_RSSI_dataset_for_Indoor_localization	0.735603	1.007	0.799980	0.003	0.033	0.974	1.010
BNG(breast-w)	0.985522	16.744	0.799980	0.004	0.235	16.509	16.748
BNG(cmc)	0.573779	30.981	0.799986	0.005	0.317	30.664	30.986
BNG(tic-tac-toe)	0.770638	17.031	0.799980	0.004	0.262	16.769	17.035
Bank_Customer_Churn_Dataset	0.863500	1.995	0.800000	0.003	0.077	1.918	1.997
Basketball_c	0.697761	0.240	0.800000	0.003	0.031	0.209	0.243
Cardiovascular-Disease-dataset	0.731929	50.648	0.800000	0.005	0.397	50.251	50.653
Click_prediction_small	0.831539	5.918	0.799990	0.003	0.074	5.844	5.921
Credit_c	0.699504	41.495	0.801311	0.006	0.794	40.701	41.501
Customer_Personality_Analysis	0.892857	0.489	0.800000	0.002	0.045	0.444	0.492
Diabetic_Retinopathy_Debrecen	0.753247	0.262	0.799305	0.002	0.030	0.232	0.264
E-CommereShippingData	0.676364	2.121	0.799982	0.003	0.061	2.061	2.124
Employee	0.845328	0.704	0.799914	0.003	0.025	0.680	0.708
FICO-HELOC-cleaned	0.737215	2.554	0.799919	0.003	0.125	2.429	2.557
Firm-Teacher_Clave-Direction_Classification	0.670370	2.387	0.800000	0.003	0.098	2.289	2.390
Fitness_Club_c	0.791946	0.184	0.799596	0.002	0.013	0.170	0.186
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.606250	0.333	0.800000	0.002	0.034	0.299	0.335
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.665625	0.335	0.800000	0.002	0.035	0.299	0.337
Gender_Gap_in_Spanish_WP	0.593684	0.839	0.799831	0.002	0.036	0.803	0.841
GesturePhaseSegmentationProcessed	0.616709	2.964	0.799959	0.003	0.159	2.805	2.968
HR_Analytics_Job_Change_of_Data_Scientists	0.848953	1.811	0.797432	0.003	0.059	1.752	1.813
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.412	0.800000	0.002	0.051	0.361	0.414
INNHotelsGroup	0.868229	15.947	0.800000	0.004	0.303	15.645	15.951
Indian_pines	0.925096	11.552	0.799978	0.007	0.979	10.573	11.559
JapaneseVowels	0.993477	2.167	0.799920	0.003	0.077	2.089	2.169
KDDCup09_upselling	0.778752	1.796	0.799922	0.003	0.137	1.658	1.798
MIC	0.909091	1.067	0.799879	0.003	0.156	0.911	1.070
MagicTelescope	0.875657	4.800	0.800000	0.003	0.108	4.692	4.803
Marketing_Campaign	0.890625	0.509	0.800000	0.003	0.051	0.458	0.512
Mobile_Price_Classification	0.942500	0.409	0.800000	0.002	0.038	0.372	0.411
National_Health_and_Nutrition_Health_Survey	0.833333	0.295	0.799824	0.002	0.019	0.275	0.297
PhishingWebsites	0.966079	3.172	0.800000	0.004	0.141	3.030	3.175
PieChart3	0.875000	0.357	0.799443	0.003	0.057	0.300	0.360
Pima_Indians_Diabetes_Database	0.753247	0.140	0.799479	0.002	0.014	0.127	0.143
PizzaCutter3	0.880383	0.350	0.799617	0.002	0.054	0.296	0.352
Pumpkin_Seeds	0.878000	0.403	0.800000	0.002	0.027	0.377	0.405
QSAR_biodegradation	0.895735	0.377	0.799810	0.003	0.062	0.315	0.380
SDSS17	0.971500	100.478	0.800000	0.006	0.720	99.758	100.483
Satellite	0.993137	1.476	0.800000	0.002	0.103	1.374	1.479
Telecom_Churn_Dataset	0.946027	0.652	0.799880	0.002	0.041	0.611	0.654
UJI_Pen_Characters	0.472527	2.581	0.799853	0.002	0.120	2.461	2.583
Water_Quality_and_Potability	0.638720	0.489	0.799756	0.002	0.022	0.467	0.491
Wilt	0.991710	0.476	0.799834	0.002	0.018	0.458	0.478
abalone	0.626794	0.635	0.799856	0.002	0.026	0.609	0.637
ada	0.851807	1.388	0.799855	0.004	0.105	1.282	1.392
ada_agnostic	0.836802	1.533	0.799868	0.003	0.106	1.427	1.535
ada_prior	0.836872	0.819	0.799955	0.003	0.038	0.782	0.822
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.585000	0.260	0.800000	0.002	0.017	0.243	0.263
allbp	0.972185	0.920	0.799841	0.002	0.060	0.861	0.923
allrep	0.970861	0.915	0.799841	0.002	0.057	0.858	0.918
analcatdata_authorship	0.982249	0.453	0.799049	0.003	0.094	0.359	0.456
artificial-characters	0.693249	1.898	0.799961	0.003	0.046	1.852	1.901
autoUniv-au4-2500	0.478000	1.527	0.800000	0.003	0.192	1.336	1.531
autoUniv-au7-1100	0.354545	0.203	0.800000	0.002	0.019	0.184	0.205
bank	0.896495	23.110	0.799982	0.004	0.384	22.726	23.115
banknote_authentication	0.549091	0.102	0.799563	0.002	0.010	0.091	0.104
baseball	0.940299	0.272	0.800000	0.002	0.028	0.244	0.275
car-evaluation	0.800578	0.372	0.799769	0.002	0.037	0.335	0.375
churn	0.935000	1.081	0.800000	0.003	0.062	1.019	1.084
cmc	0.566102	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.969208	3.966	0.799971	0.004	0.332	3.634	3.970
contraceptive_method_choice	0.613559	0.232	0.799728	0.003	0.017	0.215	0.235
credit	0.781932	3.975	0.799988	0.003	0.094	3.881	3.978
default_of_credit_card_clients	0.824333	12.391	0.800000	0.004	0.382	12.009	12.395
delta_ailerons	0.948107	0.762	0.799972	0.003	0.026	0.736	0.764
dis	0.984106	0.921	0.799841	0.002	0.061	0.860	0.923
dna	0.916928	3.275	0.799749	0.004	0.369	2.906	3.279
drug_consumption	0.403183	0.307	0.799894	0.002	0.023	0.285	0.310
dry_bean_dataset	0.927653	3.330	0.799941	0.003	0.120	3.210	3.333
eeg-eye-state	0.960614	3.659	0.800000	0.003	0.124	3.536	3.663
electricity	0.821803	21.560	0.799987	0.004	0.254	21.306	21.564
estimation_of_obesity_levels	0.981087	0.395	0.799621	0.002	0.030	0.365	0.397
eye_movements	0.573126	3.020	0.799927	0.005	0.163	2.856	3.024
eye_movements_bin	0.587385	1.751	0.799947	0.003	0.095	1.656	1.753
first-order-theorem-proving	0.610294	2.218	0.799935	0.003	0.169	2.050	2.222
gas-drift	0.995327	11.216	0.800000	0.007	1.032	10.184	11.223
gina_agnostic	0.798271	23.231	0.799885	0.010	2.296	20.935	23.241
golf_play_dataset_extended	0.926941	0.197	0.800000	0.002	0.016	0.182	0.200
heloc	0.714500	2.566	0.800000	0.003	0.121	2.445	2.569
house_16H	0.882506	3.289	0.799970	0.003	0.120	3.169	3.292
htru	0.979050	4.288	0.799978	0.003	0.080	4.207	4.291
ibm-employee-performance	0.996599	0.407	0.800000	0.003	0.052	0.355	0.410
in_vehicle_coupon_recommendation	0.672206	3.037	0.800729	0.003	0.130	2.907	3.041
internet_firewall	0.803082	42.801	0.799991	0.004	0.170	42.631	42.805
jm1	0.815802	2.681	0.800000	0.003	0.113	2.568	2.684
jungle_chess_2pcs_raw_endgame_complete	0.832776	20.657	0.799996	0.004	0.185	20.472	20.661
kdd_ipums_la_97-small	0.861272	1.107	0.799923	0.002	0.060	1.047	1.109
kr-vs-k	0.590877	27.147	0.799971	0.003	0.129	27.018	27.150
kropt	0.595331	27.391	0.799971	0.003	0.114	27.276	27.394
led24	0.717187	0.717	0.800000	0.002	0.054	0.663	0.720
led7	0.739062	0.449	0.800000	0.002	0.019	0.430	0.452
letter	0.963750	17.798	0.800000	0.003	0.175	17.624	17.802
mammography	0.989271	1.539	0.799964	0.003	0.044	1.495	1.542
maternal_health_risk	0.807882	0.168	0.799803	0.003	0.012	0.156	0.171
mfeat-factors	0.975000	2.516	0.800000	0.003	0.369	2.146	2.519
mfeat-fourier	0.872500	0.990	0.800000	0.003	0.134	0.857	0.994
mfeat-karhunen	0.965000	0.869	0.800000	0.003	0.112	0.757	0.871
mfeat-morphological	0.760000	0.271	0.800000	0.002	0.016	0.255	0.273
mfeat-pixel	0.960000	2.809	0.800000	0.003	0.409	2.400	2.813
mfeat-zernike	0.822500	0.697	0.800000	0.003	0.091	0.606	0.700
mice_protein_expression	1.000000	0.584	0.800000	0.002	0.108	0.476	0.586
microaggregation2	0.622250	6.154	0.800000	0.004	0.183	5.971	6.159
mobile_c36_oversampling	0.969474	20.500	0.800000	0.005	0.202	20.298	20.505
mozilla4	0.920553	1.592	0.800000	0.003	0.046	1.546	1.595
naticusdroid+android+permissions+dataset	0.966422	20.032	0.799980	0.008	0.820	19.212	20.041
national-longitudinal-survey-binary	0.984725	0.934	0.799918	0.003	0.048	0.887	0.937
okcupid_stem	0.732759	8.894	0.799977	0.004	0.176	8.718	8.897
one-hundred-plants-margin	0.809375	4.494	0.800000	0.003	0.116	4.378	4.498
one-hundred-plants-shape	0.740625	4.430	0.800000	0.003	0.115	4.314	4.432
one-hundred-plants-texture	0.893750	4.265	0.799875	0.002	0.173	4.092	4.267
optdigits	0.991103	2.343	0.800000	0.004	0.184	2.159	2.347
ozone-level-8hr	0.952663	1.169	0.799921	0.003	0.132	1.037	1.172
page-blocks	0.975342	0.907	0.799927	0.003	0.035	0.872	0.910
pendigits	0.995452	2.471	0.799945	0.003	0.107	2.364	2.473
phoneme	0.872340	0.525	0.799963	0.002	0.021	0.504	0.527
pol	0.976202	2.727	0.799940	0.003	0.107	2.620	2.730
predict_students_dropout_and_academic_success	0.772881	1.220	0.799955	0.002	0.081	1.139	1.222
qsar	0.895735	0.367	0.800000	0.002	0.057	0.310	0.369
rice_cammeo_and_osmancik	0.931759	0.526	0.800000	0.002	0.021	0.505	0.528
ringnorm	0.981757	1.685	0.800000	0.003	0.083	1.601	1.687
satimage	0.920684	1.892	0.800000	0.003	0.129	1.763	1.896
segment	0.935065	0.435	0.800000	0.003	0.036	0.399	0.437
seismic+bumps	0.932302	0.480	0.799923	0.002	0.035	0.445	0.483
shuttle	0.999483	33.940	0.800000	0.005	0.318	33.622	33.944
spambase	0.946797	1.755	0.799826	0.003	0.134	1.621	1.758
splice	0.879310	1.306	0.800000	0.003	0.132	1.174	1.309
sports_articles_for_objectivity_analysis	0.840000	0.446	0.800000	0.003	0.088	0.358	0.449
statlog	0.735000	0.229	0.800000	0.002	0.030	0.199	0.231
steel_plates_faults	0.771208	0.472	0.799588	0.002	0.049	0.424	0.475
sylvine	0.939512	1.105	0.799961	0.002	0.065	1.040	1.107
taiwanese_bankruptcy_prediction	0.969208	3.945	0.799971	0.004	0.321	3.624	3.949
telco-customer-churn	0.793471	1.533	0.799943	0.003	0.075	1.459	1.536
texture	0.999091	5.738	0.800000	0.005	0.126	5.612	5.743
thyroid	0.986806	1.648	0.800000	0.002	0.068	1.580	1.651
thyroid-ann	0.982781	0.811	0.799841	0.003	0.045	0.766	0.814
