dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.413127	5.805	0.799845
Amazon_employee_access	0.942173	13.609	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.731097	4.245	0.799980
BNG(breast-w)	0.985141	19.338	0.799980
BNG(cmc)	0.569801	33.750	0.799986
BNG(tic-tac-toe)	0.781687	20.134	0.799980
Bank_Customer_Churn_Dataset	0.865500	5.285	0.800000
Basketball_c	0.690299	3.324	0.800000
Cardiovascular-Disease-dataset	0.728643	49.622	0.800000
Click_prediction_small	0.831790	6.445	0.799990
Credit_c	0.706038	42.111	0.801311
Customer_Personality_Analysis	0.890625	0.957	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.717	0.799305
E-CommereShippingData	0.666818	2.608	0.799982
Employee	0.850698	1.140	0.799914
FICO-HELOC-cleaned	0.742278	3.060	0.799919
Firm-Teacher_Clave-Direction_Classification	0.731944	2.698	0.800000
Fitness_Club_c	0.795302	0.479	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.600000	0.622	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.662500	0.656	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.152	0.799831
GesturePhaseSegmentationProcessed	0.628354	3.296	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.850055	2.161	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.711	0.800000
INNHotelsGroup	0.864369	16.051	0.800000
Indian_pines	0.913614	11.930	0.799978
JapaneseVowels	0.994481	2.467	0.799920
KDDCup09_upselling	0.784600	2.139	0.799922
MIC	0.890909	1.422	0.799879
MagicTelescope	0.875920	5.074	0.800000
Marketing_Campaign	0.890625	0.804	0.800000
Mobile_Price_Classification	0.950000	0.669	0.800000
National_Health_and_Nutrition_Health_Survey	0.833333	0.555	0.799824
PhishingWebsites	0.964270	3.476	0.800000
PieChart3	0.879630	0.609	0.799443
Pima_Indians_Diabetes_Database	0.759740	0.446	0.799479
PizzaCutter3	0.880383	0.663	0.799616
Pumpkin_Seeds	0.878000	0.686	0.800000
QSAR_biodegradation	0.886256	0.666	0.799810
SDSS17	0.971350	97.750	0.800000
Satellite	0.993137	1.751	0.800000
Telecom_Churn_Dataset	0.949025	0.938	0.799880
UJI_Pen_Characters	0.487179	2.769	0.799853
Water_Quality_and_Potability	0.644817	0.795	0.799756
Wilt	0.990674	2.337	0.799834
abalone	0.639952	0.914	0.799856
ada	0.846988	1.662	0.799855
ada_agnostic	0.831325	3.354	0.799868
ada_prior	0.837989	1.080	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.587500	0.563	0.800000
allbp	0.974834	1.369	0.799841
allrep	0.968212	1.216	0.799841
analcatdata_authorship	0.982249	0.735	0.799049
artificial-characters	0.693249	2.183	0.799961
autoUniv-au4-2500	0.468000	1.847	0.800000
autoUniv-au7-1100	0.345455	0.480	0.800000
bank	0.897158	23.408	0.799982
banknote_authentication	0.545455	0.389	0.799563
baseball	0.951493	0.597	0.800000
car-evaluation	0.812139	0.668	0.799769
churn	0.936000	1.355	0.800000
cmc	0.579661	0.507	0.799728
company_bankruptcy_prediction	0.969941	4.242	0.799971
contraceptive_method_choice	0.613559	0.626	0.799728
credit	0.778343	4.329	0.799988
default_of_credit_card_clients	0.824833	12.671	0.800000
delta_ailerons	0.947405	1.076	0.799972
dis	0.984106	1.228	0.799841
dna	0.949843	3.536	0.799749
drug_consumption	0.403183	0.614	0.799894
dry_bean_dataset	0.926552	3.687	0.799941
eeg-eye-state	0.949933	3.994	0.800000
electricity	0.816065	21.857	0.799987
estimation_of_obesity_levels	0.976359	2.138	0.799621
eye_movements	0.570384	3.430	0.799927
eye_movements_bin	0.591327	2.086	0.799947
first-order-theorem-proving	0.618464	2.579	0.799935
gas-drift	0.994608	11.528	0.800000
gina_agnostic	0.789625	23.123	0.799885
golf_play_dataset_extended	0.917808	0.460	0.800000
heloc	0.722000	2.835	0.800000
house_16H	0.880282	3.680	0.799970
htru	0.978492	4.650	0.799978
ibm-employee-performance	0.996599	2.240	0.800000
in_vehicle_coupon_recommendation	0.668882	3.318	0.800729
internet_firewall	0.789960	42.088	0.799991
jm1	0.816261	2.969	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.838465	21.016	0.799996
kdd_ipums_la_97-small	0.857418	1.392	0.799923
kr-vs-k	0.602281	28.793	0.799971
kropt	0.604063	29.509	0.799971
led24	0.740625	1.154	0.800000
led7	0.740625	0.748	0.800000
letter	0.967250	19.736	0.800000
mammography	0.989718	1.787	0.799964
maternal_health_risk	0.798030	0.444	0.799803
mfeat-factors	0.972500	2.820	0.800000
mfeat-fourier	0.887500	1.268	0.800000
mfeat-karhunen	0.965000	1.281	0.800000
mfeat-morphological	0.750000	0.542	0.800000
mfeat-pixel	0.965000	3.108	0.800000
mfeat-zernike	0.820000	0.974	0.800000
mice_protein_expression	1.000000	0.945	0.800000
microaggregation2	0.619250	6.475	0.800000
mobile_c36_oversampling	0.966287	20.767	0.800000
mozilla4	0.921197	1.859	0.800000
naticusdroid+android+permissions+dataset	0.963184	20.522	0.799980
national-longitudinal-survey-binary	0.993890	1.236	0.799919
okcupid_stem	0.732196	9.310	0.799978
one-hundred-plants-margin	0.800000	4.741	0.800000
one-hundred-plants-shape	0.743750	4.634	0.800000
one-hundred-plants-texture	0.850000	4.828	0.799875
optdigits	0.991103	2.638	0.800000
ozone-level-8hr	0.958580	1.457	0.799921
page-blocks	0.976256	1.239	0.799927
pendigits	0.995907	2.781	0.799945
phoneme	0.878816	0.817	0.799963
pol	0.975706	2.993	0.799940
predict_students_dropout_and_academic_success	0.776271	1.486	0.799955
qsar	0.905213	0.638	0.800000
rice_cammeo_and_osmancik	0.927822	0.801	0.800000
ringnorm	0.981081	1.960	0.800000
satimage	0.916796	2.210	0.800000
segment	0.932900	0.712	0.800000
seismic+bumps	0.932302	2.276	0.799923
shuttle	0.999224	34.458	0.800000
spambase	0.940282	2.026	0.799826
splice	0.890282	1.585	0.800000
sports_articles_for_objectivity_analysis	0.850000	0.730	0.800000
statlog	0.745000	0.539	0.800000
steel_plates_faults	0.786632	0.801	0.799588
sylvine	0.941463	1.487	0.799961
taiwanese_bankruptcy_prediction	0.968475	4.501	0.799971
telco-customer-churn	0.795600	1.815	0.799943
texture	0.998182	6.469	0.800000
thyroid	0.987500	1.911	0.800000
thyroid-ann	0.985430	1.103	0.799841
thyroid-dis	0.696429	0.925	0.800000
turiye_student_evaluation	0.494845	1.918	0.800000
twonorm	0.979054	1.979	0.800000
vehicle	0.864706	0.479	0.799054
wall-robot-navigation	0.960623	1.551	0.799853
water_quality	0.904375	1.943	0.799900
waveform-5000	0.862000	1.815	0.800000
waveform_database_generator_version_1	0.862000	1.376	0.800000
website_phishing	0.911439	0.489	0.799704
wine-quality-red	0.571875	0.524	0.799875
wine-quality-white	0.604082	1.084	0.799918
yeast	0.616162	0.489	0.799865
