dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.424710	2.387	0.799845	0.003	0.204	2.183	2.390
Amazon_employee_access	0.942173	10.376	0.799994	0.003	0.161	10.215	10.379
BLE_RSSI_dataset_for_Indoor_localization	0.730095	1.014	0.799980	0.002	0.034	0.980	1.017
BNG(breast-w)	0.986538	16.785	0.799980	0.004	0.235	16.550	16.789
BNG(cmc)	0.574412	31.335	0.799986	0.005	0.302	31.033	31.339
BNG(tic-tac-toe)	0.793625	16.817	0.799980	0.004	0.238	16.579	16.821
Bank_Customer_Churn_Dataset	0.869500	1.990	0.800000	0.005	0.080	1.910	1.995
Basketball_c	0.697761	0.241	0.800000	0.002	0.031	0.210	0.243
Cardiovascular-Disease-dataset	0.729929	50.513	0.800000	0.005	0.396	50.117	50.518
Click_prediction_small	0.832040	5.934	0.799990	0.002	0.074	5.860	5.937
Credit_c	0.705459	41.327	0.801311	0.006	0.789	40.539	41.333
Customer_Personality_Analysis	0.895089	0.490	0.800000	0.002	0.045	0.445	0.492
Diabetic_Retinopathy_Debrecen	0.761905	0.263	0.799305	0.002	0.030	0.233	0.265
E-CommereShippingData	0.671818	2.112	0.799982	0.003	0.061	2.051	2.115
Employee	0.848550	0.706	0.799914	0.002	0.025	0.682	0.709
FICO-HELOC-cleaned	0.743291	2.547	0.799919	0.003	0.124	2.422	2.550
Firm-Teacher_Clave-Direction_Classification	0.753704	2.392	0.800000	0.003	0.099	2.292	2.394
Fitness_Club_c	0.798658	0.185	0.799596	0.002	0.013	0.172	0.187
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.600000	0.334	0.800000	0.002	0.034	0.300	0.336
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.662500	0.336	0.800000	0.003	0.035	0.300	0.338
Gender_Gap_in_Spanish_WP	0.597895	0.840	0.799831	0.002	0.035	0.805	0.842
GesturePhaseSegmentationProcessed	0.645063	2.974	0.799959	0.003	0.168	2.806	2.977
HR_Analytics_Job_Change_of_Data_Scientists	0.856119	1.809	0.797432	0.003	0.058	1.751	1.812
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.411	0.800000	0.003	0.052	0.359	0.414
INNHotelsGroup	0.868229	16.055	0.800000	0.004	0.327	15.728	16.059
Indian_pines	0.930016	11.516	0.799978	0.007	0.967	10.550	11.523
JapaneseVowels	0.994982	2.166	0.799920	0.004	0.080	2.086	2.170
KDDCup09_upselling	0.780702	1.797	0.799922	0.003	0.140	1.657	1.800
MIC	0.903030	1.070	0.799879	0.003	0.159	0.911	1.073
MagicTelescope	0.877497	4.806	0.800000	0.003	0.110	4.696	4.809
Marketing_Campaign	0.892857	0.505	0.800000	0.003	0.048	0.457	0.508
Mobile_Price_Classification	0.967500	0.410	0.800000	0.002	0.037	0.373	0.412
National_Health_and_Nutrition_Health_Survey	0.833333	0.291	0.799824	0.002	0.018	0.273	0.293
PhishingWebsites	0.967888	3.171	0.800000	0.003	0.147	3.024	3.174
PieChart3	0.875000	0.353	0.799443	0.002	0.055	0.299	0.356
Pima_Indians_Diabetes_Database	0.753247	0.141	0.799479	0.002	0.013	0.128	0.143
PizzaCutter3	0.880383	0.347	0.799617	0.002	0.052	0.295	0.349
Pumpkin_Seeds	0.876000	0.398	0.800000	0.002	0.025	0.373	0.400
QSAR_biodegradation	0.872038	0.375	0.799810	0.002	0.059	0.315	0.377
SDSS17	0.972500	99.465	0.800000	0.005	0.669	98.796	99.471
Satellite	0.993137	1.480	0.800000	0.002	0.104	1.376	1.483
Telecom_Churn_Dataset	0.946027	0.657	0.799880	0.003	0.041	0.615	0.660
UJI_Pen_Characters	0.509158	2.760	0.799853	0.003	0.120	2.640	2.762
Water_Quality_and_Potability	0.657012	0.494	0.799756	0.003	0.022	0.472	0.497
Wilt	0.991710	0.478	0.799834	0.002	0.019	0.460	0.480
abalone	0.638756	0.639	0.799856	0.003	0.026	0.613	0.641
ada	0.850602	1.382	0.799855	0.003	0.100	1.282	1.385
ada_agnostic	0.838992	1.533	0.799868	0.003	0.107	1.426	1.536
ada_prior	0.834637	0.822	0.799955	0.003	0.038	0.785	0.825
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.600000	0.259	0.800000	0.002	0.017	0.242	0.261
allbp	0.974834	0.917	0.799841	0.003	0.059	0.859	0.920
allrep	0.974834	0.916	0.799841	0.003	0.058	0.858	0.919
analcatdata_authorship	0.988166	0.456	0.799049	0.003	0.094	0.362	0.459
artificial-characters	0.693249	1.892	0.799961	0.003	0.046	1.846	1.895
autoUniv-au4-2500	0.462000	1.524	0.800000	0.003	0.190	1.334	1.527
autoUniv-au7-1100	0.381818	0.202	0.800000	0.002	0.019	0.183	0.204
bank	0.899701	22.902	0.799982	0.004	0.377	22.525	22.906
banknote_authentication	0.549091	0.100	0.799563	0.003	0.010	0.090	0.103
baseball	0.947761	0.271	0.800000	0.002	0.028	0.242	0.272
car-evaluation	0.820809	0.371	0.799769	0.002	0.037	0.334	0.373
churn	0.938000	1.081	0.800000	0.002	0.065	1.015	1.083
cmc	0.589831	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.971408	3.956	0.799971	0.004	0.320	3.636	3.960
contraceptive_method_choice	0.610169	0.231	0.799728	0.002	0.016	0.215	0.233
credit	0.774454	3.933	0.799988	0.003	0.091	3.842	3.936
default_of_credit_card_clients	0.823833	12.467	0.800000	0.004	0.410	12.057	12.471
delta_ailerons	0.946704	0.761	0.799972	0.003	0.026	0.735	0.763
dis	0.985430	0.922	0.799841	0.003	0.059	0.863	0.925
dna	0.945141	3.262	0.799749	0.004	0.359	2.903	3.266
drug_consumption	0.403183	0.307	0.799894	0.002	0.023	0.284	0.309
dry_bean_dataset	0.927653	3.304	0.799941	0.003	0.119	3.185	3.307
eeg-eye-state	0.952937	3.691	0.800000	0.003	0.120	3.571	3.695
electricity	0.827099	21.543	0.799987	0.004	0.252	21.291	21.547
estimation_of_obesity_levels	0.969267	0.394	0.799621	0.002	0.029	0.365	0.396
eye_movements	0.585009	2.996	0.799927	0.003	0.158	2.838	3.000
eye_movements_bin	0.594612	1.756	0.799947	0.003	0.092	1.664	1.759
first-order-theorem-proving	0.617647	2.222	0.799935	0.004	0.166	2.056	2.226
gas-drift	0.994968	11.143	0.800000	0.006	0.991	10.152	11.150
gina_agnostic	0.776657	23.337	0.799885	0.011	2.301	21.036	23.347
golf_play_dataset_extended	0.926941	0.196	0.800000	0.002	0.016	0.180	0.198
heloc	0.717500	2.571	0.800000	0.003	0.123	2.448	2.575
house_16H	0.883988	3.278	0.799970	0.003	0.121	3.157	3.281
htru	0.979050	4.313	0.799978	0.003	0.087	4.226	4.316
ibm-employee-performance	1.000000	0.406	0.800000	0.002	0.052	0.354	0.408
in_vehicle_coupon_recommendation	0.679269	3.026	0.800729	0.003	0.132	2.894	3.030
internet_firewall	0.930266	42.911	0.799991	0.004	0.188	42.723	42.915
