dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.420849	2.510	0.799845	0.003	0.208	2.302	2.513
Amazon_employee_access	0.942173	10.033	0.799994	0.004	0.139	9.894	10.037
BLE_RSSI_dataset_for_Indoor_localization	0.729094	1.020	0.799980	0.002	0.034	0.987	1.022
BNG(breast-w)	0.985903	16.638	0.799980	0.004	0.245	16.393	16.642
BNG(cmc)	0.573056	31.565	0.799986	0.005	0.303	31.262	31.570
BNG(tic-tac-toe)	0.773813	16.799	0.799980	0.004	0.237	16.561	16.803
Bank_Customer_Churn_Dataset	0.866000	1.980	0.800000	0.003	0.069	1.912	1.983
Basketball_c	0.712687	0.258	0.800000	0.002	0.045	0.213	0.261
Cardiovascular-Disease-dataset	0.730500	50.687	0.800000	0.005	0.424	50.263	50.693
Click_prediction_small	0.831539	6.027	0.799990	0.003	0.076	5.952	6.030
Credit_c	0.703309	41.728	0.801311	0.006	0.790	40.938	41.734
Customer_Personality_Analysis	0.892857	0.492	0.800000	0.002	0.046	0.446	0.495
Diabetic_Retinopathy_Debrecen	0.744589	0.265	0.799305	0.002	0.030	0.234	0.267
E-CommereShippingData	0.670455	2.111	0.799982	0.003	0.062	2.049	2.114
Employee	0.857143	0.710	0.799914	0.003	0.025	0.685	0.712
FICO-HELOC-cleaned	0.745316	2.548	0.799919	0.004	0.126	2.422	2.551
Firm-Teacher_Clave-Direction_Classification	0.769444	2.416	0.800000	0.003	0.101	2.316	2.420
Fitness_Club_c	0.798658	0.187	0.799596	0.002	0.013	0.174	0.189
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.603125	0.336	0.800000	0.003	0.034	0.302	0.338
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.690625	0.337	0.800000	0.003	0.036	0.302	0.340
Gender_Gap_in_Spanish_WP	0.594737	0.847	0.799831	0.004	0.037	0.810	0.851
GesturePhaseSegmentationProcessed	0.611646	2.974	0.799959	0.003	0.169	2.805	2.977
HR_Analytics_Job_Change_of_Data_Scientists	0.851158	1.803	0.797432	0.008	0.060	1.744	1.812
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.411	0.800000	0.003	0.052	0.359	0.414
INNHotelsGroup	0.857478	15.925	0.800000	0.005	0.301	15.624	15.930
Indian_pines	0.922909	11.323	0.799978	0.007	0.971	10.352	11.330
JapaneseVowels	0.992975	2.171	0.799920	0.003	0.081	2.090	2.174
KDDCup09_upselling	0.783626	1.802	0.799922	0.003	0.144	1.658	1.805
MIC	0.909091	1.072	0.799879	0.003	0.160	0.912	1.075
MagicTelescope	0.874080	4.777	0.800000	0.003	0.109	4.668	4.781
Marketing_Campaign	0.892857	0.510	0.800000	0.003	0.049	0.461	0.513
Mobile_Price_Classification	0.970000	0.415	0.800000	0.003	0.039	0.377	0.418
National_Health_and_Nutrition_Health_Survey	0.835526	0.293	0.799824	0.003	0.018	0.274	0.295
PhishingWebsites	0.962913	3.194	0.800000	0.004	0.145	3.049	3.198
PieChart3	0.875000	0.356	0.799443	0.002	0.056	0.300	0.359
Pima_Indians_Diabetes_Database	0.753247	0.142	0.799479	0.003	0.013	0.128	0.144
PizzaCutter3	0.880383	0.349	0.799617	0.003	0.053	0.296	0.352
Pumpkin_Seeds	0.876000	0.399	0.800000	0.002	0.025	0.374	0.402
QSAR_biodegradation	0.886256	0.377	0.799810	0.002	0.061	0.316	0.379
SDSS17	0.970250	97.455	0.800000	0.006	0.669	96.786	97.461
Satellite	0.993137	1.482	0.800000	0.004	0.106	1.377	1.486
Telecom_Churn_Dataset	0.943028	0.655	0.799880	0.002	0.041	0.614	0.657
UJI_Pen_Characters	0.472527	2.709	0.799853	0.003	0.118	2.590	2.711
Water_Quality_and_Potability	0.635671	0.496	0.799756	0.005	0.023	0.473	0.501
Wilt	0.990674	0.484	0.799834	0.003	0.019	0.465	0.486
abalone	0.638756	0.638	0.799856	0.002	0.027	0.612	0.640
ada	0.848193	1.384	0.799855	0.003	0.103	1.281	1.387
ada_agnostic	0.832421	1.531	0.799868	0.003	0.108	1.422	1.534
ada_prior	0.830168	0.826	0.799955	0.003	0.039	0.787	0.829
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.590000	0.258	0.800000	0.002	0.017	0.241	0.260
allbp	0.974834	0.916	0.799841	0.003	0.058	0.858	0.919
allrep	0.974834	0.916	0.799841	0.003	0.059	0.857	0.918
analcatdata_authorship	0.994083	0.460	0.799049	0.003	0.096	0.365	0.463
artificial-characters	0.686888	1.894	0.799961	0.003	0.046	1.848	1.897
autoUniv-au4-2500	0.484000	1.526	0.800000	0.003	0.191	1.335	1.529
autoUniv-au7-1100	0.368182	0.201	0.800000	0.002	0.020	0.182	0.204
bank	0.895831	22.838	0.799982	0.004	0.377	22.461	22.842
banknote_authentication	0.545455	0.100	0.799563	0.002	0.010	0.090	0.103
baseball	0.947761	0.271	0.800000	0.003	0.028	0.243	0.273
car-evaluation	0.852601	0.370	0.799769	0.003	0.036	0.334	0.372
churn	0.941000	1.079	0.800000	0.003	0.062	1.017	1.082
cmc	0.583051	0.238	0.799728	0.002	0.018	0.220	0.240
company_bankruptcy_prediction	0.971408	3.953	0.799971	0.004	0.322	3.632	3.958
contraceptive_method_choice	0.627119	0.234	0.799728	0.002	0.017	0.217	0.237
credit	0.776249	3.956	0.799988	0.003	0.093	3.862	3.959
default_of_credit_card_clients	0.824000	12.369	0.800000	0.005	0.387	11.982	12.373
delta_ailerons	0.947405	0.760	0.799972	0.003	0.025	0.735	0.763
dis	0.985430	0.926	0.799841	0.003	0.059	0.867	0.929
dna	0.932602	3.266	0.799749	0.005	0.360	2.906	3.271
drug_consumption	0.403183	0.307	0.799894	0.002	0.023	0.284	0.309
dry_bean_dataset	0.927653	3.330	0.799941	0.003	0.123	3.208	3.334
eeg-eye-state	0.958278	3.688	0.800000	0.004	0.121	3.567	3.692
electricity	0.812093	21.533	0.799987	0.004	0.252	21.280	21.537
estimation_of_obesity_levels	0.978723	0.394	0.799621	0.002	0.030	0.364	0.396
eye_movements	0.571298	3.015	0.799927	0.004	0.162	2.852	3.018
eye_movements_bin	0.597898	1.755	0.799947	0.003	0.091	1.664	1.758
first-order-theorem-proving	0.608660	2.222	0.799935	0.003	0.165	2.057	2.225
gas-drift	0.994968	11.170	0.800000	0.007	1.002	10.168	11.177
gina_agnostic	0.765130	23.208	0.799885	0.011	2.289	20.919	23.219
golf_play_dataset_extended	0.926941	0.198	0.800000	0.002	0.016	0.182	0.200
heloc	0.725000	2.553	0.800000	0.004	0.115	2.438	2.556
house_16H	0.882135	3.308	0.799970	0.003	0.122	3.187	3.312
htru	0.978492	4.250	0.799978	0.003	0.079	4.171	4.253
ibm-employee-performance	0.996599	0.406	0.800000	0.003	0.051	0.354	0.408
in_vehicle_coupon_recommendation	0.670129	3.059	0.800729	0.003	0.136	2.923	3.062
internet_firewall	0.801099	42.267	0.799991	0.004	0.168	42.099	42.271
jm1	0.815342	2.661	0.800000	0.003	0.115	2.546	2.664
jungle_chess_2pcs_raw_endgame_complete	0.846943	20.925	0.799996	0.004	0.188	20.738	20.930
kdd_ipums_la_97-small	0.862235	1.106	0.799923	0.003	0.060	1.046	1.109
kr-vs-k	0.588738	29.440	0.799971	0.004	0.138	29.303	29.444
kropt	0.591589	27.481	0.799971	0.004	0.153	27.328	27.486
led24	0.739062	0.718	0.800000	0.003	0.056	0.662	0.721
led7	0.746875	0.449	0.800000	0.002	0.019	0.430	0.451
letter	0.965750	18.209	0.800000	0.004	0.178	18.031	18.213
mammography	0.990165	1.533	0.799964	0.003	0.043	1.491	1.536
maternal_health_risk	0.802956	0.167	0.799803	0.003	0.012	0.155	0.170
mfeat-factors	0.972500	2.506	0.800000	0.004	0.361	2.144	2.510
mfeat-fourier	0.892500	0.990	0.800000	0.003	0.134	0.856	0.993
mfeat-karhunen	0.970000	0.864	0.800000	0.003	0.110	0.754	0.867
mfeat-morphological	0.765000	0.269	0.800000	0.003	0.015	0.254	0.272
mfeat-pixel	0.962500	2.808	0.800000	0.004	0.411	2.397	2.812
mfeat-zernike	0.820000	0.698	0.800000	0.003	0.089	0.608	0.700
mice_protein_expression	1.000000	0.584	0.800000	0.003	0.106	0.477	0.586
microaggregation2	0.622500	6.218	0.800000	0.004	0.184	6.035	6.222
mobile_c36_oversampling	0.965997	20.479	0.800000	0.004	0.199	20.280	20.483
mozilla4	0.921518	1.597	0.800000	0.003	0.045	1.552	1.600
naticusdroid+android+permissions+dataset	0.964718	20.290	0.799980	0.009	0.820	19.470	20.299
national-longitudinal-survey-binary	0.994908	0.935	0.799918	0.003	0.049	0.886	0.938
okcupid_stem	0.732759	8.823	0.799977	0.004	0.178	8.645	8.827
one-hundred-plants-margin	0.828125	4.580	0.800000	0.003	0.217	4.363	4.583
one-hundred-plants-shape	0.756250	4.474	0.800000	0.003	0.113	4.361	4.477
one-hundred-plants-texture	0.884375	4.210	0.799875	0.003	0.108	4.102	4.213
optdigits	0.991103	2.360	0.800000	0.004	0.196	2.164	2.364
ozone-level-8hr	0.946746	1.170	0.799921	0.003	0.136	1.034	1.173
page-blocks	0.977169	0.911	0.799927	0.003	0.035	0.876	0.914
pendigits	0.994998	2.456	0.799945	0.003	0.104	2.352	2.459
phoneme	0.875116	0.530	0.799963	0.004	0.022	0.508	0.535
pol	0.974715	2.754	0.799940	0.004	0.117	2.637	2.758
predict_students_dropout_and_academic_success	0.775141	1.227	0.799955	0.003	0.083	1.144	1.230
qsar	0.909953	0.366	0.800000	0.003	0.057	0.309	0.369
rice_cammeo_and_osmancik	0.927822	0.524	0.800000	0.002	0.021	0.503	0.526
ringnorm	0.980405	1.678	0.800000	0.003	0.081	1.597	1.681
satimage	0.918351	1.898	0.800000	0.005	0.129	1.769	1.903
segment	0.930736	0.429	0.800000	0.002	0.035	0.395	0.432
seismic+bumps	0.934236	0.474	0.799923	0.002	0.034	0.440	0.476
shuttle	0.999569	34.960	0.800000	0.005	0.338	34.622	34.965
spambase	0.948969	1.755	0.799826	0.003	0.136	1.619	1.759
splice	0.855799	1.304	0.800000	0.003	0.133	1.171	1.307
sports_articles_for_objectivity_analysis	0.855000	0.452	0.800000	0.003	0.088	0.364	0.454
statlog	0.735000	0.231	0.800000	0.002	0.030	0.202	0.234
steel_plates_faults	0.784062	0.477	0.799588	0.002	0.049	0.428	0.479
sylvine	0.938537	1.103	0.799961	0.003	0.064	1.038	1.105
taiwanese_bankruptcy_prediction	0.969208	3.961	0.799971	0.004	0.322	3.639	3.965
telco-customer-churn	0.801987	1.535	0.799943	0.003	0.075	1.459	1.537
texture	1.000000	5.793	0.800000	0.003	0.130	5.663	5.796
thyroid	0.986806	1.648	0.800000	0.003	0.067	1.581	1.652
thyroid-ann	0.986755	0.811	0.799841	0.003	0.045	0.766	0.814
thyroid-dis	0.687500	0.656	0.800000	0.003	0.050	0.606	0.659
turiye_student_evaluation	0.499141	1.580	0.800000	0.003	0.102	1.478	1.583
twonorm	0.979054	1.697	0.800000	0.003	0.087	1.610	1.700
vehicle	0.829412	0.208	0.799054	0.004	0.028	0.180	0.212
wall-robot-navigation	0.960623	1.275	0.799853	0.003	0.077	1.197	1.278
water_quality	0.896875	1.682	0.799900	0.003	0.062	1.620	1.685
waveform-5000	0.869000	1.562	0.800000	0.003	0.122	1.440	1.565
waveform_database_generator_version_1	0.866000	1.105	0.800000	0.003	0.065	1.040	1.108
website_phishing	0.915129	0.224	0.799704	0.002	0.018	0.206	0.226
wine-quality-red	0.575000	0.218	0.799875	0.002	0.010	0.208	0.220
wine-quality-white	0.602041	0.823	0.799918	0.003	0.037	0.786	0.826
yeast	0.612795	0.224	0.799865	0.002	0.016	0.208	0.226
