dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.420849	4.574	0.799845
Amazon_employee_access	0.942173	13.314	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734101	3.944	0.799980
BNG(breast-w)	0.985776	20.168	0.799980
BNG(cmc)	0.571067	34.894	0.799986
BNG(tic-tac-toe)	0.778004	19.863	0.799980
Bank_Customer_Churn_Dataset	0.864000	4.682	0.800000
Basketball_c	0.701493	3.497	0.800000
Cardiovascular-Disease-dataset	0.729714	49.946	0.800000
Click_prediction_small	0.831539	6.430	0.799990
Credit_c	0.698759	42.394	0.801311
Customer_Personality_Analysis	0.892857	1.059	0.800000
Diabetic_Retinopathy_Debrecen	0.740260	0.747	0.799305
E-CommereShippingData	0.660000	2.729	0.799982
Employee	0.845328	1.113	0.799914
FICO-HELOC-cleaned	0.740253	3.093	0.799919
Firm-Teacher_Clave-Direction_Classification	0.640278	2.761	0.800000
Fitness_Club_c	0.795302	0.467	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.612500	0.656	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.684375	0.629	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.170	0.799831
GesturePhaseSegmentationProcessed	0.567595	3.307	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.846748	2.097	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.679	0.800000
INNHotelsGroup	0.863680	16.337	0.800000
Indian_pines	0.905413	11.917	0.799978
JapaneseVowels	0.991972	2.515	0.799920
KDDCup09_upselling	0.750487	2.093	0.799922
MIC	0.906061	1.402	0.799879
MagicTelescope	0.875657	5.117	0.800000
Marketing_Campaign	0.888393	0.787	0.800000
Mobile_Price_Classification	0.935000	0.711	0.800000
National_Health_and_Nutrition_Health_Survey	0.842105	0.575	0.799824
PhishingWebsites	0.967888	3.509	0.800000
PieChart3	0.879630	0.646	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.413	0.799479
PizzaCutter3	0.880383	0.652	0.799616
Pumpkin_Seeds	0.876000	0.672	0.800000
QSAR_biodegradation	0.872038	0.678	0.799810
SDSS17	0.971000	99.362	0.800000
Satellite	0.993137	1.771	0.800000
Telecom_Churn_Dataset	0.943028	0.937	0.799880
UJI_Pen_Characters	0.483516	3.065	0.799853
Water_Quality_and_Potability	0.637195	0.767	0.799756
Wilt	0.989637	1.108	0.799834
abalone	0.632775	0.905	0.799856
ada	0.851807	1.676	0.799855
ada_agnostic	0.837897	1.861	0.799868
ada_prior	0.840223	1.098	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.560000	0.533	0.800000
allbp	0.974834	1.315	0.799841
allrep	0.970861	1.192	0.799841
analcatdata_authorship	0.982249	0.727	0.799049
artificial-characters	0.676614	2.177	0.799961
autoUniv-au4-2500	0.470000	1.834	0.800000
autoUniv-au7-1100	0.350000	0.493	0.800000
bank	0.895278	24.048	0.799982
banknote_authentication	0.545455	0.383	0.799563
baseball	0.947761	0.592	0.800000
car-evaluation	0.748555	0.642	0.799769
churn	0.940000	1.331	0.800000
cmc	0.593220	0.509	0.799728
company_bankruptcy_prediction	0.972141	4.297	0.799971
contraceptive_method_choice	0.593220	0.764	0.799728
credit	0.777745	4.351	0.799988
default_of_credit_card_clients	0.817833	12.718	0.800000
delta_ailerons	0.946704	1.081	0.799972
dis	0.984106	1.198	0.799841
dna	0.920063	3.537	0.799749
drug_consumption	0.403183	0.578	0.799894
dry_bean_dataset	0.926919	3.692	0.799941
eeg-eye-state	0.930908	4.182	0.800000
electricity	0.812203	21.873	0.799987
estimation_of_obesity_levels	0.973995	1.044	0.799621
eye_movements	0.565814	3.447	0.799927
eye_movements_bin	0.591327	2.030	0.799947
first-order-theorem-proving	0.623366	2.569	0.799935
gas-drift	0.994608	11.524	0.800000
gina_agnostic	0.746398	23.196	0.799885
golf_play_dataset_extended	0.913242	0.491	0.800000
heloc	0.719000	2.838	0.800000
house_16H	0.882506	3.815	0.799970
htru	0.978771	4.630	0.799978
ibm-employee-performance	0.982993	0.764	0.800000
in_vehicle_coupon_recommendation	0.670129	3.328	0.800729
internet_firewall	0.801709	41.856	0.799991
jm1	0.819476	2.993	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.750223	21.319	0.799996
kdd_ipums_la_97-small	0.847784	1.393	0.799923
kr-vs-k	0.601746	28.327	0.799971
kropt	0.602637	28.812	0.799971
led24	0.715625	0.996	0.800000
led7	0.732812	0.717	0.800000
letter	0.964750	18.643	0.800000
mammography	0.988377	1.815	0.799964
maternal_health_risk	0.783251	0.436	0.799803
mfeat-factors	0.962500	2.788	0.800000
mfeat-fourier	0.885000	1.274	0.800000
mfeat-karhunen	0.965000	1.302	0.800000
mfeat-morphological	0.757500	0.772	0.800000
mfeat-pixel	0.945000	3.075	0.800000
mfeat-zernike	0.812500	0.956	0.800000
mice_protein_expression	1.000000	0.955	0.800000
microaggregation2	0.615500	6.552	0.800000
mobile_c36_oversampling	0.957593	20.658	0.800000
mozilla4	0.917337	1.867	0.800000
naticusdroid+android+permissions+dataset	0.950230	20.484	0.799980
national-longitudinal-survey-binary	0.992872	1.331	0.799919
okcupid_stem	0.732759	9.334	0.799978
one-hundred-plants-margin	0.793750	4.531	0.800000
one-hundred-plants-shape	0.721875	4.738	0.800000
one-hundred-plants-texture	0.834375	4.528	0.799875
