dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.428571	2.273	0.799845	0.003	0.204	2.069	2.276
Amazon_employee_access	0.942173	10.036	0.799994	0.003	0.141	9.895	10.039
BLE_RSSI_dataset_for_Indoor_localization	0.731097	1.011	0.799980	0.002	0.032	0.979	1.014
BNG(breast-w)	0.986030	16.803	0.799980	0.004	0.239	16.564	16.808
BNG(cmc)	0.572514	31.552	0.799986	0.004	0.302	31.250	31.556
BNG(tic-tac-toe)	0.788418	16.623	0.799980	0.004	0.241	16.383	16.628
Bank_Customer_Churn_Dataset	0.870000	1.989	0.800000	0.003	0.075	1.914	1.992
Basketball_c	0.716418	0.258	0.800000	0.002	0.045	0.214	0.261
Cardiovascular-Disease-dataset	0.729786	50.780	0.800000	0.006	0.424	50.356	50.786
Click_prediction_small	0.832165	5.894	0.799990	0.003	0.074	5.820	5.897
Credit_c	0.706038	41.882	0.801311	0.005	0.786	41.096	41.888
Customer_Personality_Analysis	0.890625	0.488	0.800000	0.002	0.045	0.443	0.490
Diabetic_Retinopathy_Debrecen	0.766234	0.260	0.799305	0.002	0.030	0.230	0.262
E-CommereShippingData	0.673182	2.127	0.799982	0.003	0.060	2.067	2.130
Employee	0.849624	0.700	0.799914	0.003	0.024	0.676	0.703
FICO-HELOC-cleaned	0.744304	2.552	0.799919	0.003	0.126	2.427	2.555
Firm-Teacher_Clave-Direction_Classification	0.763426	2.384	0.800000	0.003	0.099	2.286	2.387
Fitness_Club_c	0.798658	0.181	0.799596	0.002	0.013	0.169	0.183
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.625000	0.330	0.800000	0.002	0.034	0.297	0.332
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.650000	0.332	0.800000	0.003	0.035	0.297	0.334
Gender_Gap_in_Spanish_WP	0.598947	0.837	0.799831	0.003	0.035	0.801	0.839
GesturePhaseSegmentationProcessed	0.657722	2.969	0.799959	0.003	0.162	2.807	2.972
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	1.801	0.797432	0.009	0.060	1.741	1.810
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.403	0.800000	0.002	0.051	0.353	0.406
INNHotelsGroup	0.870296	15.859	0.800000	0.004	0.299	15.560	15.863
Indian_pines	0.931110	11.227	0.799978	0.007	0.979	10.249	11.235
JapaneseVowels	0.995484	2.171	0.799920	0.003	0.080	2.091	2.174
KDDCup09_upselling	0.781676	1.799	0.799922	0.003	0.140	1.658	1.802
