dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.386100	7.128	0.799845
Amazon_employee_access	0.942173	14.654	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.732599	5.298	0.799980
BNG(breast-w)	0.984887	21.269	0.799980
BNG(cmc)	0.563924	35.770	0.799986
BNG(tic-tac-toe)	0.732537	21.005	0.799980
Bank_Customer_Churn_Dataset	0.860000	6.614	0.800000
Basketball_c	0.705224	4.691	0.800000
Cardiovascular-Disease-dataset	0.729429	49.704	0.800000
Click_prediction_small	0.831414	6.484	0.799990
Credit_c	0.672291	42.227	0.801311
Customer_Personality_Analysis	0.872768	1.032	0.800000
Diabetic_Retinopathy_Debrecen	0.727273	0.714	0.799305
E-CommereShippingData	0.668182	2.693	0.799982
Employee	0.820623	1.159	0.799914
FICO-HELOC-cleaned	0.741266	3.133	0.799919
Firm-Teacher_Clave-Direction_Classification	0.398148	2.716	0.800000
Fitness_Club_c	0.778523	0.544	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.546875	0.650	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.503125	0.648	0.800000
Gender_Gap_in_Spanish_WP	0.590526	1.145	0.799831
GesturePhaseSegmentationProcessed	0.465316	3.287	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	2.150	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.853741	0.727	0.800000
INNHotelsGroup	0.785803	16.024	0.800000
Indian_pines	0.813559	11.797	0.799978
JapaneseVowels	0.982940	2.525	0.799920
KDDCup09_upselling	0.744639	2.099	0.799922
MIC	0.881818	1.359	0.799879
MagicTelescope	0.868559	5.090	0.800000
Marketing_Campaign	0.886161	0.793	0.800000
Mobile_Price_Classification	0.402500	0.704	0.800000
National_Health_and_Nutrition_Health_Survey	0.839912	0.585	0.799824
PhishingWebsites	0.901402	3.516	0.800000
PieChart3	0.879630	0.664	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.431	0.799479
PizzaCutter3	0.880383	0.775	0.799616
Pumpkin_Seeds	0.872000	0.688	0.800000
QSAR_biodegradation	0.872038	0.650	0.799810
SDSS17	0.941700	97.985	0.800000
Satellite	0.991176	1.773	0.800000
Telecom_Churn_Dataset	0.905547	1.001	0.799880
UJI_Pen_Characters	0.476190	3.031	0.799853
Water_Quality_and_Potability	0.615854	0.780	0.799756
Wilt	0.985492	0.797	0.799834
abalone	0.636364	0.919	0.799856
ada	0.838554	1.710	0.799855
ada_agnostic	0.809419	1.863	0.799868
ada_prior	0.820112	1.122	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.582500	0.546	0.800000
allbp	0.962914	1.303	0.799841
allrep	0.968212	1.206	0.799841
analcatdata_authorship	0.976331	0.725	0.799049
artificial-characters	0.660959	2.193	0.799961
autoUniv-au4-2500	0.456000	1.888	0.800000
autoUniv-au7-1100	0.309091	0.508	0.800000
bank	0.888201	23.481	0.799982
banknote_authentication	0.545455	0.384	0.799563
baseball	0.955224	0.566	0.800000
car-evaluation	0.699422	0.639	0.799769
churn	0.908000	1.339	0.800000
cmc	0.538983	0.512	0.799728
company_bankruptcy_prediction	0.972141	4.245	0.799971
contraceptive_method_choice	0.596610	0.668	0.799728
credit	0.777745	4.423	0.799988
default_of_credit_card_clients	0.803500	12.669	0.800000
delta_ailerons	0.948107	1.047	0.799972
dis	0.984106	1.214	0.799841
dna	0.901254	3.532	0.799749
drug_consumption	0.400531	0.583	0.799894
dry_bean_dataset	0.922145	3.702	0.799941
eeg-eye-state	0.673899	3.988	0.800000
electricity	0.792453	21.830	0.799987
estimation_of_obesity_levels	0.955083	0.774	0.799621
eye_movements	0.536106	3.406	0.799927
eye_movements_bin	0.589356	2.070	0.799947
first-order-theorem-proving	0.569444	2.588	0.799935
gas-drift	0.987419	11.500	0.800000
gina_agnostic	0.688761	23.200	0.799885
golf_play_dataset_extended	0.922374	0.480	0.800000
heloc	0.714000	2.851	0.800000
house_16H	0.869904	3.616	0.799970
htru	0.977374	4.555	0.799978
ibm-employee-performance	0.887755	0.833	0.800000
in_vehicle_coupon_recommendation	0.584545	3.325	0.800729
internet_firewall	0.801785	42.081	0.799991
jm1	0.809830	2.974	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.636546	21.128	0.799996
kdd_ipums_la_97-small	0.845857	1.405	0.799923
kr-vs-k	0.375267	28.979	0.799971
kropt	0.373485	29.299	0.799971
led24	0.568750	1.180	0.800000
led7	0.662500	0.719	0.800000
letter	0.924250	19.026	0.800000
mammography	0.985695	1.806	0.799964
maternal_health_risk	0.788177	0.460	0.799803
mfeat-factors	0.965000	2.815	0.800000
mfeat-fourier	0.865000	1.276	0.800000
mfeat-karhunen	0.950000	1.199	0.800000
mfeat-morphological	0.755000	0.582	0.800000
mfeat-pixel	0.805000	3.091	0.800000
mfeat-zernike	0.795000	0.979	0.800000
mice_protein_expression	1.000000	0.945	0.800000
microaggregation2	0.567000	6.515	0.800000
mobile_c36_oversampling	0.955951	20.760	0.800000
mozilla4	0.903828	1.883	0.800000
naticusdroid+android+permissions+dataset	0.898756	20.422	0.799980
national-longitudinal-survey-binary	0.977597	1.303	0.799919
okcupid_stem	0.733133	9.317	0.799978
one-hundred-plants-margin	0.646875	4.603	0.800000
one-hundred-plants-shape	0.637500	4.647	0.800000
one-hundred-plants-texture	0.700000	4.923	0.799875
optdigits	0.845196	2.649	0.800000
ozone-level-8hr	0.942801	1.471	0.799921
page-blocks	0.966210	1.187	0.799927
pendigits	0.976808	2.786	0.799945
phoneme	0.873265	0.853	0.799963
pol	0.949430	3.007	0.799940
predict_students_dropout_and_academic_success	0.694915	1.523	0.799955
qsar	0.872038	0.655	0.800000
rice_cammeo_and_osmancik	0.926509	0.822	0.800000
ringnorm	0.980405	2.009	0.800000
satimage	0.912908	2.174	0.800000
segment	0.930736	0.718	0.800000
seismic+bumps	0.934236	0.759	0.799923
shuttle	0.997241	34.437	0.800000
spambase	0.906623	2.045	0.799826
splice	0.893417	1.638	0.800000
sports_articles_for_objectivity_analysis	0.830000	0.737	0.800000
statlog	0.695000	0.570	0.800000
steel_plates_faults	0.760925	0.790	0.799588
sylvine	0.934634	1.384	0.799961
taiwanese_bankruptcy_prediction	0.969941	4.480	0.799971
telco-customer-churn	0.787083	1.806	0.799943
texture	0.995455	6.395	0.800000
thyroid	0.977778	1.951	0.800000
thyroid-ann	0.974834	1.112	0.799841
thyroid-dis	0.664286	0.941	0.800000
turiye_student_evaluation	0.483677	1.867	0.800000
twonorm	0.979730	2.000	0.800000
vehicle	0.794118	0.494	0.799054
wall-robot-navigation	0.928571	1.540	0.799853
water_quality	0.900625	1.964	0.799900
waveform-5000	0.811000	1.847	0.800000
waveform_database_generator_version_1	0.828000	1.394	0.800000
website_phishing	0.852399	0.518	0.799704
wine-quality-red	0.578125	0.486	0.799875
wine-quality-white	0.561224	1.090	0.799918
yeast	0.599327	0.518	0.799865
