dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.428571	2.491	0.799845	0.003	0.205	2.286	2.494
Amazon_employee_access	0.942173	10.376	0.799994	0.004	0.150	10.226	10.380
BLE_RSSI_dataset_for_Indoor_localization	0.731597	1.013	0.799980	0.002	0.032	0.982	1.015
BNG(breast-w)	0.986030	16.439	0.799980	0.004	0.236	16.203	16.442
BNG(cmc)	0.573056	31.351	0.799986	0.005	0.304	31.047	31.356
BNG(tic-tac-toe)	0.791339	16.487	0.799980	0.004	0.245	16.242	16.491
Bank_Customer_Churn_Dataset	0.872000	1.986	0.800000	0.003	0.069	1.917	1.988
Basketball_c	0.712687	0.246	0.800000	0.002	0.033	0.214	0.249
Cardiovascular-Disease-dataset	0.729286	50.578	0.800000	0.005	0.393	50.185	50.584
Click_prediction_small	0.832165	6.032	0.799990	0.003	0.074	5.958	6.035
Credit_c	0.706121	41.770	0.801311	0.005	0.784	40.987	41.776
Customer_Personality_Analysis	0.892857	0.492	0.800000	0.002	0.045	0.446	0.494
Diabetic_Retinopathy_Debrecen	0.766234	0.263	0.799305	0.002	0.030	0.234	0.266
E-CommereShippingData	0.670909	2.136	0.799982	0.002	0.061	2.075	2.138
Employee	0.850698	0.705	0.799914	0.002	0.024	0.681	0.708
FICO-HELOC-cleaned	0.744304	2.559	0.799919	0.003	0.122	2.436	2.562
Firm-Teacher_Clave-Direction_Classification	0.753241	2.414	0.800000	0.003	0.099	2.315	2.417
Fitness_Club_c	0.798658	0.189	0.799596	0.002	0.013	0.176	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.618750	0.335	0.800000	0.002	0.034	0.300	0.337
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.653125	0.336	0.800000	0.002	0.035	0.300	0.338
Gender_Gap_in_Spanish_WP	0.595789	0.842	0.799831	0.002	0.036	0.807	0.844
GesturePhaseSegmentationProcessed	0.659241	2.978	0.799959	0.003	0.162	2.815	2.981
HR_Analytics_Job_Change_of_Data_Scientists	0.856119	1.818	0.797432	0.003	0.059	1.760	1.821
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.412	0.800000	0.011	0.052	0.359	0.423
INNHotelsGroup	0.871261	16.082	0.800000	0.004	0.326	15.756	16.085
Indian_pines	0.938764	11.452	0.799978	0.007	0.962	10.490	11.459
JapaneseVowels	0.994982	2.179	0.799920	0.003	0.079	2.100	2.182
KDDCup09_upselling	0.786550	1.799	0.799922	0.003	0.140	1.659	1.802
MIC	0.906061	1.074	0.799879	0.002	0.160	0.914	1.077
MagicTelescope	0.878023	4.794	0.800000	0.003	0.109	4.685	4.797
Marketing_Campaign	0.888393	0.505	0.800000	0.003	0.049	0.456	0.508
Mobile_Price_Classification	0.977500	0.409	0.800000	0.002	0.038	0.371	0.412
National_Health_and_Nutrition_Health_Survey	0.828947	0.291	0.799824	0.002	0.018	0.272	0.293
PhishingWebsites	0.967436	3.175	0.800000	0.003	0.146	3.028	3.178
PieChart3	0.875000	0.354	0.799443	0.002	0.056	0.298	0.356
Pima_Indians_Diabetes_Database	0.753247	0.139	0.799479	0.002	0.013	0.126	0.141
PizzaCutter3	0.889952	0.347	0.799617	0.003	0.053	0.294	0.349
Pumpkin_Seeds	0.878000	0.396	0.800000	0.002	0.025	0.371	0.398
QSAR_biodegradation	0.872038	0.374	0.799810	0.002	0.060	0.313	0.376
SDSS17	0.972200	97.639	0.800000	0.005	0.671	96.968	97.644
Satellite	0.993137	1.480	0.800000	0.003	0.104	1.376	1.483
Telecom_Churn_Dataset	0.950525	0.652	0.799880	0.002	0.041	0.611	0.654
UJI_Pen_Characters	0.490842	2.717	0.799853	0.002	0.118	2.599	2.719
Water_Quality_and_Potability	0.646341	0.493	0.799756	0.002	0.022	0.471	0.496
Wilt	0.991710	0.477	0.799834	0.003	0.019	0.459	0.480
abalone	0.641148	0.639	0.799856	0.002	0.026	0.614	0.642
ada	0.851807	1.382	0.799855	0.003	0.102	1.280	1.384
ada_agnostic	0.837897	1.531	0.799868	0.003	0.107	1.424	1.534
ada_prior	0.831285	0.819	0.799955	0.002	0.038	0.781	0.821
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.587500	0.257	0.800000	0.002	0.016	0.241	0.259
allbp	0.974834	0.917	0.799841	0.002	0.058	0.859	0.920
allrep	0.972185	0.917	0.799841	0.004	0.058	0.859	0.921
analcatdata_authorship	0.988166	0.452	0.799049	0.003	0.094	0.358	0.455
artificial-characters	0.697652	1.895	0.799961	0.002	0.045	1.849	1.897
autoUniv-au4-2500	0.484000	1.522	0.800000	0.003	0.190	1.332	1.525
autoUniv-au7-1100	0.368182	0.202	0.800000	0.002	0.020	0.182	0.204
bank	0.899701	22.957	0.799982	0.004	0.379	22.578	22.961
banknote_authentication	0.549091	0.100	0.799563	0.002	0.010	0.090	0.102
baseball	0.947761	0.271	0.800000	0.002	0.029	0.242	0.273
car-evaluation	0.849711	0.370	0.799769	0.002	0.037	0.334	0.373
churn	0.936000	1.084	0.800000	0.003	0.066	1.018	1.087
cmc	0.579661	0.233	0.799728	0.002	0.017	0.216	0.235
company_bankruptcy_prediction	0.971408	3.944	0.799971	0.004	0.318	3.626	3.948
contraceptive_method_choice	0.610169	0.231	0.799728	0.002	0.016	0.215	0.233
credit	0.776548	3.987	0.799988	0.003	0.093	3.894	3.990
default_of_credit_card_clients	0.824000	12.485	0.800000	0.004	0.411	12.074	12.489
delta_ailerons	0.948107	0.762	0.799972	0.003	0.025	0.737	0.765
dis	0.985430	0.917	0.799841	0.003	0.058	0.859	0.920
dna	0.926332	3.271	0.799749	0.004	0.365	2.906	3.276
drug_consumption	0.403183	0.308	0.799894	0.004	0.023	0.286	0.313
dry_bean_dataset	0.928021	3.336	0.799941	0.003	0.122	3.215	3.339
eeg-eye-state	0.958611	3.682	0.800000	0.003	0.118	3.565	3.686
electricity	0.827541	21.614	0.799987	0.004	0.253	21.361	21.619
estimation_of_obesity_levels	0.973995	0.395	0.799621	0.002	0.029	0.366	0.397
eye_movements	0.581353	3.022	0.799927	0.003	0.162	2.860	3.025
eye_movements_bin	0.595926	1.748	0.799947	0.003	0.090	1.658	1.752
first-order-theorem-proving	0.620098	2.214	0.799935	0.003	0.161	2.053	2.217
gas-drift	0.994968	11.179	0.800000	0.007	1.002	10.177	11.185
gina_agnostic	0.792507	23.261	0.799885	0.011	2.268	20.993	23.272
golf_play_dataset_extended	0.926941	0.198	0.800000	0.002	0.016	0.182	0.200
heloc	0.718500	2.573	0.800000	0.003	0.124	2.449	2.576
house_16H	0.885471	3.296	0.799970	0.003	0.117	3.179	3.299
htru	0.979050	4.321	0.799978	0.003	0.087	4.234	4.324
ibm-employee-performance	1.000000	0.405	0.800000	0.002	0.050	0.355	0.407
in_vehicle_coupon_recommendation	0.677192	3.041	0.800729	0.003	0.129	2.913	3.044
internet_firewall	0.922332	43.065	0.799991	0.004	0.188	42.877	43.069
jm1	0.815342	2.677	0.800000	0.003	0.117	2.560	2.680
jungle_chess_2pcs_raw_endgame_complete	0.848282	20.962	0.799996	0.004	0.186	20.777	20.966
kdd_ipums_la_97-small	0.874759	1.107	0.799923	0.003	0.060	1.047	1.109
kr-vs-k	0.610834	29.567	0.799971	0.004	0.130	29.437	29.570
kropt	0.614754	29.091	0.799971	0.003	0.115	28.977	29.094
led24	0.726562	0.720	0.800000	0.002	0.056	0.665	0.723
led7	0.739062	0.451	0.800000	0.002	0.019	0.432	0.453
letter	0.972750	17.874	0.800000	0.003	0.180	17.695	17.878
mammography	0.990165	1.542	0.799964	0.003	0.042	1.500	1.545
maternal_health_risk	0.832512	0.177	0.799803	0.002	0.012	0.166	0.179
mfeat-factors	0.977500	2.563	0.800000	0.005	0.408	2.155	2.567
mfeat-fourier	0.887500	1.025	0.800000	0.004	0.167	0.859	1.029
mfeat-karhunen	0.975000	0.870	0.800000	0.003	0.111	0.759	0.873
mfeat-morphological	0.765000	0.290	0.800000	0.003	0.024	0.265	0.293
mfeat-pixel	0.967500	2.900	0.800000	0.003	0.499	2.401	2.903
mfeat-zernike	0.810000	0.689	0.800000	0.003	0.088	0.601	0.692
mice_protein_expression	1.000000	0.575	0.800000	0.002	0.104	0.471	0.578
microaggregation2	0.621000	6.218	0.800000	0.003	0.184	6.033	6.222
mobile_c36_oversampling	0.975560	20.506	0.800000	0.004	0.199	20.307	20.509
