dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.432432	2.525	0.799845	0.003	0.216	2.309	2.529
Amazon_employee_access	0.942173	10.167	0.799994	0.004	0.139	10.028	10.171
BLE_RSSI_dataset_for_Indoor_localization	0.729594	1.011	0.799980	0.003	0.032	0.979	1.014
BNG(breast-w)	0.985649	16.795	0.799980	0.004	0.241	16.554	16.799
BNG(cmc)	0.570072	31.209	0.799986	0.004	0.314	30.895	31.213
BNG(tic-tac-toe)	0.775464	17.069	0.799980	0.004	0.266	16.803	17.073
Bank_Customer_Churn_Dataset	0.865500	1.991	0.800000	0.003	0.068	1.922	1.993
Basketball_c	0.712687	0.249	0.800000	0.003	0.033	0.216	0.252
Cardiovascular-Disease-dataset	0.730500	50.638	0.800000	0.006	0.396	50.242	50.644
Click_prediction_small	0.831539	5.907	0.799990	0.003	0.075	5.831	5.910
Credit_c	0.700414	41.906	0.801311	0.006	0.788	41.117	41.912
Customer_Personality_Analysis	0.892857	0.495	0.800000	0.002	0.046	0.449	0.498
Diabetic_Retinopathy_Debrecen	0.740260	0.266	0.799305	0.002	0.030	0.236	0.268
E-CommereShippingData	0.671364	2.144	0.799982	0.003	0.062	2.082	2.147
Employee	0.859291	0.710	0.799914	0.003	0.025	0.685	0.713
FICO-HELOC-cleaned	0.738228	2.567	0.799919	0.004	0.124	2.444	2.571
Firm-Teacher_Clave-Direction_Classification	0.757870	2.390	0.800000	0.003	0.099	2.291	2.393
Fitness_Club_c	0.785235	0.189	0.799596	0.003	0.013	0.176	0.192
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.593750	0.337	0.800000	0.003	0.034	0.303	0.340
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.678125	0.339	0.800000	0.003	0.036	0.303	0.341
Gender_Gap_in_Spanish_WP	0.594737	0.846	0.799831	0.003	0.036	0.809	0.848
GesturePhaseSegmentationProcessed	0.603544	2.985	0.799959	0.003	0.162	2.823	2.988
HR_Analytics_Job_Change_of_Data_Scientists	0.852811	1.810	0.797432	0.003	0.059	1.750	1.813
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.408	0.800000	0.008	0.051	0.357	0.416
INNHotelsGroup	0.862715	15.788	0.800000	0.004	0.299	15.488	15.792
Indian_pines	0.912521	11.475	0.799978	0.008	0.995	10.480	11.484
JapaneseVowels	0.993477	2.191	0.799920	0.003	0.083	2.109	2.195
KDDCup09_upselling	0.779727	1.805	0.799922	0.003	0.140	1.664	1.808
MIC	0.909091	1.073	0.799879	0.003	0.158	0.915	1.076
MagicTelescope	0.876709	4.833	0.800000	0.003	0.110	4.723	4.836
Marketing_Campaign	0.890625	0.508	0.800000	0.003	0.051	0.457	0.511
Mobile_Price_Classification	0.977500	0.412	0.800000	0.002	0.040	0.373	0.415
National_Health_and_Nutrition_Health_Survey	0.833333	0.295	0.799824	0.003	0.019	0.277	0.298
PhishingWebsites	0.964722	3.203	0.800000	0.003	0.147	3.057	3.207
PieChart3	0.875000	0.356	0.799443	0.002	0.057	0.299	0.358
Pima_Indians_Diabetes_Database	0.766234	0.138	0.799479	0.003	0.014	0.125	0.141
PizzaCutter3	0.880383	0.348	0.799617	0.002	0.054	0.294	0.351
Pumpkin_Seeds	0.874000	0.401	0.800000	0.002	0.027	0.374	0.403
QSAR_biodegradation	0.886256	0.375	0.799810	0.003	0.062	0.314	0.378
