dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
kdd_ipums_la_97-small	0.870906	1.108	0.799923	0.003	0.061	1.046	1.111
kr-vs-k	0.614576	27.214	0.799971	0.003	0.128	27.087	27.218
kropt	0.619031	25.774	0.799971	0.003	0.117	25.657	25.777
led24	0.731250	0.716	0.800000	0.002	0.054	0.662	0.718
led7	0.740625	0.446	0.800000	0.002	0.019	0.428	0.449
letter	0.972500	17.989	0.800000	0.003	0.176	17.813	17.992
mammography	0.990165	1.528	0.799964	0.003	0.043	1.485	1.531
maternal_health_risk	0.837438	0.166	0.799803	0.002	0.012	0.154	0.168
mfeat-factors	0.977500	2.582	0.800000	0.004	0.440	2.142	2.586
mfeat-fourier	0.877500	0.991	0.800000	0.004	0.135	0.856	0.995
mfeat-karhunen	0.972500	0.868	0.800000	0.003	0.112	0.756	0.871
mfeat-morphological	0.762500	0.268	0.800000	0.002	0.015	0.252	0.270
mfeat-pixel	0.962500	2.806	0.800000	0.003	0.413	2.394	2.810
mfeat-zernike	0.815000	0.698	0.800000	0.002	0.093	0.605	0.700
mice_protein_expression	1.000000	0.583	0.800000	0.002	0.107	0.475	0.585
microaggregation2	0.622250	6.286	0.800000	0.004	0.203	6.083	6.290
mobile_c36_oversampling	0.976140	20.283	0.800000	0.003	0.197	20.085	20.286
mozilla4	0.929881	1.615	0.800000	0.003	0.045	1.570	1.618
naticusdroid+android+permissions+dataset	0.968468	20.120	0.799980	0.009	0.803	19.318	20.129
national-longitudinal-survey-binary	0.993890	0.951	0.799918	0.003	0.051	0.900	0.954
okcupid_stem	0.733696	9.099	0.799977	0.004	0.192	8.907	9.103
one-hundred-plants-margin	0.846875	4.408	0.800000	0.003	0.114	4.294	4.411
one-hundred-plants-shape	0.762500	4.375	0.800000	0.002	0.113	4.262	4.378
one-hundred-plants-texture	0.887500	4.085	0.799875	0.003	0.108	3.977	4.087
optdigits	0.991993	2.344	0.800000	0.003	0.184	2.160	2.347
ozone-level-8hr	0.952663	1.168	0.799921	0.003	0.134	1.034	1.171
page-blocks	0.975342	0.904	0.799927	0.003	0.035	0.868	0.907
pendigits	0.995452	2.483	0.799945	0.003	0.105	2.378	2.486
phoneme	0.887142	0.527	0.799963	0.002	0.022	0.505	0.529
pol	0.975706	2.763	0.799940	0.003	0.118	2.645	2.766
predict_students_dropout_and_academic_success	0.774011	1.223	0.799955	0.003	0.083	1.140	1.227
qsar	0.914692	0.369	0.800000	0.002	0.060	0.309	0.372
rice_cammeo_and_osmancik	0.931759	0.524	0.800000	0.002	0.021	0.503	0.527
ringnorm	0.979730	1.683	0.800000	0.002	0.085	1.598	1.685
satimage	0.919129	1.898	0.800000	0.004	0.129	1.769	1.902
segment	0.930736	0.430	0.800000	0.003	0.034	0.395	0.433
seismic+bumps	0.932302	0.478	0.799923	0.003	0.033	0.445	0.481
shuttle	0.999310	35.052	0.800000	0.005	0.339	34.713	35.057
spambase	0.947883	1.755	0.799826	0.003	0.134	1.621	1.757
splice	0.884013	1.312	0.800000	0.003	0.139	1.173	1.315
sports_articles_for_objectivity_analysis	0.855000	0.448	0.800000	0.003	0.089	0.359	0.450
statlog	0.735000	0.229	0.800000	0.002	0.030	0.199	0.231
steel_plates_faults	0.784062	0.474	0.799588	0.002	0.049	0.425	0.477
sylvine	0.941463	1.097	0.799961	0.003	0.064	1.033	1.100
taiwanese_bankruptcy_prediction	0.969208	3.970	0.799971	0.004	0.336	3.634	3.973
telco-customer-churn	0.801987	1.542	0.799943	0.003	0.074	1.468	1.545
texture	0.999091	5.802	0.800000	0.003	0.128	5.675	5.806
thyroid	0.986111	1.641	0.800000	0.003	0.067	1.574	1.643
thyroid-ann	0.988079	0.813	0.799841	0.003	0.046	0.767	0.816
thyroid-dis	0.687500	0.652	0.800000	0.003	0.050	0.602	0.654
turiye_student_evaluation	0.496564	1.582	0.800000	0.003	0.103	1.479	1.585
twonorm	0.978378	1.693	0.800000	0.003	0.086	1.607	1.696
vehicle	0.864706	0.205	0.799054	0.002	0.027	0.178	0.207
wall-robot-navigation	0.967033	1.276	0.799853	0.002	0.078	1.198	1.278
water_quality	0.902500	1.683	0.799900	0.003	0.063	1.621	1.686
waveform-5000	0.866000	1.552	0.800000	0.003	0.119	1.433	1.556
waveform_database_generator_version_1	0.864000	1.109	0.800000	0.003	0.065	1.044	1.112
website_phishing	0.915129	0.218	0.799704	0.002	0.017	0.201	0.220
wine-quality-red	0.571875	0.219	0.799875	0.002	0.010	0.209	0.221
wine-quality-white	0.622449	0.813	0.799918	0.002	0.036	0.777	0.816
yeast	0.616162	0.225	0.799865	0.002	0.016	0.209	0.227
