dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.416988	2.527	0.799845	0.003	0.218	2.309	2.530
Amazon_employee_access	0.942173	10.187	0.799994	0.004	0.138	10.048	10.190
BLE_RSSI_dataset_for_Indoor_localization	0.733100	1.016	0.799980	0.002	0.034	0.983	1.019
BNG(breast-w)	0.986665	16.761	0.799980	0.004	0.235	16.526	16.766
BNG(cmc)	0.579114	31.877	0.799986	0.005	0.309	31.568	31.882
BNG(tic-tac-toe)	0.793752	16.554	0.799980	0.004	0.240	16.315	16.559
Bank_Customer_Churn_Dataset	0.871000	2.028	0.800000	0.003	0.087	1.941	2.031
Basketball_c	0.712687	0.247	0.800000	0.002	0.033	0.214	0.249
Cardiovascular-Disease-dataset	0.730429	50.696	0.800000	0.006	0.393	50.303	50.702
Click_prediction_small	0.831539	5.956	0.799990	0.003	0.075	5.881	5.958
Credit_c	0.704963	42.681	0.801311	0.006	0.849	41.832	42.687
Customer_Personality_Analysis	0.890625	0.493	0.800000	0.003	0.047	0.446	0.495
Diabetic_Retinopathy_Debrecen	0.757576	0.265	0.799305	0.002	0.031	0.234	0.267
E-CommereShippingData	0.673636	2.110	0.799982	0.003	0.062	2.048	2.114
Employee	0.860365	0.707	0.799914	0.003	0.025	0.682	0.710
FICO-HELOC-cleaned	0.738228	2.548	0.799919	0.004	0.130	2.418	2.552
Firm-Teacher_Clave-Direction_Classification	0.760185	2.401	0.800000	0.003	0.098	2.303	2.404
Fitness_Club_c	0.808725	0.188	0.799596	0.002	0.014	0.174	0.190
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.662500	0.336	0.800000	0.003	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.690625	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.594737	0.843	0.799831	0.002	0.035	0.808	0.846
GesturePhaseSegmentationProcessed	0.652152	2.966	0.799959	0.003	0.167	2.799	2.969
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.813	0.797432	0.003	0.058	1.754	1.816
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.409	0.800000	0.009	0.051	0.358	0.418
INNHotelsGroup	0.871261	15.849	0.800000	0.004	0.298	15.551	15.853
Indian_pines	0.920722	11.447	0.799978	0.007	0.951	10.496	11.454
JapaneseVowels	0.994481	2.166	0.799920	0.003	0.082	2.084	2.169
KDDCup09_upselling	0.787524	1.797	0.799922	0.004	0.143	1.653	1.800
MIC	0.906061	1.073	0.799879	0.003	0.161	0.911	1.076
MagicTelescope	0.878023	4.753	0.800000	0.003	0.109	4.643	4.756
Marketing_Campaign	0.892857	0.504	0.800000	0.003	0.048	0.457	0.507
Mobile_Price_Classification	0.970000	0.412	0.800000	0.002	0.038	0.374	0.414
National_Health_and_Nutrition_Health_Survey	0.833333	0.293	0.799824	0.003	0.019	0.275	0.296
PhishingWebsites	0.967436	3.194	0.800000	0.003	0.150	3.045	3.198
PieChart3	0.884259	0.357	0.799443	0.003	0.056	0.300	0.360
Pima_Indians_Diabetes_Database	0.759740	0.142	0.799479	0.003	0.014	0.128	0.145
PizzaCutter3	0.880383	0.351	0.799617	0.003	0.054	0.298	0.354
Pumpkin_Seeds	0.882000	0.400	0.800000	0.002	0.026	0.374	0.402
QSAR_biodegradation	0.872038	0.377	0.799810	0.003	0.061	0.316	0.379
SDSS17	0.971750	97.327	0.800000	0.006	0.675	96.652	97.333
Satellite	0.993137	1.477	0.800000	0.003	0.104	1.373	1.480
Telecom_Churn_Dataset	0.950525	0.658	0.799880	0.003	0.041	0.617	0.661
UJI_Pen_Characters	0.487179	2.701	0.799853	0.003	0.122	2.579	2.703
Water_Quality_and_Potability	0.646341	0.492	0.799756	0.003	0.022	0.469	0.494
Wilt	0.991710	0.479	0.799834	0.003	0.019	0.460	0.481
abalone	0.639952	0.638	0.799856	0.002	0.026	0.612	0.640
ada	0.850602	1.391	0.799855	0.003	0.102	1.289	1.394
ada_agnostic	0.832421	1.528	0.799868	0.004	0.106	1.423	1.532
ada_prior	0.833520	0.826	0.799955	0.003	0.039	0.787	0.828
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.592500	0.261	0.800000	0.002	0.017	0.243	0.263
allbp	0.974834	0.923	0.799841	0.003	0.058	0.865	0.926
allrep	0.976159	0.921	0.799841	0.003	0.059	0.862	0.924
analcatdata_authorship	0.988166	0.455	0.799049	0.002	0.094	0.361	0.457
artificial-characters	0.703033	1.902	0.799961	0.003	0.046	1.856	1.905
autoUniv-au4-2500	0.486000	1.528	0.800000	0.005	0.189	1.340	1.533
autoUniv-au7-1100	0.386364	0.206	0.800000	0.003	0.020	0.186	0.209
bank	0.900254	23.637	0.799982	0.005	0.378	23.259	23.641
banknote_authentication	0.545455	0.098	0.799563	0.002	0.010	0.088	0.100
