dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.428571	2.368	0.799845	0.003	0.204	2.164	2.371
Amazon_employee_access	0.942173	10.269	0.799994	0.003	0.149	10.119	10.272
BLE_RSSI_dataset_for_Indoor_localization	0.732098	1.010	0.799980	0.002	0.032	0.979	1.013
BNG(breast-w)	0.986411	16.403	0.799980	0.004	0.239	16.163	16.407
BNG(cmc)	0.570705	31.207	0.799986	0.005	0.305	30.902	31.212
BNG(tic-tac-toe)	0.787148	16.870	0.799980	0.004	0.235	16.635	16.874
Bank_Customer_Churn_Dataset	0.870500	1.985	0.800000	0.003	0.068	1.916	1.988
Basketball_c	0.697761	0.252	0.800000	0.002	0.041	0.211	0.255
Cardiovascular-Disease-dataset	0.729429	50.856	0.800000	0.005	0.424	50.433	50.862
Click_prediction_small	0.832040	5.896	0.799990	0.003	0.074	5.822	5.899
Credit_c	0.707444	41.815	0.801311	0.007	0.788	41.027	41.822
Customer_Personality_Analysis	0.888393	0.490	0.800000	0.002	0.045	0.445	0.492
Diabetic_Retinopathy_Debrecen	0.761905	0.261	0.799305	0.002	0.029	0.232	0.263
E-CommereShippingData	0.670909	2.129	0.799982	0.002	0.061	2.068	2.131
Employee	0.846402	0.702	0.799914	0.003	0.024	0.678	0.704
FICO-HELOC-cleaned	0.743291	2.553	0.799919	0.003	0.124	2.429	2.555
Firm-Teacher_Clave-Direction_Classification	0.768056	2.384	0.800000	0.003	0.099	2.285	2.387
Fitness_Club_c	0.808725	0.184	0.799596	0.002	0.013	0.171	0.186
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.662500	0.332	0.800000	0.003	0.034	0.298	0.335
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.671875	0.334	0.800000	0.003	0.036	0.298	0.337
Gender_Gap_in_Spanish_WP	0.593684	0.844	0.799831	0.003	0.036	0.808	0.847
GesturePhaseSegmentationProcessed	0.660759	2.976	0.799959	0.003	0.171	2.805	2.979
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.807	0.797432	0.003	0.061	1.746	1.810
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.411	0.800000	0.003	0.051	0.360	0.414
INNHotelsGroup	0.869607	15.902	0.800000	0.004	0.301	15.601	15.906
Indian_pines	0.926736	11.295	0.799978	0.007	0.986	10.309	11.303
JapaneseVowels	0.995484	2.177	0.799920	0.003	0.082	2.095	2.180
KDDCup09_upselling	0.784600	1.796	0.799922	0.003	0.141	1.654	1.799
MIC	0.906061	1.064	0.799879	0.004	0.157	0.908	1.068
MagicTelescope	0.875920	4.716	0.800000	0.010	0.112	4.604	4.727
Marketing_Campaign	0.888393	0.504	0.800000	0.003	0.048	0.456	0.507
Mobile_Price_Classification	0.970000	0.412	0.800000	0.002	0.038	0.374	0.414
National_Health_and_Nutrition_Health_Survey	0.828947	0.290	0.799824	0.002	0.018	0.272	0.292
PhishingWebsites	0.966983	3.185	0.800000	0.003	0.150	3.035	3.188
PieChart3	0.875000	0.353	0.799443	0.002	0.055	0.298	0.355
Pima_Indians_Diabetes_Database	0.772727	0.140	0.799479	0.003	0.013	0.127	0.143
PizzaCutter3	0.870813	0.346	0.799617	0.002	0.052	0.294	0.349
Pumpkin_Seeds	0.876000	0.398	0.800000	0.002	0.025	0.373	0.400
QSAR_biodegradation	0.881517	0.373	0.799810	0.002	0.059	0.314	0.376
SDSS17	0.972350	100.304	0.800000	0.005	0.669	99.635	100.309
Satellite	0.993137	1.474	0.800000	0.003	0.106	1.367	1.477
Telecom_Churn_Dataset	0.953523	0.650	0.799880	0.002	0.041	0.609	0.652
UJI_Pen_Characters	0.487179	2.552	0.799853	0.002	0.119	2.433	2.555
Water_Quality_and_Potability	0.643293	0.490	0.799756	0.002	0.023	0.467	0.492
Wilt	0.991710	0.475	0.799834	0.002	0.018	0.456	0.477
abalone	0.643541	0.642	0.799856	0.002	0.026	0.615	0.644
ada	0.855422	1.372	0.799855	0.002	0.101	1.272	1.375
ada_agnostic	0.837897	1.537	0.799868	0.003	0.106	1.430	1.540
ada_prior	0.831285	0.818	0.799955	0.002	0.039	0.779	0.820
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.602500	0.255	0.800000	0.002	0.016	0.239	0.257
allbp	0.976159	0.912	0.799841	0.002	0.059	0.854	0.915
allrep	0.973510	0.911	0.799841	0.003	0.058	0.853	0.914
analcatdata_authorship	0.988166	0.458	0.799049	0.003	0.095	0.363	0.461
artificial-characters	0.695695	1.895	0.799961	0.003	0.047	1.848	1.898
autoUniv-au4-2500	0.488000	1.522	0.800000	0.003	0.190	1.332	1.525
autoUniv-au7-1100	0.368182	0.199	0.800000	0.002	0.019	0.179	0.201
bank	0.901028	22.901	0.799982	0.004	0.380	22.521	22.905
banknote_authentication	0.549091	0.101	0.799563	0.002	0.010	0.091	0.103
baseball	0.944030	0.271	0.800000	0.002	0.028	0.243	0.273
car-evaluation	0.817919	0.371	0.799769	0.003	0.036	0.335	0.374
churn	0.934000	1.082	0.800000	0.003	0.061	1.020	1.084
cmc	0.579661	0.237	0.799728	0.002	0.018	0.219	0.239
company_bankruptcy_prediction	0.970674	3.961	0.799971	0.004	0.322	3.638	3.965
contraceptive_method_choice	0.616949	0.231	0.799728	0.002	0.017	0.215	0.234
credit	0.778343	3.967	0.799988	0.003	0.095	3.872	3.970
default_of_credit_card_clients	0.824167	12.177	0.800000	0.004	0.381	11.796	12.181
delta_ailerons	0.947405	0.761	0.799972	0.003	0.025	0.736	0.764
dis	0.986755	0.925	0.799841	0.002	0.059	0.865	0.927
dna	0.938871	3.259	0.799749	0.004	0.357	2.903	3.264
drug_consumption	0.403183	0.306	0.799894	0.002	0.023	0.284	0.309
dry_bean_dataset	0.929490	3.324	0.799941	0.003	0.123	3.201	3.327
eeg-eye-state	0.959279	3.695	0.800000	0.003	0.120	3.575	3.698
electricity	0.828534	21.581	0.799987	0.004	0.252	21.329	21.585
estimation_of_obesity_levels	0.983452	0.393	0.799621	0.002	0.029	0.364	0.395
eye_movements	0.584095	3.022	0.799927	0.003	0.171	2.851	3.025
eye_movements_bin	0.601183	1.759	0.799947	0.003	0.092	1.667	1.762
first-order-theorem-proving	0.611111	2.225	0.799935	0.004	0.164	2.061	2.228
gas-drift	0.995327	11.208	0.800000	0.007	1.033	10.175	11.214
gina_agnostic	0.789625	23.295	0.799885	0.011	2.273	21.022	23.306
golf_play_dataset_extended	0.926941	0.193	0.800000	0.002	0.015	0.177	0.195
heloc	0.716500	2.537	0.800000	0.003	0.116	2.421	2.540
house_16H	0.884729	3.267	0.799970	0.003	0.119	3.148	3.270
htru	0.978771	4.289	0.799978	0.003	0.080	4.209	4.292
ibm-employee-performance	1.000000	0.407	0.800000	0.003	0.051	0.356	0.410
in_vehicle_coupon_recommendation	0.674283	3.035	0.800729	0.004	0.132	2.904	3.039
internet_firewall	0.918059	42.573	0.799991	0.004	0.169	42.404	42.577
jm1	0.815342	2.684	0.800000	0.003	0.116	2.568	2.687
jungle_chess_2pcs_raw_endgame_complete	0.845493	20.569	0.799996	0.004	0.186	20.384	20.574
kdd_ipums_la_97-small	0.866089	1.109	0.799923	0.003	0.063	1.046	1.112
kr-vs-k	0.607270	27.671	0.799971	0.003	0.138	27.534	27.675
kropt	0.614220	27.137	0.799971	0.003	0.115	27.022	27.140
led24	0.739062	0.715	0.800000	0.002	0.055	0.660	0.717
led7	0.739062	0.445	0.800000	0.002	0.019	0.426	0.448
letter	0.972250	17.384	0.800000	0.003	0.178	17.205	17.387
mammography	0.989271	1.536	0.799964	0.002	0.041	1.494	1.538
maternal_health_risk	0.827586	0.165	0.799803	0.002	0.011	0.154	0.168
mfeat-factors	0.967500	2.507	0.800000	0.003	0.361	2.146	2.510
mfeat-fourier	0.872500	0.987	0.800000	0.003	0.131	0.855	0.990
mfeat-karhunen	0.970000	0.864	0.800000	0.003	0.109	0.756	0.868
mfeat-morphological	0.757500	0.268	0.800000	0.002	0.015	0.253	0.270
mfeat-pixel	0.967500	2.803	0.800000	0.003	0.404	2.399	2.806
mfeat-zernike	0.810000	0.693	0.800000	0.002	0.088	0.604	0.695
mice_protein_expression	1.000000	0.578	0.800000	0.003	0.104	0.474	0.581
microaggregation2	0.622500	6.219	0.800000	0.004	0.183	6.036	6.222
mobile_c36_oversampling	0.975947	20.535	0.800000	0.003	0.197	20.338	20.538
mozilla4	0.930524	1.564	0.800000	0.003	0.045	1.519	1.567
naticusdroid+android+permissions+dataset	0.968809	20.138	0.799980	0.009	0.808	19.330	20.147
national-longitudinal-survey-binary	0.996945	0.940	0.799918	0.003	0.048	0.892	0.942
okcupid_stem	0.733883	8.835	0.799977	0.003	0.177	8.658	8.839
one-hundred-plants-margin	0.834375	4.364	0.800000	0.003	0.112	4.252	4.367
one-hundred-plants-shape	0.753125	4.361	0.800000	0.002	0.111	4.250	4.363
one-hundred-plants-texture	0.887500	4.243	0.799875	0.003	0.107	4.136	4.246
optdigits	0.989324	2.361	0.800000	0.004	0.198	2.164	2.365
ozone-level-8hr	0.952663	1.169	0.799921	0.003	0.131	1.038	1.172
page-blocks	0.975342	0.902	0.799927	0.002	0.035	0.866	0.904
pendigits	0.995907	2.506	0.799945	0.004	0.111	2.395	2.509
phoneme	0.880666	0.521	0.799963	0.003	0.022	0.499	0.524
pol	0.975211	2.737	0.799940	0.003	0.107	2.630	2.740
predict_students_dropout_and_academic_success	0.778531	1.217	0.799955	0.002	0.084	1.133	1.219
qsar	0.900474	0.367	0.800000	0.002	0.058	0.310	0.370
rice_cammeo_and_osmancik	0.931759	0.524	0.800000	0.002	0.021	0.503	0.526
ringnorm	0.980405	1.676	0.800000	0.003	0.083	1.592	1.678
satimage	0.920684	1.893	0.800000	0.003	0.133	1.761	1.896
segment	0.932900	0.433	0.800000	0.002	0.036	0.398	0.436
seismic+bumps	0.934236	0.482	0.799923	0.002	0.035	0.447	0.484
shuttle	0.999483	34.989	0.800000	0.005	0.337	34.652	34.994
spambase	0.951140	1.756	0.799826	0.003	0.132	1.625	1.760
splice	0.874608	1.304	0.800000	0.003	0.134	1.170	1.306
sports_articles_for_objectivity_analysis	0.845000	0.444	0.800000	0.002	0.087	0.358	0.447
statlog	0.730000	0.230	0.800000	0.002	0.029	0.200	0.232
steel_plates_faults	0.784062	0.471	0.799588	0.002	0.048	0.423	0.473
sylvine	0.939512	1.094	0.799961	0.002	0.065	1.029	1.096
taiwanese_bankruptcy_prediction	0.970674	3.951	0.799971	0.004	0.319	3.632	3.955
telco-customer-churn	0.801278	1.544	0.799943	0.003	0.074	1.470	1.547
texture	1.000000	5.790	0.800000	0.003	0.127	5.662	5.793
thyroid	0.988194	1.635	0.800000	0.003	0.068	1.568	1.638
thyroid-ann	0.986755	0.813	0.799841	0.002	0.045	0.769	0.816
thyroid-dis	0.691071	0.652	0.800000	0.003	0.049	0.603	0.655
turiye_student_evaluation	0.495704	1.579	0.800000	0.003	0.105	1.474	1.582
twonorm	0.979054	1.693	0.800000	0.003	0.086	1.607	1.697
vehicle	0.864706	0.206	0.799054	0.003	0.027	0.179	0.209
wall-robot-navigation	0.969780	1.274	0.799853	0.003	0.077	1.197	1.277
water_quality	0.902500	1.698	0.799900	0.003	0.064	1.634	1.701
waveform-5000	0.867000	1.548	0.800000	0.003	0.120	1.427	1.551
waveform_database_generator_version_1	0.867000	1.111	0.800000	0.003	0.064	1.047	1.114
website_phishing	0.907749	0.220	0.799704	0.002	0.017	0.203	0.222
wine-quality-red	0.575000	0.218	0.799875	0.002	0.010	0.208	0.220
wine-quality-white	0.628571	0.819	0.799918	0.002	0.036	0.782	0.821
yeast	0.612795	0.226	0.799865	0.002	0.016	0.210	0.228
