dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.420849	2.520	0.799845	0.003	0.209	2.311	2.523
Amazon_employee_access	0.942173	10.181	0.799994	0.004	0.140	10.040	10.185
BLE_RSSI_dataset_for_Indoor_localization	0.732599	1.029	0.799980	0.002	0.043	0.985	1.031
BNG(breast-w)	0.985776	16.741	0.799980	0.004	0.235	16.506	16.745
BNG(cmc)	0.569168	31.233	0.799986	0.005	0.307	30.927	31.238
BNG(tic-tac-toe)	0.783846	16.854	0.799980	0.005	0.239	16.616	16.859
Bank_Customer_Churn_Dataset	0.865500	1.997	0.800000	0.003	0.079	1.918	2.000
Basketball_c	0.708955	0.260	0.800000	0.002	0.046	0.215	0.262
Cardiovascular-Disease-dataset	0.730000	49.429	0.800000	0.005	0.397	49.032	49.435
Click_prediction_small	0.831539	6.084	0.799990	0.003	0.080	6.004	6.087
Credit_c	0.705045	41.435	0.801311	0.006	0.792	40.643	41.442
Customer_Personality_Analysis	0.892857	0.494	0.800000	0.003	0.046	0.448	0.497
Diabetic_Retinopathy_Debrecen	0.774892	0.266	0.799305	0.003	0.030	0.235	0.268
E-CommereShippingData	0.668182	2.137	0.799982	0.003	0.064	2.073	2.140
Employee	0.849624	0.707	0.799914	0.003	0.025	0.681	0.709
FICO-HELOC-cleaned	0.737722	2.559	0.799919	0.003	0.126	2.433	2.563
Firm-Teacher_Clave-Direction_Classification	0.755556	2.430	0.800000	0.003	0.105	2.325	2.433
Fitness_Club_c	0.791946	0.188	0.799596	0.002	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.568750	0.337	0.800000	0.003	0.034	0.303	0.340
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.687500	0.337	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.589474	0.843	0.799831	0.003	0.036	0.807	0.845
GesturePhaseSegmentationProcessed	0.652658	2.998	0.799959	0.003	0.173	2.825	3.002
