dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.393822	6.089	0.799845
Amazon_employee_access	0.942173	13.278	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.737106	4.824	0.799980
BNG(breast-w)	0.983998	20.676	0.799980
BNG(cmc)	0.562929	35.339	0.799986
BNG(tic-tac-toe)	0.758065	20.499	0.799980
Bank_Customer_Churn_Dataset	0.853500	5.947	0.800000
Basketball_c	0.712687	4.089	0.800000
Cardiovascular-Disease-dataset	0.725643	49.955	0.800000
Click_prediction_small	0.831539	6.452	0.799990
Credit_c	0.677667	42.421	0.801311
Customer_Personality_Analysis	0.899554	1.007	0.800000
Diabetic_Retinopathy_Debrecen	0.692641	0.746	0.799305
E-CommereShippingData	0.657273	2.606	0.799982
Employee	0.848550	1.155	0.799914
FICO-HELOC-cleaned	0.733671	3.153	0.799919
Firm-Teacher_Clave-Direction_Classification	0.696759	2.710	0.800000
Fitness_Club_c	0.788591	0.460	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.521875	0.644	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.546875	0.683	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.163	0.799831
GesturePhaseSegmentationProcessed	0.514937	3.275	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	2.133	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.762	0.800000
INNHotelsGroup	0.843970	16.088	0.800000
Indian_pines	0.823401	11.870	0.799978
JapaneseVowels	0.974912	2.501	0.799920
KDDCup09_upselling	0.715400	2.134	0.799922
MIC	0.903030	1.373	0.799879
MagicTelescope	0.867245	5.113	0.800000
Marketing_Campaign	0.892857	0.793	0.800000
Mobile_Price_Classification	0.705000	0.718	0.800000
National_Health_and_Nutrition_Health_Survey	0.833333	0.573	0.799824
PhishingWebsites	0.952510	3.507	0.800000
PieChart3	0.875000	0.628	0.799443
Pima_Indians_Diabetes_Database	0.766234	0.461	0.799479
PizzaCutter3	0.880383	0.783	0.799616
Pumpkin_Seeds	0.866000	0.687	0.800000
QSAR_biodegradation	0.876777	0.659	0.799810
SDSS17	0.943600	98.798	0.800000
Satellite	0.992157	1.756	0.800000
Telecom_Churn_Dataset	0.904048	0.959	0.799880
UJI_Pen_Characters	0.413919	3.074	0.799853
Water_Quality_and_Potability	0.609756	0.808	0.799756
Wilt	0.983420	0.836	0.799834
abalone	0.630383	0.952	0.799856
ada	0.834940	1.654	0.799855
ada_agnostic	0.822563	1.800	0.799868
ada_prior	0.832402	1.099	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.587500	0.563	0.800000
allbp	0.972185	1.220	0.799841
allrep	0.969536	1.198	0.799841
analcatdata_authorship	0.970414	0.736	0.799049
artificial-characters	0.642368	2.176	0.799961
autoUniv-au4-2500	0.464000	1.804	0.800000
autoUniv-au7-1100	0.368182	0.465	0.800000
bank	0.888311	23.615	0.799982
banknote_authentication	0.552727	0.404	0.799563
baseball	0.940299	0.566	0.800000
car-evaluation	0.699422	0.660	0.799769
