dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.420849	4.216	0.799845
Amazon_employee_access	0.942173	11.749	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.735103	2.488	0.799980
BNG(breast-w)	0.985268	18.641	0.799980
BNG(cmc)	0.570615	33.100	0.799986
BNG(tic-tac-toe)	0.774321	18.372	0.799980
Bank_Customer_Churn_Dataset	0.856500	3.643	0.800000
Basketball_c	0.708955	1.708	0.800000
Cardiovascular-Disease-dataset	0.725571	49.939	0.800000
Click_prediction_small	0.831539	6.407	0.799990
Credit_c	0.698594	42.298	0.801311
Customer_Personality_Analysis	0.888393	0.964	0.800000
Diabetic_Retinopathy_Debrecen	0.753247	0.723	0.799305
E-CommereShippingData	0.662727	2.843	0.799982
Employee	0.849624	1.137	0.799914
FICO-HELOC-cleaned	0.741772	3.107	0.799919
Firm-Teacher_Clave-Direction_Classification	0.669444	2.757	0.800000
Fitness_Club_c	0.795302	0.450	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.518750	0.655	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.587500	0.786	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.153	0.799831
GesturePhaseSegmentationProcessed	0.578228	3.278	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.844542	2.142	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.718	0.800000
INNHotelsGroup	0.866437	16.246	0.800000
Indian_pines	0.868234	12.034	0.799978
JapaneseVowels	0.993979	2.515	0.799920
KDDCup09_upselling	0.751462	2.100	0.799922
MIC	0.903030	1.383	0.799879
MagicTelescope	0.872240	5.077	0.800000
Marketing_Campaign	0.890625	0.787	0.800000
Mobile_Price_Classification	0.897500	0.697	0.800000
National_Health_and_Nutrition_Health_Survey	0.831140	0.584	0.799824
PhishingWebsites	0.964270	3.532	0.800000
PieChart3	0.875000	0.638	0.799443
Pima_Indians_Diabetes_Database	0.740260	0.423	0.799479
PizzaCutter3	0.880383	1.016	0.799616
Pumpkin_Seeds	0.874000	0.668	0.800000
QSAR_biodegradation	0.876777	0.639	0.799810
SDSS17	0.969250	99.316	0.800000
Satellite	0.992157	1.770	0.800000
Telecom_Churn_Dataset	0.929535	0.971	0.799880
UJI_Pen_Characters	0.472527	3.108	0.799853
Water_Quality_and_Potability	0.625000	0.757	0.799756
Wilt	0.990674	0.774	0.799834
abalone	0.618421	0.943	0.799856
ada	0.842169	1.705	0.799855
ada_agnostic	0.828039	1.890	0.799868
ada_prior	0.841341	1.103	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.597500	0.526	0.800000
allbp	0.976159	1.274	0.799841
allrep	0.972185	1.190	0.799841
analcatdata_authorship	0.982249	0.723	0.799049
artificial-characters	0.683464	2.162	0.799961
autoUniv-au4-2500	0.494000	1.821	0.800000
autoUniv-au7-1100	0.368182	0.495	0.800000
bank	0.892956	23.961	0.799982
banknote_authentication	0.556364	0.362	0.799563
baseball	0.944030	0.536	0.800000
car-evaluation	0.699422	0.633	0.799769
churn	0.933000	1.344	0.800000
cmc	0.586441	0.517	0.799728
company_bankruptcy_prediction	0.969941	4.270	0.799971
contraceptive_method_choice	0.610169	0.648	0.799728
credit	0.777146	4.381	0.799988
default_of_credit_card_clients	0.823167	12.673	0.800000
delta_ailerons	0.946704	1.026	0.799972
dis	0.984106	1.180	0.799841
dna	0.899687	3.534	0.799749
drug_consumption	0.403183	0.577	0.799894
dry_bean_dataset	0.926184	3.686	0.799941
eeg-eye-state	0.948598	4.057	0.800000
electricity	0.809224	21.781	0.799987
estimation_of_obesity_levels	0.971631	1.126	0.799621
eye_movements	0.549360	3.442	0.799927
eye_movements_bin	0.586071	2.029	0.799947
first-order-theorem-proving	0.586601	2.594	0.799935
gas-drift	0.994608	11.517	0.800000
gina_agnostic	0.723343	23.060	0.799885
golf_play_dataset_extended	0.922374	0.475	0.800000
heloc	0.716500	2.843	0.800000
house_16H	0.878058	3.663	0.799970
htru	0.980447	4.598	0.799978
ibm-employee-performance	0.979592	0.789	0.800000
in_vehicle_coupon_recommendation	0.661404	3.315	0.800729
internet_firewall	0.774548	41.907	0.799991
jm1	0.814424	2.986	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.756136	21.336	0.799996
kdd_ipums_la_97-small	0.846821	1.394	0.799923
kr-vs-k	0.549893	28.027	0.799971
kropt	0.549359	29.827	0.799971
led24	0.714063	1.513	0.800000
led7	0.731250	0.717	0.800000
letter	0.953500	18.565	0.800000
mammography	0.989271	1.787	0.799964
maternal_health_risk	0.758621	0.465	0.799803
mfeat-factors	0.975000	2.822	0.800000
mfeat-fourier	0.882500	1.273	0.800000
mfeat-karhunen	0.962500	1.210	0.800000
mfeat-morphological	0.765000	0.555	0.800000
mfeat-pixel	0.952500	3.099	0.800000
mfeat-zernike	0.800000	0.972	0.800000
mice_protein_expression	1.000000	0.947	0.800000
microaggregation2	0.607750	6.541	0.800000
mobile_c36_oversampling	0.968315	20.607	0.800000
mozilla4	0.917337	1.873	0.800000
naticusdroid+android+permissions+dataset	0.950401	20.458	0.799980
national-longitudinal-survey-binary	0.988798	1.295	0.799919
okcupid_stem	0.730885	9.315	0.799978
one-hundred-plants-margin	0.775000	4.515	0.800000
one-hundred-plants-shape	0.728125	4.508	0.800000
one-hundred-plants-texture	0.853125	5.009	0.799875
optdigits	0.987544	2.656	0.800000
ozone-level-8hr	0.948718	1.466	0.799921
page-blocks	0.975342	1.193	0.799927
pendigits	0.995452	2.773	0.799945
phoneme	0.869565	0.829	0.799963
pol	0.973228	3.006	0.799940
predict_students_dropout_and_academic_success	0.762712	1.491	0.799955
qsar	0.890995	0.651	0.800000
rice_cammeo_and_osmancik	0.929134	0.825	0.800000
ringnorm	0.977027	1.963	0.800000
satimage	0.915241	2.167	0.800000
segment	0.935065	0.730	0.800000
seismic+bumps	0.934236	0.800	0.799923
shuttle	0.999569	34.214	0.800000
spambase	0.940282	2.019	0.799826
splice	0.904389	1.601	0.800000
sports_articles_for_objectivity_analysis	0.835000	0.738	0.800000
statlog	0.725000	0.496	0.800000
steel_plates_faults	0.786632	0.743	0.799588
sylvine	0.937561	1.375	0.799961
taiwanese_bankruptcy_prediction	0.969208	4.855	0.799971
telco-customer-churn	0.799858	1.807	0.799943
texture	0.998182	6.208	0.800000
thyroid	0.988889	1.989	0.800000
thyroid-ann	0.981457	1.103	0.799841
thyroid-dis	0.701786	0.932	0.800000
turiye_student_evaluation	0.497423	1.873	0.800000
twonorm	0.978378	2.000	0.800000
