dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.420849	6.551	0.799845
Amazon_employee_access	0.942173	14.248	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.735103	5.080	0.799980
BNG(breast-w)	0.984760	20.631	0.799980
BNG(cmc)	0.571700	35.513	0.799986
BNG(tic-tac-toe)	0.783846	20.864	0.799980
Bank_Customer_Churn_Dataset	0.864000	6.156	0.800000
Basketball_c	0.708955	4.219	0.800000
Cardiovascular-Disease-dataset	0.728214	49.731	0.800000
Click_prediction_small	0.831539	6.445	0.799990
Credit_c	0.706286	42.151	0.801311
Customer_Personality_Analysis	0.890625	0.922	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.753	0.799305
E-CommereShippingData	0.668636	2.619	0.799982
Employee	0.844253	1.150	0.799914
FICO-HELOC-cleaned	0.742785	3.109	0.799919
Firm-Teacher_Clave-Direction_Classification	0.727315	2.714	0.800000
Fitness_Club_c	0.791946	0.487	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.612500	0.636	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.662500	0.653	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.204	0.799831
GesturePhaseSegmentationProcessed	0.641013	3.309	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.848401	2.153	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.731	0.800000
INNHotelsGroup	0.868229	16.117	0.800000
Indian_pines	0.924549	11.871	0.799978
JapaneseVowels	0.993477	2.467	0.799920
KDDCup09_upselling	0.773879	2.087	0.799922
MIC	0.906061	1.399	0.799879
MagicTelescope	0.878286	5.090	0.800000
Marketing_Campaign	0.895089	0.775	0.800000
Mobile_Price_Classification	0.962500	0.722	0.800000
National_Health_and_Nutrition_Health_Survey	0.833333	0.563	0.799824
PhishingWebsites	0.971054	3.498	0.800000
PieChart3	0.875000	0.625	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.424	0.799479
PizzaCutter3	0.880383	0.656	0.799616
Pumpkin_Seeds	0.870000	0.681	0.800000
QSAR_biodegradation	0.876777	0.643	0.799810
SDSS17	0.972800	98.404	0.800000
Satellite	0.993137	1.794	0.800000
Telecom_Churn_Dataset	0.940030	0.936	0.799880
UJI_Pen_Characters	0.479853	2.781	0.799853
Water_Quality_and_Potability	0.632622	0.771	0.799756
Wilt	0.990674	0.756	0.799834
abalone	0.642344	0.974	0.799856
ada	0.846988	1.671	0.799855
ada_agnostic	0.826944	1.822	0.799868
ada_prior	0.834637	1.097	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.580000	0.524	0.800000
