dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.444015	2.598	0.799845	0.003	0.207	2.391	2.601
Amazon_employee_access	0.942173	10.264	0.799994	0.004	0.150	10.114	10.267
BLE_RSSI_dataset_for_Indoor_localization	0.735603	1.016	0.799980	0.002	0.040	0.975	1.018
BNG(breast-w)	0.984633	16.424	0.799980	0.004	0.236	16.187	16.428
BNG(cmc)	0.558861	31.236	0.799986	0.004	0.304	30.933	31.241
BNG(tic-tac-toe)	0.745745	16.766	0.799980	0.004	0.237	16.528	16.770
Bank_Customer_Churn_Dataset	0.854500	1.994	0.800000	0.002	0.069	1.925	1.996
Basketball_c	0.720149	0.246	0.800000	0.002	0.034	0.212	0.249
Cardiovascular-Disease-dataset	0.721357	50.613	0.800000	0.005	0.396	50.216	50.618
Click_prediction_small	0.831539	5.842	0.799990	0.002	0.075	5.767	5.844
Credit_c	0.679404	42.362	0.801311	0.006	0.788	41.574	42.368
Customer_Personality_Analysis	0.888393	0.493	0.800000	0.002	0.045	0.448	0.495
Diabetic_Retinopathy_Debrecen	0.709957	0.265	0.799305	0.002	0.030	0.235	0.267
E-CommereShippingData	0.655909	2.125	0.799982	0.003	0.062	2.063	2.127
Employee	0.839957	0.708	0.799914	0.002	0.025	0.683	0.710
FICO-HELOC-cleaned	0.745316	2.559	0.799919	0.004	0.127	2.432	2.563
Firm-Teacher_Clave-Direction_Classification	0.610648	2.373	0.800000	0.003	0.099	2.274	2.376
Fitness_Club_c	0.788591	0.188	0.799596	0.002	0.013	0.175	0.190
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.525000	0.336	0.800000	0.002	0.034	0.302	0.338
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.525000	0.334	0.800000	0.002	0.036	0.299	0.336
Gender_Gap_in_Spanish_WP	0.588421	0.843	0.799831	0.002	0.037	0.807	0.846
GesturePhaseSegmentationProcessed	0.497215	2.956	0.799959	0.003	0.164	2.792	2.959
HR_Analytics_Job_Change_of_Data_Scientists	0.839581	1.814	0.797432	0.003	0.061	1.752	1.817
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.411	0.800000	0.014	0.053	0.358	0.424
INNHotelsGroup	0.836664	16.013	0.800000	0.004	0.327	15.686	16.017
Indian_pines	0.776927	11.358	0.799978	0.008	0.993	10.365	11.366
JapaneseVowels	0.973909	2.156	0.799920	0.002	0.079	2.077	2.159
KDDCup09_upselling	0.756335	1.793	0.799922	0.003	0.142	1.651	1.796
MIC	0.890909	1.076	0.799879	0.003	0.160	0.916	1.079
MagicTelescope	0.869874	4.705	0.800000	0.003	0.111	4.595	4.708
Marketing_Campaign	0.886161	0.506	0.800000	0.003	0.048	0.458	0.509
Mobile_Price_Classification	0.807500	0.413	0.800000	0.002	0.038	0.375	0.415
National_Health_and_Nutrition_Health_Survey	0.837719	0.294	0.799824	0.002	0.018	0.275	0.296
PhishingWebsites	0.953867	3.196	0.800000	0.003	0.143	3.054	3.200
PieChart3	0.884259	0.358	0.799443	0.003	0.056	0.302	0.360
Pima_Indians_Diabetes_Database	0.733766	0.143	0.799479	0.002	0.013	0.130	0.145
PizzaCutter3	0.870813	0.350	0.799617	0.002	0.053	0.297	0.353
Pumpkin_Seeds	0.874000	0.399	0.800000	0.002	0.025	0.374	0.401
QSAR_biodegradation	0.886256	0.379	0.799810	0.003	0.060	0.319	0.382
SDSS17	0.952850	97.961	0.800000	0.005	0.671	97.290	97.967
Satellite	0.991176	1.478	0.800000	0.003	0.103	1.374	1.481
Telecom_Churn_Dataset	0.931034	0.651	0.799880	0.002	0.041	0.610	0.653
UJI_Pen_Characters	0.424908	2.559	0.799853	0.004	0.120	2.439	2.563
Water_Quality_and_Potability	0.638720	0.492	0.799756	0.002	0.022	0.470	0.495
Wilt	0.989637	0.480	0.799834	0.002	0.019	0.462	0.482
abalone	0.620813	0.644	0.799856	0.002	0.027	0.617	0.646
ada	0.842169	1.382	0.799855	0.003	0.102	1.280	1.384
ada_agnostic	0.825849	1.541	0.799868	0.003	0.108	1.433	1.544
ada_prior	0.830168	0.818	0.799955	0.002	0.039	0.779	0.820
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.585000	0.260	0.800000	0.002	0.017	0.243	0.262
allbp	0.970861	0.916	0.799841	0.002	0.058	0.858	0.919
allrep	0.969536	0.915	0.799841	0.003	0.060	0.856	0.918
analcatdata_authorship	0.976331	0.460	0.799049	0.003	0.095	0.365	0.463
artificial-characters	0.585616	1.908	0.799961	0.003	0.046	1.862	1.911
autoUniv-au4-2500	0.478000	1.528	0.800000	0.003	0.190	1.337	1.531
autoUniv-au7-1100	0.372727	0.201	0.800000	0.002	0.020	0.181	0.203
bank	0.890412	22.802	0.799982	0.004	0.377	22.424	22.806
banknote_authentication	0.549091	0.099	0.799563	0.002	0.010	0.089	0.101
baseball	0.947761	0.269	0.800000	0.002	0.028	0.241	0.272
car-evaluation	0.699422	0.371	0.799769	0.002	0.037	0.334	0.373
churn	0.925000	1.082	0.800000	0.003	0.065	1.016	1.085
cmc	0.579661	0.236	0.799728	0.002	0.017	0.219	0.238
company_bankruptcy_prediction	0.967742	3.962	0.799971	0.004	0.320	3.642	3.966
contraceptive_method_choice	0.589831	0.235	0.799728	0.003	0.017	0.218	0.238
credit	0.769668	3.995	0.799988	0.003	0.092	3.903	3.998
default_of_credit_card_clients	0.818833	12.422	0.800000	0.004	0.410	12.012	12.426
delta_ailerons	0.947405	0.763	0.799972	0.003	0.025	0.738	0.765
dis	0.984106	0.924	0.799841	0.003	0.060	0.864	0.927
dna	0.833856	3.279	0.799749	0.004	0.360	2.919	3.283
drug_consumption	0.397878	0.310	0.799894	0.002	0.023	0.287	0.312
dry_bean_dataset	0.915534	3.352	0.799941	0.003	0.122	3.230	3.355
eeg-eye-state	0.816756	3.684	0.800000	0.003	0.122	3.562	3.687
electricity	0.791239	21.999	0.799987	0.004	0.254	21.745	22.003
estimation_of_obesity_levels	0.898345	0.397	0.799621	0.002	0.030	0.368	0.399
eye_movements	0.536106	3.025	0.799927	0.003	0.161	2.864	3.028
eye_movements_bin	0.582786	1.756	0.799947	0.003	0.094	1.662	1.759
first-order-theorem-proving	0.521242	2.230	0.799935	0.003	0.168	2.062	2.233
gas-drift	0.939612	11.324	0.800000	0.007	1.066	10.258	11.331
gina_agnostic	0.684438	23.334	0.799885	0.011	2.295	21.039	23.345
golf_play_dataset_extended	0.917808	0.194	0.800000	0.002	0.016	0.178	0.196
heloc	0.722500	2.572	0.800000	0.003	0.124	2.448	2.575
house_16H	0.875463	3.327	0.799970	0.003	0.127	3.200	3.330
htru	0.979050	4.316	0.799978	0.003	0.081	4.235	4.319
ibm-employee-performance	0.986395	0.405	0.800000	0.002	0.053	0.353	0.408
in_vehicle_coupon_recommendation	0.651849	3.069	0.800729	0.003	0.138	2.931	3.072
internet_firewall	0.797131	42.794	0.799991	0.004	0.172	42.622	42.798
jm1	0.809830	2.666	0.800000	0.003	0.117	2.549	2.669
jungle_chess_2pcs_raw_endgame_complete	0.690317	21.293	0.799996	0.004	0.184	21.109	21.297
kdd_ipums_la_97-small	0.851638	1.115	0.799923	0.003	0.065	1.050	1.118
kr-vs-k	0.430150	27.371	0.799971	0.003	0.129	27.242	27.374
kropt	0.422666	27.548	0.799971	0.003	0.122	27.425	27.551
led24	0.706250	0.717	0.800000	0.002	0.056	0.662	0.720
led7	0.739062	0.447	0.800000	0.002	0.019	0.428	0.449
letter	0.881250	18.221	0.800000	0.003	0.179	18.042	18.225
mammography	0.986142	1.560	0.799964	0.002	0.043	1.518	1.563
maternal_health_risk	0.679803	0.166	0.799803	0.002	0.012	0.154	0.168
mfeat-factors	0.962500	2.671	0.800000	0.003	0.480	2.192	2.675
mfeat-fourier	0.850000	1.002	0.800000	0.004	0.132	0.870	1.006
mfeat-karhunen	0.947500	0.873	0.800000	0.003	0.110	0.763	0.876
