dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.420849	6.476	0.799845
Amazon_employee_access	0.942173	14.293	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.733600	5.101	0.799980
BNG(breast-w)	0.985649	20.892	0.799980
BNG(cmc)	0.573146	35.520	0.799986
BNG(tic-tac-toe)	0.784608	20.750	0.799980
Bank_Customer_Churn_Dataset	0.864000	5.969	0.800000
Basketball_c	0.690299	4.282	0.800000
Cardiovascular-Disease-dataset	0.728857	49.573	0.800000
Click_prediction_small	0.831539	6.436	0.799990
Credit_c	0.704549	42.080	0.801311
Customer_Personality_Analysis	0.899554	0.980	0.800000
Diabetic_Retinopathy_Debrecen	0.740260	0.696	0.799305
E-CommereShippingData	0.671364	2.636	0.799982
Employee	0.847476	1.135	0.799914
FICO-HELOC-cleaned	0.739747	3.102	0.799919
Firm-Teacher_Clave-Direction_Classification	0.764815	2.728	0.800000
Fitness_Club_c	0.788591	0.498	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.606250	0.634	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.668750	0.656	0.800000
Gender_Gap_in_Spanish_WP	0.595789	1.135	0.799831
GesturePhaseSegmentationProcessed	0.638481	3.317	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.852260	2.111	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.706	0.800000
INNHotelsGroup	0.865610	16.039	0.800000
Indian_pines	0.928376	12.022	0.799978
JapaneseVowels	0.993477	2.483	0.799920
KDDCup09_upselling	0.774854	2.116	0.799922
MIC	0.903030	1.371	0.799879
MagicTelescope	0.875920	5.134	0.800000
Marketing_Campaign	0.897321	0.773	0.800000
Mobile_Price_Classification	0.977500	0.691	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.571	0.799824
PhishingWebsites	0.967436	3.494	0.800000
PieChart3	0.879630	0.659	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.431	0.799479
PizzaCutter3	0.880383	0.646	0.799616
Pumpkin_Seeds	0.876000	0.720	0.800000
QSAR_biodegradation	0.881517	0.635	0.799810
SDSS17	0.971900	97.848	0.800000
Satellite	0.993137	1.770	0.800000
Telecom_Churn_Dataset	0.944528	0.944	0.799880
UJI_Pen_Characters	0.468864	3.009	0.799853
Water_Quality_and_Potability	0.640244	0.766	0.799756
Wilt	0.990674	0.755	0.799834
abalone	0.629187	0.931	0.799856
ada	0.846988	1.686	0.799855
ada_agnostic	0.830230	1.836	0.799868
ada_prior	0.833520	1.105	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.585000	0.538	0.800000
allbp	0.976159	1.251	0.799841
allrep	0.974834	1.210	0.799841
analcatdata_authorship	0.982249	0.721	0.799049
artificial-characters	0.690313	2.180	0.799961
autoUniv-au4-2500	0.482000	1.958	0.800000
autoUniv-au7-1100	0.350000	0.495	0.800000
bank	0.898596	23.455	0.799982
banknote_authentication	0.545455	0.365	0.799563
baseball	0.947761	0.566	0.800000
car-evaluation	0.812139	0.638	0.799769
churn	0.937000	1.340	0.800000
cmc	0.569492	0.503	0.799728
company_bankruptcy_prediction	0.969941	4.262	0.799971
contraceptive_method_choice	0.613559	0.669	0.799728
credit	0.776847	4.476	0.799988
default_of_credit_card_clients	0.822167	12.666	0.800000
delta_ailerons	0.947405	1.019	0.799972
dis	0.984106	1.199	0.799841
dna	0.924765	3.528	0.799749
drug_consumption	0.403183	0.584	0.799894
dry_bean_dataset	0.928388	3.692	0.799941
eeg-eye-state	0.955274	3.968	0.800000
electricity	0.811210	21.843	0.799987
estimation_of_obesity_levels	0.981087	0.781	0.799621
eye_movements	0.584095	3.402	0.799927
eye_movements_bin	0.594612	2.026	0.799947
first-order-theorem-proving	0.611111	2.590	0.799935
gas-drift	0.994968	11.547	0.800000
gina_agnostic	0.768012	23.248	0.799885
golf_play_dataset_extended	0.917808	0.463	0.800000
heloc	0.717000	2.852	0.800000
house_16H	0.882876	3.629	0.799970
htru	0.979050	4.552	0.799978
ibm-employee-performance	1.000000	0.774	0.800000
in_vehicle_coupon_recommendation	0.673037	3.320	0.800729
internet_firewall	0.801556	42.111	0.799991
jm1	0.814424	2.990	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.845605	20.969	0.799996
kdd_ipums_la_97-small	0.864162	1.421	0.799923
kr-vs-k	0.606557	28.615	0.799971
kropt	0.606736	29.183	0.799971
led24	0.687500	1.011	0.800000
led7	0.735938	0.722	0.800000
letter	0.969500	20.104	0.800000
mammography	0.990165	1.813	0.799964
maternal_health_risk	0.768473	0.436	0.799803
mfeat-factors	0.972500	2.816	0.800000
mfeat-fourier	0.887500	1.265	0.800000
mfeat-karhunen	0.965000	1.208	0.800000
mfeat-morphological	0.767500	0.576	0.800000
mfeat-pixel	0.967500	3.065	0.800000
mfeat-zernike	0.812500	0.957	0.800000
mice_protein_expression	1.000000	0.950	0.800000
microaggregation2	0.617500	6.475	0.800000
mobile_c36_oversampling	0.968122	20.789	0.800000
mozilla4	0.925056	1.866	0.800000
naticusdroid+android+permissions+dataset	0.961479	20.435	0.799980
national-longitudinal-survey-binary	0.990835	1.233	0.799919
okcupid_stem	0.732009	9.341	0.799978
one-hundred-plants-margin	0.803125	4.758	0.800000
one-hundred-plants-shape	0.750000	4.627	0.800000
one-hundred-plants-texture	0.862500	4.781	0.799875
optdigits	0.992883	2.631	0.800000
ozone-level-8hr	0.950690	1.451	0.799921
page-blocks	0.974429	1.180	0.799927
pendigits	0.995452	2.790	0.799945
phoneme	0.876041	0.808	0.799963
