dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.416988	5.582	0.799845
Amazon_employee_access	0.942173	12.778	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734101	3.012	0.799980
BNG(breast-w)	0.985268	19.106	0.799980
BNG(cmc)	0.571971	34.491	0.799986
BNG(tic-tac-toe)	0.785624	19.676	0.799980
Bank_Customer_Churn_Dataset	0.863000	4.849	0.800000
Basketball_c	0.705224	3.206	0.800000
Cardiovascular-Disease-dataset	0.728357	49.619	0.800000
Click_prediction_small	0.831539	6.438	0.799990
Credit_c	0.706782	42.093	0.801311
Customer_Personality_Analysis	0.888393	0.921	0.800000
Diabetic_Retinopathy_Debrecen	0.740260	0.706	0.799305
E-CommereShippingData	0.667727	2.587	0.799982
Employee	0.845328	1.116	0.799914
FICO-HELOC-cleaned	0.741772	3.082	0.799919
Firm-Teacher_Clave-Direction_Classification	0.735648	2.695	0.800000
Fitness_Club_c	0.788591	0.470	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.596875	0.618	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.634375	0.632	0.800000
Gender_Gap_in_Spanish_WP	0.587368	1.146	0.799831
GesturePhaseSegmentationProcessed	0.642532	3.280	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.851709	2.104	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.710	0.800000
INNHotelsGroup	0.864094	16.065	0.800000
Indian_pines	0.923455	11.838	0.799978
JapaneseVowels	0.994481	2.484	0.799920
KDDCup09_upselling	0.783626	2.124	0.799922
MIC	0.884848	1.388	0.799879
MagicTelescope	0.876183	5.076	0.800000
Marketing_Campaign	0.897321	0.800	0.800000
Mobile_Price_Classification	0.957500	0.701	0.800000
National_Health_and_Nutrition_Health_Survey	0.833333	0.562	0.799824
PhishingWebsites	0.971054	3.507	0.800000
PieChart3	0.875000	0.619	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.443	0.799479
PizzaCutter3	0.880383	0.715	0.799616
Pumpkin_Seeds	0.882000	0.669	0.800000
QSAR_biodegradation	0.872038	0.649	0.799810
SDSS17	0.971500	98.027	0.800000
Satellite	0.992157	1.760	0.800000
Telecom_Churn_Dataset	0.947526	0.933	0.799880
UJI_Pen_Characters	0.487179	2.869	0.799853
Water_Quality_and_Potability	0.646341	0.811	0.799756
Wilt	0.988601	0.835	0.799834
abalone	0.636364	0.917	0.799856
ada	0.846988	1.729	0.799855
ada_agnostic	0.829135	1.807	0.799868
ada_prior	0.834637	1.083	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.582500	0.569	0.800000
allbp	0.976159	1.189	0.799841
allrep	0.976159	1.191	0.799841
analcatdata_authorship	0.994083	0.714	0.799049
artificial-characters	0.691292	2.172	0.799961
autoUniv-au4-2500	0.464000	1.788	0.800000
autoUniv-au7-1100	0.359091	0.531	0.800000
bank	0.898043	23.486	0.799982
banknote_authentication	0.545455	0.392	0.799563
baseball	0.951493	0.531	0.800000
car-evaluation	0.809249	0.635	0.799769
churn	0.939000	1.336	0.800000
cmc	0.586441	0.504	0.799728
company_bankruptcy_prediction	0.969941	4.229	0.799971
contraceptive_method_choice	0.606780	0.661	0.799728
credit	0.776847	4.402	0.799988
default_of_credit_card_clients	0.821833	12.659	0.800000
delta_ailerons	0.947405	1.017	0.799972
dis	0.986755	1.195	0.799841
dna	0.931034	3.549	0.799749
drug_consumption	0.403183	0.576	0.799894
dry_bean_dataset	0.927286	3.683	0.799941
eeg-eye-state	0.949266	3.970	0.800000
electricity	0.812093	21.909	0.799987
estimation_of_obesity_levels	0.983452	0.787	0.799621
eye_movements	0.575868	3.387	0.799927
