dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.420849	6.701	0.799845
Amazon_employee_access	0.942173	14.458	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.729594	5.440	0.799980
BNG(breast-w)	0.984760	21.281	0.799980
BNG(cmc)	0.569892	35.725	0.799986
BNG(tic-tac-toe)	0.781052	20.924	0.799980
Bank_Customer_Churn_Dataset	0.861500	6.296	0.800000
Basketball_c	0.705224	4.575	0.800000
Cardiovascular-Disease-dataset	0.729143	49.542	0.800000
Click_prediction_small	0.831539	6.430	0.799990
Credit_c	0.698842	42.021	0.801311
Customer_Personality_Analysis	0.895089	0.941	0.800000
Diabetic_Retinopathy_Debrecen	0.753247	0.711	0.799305
E-CommereShippingData	0.659091	2.634	0.799982
Employee	0.847476	1.154	0.799914
FICO-HELOC-cleaned	0.735696	3.109	0.799919
Firm-Teacher_Clave-Direction_Classification	0.665278	2.703	0.800000
Fitness_Club_c	0.785235	0.490	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.634375	0.657	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.681250	0.640	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.140	0.799831
GesturePhaseSegmentationProcessed	0.603038	3.320	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.851709	2.157	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.722	0.800000
INNHotelsGroup	0.862715	16.060	0.800000
Indian_pines	0.913614	11.833	0.799978
JapaneseVowels	0.992975	2.509	0.799920
KDDCup09_upselling	0.769006	2.084	0.799922
MIC	0.887879	1.405	0.799879
MagicTelescope	0.874606	5.088	0.800000
Marketing_Campaign	0.890625	0.820	0.800000
Mobile_Price_Classification	0.917500	0.702	0.800000
National_Health_and_Nutrition_Health_Survey	0.826754	0.570	0.799824
PhishingWebsites	0.960651	3.493	0.800000
PieChart3	0.875000	0.655	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.410	0.799479
PizzaCutter3	0.880383	0.649	0.799616
Pumpkin_Seeds	0.874000	0.689	0.800000
QSAR_biodegradation	0.881517	0.669	0.799810
SDSS17	0.971250	97.963	0.800000
Satellite	0.992157	1.761	0.800000
Telecom_Churn_Dataset	0.941529	0.945	0.799880
UJI_Pen_Characters	0.461538	2.993	0.799853
Water_Quality_and_Potability	0.626524	0.787	0.799756
Wilt	0.990674	0.789	0.799834
abalone	0.643541	0.945	0.799856
ada	0.845783	1.667	0.799855
ada_agnostic	0.832421	1.833	0.799868
ada_prior	0.837989	1.118	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.582500	0.530	0.800000
allbp	0.974834	1.217	0.799841
allrep	0.969536	1.211	0.799841
analcatdata_authorship	0.988166	0.733	0.799049
artificial-characters	0.680039	2.186	0.799961
autoUniv-au4-2500	0.470000	1.904	0.800000
autoUniv-au7-1100	0.359091	0.548	0.800000
bank	0.895278	23.503	0.799982
