dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.420849	2.489	0.799845	0.003	0.207	2.282	2.492
Amazon_employee_access	0.942173	10.374	0.799994	0.003	0.161	10.213	10.377
BLE_RSSI_dataset_for_Indoor_localization	0.734602	1.010	0.799980	0.002	0.031	0.979	1.013
BNG(breast-w)	0.986792	16.519	0.799980	0.004	0.235	16.284	16.523
BNG(cmc)	0.576944	31.664	0.799986	0.005	0.304	31.360	31.668
BNG(tic-tac-toe)	0.789307	16.776	0.799980	0.004	0.241	16.535	16.780
Bank_Customer_Churn_Dataset	0.869000	1.983	0.800000	0.003	0.082	1.901	1.985
Basketball_c	0.716418	0.251	0.800000	0.003	0.039	0.212	0.254
Cardiovascular-Disease-dataset	0.730786	49.876	0.800000	0.005	0.392	49.485	49.882
Click_prediction_small	0.831539	5.896	0.799990	0.003	0.074	5.822	5.899
Credit_c	0.704136	41.129	0.801311	0.006	0.793	40.336	41.135
Customer_Personality_Analysis	0.895089	0.494	0.800000	0.003	0.045	0.449	0.497
Diabetic_Retinopathy_Debrecen	0.748918	0.266	0.799305	0.002	0.030	0.236	0.268
E-CommereShippingData	0.672727	2.138	0.799982	0.003	0.064	2.074	2.141
Employee	0.854995	0.710	0.799914	0.003	0.025	0.685	0.713
FICO-HELOC-cleaned	0.737722	2.558	0.799919	0.004	0.123	2.435	2.562
Firm-Teacher_Clave-Direction_Classification	0.773611	2.385	0.800000	0.003	0.099	2.286	2.388
Fitness_Club_c	0.802013	0.189	0.799596	0.002	0.013	0.176	0.192
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.637500	0.336	0.800000	0.003	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.687500	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.593684	0.845	0.799831	0.002	0.036	0.810	0.848
GesturePhaseSegmentationProcessed	0.647595	2.986	0.799959	0.003	0.169	2.817	2.989
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	1.807	0.797432	0.003	0.059	1.748	1.809
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.411	0.800000	0.003	0.052	0.359	0.414
INNHotelsGroup	0.865334	16.034	0.800000	0.004	0.325	15.709	16.039
