dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.436293	2.524	0.799845	0.003	0.209	2.315	2.528
Amazon_employee_access	0.942173	10.171	0.799994	0.003	0.138	10.033	10.175
BLE_RSSI_dataset_for_Indoor_localization	0.734602	1.014	0.799980	0.002	0.032	0.982	1.016
BNG(breast-w)	0.986411	16.801	0.799980	0.004	0.239	16.561	16.805
BNG(cmc)	0.577486	31.262	0.799986	0.005	0.304	30.959	31.267
BNG(tic-tac-toe)	0.787529	17.000	0.799980	0.004	0.268	16.732	17.004
Bank_Customer_Churn_Dataset	0.870500	1.988	0.800000	0.003	0.075	1.913	1.991
Basketball_c	0.708955	0.256	0.800000	0.003	0.044	0.212	0.259
Cardiovascular-Disease-dataset	0.731000	49.425	0.800000	0.006	0.397	49.028	49.431
Click_prediction_small	0.831790	6.013	0.799990	0.003	0.075	5.939	6.016
Credit_c	0.701985	41.472	0.801311	0.006	0.785	40.686	41.478
Customer_Personality_Analysis	0.888393	0.494	0.800000	0.003	0.046	0.448	0.497
Diabetic_Retinopathy_Debrecen	0.744589	0.266	0.799305	0.002	0.030	0.235	0.268
E-CommereShippingData	0.672727	2.136	0.799982	0.003	0.062	2.074	2.139
Employee	0.853921	0.707	0.799914	0.003	0.025	0.682	0.710
FICO-HELOC-cleaned	0.734684	2.559	0.799919	0.004	0.125	2.434	2.562
Firm-Teacher_Clave-Direction_Classification	0.779167	2.409	0.800000	0.003	0.100	2.309	2.412
Fitness_Club_c	0.805369	0.188	0.799596	0.002	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.640625	0.338	0.800000	0.003	0.034	0.303	0.340
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.687500	0.338	0.800000	0.002	0.036	0.302	0.340
Gender_Gap_in_Spanish_WP	0.591579	0.842	0.799831	0.002	0.036	0.806	0.844
GesturePhaseSegmentationProcessed	0.649114	2.979	0.799959	0.003	0.164	2.815	2.982
HR_Analytics_Job_Change_of_Data_Scientists	0.853363	1.813	0.797432	0.008	0.058	1.755	1.821
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.409	0.800000	0.003	0.051	0.358	0.412
INNHotelsGroup	0.865196	15.887	0.800000	0.004	0.300	15.587	15.891
Indian_pines	0.930563	11.423	0.799978	0.008	0.965	10.458	11.431
JapaneseVowels	0.995986	2.182	0.799920	0.003	0.080	2.101	2.185
KDDCup09_upselling	0.788499	1.801	0.799922	0.004	0.141	1.661	1.805
MIC	0.896970	1.073	0.799879	0.003	0.161	0.912	1.076
MagicTelescope	0.875657	4.823	0.800000	0.003	0.110	4.713	4.827
Marketing_Campaign	0.895089	0.510	0.800000	0.003	0.051	0.459	0.512
Mobile_Price_Classification	0.972500	0.415	0.800000	0.003	0.040	0.375	0.417
National_Health_and_Nutrition_Health_Survey	0.833333	0.294	0.799824	0.003	0.019	0.276	0.297
PhishingWebsites	0.968792	3.192	0.800000	0.004	0.145	3.047	3.196
PieChart3	0.879630	0.357	0.799443	0.003	0.057	0.301	0.360
Pima_Indians_Diabetes_Database	0.753247	0.143	0.799479	0.002	0.014	0.129	0.145
PizzaCutter3	0.889952	0.351	0.799617	0.003	0.054	0.297	0.353
Pumpkin_Seeds	0.882000	0.402	0.800000	0.002	0.027	0.376	0.405
QSAR_biodegradation	0.886256	0.378	0.799810	0.003	0.062	0.316	0.380
SDSS17	0.972650	100.160	0.800000	0.006	0.724	99.437	100.166
Satellite	0.993137	1.480	0.800000	0.003	0.105	1.375	1.484
