dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.432432	5.218	0.799845
Amazon_employee_access	0.942173	13.083	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734602	3.274	0.799980
BNG(breast-w)	0.985141	19.466	0.799980
BNG(cmc)	0.570163	33.338	0.799986
BNG(tic-tac-toe)	0.783338	19.449	0.799980
Bank_Customer_Churn_Dataset	0.860000	4.915	0.800000
Basketball_c	0.694030	2.281	0.800000
Cardiovascular-Disease-dataset	0.723857	49.469	0.800000
Click_prediction_small	0.831539	6.429	0.799990
Credit_c	0.689826	42.174	0.801311
Customer_Personality_Analysis	0.895089	0.920	0.800000
Diabetic_Retinopathy_Debrecen	0.748918	0.742	0.799305
E-CommereShippingData	0.660455	2.631	0.799982
Employee	0.845328	1.136	0.799914
FICO-HELOC-cleaned	0.737722	3.100	0.799919
Firm-Teacher_Clave-Direction_Classification	0.668981	2.684	0.800000
Fitness_Club_c	0.785235	0.490	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.587500	0.634	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.665625	0.641	0.800000
Gender_Gap_in_Spanish_WP	0.586316	1.156	0.799831
GesturePhaseSegmentationProcessed	0.585316	3.291	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.841235	2.084	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.678	0.800000
INNHotelsGroup	0.862164	15.999	0.800000
Indian_pines	0.892838	11.955	0.799978
JapaneseVowels	0.989463	2.485	0.799920
KDDCup09_upselling	0.771930	2.092	0.799922
MIC	0.903030	1.379	0.799879
MagicTelescope	0.872503	5.067	0.800000
Marketing_Campaign	0.892857	0.759	0.800000
Mobile_Price_Classification	0.910000	0.685	0.800000
National_Health_and_Nutrition_Health_Survey	0.839912	0.567	0.799824
PhishingWebsites	0.970149	3.541	0.800000
PieChart3	0.875000	0.652	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.442	0.799479
PizzaCutter3	0.880383	0.643	0.799616
Pumpkin_Seeds	0.874000	0.673	0.800000
QSAR_biodegradation	0.876777	0.634	0.799810
SDSS17	0.968100	97.343	0.800000
Satellite	0.991176	1.754	0.800000
Telecom_Churn_Dataset	0.926537	0.925	0.799880
UJI_Pen_Characters	0.483516	2.981	0.799853
Water_Quality_and_Potability	0.621951	0.774	0.799756
Wilt	0.990674	0.806	0.799834
abalone	0.629187	0.944	0.799856
ada	0.839759	1.663	0.799855
ada_agnostic	0.825849	1.854	0.799868
ada_prior	0.837989	1.115	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.585000	0.521	0.800000
allbp	0.977483	1.243	0.799841
allrep	0.970861	1.196	0.799841
analcatdata_authorship	0.994083	0.710	0.799049
artificial-characters	0.667319	2.172	0.799961
autoUniv-au4-2500	0.506000	1.809	0.800000
autoUniv-au7-1100	0.354545	0.599	0.800000
bank	0.891629	23.435	0.799982
banknote_authentication	0.549091	0.394	0.799563
