dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.424710	7.064	0.799845
Amazon_employee_access	0.942173	14.954	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.733100	5.828	0.799980
BNG(breast-w)	0.986030	21.747	0.799980
BNG(cmc)	0.571971	36.228	0.799986
BNG(tic-tac-toe)	0.791212	21.428	0.799980
Bank_Customer_Churn_Dataset	0.867000	6.858	0.800000
Basketball_c	0.701493	5.019	0.800000
Cardiovascular-Disease-dataset	0.730071	50.143	0.800000
Click_prediction_small	0.831915	6.471	0.799990
Credit_c	0.707858	42.539	0.801311
Customer_Personality_Analysis	0.888393	0.971	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.712	0.799305
E-CommereShippingData	0.672273	2.629	0.799982
Employee	0.849624	1.151	0.799914
FICO-HELOC-cleaned	0.737722	3.119	0.799919
Firm-Teacher_Clave-Direction_Classification	0.747222	2.738	0.800000
Fitness_Club_c	0.791946	0.478	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.612500	0.664	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.656250	0.644	0.800000
Gender_Gap_in_Spanish_WP	0.600000	1.161	0.799831
GesturePhaseSegmentationProcessed	0.640506	3.327	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.855017	2.152	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.761	0.800000
INNHotelsGroup	0.868642	16.144	0.800000
Indian_pines	0.928923	11.921	0.799978
JapaneseVowels	0.994982	2.511	0.799920
KDDCup09_upselling	0.781676	2.103	0.799922
MIC	0.906061	1.377	0.799879
MagicTelescope	0.876972	5.139	0.800000
Marketing_Campaign	0.886161	0.805	0.800000
Mobile_Price_Classification	0.957500	0.710	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.579	0.799824
PhishingWebsites	0.961556	3.519	0.800000
PieChart3	0.879630	0.632	0.799443
Pima_Indians_Diabetes_Database	0.766234	0.450	0.799479
PizzaCutter3	0.885167	0.660	0.799616
Pumpkin_Seeds	0.874000	0.681	0.800000
QSAR_biodegradation	0.881517	0.671	0.799810
SDSS17	0.972700	98.867	0.800000
Satellite	0.992157	1.805	0.800000
Telecom_Churn_Dataset	0.949025	0.947	0.799880
UJI_Pen_Characters	0.483516	2.891	0.799853
Water_Quality_and_Potability	0.646341	0.776	0.799756
Wilt	0.989637	0.768	0.799834
abalone	0.639952	0.930	0.799856
ada	0.849398	1.664	0.799855
ada_agnostic	0.838992	1.840	0.799868
ada_prior	0.834637	1.102	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.595000	0.540	0.800000
allbp	0.974834	2.258	0.799841
allrep	0.974834	1.212	0.799841
analcatdata_authorship	0.988166	0.754	0.799049
artificial-characters	0.697162	2.184	0.799961
autoUniv-au4-2500	0.510000	1.835	0.800000
autoUniv-au7-1100	0.395455	0.539	0.800000
bank	0.899812	23.654	0.799982
banknote_authentication	0.556364	0.378	0.799563
baseball	0.944030	0.555	0.800000
car-evaluation	0.809249	0.650	0.799769
churn	0.932000	1.370	0.800000
cmc	0.583051	0.526	0.799728
company_bankruptcy_prediction	0.968475	4.258	0.799971
contraceptive_method_choice	0.606780	1.656	0.799728
credit	0.775052	4.381	0.799988
default_of_credit_card_clients	0.823167	12.720	0.800000
delta_ailerons	0.947405	1.045	0.799972
dis	0.986755	1.220	0.799841
dna	0.923197	3.562	0.799749
drug_consumption	0.403183	0.590	0.799894
dry_bean_dataset	0.927653	3.687	0.799941
eeg-eye-state	0.962617	4.002	0.800000
electricity	0.824672	21.828	0.799987
estimation_of_obesity_levels	0.983452	0.843	0.799621
eye_movements	0.579068	3.422	0.799927
eye_movements_bin	0.599869	2.056	0.799947
first-order-theorem-proving	0.619281	2.619	0.799935
gas-drift	0.994608	11.536	0.800000
gina_agnostic	0.824207	23.099	0.799885
golf_play_dataset_extended	0.931507	0.480	0.800000
heloc	0.716000	2.848	0.800000
house_16H	0.883617	4.610	0.799970
htru	0.979330	4.602	0.799978
ibm-employee-performance	1.000000	0.784	0.800000
in_vehicle_coupon_recommendation	0.665143	3.349	0.800729
internet_firewall	0.914321	41.967	0.799991
jm1	0.815802	2.958	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.844712	21.279	0.799996
kdd_ipums_la_97-small	0.874759	1.383	0.799923
kr-vs-k	0.595866	29.754	0.799971
kropt	0.600855	27.882	0.799971
led24	0.729688	1.025	0.800000
led7	0.728125	0.772	0.800000
letter	0.970250	18.719	0.800000
mammography	0.989271	1.787	0.799964
maternal_health_risk	0.827586	0.450	0.799803
mfeat-factors	0.972500	2.824	0.800000
mfeat-fourier	0.880000	1.263	0.800000
mfeat-karhunen	0.972500	1.245	0.800000
mfeat-morphological	0.765000	0.615	0.800000
mfeat-pixel	0.970000	3.107	0.800000
mfeat-zernike	0.810000	0.961	0.800000
mice_protein_expression	1.000000	0.936	0.800000
microaggregation2	0.620500	6.495	0.800000
mobile_c36_oversampling	0.975560	20.641	0.800000
mozilla4	0.928273	1.872	0.800000
naticusdroid+android+permissions+dataset	0.968127	20.494	0.799980
national-longitudinal-survey-binary	0.993890	2.167	0.799919
okcupid_stem	0.733321	9.347	0.799978
one-hundred-plants-margin	0.840625	4.618	0.800000
one-hundred-plants-shape	0.743750	4.472	0.800000
one-hundred-plants-texture	0.890625	4.708	0.799875
optdigits	0.992883	2.638	0.800000
ozone-level-8hr	0.954635	1.467	0.799921
page-blocks	0.974429	1.199	0.799927
pendigits	0.995907	2.811	0.799945
phoneme	0.883441	0.814	0.799963
pol	0.974715	2.991	0.799940
predict_students_dropout_and_academic_success	0.777401	1.486	0.799955
qsar	0.905213	0.650	0.800000
rice_cammeo_and_osmancik	0.931759	0.802	0.800000
ringnorm	0.980405	1.984	0.800000
satimage	0.920684	2.174	0.800000
segment	0.935065	0.711	0.800000
seismic+bumps	0.932302	0.771	0.799923
shuttle	0.999483	34.346	0.800000
spambase	0.941368	2.025	0.799826
splice	0.874608	1.635	0.800000
sports_articles_for_objectivity_analysis	0.840000	0.720	0.800000
statlog	0.745000	0.528	0.800000
steel_plates_faults	0.786632	0.751	0.799588
sylvine	0.941463	1.377	0.799961
taiwanese_bankruptcy_prediction	0.969208	4.411	0.799971
telco-customer-churn	0.799148	1.810	0.799943
texture	0.999091	6.146	0.800000
thyroid	0.988194	1.944	0.800000
thyroid-ann	0.986755	1.085	0.799841
thyroid-dis	0.689286	0.965	0.800000
turiye_student_evaluation	0.493986	1.862	0.800000
twonorm	0.979054	1.988	0.800000
vehicle	0.858824	0.517	0.799054
wall-robot-navigation	0.966117	1.539	0.799853
water_quality	0.901250	1.946	0.799900
waveform-5000	0.863000	1.829	0.800000
waveform_database_generator_version_1	0.867000	1.369	0.800000
website_phishing	0.918819	0.495	0.799704
wine-quality-red	0.571875	0.486	0.799875
wine-quality-white	0.623469	1.108	0.799918
yeast	0.612795	0.515	0.799865
