dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.416988	2.560	0.799845	0.003	0.208	2.352	2.563
Amazon_employee_access	0.942173	10.042	0.799994	0.004	0.141	9.901	10.046
BLE_RSSI_dataset_for_Indoor_localization	0.734101	1.014	0.799980	0.003	0.033	0.981	1.017
BNG(breast-w)	0.985395	16.749	0.799980	0.004	0.239	16.511	16.753
BNG(cmc)	0.571157	31.178	0.799986	0.005	0.303	30.875	31.183
BNG(tic-tac-toe)	0.779655	16.756	0.799980	0.004	0.235	16.521	16.761
Bank_Customer_Churn_Dataset	0.865500	1.980	0.800000	0.002	0.070	1.911	1.983
Basketball_c	0.697761	0.259	0.800000	0.002	0.045	0.215	0.261
Cardiovascular-Disease-dataset	0.730571	50.797	0.800000	0.006	0.426	50.371	50.803
Click_prediction_small	0.831665	5.952	0.799990	0.003	0.074	5.877	5.955
Credit_c	0.707775	41.388	0.801311	0.006	0.790	40.599	41.394
Customer_Personality_Analysis	0.890625	0.493	0.800000	0.002	0.045	0.447	0.495
Diabetic_Retinopathy_Debrecen	0.744589	0.263	0.799305	0.002	0.030	0.234	0.265
E-CommereShippingData	0.668636	2.133	0.799982	0.003	0.062	2.071	2.136
Employee	0.853921	0.704	0.799914	0.002	0.024	0.680	0.706
FICO-HELOC-cleaned	0.741772	2.555	0.799919	0.003	0.123	2.433	2.558
Firm-Teacher_Clave-Direction_Classification	0.715741	2.399	0.800000	0.003	0.098	2.301	2.402
Fitness_Club_c	0.791946	0.187	0.799596	0.002	0.013	0.174	0.189
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.575000	0.334	0.800000	0.002	0.034	0.300	0.336
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.637500	0.335	0.800000	0.003	0.035	0.300	0.338
Gender_Gap_in_Spanish_WP	0.594737	0.845	0.799831	0.002	0.036	0.809	0.847
GesturePhaseSegmentationProcessed	0.635443	2.979	0.799959	0.003	0.165	2.814	2.982
HR_Analytics_Job_Change_of_Data_Scientists	0.852260	1.810	0.797432	0.008	0.061	1.750	1.818
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.410	0.800000	0.002	0.051	0.359	0.412
INNHotelsGroup	0.861888	15.759	0.800000	0.004	0.300	15.459	15.763
Indian_pines	0.924002	11.254	0.799978	0.008	0.991	10.262	11.262
JapaneseVowels	0.992474	2.176	0.799920	0.003	0.079	2.097	2.179
KDDCup09_upselling	0.775828	1.798	0.799922	0.003	0.141	1.657	1.801
