dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.440154	4.018	0.799845
Amazon_employee_access	0.942173	11.699	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734602	2.892	0.799980
BNG(breast-w)	0.984506	18.424	0.799980
BNG(cmc)	0.570072	33.165	0.799986
BNG(tic-tac-toe)	0.769495	18.265	0.799980
Bank_Customer_Churn_Dataset	0.862500	3.915	0.800000
Basketball_c	0.694030	1.805	0.800000
Cardiovascular-Disease-dataset	0.728929	49.647	0.800000
Click_prediction_small	0.832040	6.413	0.799990
Credit_c	0.694376	42.101	0.801311
Customer_Personality_Analysis	0.892857	1.075	0.800000
Diabetic_Retinopathy_Debrecen	0.757576	0.719	0.799305
E-CommereShippingData	0.661818	2.668	0.799982
Employee	0.841031	1.153	0.799914
FICO-HELOC-cleaned	0.734684	3.133	0.799919
Firm-Teacher_Clave-Direction_Classification	0.649537	2.717	0.800000
Fitness_Club_c	0.795302	0.472	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.562500	0.657	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.612500	0.621	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.155	0.799831
GesturePhaseSegmentationProcessed	0.595443	3.274	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.843440	2.095	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.860544	0.695	0.800000
INNHotelsGroup	0.860510	16.209	0.800000
Indian_pines	0.910880	12.024	0.799978
JapaneseVowels	0.992474	2.511	0.799920
KDDCup09_upselling	0.756335	2.113	0.799922
MIC	0.900000	1.376	0.799879
MagicTelescope	0.874869	5.136	0.800000
Marketing_Campaign	0.890625	0.784	0.800000
Mobile_Price_Classification	0.945000	0.674	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.550	0.799824
PhishingWebsites	0.962008	3.541	0.800000
PieChart3	0.875000	0.628	0.799443
Pima_Indians_Diabetes_Database	0.766234	0.431	0.799479
PizzaCutter3	0.880383	0.653	0.799616
Pumpkin_Seeds	0.876000	0.678	0.800000
QSAR_biodegradation	0.876777	0.632	0.799810
SDSS17	0.970850	98.833	0.800000
Satellite	0.993137	1.751	0.800000
Telecom_Churn_Dataset	0.941529	0.931	0.799880
UJI_Pen_Characters	0.494505	2.822	0.799853
Water_Quality_and_Potability	0.631098	0.764	0.799756
Wilt	0.989637	0.829	0.799834
abalone	0.642344	0.929	0.799856
ada	0.839759	1.661	0.799855
ada_agnostic	0.819277	1.854	0.799868
ada_prior	0.842458	1.104	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.557500	0.529	0.800000
allbp	0.977483	1.701	0.799841
allrep	0.966887	1.201	0.799841
analcatdata_authorship	0.982249	0.712	0.799049
artificial-characters	0.672701	2.186	0.799961
autoUniv-au4-2500	0.470000	1.822	0.800000
autoUniv-au7-1100	0.345455	0.573	0.800000
bank	0.894504	23.916	0.799982
banknote_authentication	0.556364	0.368	0.799563
baseball	0.944030	0.663	0.800000
car-evaluation	0.699422	0.640	0.799769
churn	0.935000	1.337	0.800000
cmc	0.583051	0.516	0.799728
company_bankruptcy_prediction	0.969941	4.230	0.799971
contraceptive_method_choice	0.586441	0.622	0.799728
credit	0.778343	4.391	0.799988
default_of_credit_card_clients	0.823667	12.721	0.800000
delta_ailerons	0.947405	1.097	0.799972
dis	0.984106	1.197	0.799841
dna	0.910658	3.535	0.799749
drug_consumption	0.403183	0.582	0.799894
dry_bean_dataset	0.928388	3.680	0.799941
eeg-eye-state	0.926903	4.259	0.800000
electricity	0.808783	21.839	0.799987
estimation_of_obesity_levels	0.981087	0.856	0.799621
eye_movements	0.556216	3.401	0.799927
eye_movements_bin	0.586071	2.052	0.799947
first-order-theorem-proving	0.598039	2.585	0.799935
gas-drift	0.994968	11.517	0.800000
gina_agnostic	0.690202	23.046	0.799885
golf_play_dataset_extended	0.926941	0.485	0.800000
heloc	0.717500	2.818	0.800000
house_16H	0.876205	4.115	0.799970
htru	0.978771	4.571	0.799978
ibm-employee-performance	0.989796	0.754	0.800000
in_vehicle_coupon_recommendation	0.664728	3.304	0.800729
internet_firewall	0.802167	41.764	0.799991
jm1	0.814424	2.958	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.791611	21.195	0.799996
kdd_ipums_la_97-small	0.846821	1.374	0.799923
kr-vs-k	0.576087	28.127	0.799971
