dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.432432	2.433	0.799845	0.003	0.207	2.226	2.436
Amazon_employee_access	0.942173	10.241	0.799994	0.004	0.139	10.102	10.244
BLE_RSSI_dataset_for_Indoor_localization	0.733600	1.019	0.799980	0.002	0.042	0.977	1.021
BNG(breast-w)	0.986284	16.721	0.799980	0.004	0.239	16.483	16.726
BNG(cmc)	0.571971	31.301	0.799986	0.005	0.303	30.998	31.305
BNG(tic-tac-toe)	0.789688	16.495	0.799980	0.004	0.240	16.255	16.499
Bank_Customer_Churn_Dataset	0.868000	1.978	0.800000	0.003	0.068	1.910	1.981
Basketball_c	0.705224	0.258	0.800000	0.004	0.045	0.213	0.262
Cardiovascular-Disease-dataset	0.730857	50.652	0.800000	0.006	0.424	50.228	50.658
Click_prediction_small	0.832416	5.884	0.799990	0.003	0.075	5.809	5.887
Credit_c	0.703143	41.612	0.801311	0.028	0.787	40.825	41.640
Customer_Personality_Analysis	0.890625	0.493	0.800000	0.003	0.045	0.447	0.495
Diabetic_Retinopathy_Debrecen	0.753247	0.264	0.799305	0.002	0.030	0.234	0.267
E-CommereShippingData	0.675000	2.139	0.799982	0.003	0.064	2.075	2.142
Employee	0.850698	0.706	0.799914	0.003	0.025	0.681	0.709
FICO-HELOC-cleaned	0.739241	2.560	0.799919	0.003	0.126	2.434	2.563
Firm-Teacher_Clave-Direction_Classification	0.762037	2.379	0.800000	0.003	0.097	2.282	2.382
Fitness_Club_c	0.791946	0.185	0.799596	0.002	0.013	0.172	0.188
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.593750	0.333	0.800000	0.003	0.034	0.299	0.336
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.668750	0.335	0.800000	0.003	0.036	0.299	0.338
Gender_Gap_in_Spanish_WP	0.588421	0.844	0.799831	0.002	0.037	0.807	0.846
GesturePhaseSegmentationProcessed	0.632911	2.980	0.799959	0.003	0.163	2.817	2.983
HR_Analytics_Job_Change_of_Data_Scientists	0.850606	1.801	0.797432	0.003	0.059	1.742	1.804
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.860544	0.409	0.800000	0.002	0.052	0.357	0.411
INNHotelsGroup	0.868229	15.862	0.800000	0.004	0.305	15.556	15.866
Indian_pines	0.916348	11.404	0.799978	0.007	0.995	10.409	11.411
