dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.416988	2.373	0.799845	0.003	0.205	2.168	2.376
Amazon_employee_access	0.942173	10.384	0.799994	0.004	0.150	10.234	10.388
BLE_RSSI_dataset_for_Indoor_localization	0.730596	1.016	0.799980	0.002	0.035	0.982	1.019
BNG(breast-w)	0.985776	16.800	0.799980	0.004	0.238	16.562	16.804
BNG(cmc)	0.570615	31.150	0.799986	0.005	0.318	30.832	31.155
BNG(tic-tac-toe)	0.776226	16.697	0.799980	0.004	0.239	16.458	16.701
Bank_Customer_Churn_Dataset	0.865000	1.992	0.800000	0.002	0.070	1.922	1.995
Basketball_c	0.705224	0.246	0.800000	0.002	0.033	0.213	0.249
Cardiovascular-Disease-dataset	0.729714	49.946	0.800000	0.006	0.397	49.548	49.952
Click_prediction_small	0.831665	6.014	0.799990	0.003	0.075	5.938	6.016
Credit_c	0.700579	41.984	0.801311	0.006	0.787	41.197	41.990
Customer_Personality_Analysis	0.895089	0.490	0.800000	0.002	0.045	0.445	0.493
Diabetic_Retinopathy_Debrecen	0.735931	0.262	0.799305	0.002	0.030	0.233	0.265
E-CommereShippingData	0.668182	2.139	0.799982	0.003	0.060	2.079	2.142
Employee	0.851772	0.706	0.799914	0.002	0.024	0.681	0.708
FICO-HELOC-cleaned	0.735696	2.563	0.799919	0.003	0.124	2.438	2.566
Firm-Teacher_Clave-Direction_Classification	0.734259	2.411	0.800000	0.003	0.099	2.313	2.414
Fitness_Club_c	0.795302	0.185	0.799596	0.002	0.013	0.172	0.186
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.609375	0.333	0.800000	0.002	0.034	0.299	0.335
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.615625	0.334	0.800000	0.002	0.035	0.299	0.337
Gender_Gap_in_Spanish_WP	0.591579	0.840	0.799831	0.002	0.036	0.804	0.842
GesturePhaseSegmentationProcessed	0.605063	2.981	0.799959	0.003	0.163	2.818	2.984
HR_Analytics_Job_Change_of_Data_Scientists	0.854465	1.819	0.797432	0.003	0.059	1.761	1.822
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.413	0.800000	0.009	0.053	0.360	0.422
INNHotelsGroup	0.861199	16.130	0.800000	0.004	0.327	15.802	16.134
Indian_pines	0.910880	11.639	0.799978	0.007	0.990	10.649	11.646
JapaneseVowels	0.989965	2.183	0.799920	0.003	0.080	2.103	2.186
KDDCup09_upselling	0.777778	1.800	0.799922	0.003	0.139	1.660	1.803
MIC	0.900000	1.073	0.799879	0.003	0.160	0.913	1.076
MagicTelescope	0.875657	4.780	0.800000	0.007	0.110	4.670	4.788
Marketing_Campaign	0.897321	0.509	0.800000	0.002	0.049	0.460	0.511
Mobile_Price_Classification	0.957500	0.414	0.800000	0.002	0.038	0.376	0.417
National_Health_and_Nutrition_Health_Survey	0.835526	0.292	0.799824	0.003	0.018	0.273	0.294
PhishingWebsites	0.968340	3.203	0.800000	0.003	0.144	3.059	3.206
PieChart3	0.875000	0.355	0.799443	0.002	0.056	0.299	0.357
Pima_Indians_Diabetes_Database	0.753247	0.139	0.799479	0.002	0.014	0.125	0.141
PizzaCutter3	0.880383	0.348	0.799617	0.003	0.053	0.295	0.351
Pumpkin_Seeds	0.874000	0.398	0.800000	0.002	0.025	0.373	0.401
QSAR_biodegradation	0.881517	0.374	0.799810	0.002	0.061	0.314	0.376
SDSS17	0.971350	99.600	0.800000	0.006	0.675	98.925	99.605
Satellite	0.993137	1.480	0.800000	0.004	0.104	1.376	1.484
Telecom_Churn_Dataset	0.940030	0.656	0.799880	0.002	0.041	0.615	0.659
UJI_Pen_Characters	0.465201	2.745	0.799853	0.002	0.119	2.626	2.748
Water_Quality_and_Potability	0.628049	0.494	0.799756	0.002	0.023	0.471	0.496
Wilt	0.991710	0.482	0.799834	0.002	0.019	0.463	0.484
abalone	0.631579	0.642	0.799856	0.002	0.026	0.616	0.644
ada	0.850602	1.385	0.799855	0.003	0.103	1.282	1.388
ada_agnostic	0.826944	1.534	0.799868	0.003	0.107	1.427	1.537
ada_prior	0.842458	0.825	0.799955	0.002	0.038	0.786	0.827
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.600000	0.258	0.800000	0.002	0.017	0.241	0.260
allbp	0.973510	0.919	0.799841	0.002	0.059	0.860	0.922
allrep	0.972185	0.922	0.799841	0.003	0.058	0.864	0.925
analcatdata_authorship	0.988166	0.460	0.799049	0.003	0.096	0.363	0.462
artificial-characters	0.694716	1.894	0.799961	0.003	0.046	1.848	1.897
autoUniv-au4-2500	0.470000	1.525	0.800000	0.003	0.192	1.334	1.528
autoUniv-au7-1100	0.368182	0.206	0.800000	0.002	0.020	0.186	0.209
bank	0.896495	23.435	0.799982	0.004	0.380	23.055	23.439
banknote_authentication	0.545455	0.098	0.799563	0.002	0.010	0.088	0.100
baseball	0.947761	0.268	0.800000	0.003	0.028	0.240	0.271
car-evaluation	0.797688	0.368	0.799769	0.002	0.037	0.331	0.371
churn	0.938000	1.084	0.800000	0.003	0.065	1.019	1.086
