dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.436293	6.205	0.799845
Amazon_employee_access	0.942173	13.824	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.732599	4.679	0.799980
BNG(breast-w)	0.985522	20.482	0.799980
BNG(cmc)	0.572333	35.095	0.799986
BNG(tic-tac-toe)	0.788418	20.325	0.799980
Bank_Customer_Churn_Dataset	0.856000	5.877	0.800000
Basketball_c	0.694030	3.446	0.800000
Cardiovascular-Disease-dataset	0.726643	49.471	0.800000
Click_prediction_small	0.831539	6.410	0.799990
Credit_c	0.695037	42.043	0.801311
Customer_Personality_Analysis	0.897321	0.928	0.800000
Diabetic_Retinopathy_Debrecen	0.744589	0.731	0.799305
E-CommereShippingData	0.665455	2.599	0.799982
Employee	0.841031	1.174	0.799914
FICO-HELOC-cleaned	0.740759	3.105	0.799919
Firm-Teacher_Clave-Direction_Classification	0.666667	2.705	0.800000
Fitness_Club_c	0.795302	0.466	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.609375	0.643	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.568750	0.611	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.127	0.799831
GesturePhaseSegmentationProcessed	0.602532	3.273	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.842889	2.123	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.702	0.800000
INNHotelsGroup	0.867126	16.040	0.800000
Indian_pines	0.874795	11.924	0.799978
JapaneseVowels	0.992975	2.472	0.799920
KDDCup09_upselling	0.758285	2.070	0.799922
MIC	0.887879	1.381	0.799879
MagicTelescope	0.872503	5.104	0.800000
Marketing_Campaign	0.895089	0.791	0.800000
Mobile_Price_Classification	0.757500	0.698	0.800000
National_Health_and_Nutrition_Health_Survey	0.837719	0.594	0.799824
PhishingWebsites	0.960651	3.492	0.800000
PieChart3	0.875000	0.656	0.799443
Pima_Indians_Diabetes_Database	0.759740	0.429	0.799479
PizzaCutter3	0.880383	0.639	0.799616
Pumpkin_Seeds	0.876000	0.699	0.800000
QSAR_biodegradation	0.867299	0.681	0.799810
SDSS17	0.969350	97.800	0.800000
Satellite	0.991176	1.766	0.800000
Telecom_Churn_Dataset	0.929535	0.973	0.799880
UJI_Pen_Characters	0.461538	2.937	0.799853
Water_Quality_and_Potability	0.643293	0.787	0.799756
Wilt	0.991710	0.766	0.799834
abalone	0.631579	0.934	0.799856
ada	0.846988	1.686	0.799855
ada_agnostic	0.838992	1.860	0.799868
ada_prior	0.842458	1.106	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.577500	0.538	0.800000
allbp	0.977483	1.235	0.799841
allrep	0.974834	1.200	0.799841
analcatdata_authorship	0.982249	0.752	0.799049
artificial-characters	0.681018	2.165	0.799961
autoUniv-au4-2500	0.484000	1.832	0.800000
autoUniv-au7-1100	0.363636	0.509	0.800000
bank	0.892845	23.418	0.799982
banknote_authentication	0.541818	0.376	0.799563
baseball	0.951493	0.579	0.800000
car-evaluation	0.708092	0.635	0.799769
churn	0.932000	1.367	0.800000
cmc	0.576271	0.533	0.799728
company_bankruptcy_prediction	0.970674	4.242	0.799971
contraceptive_method_choice	0.593220	0.666	0.799728
credit	0.780736	4.404	0.799988
default_of_credit_card_clients	0.824667	12.623	0.800000
delta_ailerons	0.947405	1.034	0.799972
dis	0.984106	1.193	0.799841
dna	0.899687	3.568	0.799749
drug_consumption	0.403183	0.587	0.799894
dry_bean_dataset	0.926552	3.689	0.799941
eeg-eye-state	0.940254	3.971	0.800000
electricity	0.818051	21.829	0.799987
estimation_of_obesity_levels	0.976359	0.748	0.799621
eye_movements	0.578154	3.445	0.799927
eye_movements_bin	0.597898	2.029	0.799947
first-order-theorem-proving	0.614379	2.621	0.799935
gas-drift	0.993530	11.502	0.800000
gina_agnostic	0.739193	23.093	0.799885
golf_play_dataset_extended	0.931507	0.472	0.800000
heloc	0.718500	2.843	0.800000
house_16H	0.875834	3.577	0.799970
htru	0.980168	4.546	0.799978
ibm-employee-performance	0.982993	0.780	0.800000
in_vehicle_coupon_recommendation	0.673037	3.353	0.800729
internet_firewall	0.812772	41.997	0.799991
jm1	0.811667	2.974	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.799197	20.954	0.799996
kdd_ipums_la_97-small	0.845857	1.409	0.799923
kr-vs-k	0.589451	29.407	0.799971
kropt	0.588560	27.864	0.799971
led24	0.690625	1.020	0.800000
led7	0.740625	0.727	0.800000
letter	0.956750	19.340	0.800000
mammography	0.989271	1.802	0.799964
