dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.416988	5.259	0.799845
Amazon_employee_access	0.942173	13.165	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734602	3.935	0.799980
BNG(breast-w)	0.985014	18.910	0.799980
BNG(cmc)	0.568716	34.168	0.799986
BNG(tic-tac-toe)	0.783465	18.761	0.799980
Bank_Customer_Churn_Dataset	0.860500	4.390	0.800000
Basketball_c	0.705224	3.141	0.800000
Cardiovascular-Disease-dataset	0.726500	49.555	0.800000
Click_prediction_small	0.831539	6.422	0.799990
Credit_c	0.702151	41.973	0.801311
Customer_Personality_Analysis	0.892857	1.013	0.800000
Diabetic_Retinopathy_Debrecen	0.748918	0.709	0.799305
E-CommereShippingData	0.672273	2.622	0.799982
Employee	0.846402	1.157	0.799914
FICO-HELOC-cleaned	0.737215	3.111	0.799919
Firm-Teacher_Clave-Direction_Classification	0.652315	2.835	0.800000
Fitness_Club_c	0.798658	0.496	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.590625	0.645	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.603125	0.669	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.140	0.799831
GesturePhaseSegmentationProcessed	0.617722	3.303	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.845645	2.113	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.714	0.800000
INNHotelsGroup	0.863818	16.079	0.800000
Indian_pines	0.897758	11.916	0.799978
JapaneseVowels	0.990467	2.477	0.799920
KDDCup09_upselling	0.759259	2.140	0.799922
MIC	0.909091	1.382	0.799879
MagicTelescope	0.876972	5.118	0.800000
Marketing_Campaign	0.890625	0.790	0.800000
Mobile_Price_Classification	0.940000	0.715	0.800000
National_Health_and_Nutrition_Health_Survey	0.846491	0.594	0.799824
PhishingWebsites	0.970149	3.493	0.800000
PieChart3	0.879630	0.627	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.471	0.799479
PizzaCutter3	0.885167	0.652	0.799616
Pumpkin_Seeds	0.878000	0.663	0.800000
QSAR_biodegradation	0.886256	0.636	0.799810
SDSS17	0.970500	98.105	0.800000
Satellite	0.993137	1.776	0.800000
Telecom_Churn_Dataset	0.935532	0.947	0.799880
UJI_Pen_Characters	0.501832	2.980	0.799853
Water_Quality_and_Potability	0.643293	0.858	0.799756
Wilt	0.989637	0.763	0.799834
abalone	0.632775	0.917	0.799856
ada	0.848193	1.683	0.799855
ada_agnostic	0.833516	1.879	0.799868
ada_prior	0.837989	1.096	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.552500	0.584	0.800000
allbp	0.976159	1.213	0.799841
allrep	0.972185	1.183	0.799841
analcatdata_authorship	0.976331	0.725	0.799049
artificial-characters	0.681996	2.208	0.799961
autoUniv-au4-2500	0.470000	1.819	0.800000
autoUniv-au7-1100	0.336364	0.509	0.800000
bank	0.896384	23.508	0.799982
banknote_authentication	0.534545	0.428	0.799563
baseball	0.944030	0.540	0.800000
car-evaluation	0.777457	0.629	0.799769
churn	0.942000	1.352	0.800000
cmc	0.569492	0.527	0.799728
company_bankruptcy_prediction	0.969941	4.265	0.799971
contraceptive_method_choice	0.593220	0.627	0.799728
credit	0.777445	4.346	0.799988
default_of_credit_card_clients	0.823667	12.669	0.800000
delta_ailerons	0.947405	1.039	0.799972
dis	0.984106	1.177	0.799841
dna	0.940439	3.565	0.799749
drug_consumption	0.397878	0.592	0.799894
dry_bean_dataset	0.928021	3.701	0.799941
eeg-eye-state	0.951936	3.953	0.800000
electricity	0.809335	21.878	0.799987
estimation_of_obesity_levels	0.978723	0.854	0.799621
eye_movements	0.573126	3.423	0.799927
eye_movements_bin	0.599212	2.026	0.799947
first-order-theorem-proving	0.617647	2.604	0.799935
gas-drift	0.995327	11.522	0.800000
gina_agnostic	0.706052	23.185	0.799885
golf_play_dataset_extended	0.926941	0.494	0.800000
heloc	0.714000	2.840	0.800000
house_16H	0.881394	3.649	0.799970
htru	0.977933	4.529	0.799978
ibm-employee-performance	0.996599	0.737	0.800000
in_vehicle_coupon_recommendation	0.672622	3.410	0.800729
internet_firewall	0.913329	41.899	0.799991
jm1	0.815802	2.963	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.828871	20.995	0.799996
kdd_ipums_la_97-small	0.849711	1.386	0.799923
kr-vs-k	0.564148	29.805	0.799971
kropt	0.569850	28.648	0.799971
led24	0.695312	1.005	0.800000
led7	0.732812	0.715	0.800000
letter	0.962500	19.070	0.800000
mammography	0.987930	1.784	0.799964
maternal_health_risk	0.783251	0.445	0.799803
mfeat-factors	0.975000	2.822	0.800000
mfeat-fourier	0.875000	1.328	0.800000
mfeat-karhunen	0.967500	1.249	0.800000
mfeat-morphological	0.760000	0.603	0.800000
mfeat-pixel	0.950000	3.105	0.800000
mfeat-zernike	0.815000	0.968	0.800000
mice_protein_expression	1.000000	0.960	0.800000
microaggregation2	0.618250	6.486	0.800000
mobile_c36_oversampling	0.963389	20.642	0.800000
mozilla4	0.921197	1.889	0.800000
naticusdroid+android+permissions+dataset	0.957559	20.458	0.799980
