dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.428571	4.532	0.799845
Amazon_employee_access	0.942173	12.786	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.732599	2.698	0.799980
BNG(breast-w)	0.985268	18.925	0.799980
BNG(cmc)	0.565913	34.182	0.799986
BNG(tic-tac-toe)	0.768098	19.413	0.799980
Bank_Customer_Churn_Dataset	0.861000	4.251	0.800000
Basketball_c	0.701493	2.756	0.800000
Cardiovascular-Disease-dataset	0.729214	50.118	0.800000
Click_prediction_small	0.831414	6.431	0.799990
Credit_c	0.696278	42.448	0.801311
Customer_Personality_Analysis	0.901786	0.929	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.727	0.799305
E-CommereShippingData	0.662727	2.610	0.799982
Employee	0.842105	1.163	0.799914
FICO-HELOC-cleaned	0.739241	3.137	0.799919
Firm-Teacher_Clave-Direction_Classification	0.651389	2.748	0.800000
Fitness_Club_c	0.795302	0.470	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.609375	0.648	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.659375	0.598	0.800000
Gender_Gap_in_Spanish_WP	0.589474	1.174	0.799831
GesturePhaseSegmentationProcessed	0.607089	3.309	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.852260	2.120	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.718	0.800000
INNHotelsGroup	0.855272	16.234	0.800000
Indian_pines	0.909787	11.738	0.799978
JapaneseVowels	0.991972	2.503	0.799920
KDDCup09_upselling	0.749513	2.118	0.799922
MIC	0.887879	1.513	0.799879
MagicTelescope	0.873554	5.102	0.800000
Marketing_Campaign	0.890625	0.789	0.800000
Mobile_Price_Classification	0.935000	0.703	0.800000
National_Health_and_Nutrition_Health_Survey	0.831140	0.566	0.799824
PhishingWebsites	0.960651	3.493	0.800000
PieChart3	0.875000	0.619	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.411	0.799479
PizzaCutter3	0.880383	0.638	0.799616
Pumpkin_Seeds	0.872000	0.670	0.800000
QSAR_biodegradation	0.872038	0.667	0.799810
SDSS17	0.970000	99.452	0.800000
Satellite	0.992157	1.784	0.800000
Telecom_Churn_Dataset	0.929535	0.967	0.799880
UJI_Pen_Characters	0.505495	2.891	0.799853
Water_Quality_and_Potability	0.628049	0.791	0.799756
Wilt	0.990674	0.781	0.799834
abalone	0.642344	0.921	0.799856
ada	0.845783	1.657	0.799855
ada_agnostic	0.826944	1.938	0.799868
ada_prior	0.840223	1.079	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.592500	0.527	0.800000
allbp	0.974834	1.202	0.799841
allrep	0.970861	1.188	0.799841
analcatdata_authorship	0.988166	0.743	0.799049
artificial-characters	0.670254	2.191	0.799961
autoUniv-au4-2500	0.466000	1.859	0.800000
autoUniv-au7-1100	0.350000	0.497	0.800000
bank	0.895831	23.907	0.799982
banknote_authentication	0.552727	0.363	0.799563
baseball	0.951493	0.559	0.800000
car-evaluation	0.699422	0.635	0.799769
churn	0.936000	1.379	0.800000
cmc	0.566102	0.524	0.799728
company_bankruptcy_prediction	0.971408	4.262	0.799971
contraceptive_method_choice	0.596610	0.610	0.799728
credit	0.777146	4.396	0.799988
default_of_credit_card_clients	0.826833	12.689	0.800000
delta_ailerons	0.948107	1.066	0.799972
dis	0.984106	1.181	0.799841
dna	0.929467	3.555	0.799749
drug_consumption	0.403183	0.596	0.799894
dry_bean_dataset	0.929857	3.670	0.799941
eeg-eye-state	0.956275	4.014	0.800000
electricity	0.800397	21.809	0.799987
estimation_of_obesity_levels	0.981087	0.806	0.799621
eye_movements	0.557130	3.424	0.799927
eye_movements_bin	0.577530	2.063	0.799947
first-order-theorem-proving	0.601307	2.596	0.799935
gas-drift	0.994608	11.550	0.800000
gina_agnostic	0.736311	23.117	0.799885
golf_play_dataset_extended	0.922374	0.484	0.800000
heloc	0.716000	2.840	0.800000
house_16H	0.878799	3.664	0.799970
htru	0.979609	4.577	0.799978
ibm-employee-performance	0.996599	0.781	0.800000
in_vehicle_coupon_recommendation	0.658912	3.349	0.800729
internet_firewall	0.801709	41.877	0.799991
jm1	0.813045	2.965	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.817715	21.502	0.799996
kdd_ipums_la_97-small	0.847784	1.368	0.799923
kr-vs-k	0.557377	29.396	0.799971
kropt	0.561654	27.741	0.799971
led24	0.700000	1.056	0.800000
led7	0.740625	0.730	0.800000
letter	0.958000	20.161	0.800000
mammography	0.987930	1.786	0.799964
maternal_health_risk	0.768473	0.464	0.799803
mfeat-factors	0.975000	2.788	0.800000
mfeat-fourier	0.877500	1.264	0.800000
mfeat-karhunen	0.967500	1.232	0.800000
mfeat-morphological	0.747500	0.573	0.800000
mfeat-pixel	0.952500	3.098	0.800000
mfeat-zernike	0.815000	0.968	0.800000
mice_protein_expression	1.000000	0.946	0.800000
microaggregation2	0.619000	6.529	0.800000
mobile_c36_oversampling	0.960394	20.612	0.800000
mozilla4	0.909939	1.865	0.800000
naticusdroid+android+permissions+dataset	0.959945	20.490	0.799980
national-longitudinal-survey-binary	0.989817	1.226	0.799919
okcupid_stem	0.733508	9.334	0.799978
one-hundred-plants-margin	0.806250	4.844	0.800000
one-hundred-plants-shape	0.728125	4.912	0.800000
one-hundred-plants-texture	0.865625	5.001	0.799875
optdigits	0.990214	2.629	0.800000
ozone-level-8hr	0.954635	1.462	0.799921
page-blocks	0.975342	1.166	0.799927
pendigits	0.995907	2.786	0.799945
phoneme	0.868640	0.818	0.799963
pol	0.975211	3.012	0.799940
predict_students_dropout_and_academic_success	0.766102	1.503	0.799955
qsar	0.890995	0.689	0.800000
rice_cammeo_and_osmancik	0.927822	0.798	0.800000
ringnorm	0.981757	1.943	0.800000
satimage	0.918351	2.166	0.800000
segment	0.932900	0.711	0.800000
seismic+bumps	0.932302	0.875	0.799923
