dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.416988	6.924	0.799845
Amazon_employee_access	0.942173	14.797	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.731597	5.537	0.799980
BNG(breast-w)	0.985014	21.553	0.799980
BNG(cmc)	0.572242	36.121	0.799986
BNG(tic-tac-toe)	0.780544	21.354	0.799980
Bank_Customer_Churn_Dataset	0.862500	6.726	0.800000
Basketball_c	0.705224	4.913	0.800000
Cardiovascular-Disease-dataset	0.729214	50.137	0.800000
Click_prediction_small	0.831539	6.459	0.799990
Credit_c	0.705294	42.442	0.801311
Customer_Personality_Analysis	0.886161	0.986	0.800000
Diabetic_Retinopathy_Debrecen	0.757576	0.720	0.799305
E-CommereShippingData	0.672727	2.628	0.799982
Employee	0.844253	1.163	0.799914
FICO-HELOC-cleaned	0.741266	3.115	0.799919
Firm-Teacher_Clave-Direction_Classification	0.737963	2.742	0.800000
Fitness_Club_c	0.791946	0.499	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.631250	0.645	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.656250	0.672	0.800000
Gender_Gap_in_Spanish_WP	0.597895	1.170	0.799831
GesturePhaseSegmentationProcessed	0.631392	3.328	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.848401	2.142	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.880952	0.725	0.800000
INNHotelsGroup	0.866850	16.263	0.800000
Indian_pines	0.916348	11.946	0.799978
JapaneseVowels	0.995484	2.509	0.799920
KDDCup09_upselling	0.782651	2.141	0.799922
MIC	0.906061	1.402	0.799879
MagicTelescope	0.873291	5.104	0.800000
Marketing_Campaign	0.892857	0.792	0.800000
Mobile_Price_Classification	0.967500	0.697	0.800000
National_Health_and_Nutrition_Health_Survey	0.831140	0.584	0.799824
PhishingWebsites	0.969697	3.509	0.800000
PieChart3	0.879630	0.626	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.445	0.799479
PizzaCutter3	0.875598	0.681	0.799616
Pumpkin_Seeds	0.884000	0.677	0.800000
QSAR_biodegradation	0.872038	0.650	0.799810
SDSS17	0.971650	99.630	0.800000
Satellite	0.993137	1.770	0.800000
Telecom_Churn_Dataset	0.943028	0.932	0.799880
