dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.405405	2.309	0.799845	0.003	0.206	2.104	2.312
Amazon_employee_access	0.942173	10.265	0.799994	0.003	0.139	10.126	10.269
BLE_RSSI_dataset_for_Indoor_localization	0.737106	1.027	0.799980	0.002	0.043	0.984	1.030
BNG(breast-w)	0.985903	16.763	0.799980	0.004	0.234	16.529	16.767
BNG(cmc)	0.570434	31.240	0.799986	0.004	0.301	30.939	31.245
BNG(tic-tac-toe)	0.788672	16.504	0.799980	0.004	0.249	16.255	16.508
Bank_Customer_Churn_Dataset	0.862500	1.989	0.800000	0.002	0.074	1.915	1.992
Basketball_c	0.712687	0.247	0.800000	0.002	0.033	0.215	0.250
Cardiovascular-Disease-dataset	0.729357	50.445	0.800000	0.006	0.399	50.046	50.451
Click_prediction_small	0.831915	6.082	0.799990	0.004	0.081	6.001	6.086
Credit_c	0.708106	41.401	0.801311	0.005	0.787	40.614	41.406
Customer_Personality_Analysis	0.899554	0.490	0.800000	0.002	0.046	0.445	0.492
Diabetic_Retinopathy_Debrecen	0.748918	0.263	0.799305	0.002	0.030	0.233	0.265
E-CommereShippingData	0.672727	2.124	0.799982	0.002	0.063	2.061	2.127
Employee	0.851772	0.704	0.799914	0.002	0.025	0.680	0.707
FICO-HELOC-cleaned	0.735190	2.562	0.799919	0.003	0.133	2.428	2.565
Firm-Teacher_Clave-Direction_Classification	0.747222	2.433	0.800000	0.003	0.107	2.326	2.436
Fitness_Club_c	0.795302	0.184	0.799596	0.002	0.013	0.171	0.186
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.543750	0.333	0.800000	0.002	0.034	0.299	0.335
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.546875	0.334	0.800000	0.002	0.035	0.299	0.337
Gender_Gap_in_Spanish_WP	0.593684	0.841	0.799831	0.002	0.035	0.806	0.843
GesturePhaseSegmentationProcessed	0.611646	3.005	0.799959	0.003	0.175	2.830	3.008
HR_Analytics_Job_Change_of_Data_Scientists	0.852811	1.811	0.797432	0.002	0.060	1.751	1.813
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.412	0.800000	0.002	0.052	0.360	0.414
INNHotelsGroup	0.866161	15.915	0.800000	0.004	0.303	15.612	15.919
Indian_pines	0.925096	11.363	0.799978	0.007	1.002	10.361	11.370
JapaneseVowels	0.989965	2.199	0.799920	0.003	0.084	2.115	2.202
KDDCup09_upselling	0.779727	1.811	0.799922	0.003	0.149	1.663	1.814
MIC	0.906061	1.077	0.799879	0.003	0.162	0.915	1.080
MagicTelescope	0.876972	4.846	0.800000	0.003	0.118	4.728	4.849
Marketing_Campaign	0.892857	0.504	0.800000	0.003	0.048	0.456	0.506
Mobile_Price_Classification	0.965000	0.410	0.800000	0.002	0.037	0.372	0.412
National_Health_and_Nutrition_Health_Survey	0.835526	0.294	0.799824	0.002	0.019	0.275	0.296
PhishingWebsites	0.966079	3.193	0.800000	0.005	0.144	3.049	3.198
PieChart3	0.875000	0.358	0.799443	0.002	0.057	0.301	0.360
Pima_Indians_Diabetes_Database	0.753247	0.143	0.799479	0.002	0.014	0.129	0.145
PizzaCutter3	0.880383	0.351	0.799617	0.002	0.054	0.298	0.354
Pumpkin_Seeds	0.876000	0.401	0.800000	0.002	0.026	0.375	0.403
QSAR_biodegradation	0.867299	0.378	0.799810	0.003	0.062	0.317	0.381
SDSS17	0.970950	97.424	0.800000	0.006	0.682	96.742	97.430
Satellite	0.993137	1.476	0.800000	0.002	0.103	1.372	1.478
Telecom_Churn_Dataset	0.934033	0.659	0.799880	0.002	0.043	0.617	0.662
UJI_Pen_Characters	0.465201	2.694	0.799853	0.003	0.122	2.572	2.696
Water_Quality_and_Potability	0.629573	0.491	0.799756	0.002	0.022	0.469	0.493
Wilt	0.990674	0.478	0.799834	0.002	0.019	0.459	0.480
abalone	0.632775	0.644	0.799856	0.002	0.027	0.617	0.646
ada	0.844578	1.377	0.799855	0.003	0.101	1.275	1.380
ada_agnostic	0.830230	1.537	0.799868	0.003	0.107	1.430	1.540
ada_prior	0.840223	0.820	0.799955	0.003	0.038	0.782	0.822
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.587500	0.259	0.800000	0.002	0.017	0.242	0.262
allbp	0.973510	0.922	0.799841	0.003	0.062	0.860	0.924
allrep	0.972185	0.921	0.799841	0.002	0.058	0.863	0.924
analcatdata_authorship	0.994083	0.455	0.799049	0.002	0.095	0.360	0.458
artificial-characters	0.678571	1.916	0.799961	0.003	0.049	1.867	1.918
autoUniv-au4-2500	0.526000	1.518	0.800000	0.003	0.189	1.329	1.520
autoUniv-au7-1100	0.372727	0.205	0.800000	0.002	0.020	0.185	0.207
bank	0.896716	23.381	0.799982	0.004	0.381	23.000	23.385
banknote_authentication	0.545455	0.098	0.799563	0.002	0.010	0.089	0.100
baseball	0.940299	0.270	0.800000	0.002	0.028	0.242	0.272
car-evaluation	0.699422	0.367	0.799769	0.003	0.036	0.331	0.370
churn	0.934000	1.077	0.800000	0.003	0.062	1.015	1.080
cmc	0.572881	0.232	0.799728	0.002	0.017	0.215	0.234
company_bankruptcy_prediction	0.969941	3.947	0.799971	0.004	0.320	3.628	3.951
contraceptive_method_choice	0.613559	0.236	0.799728	0.002	0.017	0.219	0.238
credit	0.775351	4.013	0.799988	0.003	0.102	3.910	4.015
default_of_credit_card_clients	0.822333	12.244	0.800000	0.004	0.380	11.864	12.248
delta_ailerons	0.947405	0.760	0.799972	0.002	0.025	0.734	0.762
dis	0.984106	0.918	0.799841	0.002	0.059	0.859	0.920
dna	0.940439	3.260	0.799749	0.004	0.356	2.903	3.264
drug_consumption	0.403183	0.314	0.799894	0.002	0.024	0.290	0.316
dry_bean_dataset	0.928388	3.360	0.799941	0.003	0.131	3.229	3.363
eeg-eye-state	0.960280	3.693	0.800000	0.003	0.120	3.574	3.696
electricity	0.810438	21.486	0.799987	0.004	0.253	21.234	21.491
estimation_of_obesity_levels	0.973995	0.399	0.799621	0.002	0.031	0.368	0.401
eye_movements	0.573583	3.046	0.799927	0.004	0.175	2.871	3.049
eye_movements_bin	0.597240	1.750	0.799947	0.002	0.090	1.660	1.752
first-order-theorem-proving	0.607843	2.213	0.799935	0.003	0.162	2.051	2.216
gas-drift	0.994968	11.269	0.800000	0.007	1.068	10.201	11.276
gina_agnostic	0.733429	23.150	0.799885	0.011	2.285	20.865	23.161
golf_play_dataset_extended	0.922374	0.195	0.800000	0.002	0.016	0.179	0.197
heloc	0.716000	2.546	0.800000	0.003	0.118	2.428	2.549
house_16H	0.881394	3.277	0.799970	0.003	0.118	3.159	3.281
htru	0.978771	4.235	0.799978	0.003	0.080	4.155	4.237
ibm-employee-performance	0.996599	0.406	0.800000	0.003	0.051	0.354	0.408
in_vehicle_coupon_recommendation	0.667636	3.030	0.800729	0.003	0.131	2.899	3.033
internet_firewall	0.806363	42.076	0.799991	0.004	0.168	41.908	42.080
jm1	0.815342	2.707	0.800000	0.003	0.120	2.588	2.710
jungle_chess_2pcs_raw_endgame_complete	0.829317	20.564	0.799996	0.004	0.185	20.379	20.568
kdd_ipums_la_97-small	0.855491	1.116	0.799923	0.003	0.064	1.052	1.119
kr-vs-k	0.610299	29.544	0.799971	0.003	0.130	29.414	29.547
kropt	0.615110	28.809	0.799971	0.003	0.124	28.685	28.812
led24	0.732812	0.723	0.800000	0.003	0.055	0.668	0.726
led7	0.742188	0.452	0.800000	0.002	0.019	0.433	0.454
letter	0.966500	19.683	0.800000	0.003	0.180	19.503	19.686
mammography	0.990165	1.530	0.799964	0.002	0.042	1.488	1.532
maternal_health_risk	0.778325	0.165	0.799803	0.002	0.011	0.154	0.168
mfeat-factors	0.970000	2.502	0.800000	0.003	0.360	2.141	2.505
mfeat-fourier	0.880000	0.985	0.800000	0.003	0.131	0.854	0.988
mfeat-karhunen	0.965000	0.864	0.800000	0.004	0.109	0.755	0.868
mfeat-morphological	0.762500	0.267	0.800000	0.002	0.015	0.252	0.270
mfeat-pixel	0.967500	2.802	0.800000	0.004	0.407	2.396	2.806
mfeat-zernike	0.800000	0.691	0.800000	0.003	0.089	0.602	0.694
mice_protein_expression	1.000000	0.576	0.800000	0.002	0.104	0.472	0.578
microaggregation2	0.618000	6.221	0.800000	0.004	0.184	6.037	6.225
mobile_c36_oversampling	0.961457	20.391	0.800000	0.003	0.199	20.192	20.395
mozilla4	0.919267	1.580	0.800000	0.003	0.044	1.536	1.583
naticusdroid+android+permissions+dataset	0.957730	20.208	0.799980	0.008	0.806	19.402	20.216
national-longitudinal-survey-binary	0.989817	0.946	0.799918	0.002	0.051	0.895	0.948
okcupid_stem	0.732196	8.911	0.799977	0.004	0.177	8.734	8.915
one-hundred-plants-margin	0.796875	4.469	0.800000	0.003	0.116	4.353	4.472
one-hundred-plants-shape	0.737500	4.564	0.800000	0.003	0.224	4.340	4.567
one-hundred-plants-texture	0.878125	4.539	0.799875	0.003	0.111	4.428	4.541
optdigits	0.989324	2.362	0.800000	0.004	0.197	2.165	2.366
ozone-level-8hr	0.956607	1.174	0.799921	0.003	0.133	1.040	1.177
page-blocks	0.975342	0.909	0.799927	0.003	0.035	0.874	0.912
pendigits	0.994998	2.512	0.799945	0.003	0.119	2.392	2.514
phoneme	0.874191	0.529	0.799963	0.002	0.022	0.507	0.531
pol	0.977194	2.731	0.799940	0.003	0.110	2.620	2.734
predict_students_dropout_and_academic_success	0.784181	1.228	0.799955	0.002	0.083	1.146	1.231
qsar	0.895735	0.371	0.800000	0.002	0.058	0.313	0.374
rice_cammeo_and_osmancik	0.926509	0.531	0.800000	0.002	0.021	0.510	0.533
ringnorm	0.971622	1.688	0.800000	0.003	0.083	1.605	1.690
satimage	0.923017	1.913	0.800000	0.003	0.142	1.771	1.916
segment	0.932900	0.434	0.800000	0.002	0.035	0.400	0.437
seismic+bumps	0.934236	0.481	0.799923	0.002	0.033	0.448	0.483
shuttle	0.999397	34.524	0.800000	0.005	0.320	34.204	34.529
spambase	0.932682	1.760	0.799826	0.003	0.131	1.628	1.763
splice	0.884013	1.316	0.800000	0.003	0.134	1.182	1.319
sports_articles_for_objectivity_analysis	0.835000	0.450	0.800000	0.002	0.088	0.362	0.452
statlog	0.730000	0.233	0.800000	0.002	0.030	0.203	0.235
steel_plates_faults	0.784062	0.481	0.799588	0.002	0.052	0.429	0.483
sylvine	0.941463	1.102	0.799961	0.003	0.065	1.037	1.105
taiwanese_bankruptcy_prediction	0.967009	3.983	0.799971	0.004	0.346	3.637	3.987
telco-customer-churn	0.799858	1.543	0.799943	0.003	0.078	1.465	1.545
texture	0.998182	5.863	0.800000	0.005	0.126	5.737	5.867
thyroid	0.987500	1.650	0.800000	0.003	0.068	1.583	1.653
thyroid-ann	0.980132	0.817	0.799841	0.003	0.046	0.771	0.820
thyroid-dis	0.683929	0.657	0.800000	0.002	0.051	0.606	0.659
turiye_student_evaluation	0.493127	1.589	0.800000	0.003	0.104	1.485	1.592
twonorm	0.979730	1.697	0.800000	0.003	0.090	1.607	1.700
vehicle	0.847059	0.206	0.799054	0.002	0.027	0.179	0.208
wall-robot-navigation	0.964286	1.275	0.799853	0.003	0.077	1.198	1.277
water_quality	0.905625	1.690	0.799900	0.003	0.062	1.628	1.693
