dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.440154	4.587	0.799845
Amazon_employee_access	0.942173	14.322	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.735103	5.143	0.799980
BNG(breast-w)	0.984887	21.227	0.799980
BNG(cmc)	0.570976	35.700	0.799986
BNG(tic-tac-toe)	0.790831	20.871	0.799980
Bank_Customer_Churn_Dataset	0.860500	6.357	0.800000
Basketball_c	0.690299	4.600	0.800000
Cardiovascular-Disease-dataset	0.729714	49.578	0.800000
Click_prediction_small	0.831414	6.437	0.799990
Credit_c	0.704136	42.010	0.801311
Customer_Personality_Analysis	0.890625	0.970	0.800000
Diabetic_Retinopathy_Debrecen	0.722944	0.703	0.799305
E-CommereShippingData	0.668182	2.617	0.799982
Employee	0.843179	1.158	0.799914
FICO-HELOC-cleaned	0.745823	3.101	0.799919
Firm-Teacher_Clave-Direction_Classification	0.639815	2.746	0.800000
Fitness_Club_c	0.788591	0.458	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.546875	0.654	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.565625	0.633	0.800000
Gender_Gap_in_Spanish_WP	0.591579	1.133	0.799831
GesturePhaseSegmentationProcessed	0.582785	3.334	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.848953	2.180	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.765	0.800000
INNHotelsGroup	0.864921	16.077	0.800000
Indian_pines	0.889557	11.824	0.799978
JapaneseVowels	0.993979	2.488	0.799920
KDDCup09_upselling	0.762183	2.098	0.799922
MIC	0.900000	1.368	0.799879
MagicTelescope	0.873291	5.107	0.800000
Marketing_Campaign	0.895089	0.810	0.800000
Mobile_Price_Classification	0.852500	0.711	0.800000
National_Health_and_Nutrition_Health_Survey	0.842105	0.622	0.799824
PhishingWebsites	0.972863	3.500	0.800000
PieChart3	0.875000	0.634	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.412	0.799479
PizzaCutter3	0.880383	0.656	0.799616
Pumpkin_Seeds	0.874000	0.677	0.800000
QSAR_biodegradation	0.890995	0.679	0.799810
SDSS17	0.969950	97.873	0.800000
Satellite	0.992157	1.813	0.800000
Telecom_Churn_Dataset	0.929535	0.917	0.799880
UJI_Pen_Characters	0.483516	2.976	0.799853
Water_Quality_and_Potability	0.635671	0.765	0.799756
Wilt	0.989637	2.109	0.799834
abalone	0.637560	0.948	0.799856
ada	0.851807	1.732	0.799855
ada_agnostic	0.837897	1.794	0.799868
ada_prior	0.837989	1.100	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.565000	0.527	0.800000
allbp	0.976159	1.361	0.799841
allrep	0.970861	1.196	0.799841
analcatdata_authorship	0.976331	0.759	0.799049
artificial-characters	0.698630	2.196	0.799961
autoUniv-au4-2500	0.500000	1.851	0.800000
autoUniv-au7-1100	0.322727	1.797	0.800000
bank	0.893951	23.451	0.799982
banknote_authentication	0.560000	0.368	0.799563
baseball	0.944030	0.572	0.800000
car-evaluation	0.719653	0.637	0.799769
churn	0.933000	1.391	0.800000
cmc	0.579661	0.515	0.799728
company_bankruptcy_prediction	0.971408	4.326	0.799971
contraceptive_method_choice	0.572881	0.841	0.799728
credit	0.779240	4.347	0.799988
default_of_credit_card_clients	0.825000	12.661	0.800000
delta_ailerons	0.948107	1.067	0.799972
dis	0.984106	1.195	0.799841
dna	0.923197	3.584	0.799749
drug_consumption	0.397878	0.596	0.799894
dry_bean_dataset	0.925450	3.739	0.799941
eeg-eye-state	0.938585	3.961	0.800000
electricity	0.827320	21.839	0.799987
estimation_of_obesity_levels	0.973995	2.095	0.799621
eye_movements	0.560329	3.392	0.799927
eye_movements_bin	0.597240	2.027	0.799947
first-order-theorem-proving	0.609477	2.651	0.799935
gas-drift	0.993530	11.628	0.800000
gina_agnostic	0.721902	23.252	0.799885
golf_play_dataset_extended	0.922374	0.468	0.800000
heloc	0.720000	2.836	0.800000
house_16H	0.880282	3.757	0.799970
htru	0.979609	4.576	0.799978
ibm-employee-performance	0.986395	0.735	0.800000
in_vehicle_coupon_recommendation	0.687578	3.357	0.800729
internet_firewall	0.802014	41.926	0.799991
jm1	0.813505	3.016	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.782686	20.968	0.799996
kdd_ipums_la_97-small	0.852601	1.389	0.799923
kr-vs-k	0.629544	27.915	0.799971
kropt	0.632038	28.481	0.799971
led24	0.725000	1.016	0.800000
led7	0.734375	0.782	0.800000
letter	0.959250	20.080	0.800000
mammography	0.988824	1.843	0.799964
maternal_health_risk	0.793103	0.464	0.799803
mfeat-factors	0.967500	2.819	0.800000
mfeat-fourier	0.890000	1.281	0.800000
mfeat-karhunen	0.962500	1.241	0.800000
mfeat-morphological	0.770000	1.621	0.800000
mfeat-pixel	0.937500	3.130	0.800000
mfeat-zernike	0.820000	0.970	0.800000
mice_protein_expression	1.000000	1.008	0.800000
microaggregation2	0.610500	6.468	0.800000
mobile_c36_oversampling	0.968991	20.657	0.800000
mozilla4	0.917337	1.911	0.800000
naticusdroid+android+permissions+dataset	0.955003	20.471	0.799980
national-longitudinal-survey-binary	0.986762	1.444	0.799919
okcupid_stem	0.734070	9.358	0.799978
one-hundred-plants-margin	0.731250	4.816	0.800000
one-hundred-plants-shape	0.750000	4.756	0.800000
one-hundred-plants-texture	0.862500	4.790	0.799875
optdigits	0.989324	2.640	0.800000
ozone-level-8hr	0.952663	1.446	0.799921
page-blocks	0.976256	1.187	0.799927
pendigits	0.995452	2.795	0.799945
phoneme	0.878816	0.851	0.799963
pol	0.972236	3.002	0.799940
predict_students_dropout_and_academic_success	0.754802	1.554	0.799955
qsar	0.895735	0.677	0.800000
rice_cammeo_and_osmancik	0.929134	0.811	0.800000
ringnorm	0.975000	2.015	0.800000
satimage	0.919907	2.175	0.800000
segment	0.935065	0.713	0.800000
seismic+bumps	0.932302	0.783	0.799923
shuttle	0.999569	34.397	0.800000
spambase	0.933768	2.084	0.799826
splice	0.880878	1.610	0.800000
sports_articles_for_objectivity_analysis	0.830000	0.729	0.800000
statlog	0.760000	0.511	0.800000
steel_plates_faults	0.789203	0.768	0.799588
sylvine	0.936585	1.384	0.799961
taiwanese_bankruptcy_prediction	0.970674	5.313	0.799971
telco-customer-churn	0.795600	1.816	0.799943
texture	1.000000	7.094	0.800000
thyroid	0.984722	1.998	0.800000
thyroid-ann	0.977483	1.100	0.799841
thyroid-dis	0.691071	0.934	0.800000
turiye_student_evaluation	0.495704	1.850	0.800000
twonorm	0.979730	1.974	0.800000
vehicle	0.841176	0.520	0.799054
wall-robot-navigation	0.960623	1.549	0.799853
water_quality	0.907500	2.000	0.799900
waveform-5000	0.858000	1.841	0.800000
waveform_database_generator_version_1	0.859000	1.377	0.800000
website_phishing	0.904059	0.498	0.799704
wine-quality-red	0.587500	0.501	0.799875
wine-quality-white	0.605102	1.092	0.799918
yeast	0.612795	0.533	0.799865
