dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.324324	6.485	0.799845
Amazon_employee_access	0.942173	14.174	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.725088	5.029	0.799980
BNG(breast-w)	0.979934	20.782	0.799980
BNG(cmc)	0.546112	35.109	0.799986
BNG(tic-tac-toe)	0.715011	20.514	0.799980
Bank_Customer_Churn_Dataset	0.814500	6.059	0.800000
Basketball_c	0.686567	4.312	0.800000
Cardiovascular-Disease-dataset	0.674071	49.358	0.800000
Click_prediction_small	0.831539	6.367	0.799990
Credit_c	0.633168	41.916	0.801311
Customer_Personality_Analysis	0.870536	0.934	0.800000
Diabetic_Retinopathy_Debrecen	0.632035	0.717	0.799305
E-CommereShippingData	0.654091	2.639	0.799982
Employee	0.747583	1.136	0.799914
FICO-HELOC-cleaned	0.729620	3.096	0.799919
Firm-Teacher_Clave-Direction_Classification	0.506481	2.732	0.800000
Fitness_Club_c	0.805369	0.453	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.493750	0.657	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.540625	0.626	0.800000
Gender_Gap_in_Spanish_WP	0.588421	1.158	0.799831
GesturePhaseSegmentationProcessed	0.451646	3.293	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.836273	2.138	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	0.738	0.800000
INNHotelsGroup	0.803997	16.237	0.800000
Indian_pines	0.729907	11.911	0.799978
JapaneseVowels	0.957351	2.484	0.799920
KDDCup09_upselling	0.662768	2.084	0.799922
MIC	0.866667	2.402	0.799879
MagicTelescope	0.825710	5.103	0.800000
Marketing_Campaign	0.875000	0.782	0.800000
Mobile_Price_Classification	0.357500	0.707	0.800000
National_Health_and_Nutrition_Health_Survey	0.839912	0.558	0.799824
PhishingWebsites	0.844867	3.472	0.800000
PieChart3	0.875000	0.622	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.422	0.799479
PizzaCutter3	0.880383	0.632	0.799616
Pumpkin_Seeds	0.864000	0.704	0.800000
QSAR_biodegradation	0.824645	0.667	0.799810
SDSS17	0.841100	99.403	0.800000
Satellite	0.990196	1.744	0.800000
