dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.428571	6.850	0.799845
Amazon_employee_access	0.941715	14.654	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.731597	5.384	0.799980
BNG(breast-w)	0.985014	21.232	0.799980
BNG(cmc)	0.572423	36.010	0.799986
BNG(tic-tac-toe)	0.784354	21.047	0.799980
Bank_Customer_Churn_Dataset	0.864500	6.600	0.800000
Basketball_c	0.697761	4.616	0.800000
Cardiovascular-Disease-dataset	0.727786	49.535	0.800000
Click_prediction_small	0.831414	6.457	0.799990
Credit_c	0.696278	42.158	0.801311
Customer_Personality_Analysis	0.881696	0.966	0.800000
Diabetic_Retinopathy_Debrecen	0.740260	0.730	0.799305
E-CommereShippingData	0.666364	2.683	0.799982
Employee	0.842105	1.150	0.799914
FICO-HELOC-cleaned	0.737722	3.071	0.799919
Firm-Teacher_Clave-Direction_Classification	0.632870	2.761	0.800000
Fitness_Club_c	0.791946	0.483	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.646875	0.625	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.590625	0.636	0.800000
Gender_Gap_in_Spanish_WP	0.596842	1.172	0.799831
GesturePhaseSegmentationProcessed	0.595443	3.322	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.846748	2.119	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.860544	0.690	0.800000
INNHotelsGroup	0.865196	16.031	0.800000
Indian_pines	0.910334	11.997	0.799978
JapaneseVowels	0.992474	2.488	0.799920
KDDCup09_upselling	0.758285	2.088	0.799922
MIC	0.906061	1.382	0.799879
MagicTelescope	0.874080	5.128	0.800000
Marketing_Campaign	0.897321	0.810	0.800000
Mobile_Price_Classification	0.605000	0.696	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.596	0.799824
PhishingWebsites	0.970149	3.540	0.800000
PieChart3	0.875000	0.619	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.432	0.799479
PizzaCutter3	0.880383	0.800	0.799616
Pumpkin_Seeds	0.876000	0.703	0.800000
QSAR_biodegradation	0.886256	0.702	0.799810
SDSS17	0.970200	97.477	0.800000
Satellite	0.992157	1.785	0.800000
Telecom_Churn_Dataset	0.929535	1.006	0.799880
UJI_Pen_Characters	0.494505	3.085	0.799853
Water_Quality_and_Potability	0.635671	0.772	0.799756
