dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.432432	7.095	0.799845
Amazon_employee_access	0.942173	14.682	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.733100	5.588	0.799980
BNG(breast-w)	0.985395	21.405	0.799980
BNG(cmc)	0.570072	35.994	0.799986
BNG(tic-tac-toe)	0.770257	21.612	0.799980
Bank_Customer_Churn_Dataset	0.862000	6.798	0.800000
Basketball_c	0.694030	5.059	0.800000
Cardiovascular-Disease-dataset	0.727429	49.689	0.800000
Click_prediction_small	0.831915	6.461	0.799990
Credit_c	0.694872	42.237	0.801311
Customer_Personality_Analysis	0.892857	0.947	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.693	0.799305
E-CommereShippingData	0.668182	2.714	0.799982
Employee	0.843179	1.173	0.799914
FICO-HELOC-cleaned	0.740759	3.180	0.799919
Firm-Teacher_Clave-Direction_Classification	0.619444	2.740	0.800000
Fitness_Club_c	0.795302	0.511	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.556250	0.642	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.637500	0.631	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.134	0.799831
GesturePhaseSegmentationProcessed	0.596456	3.331	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.847299	2.136	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.741	0.800000
INNHotelsGroup	0.860234	16.230	0.800000
Indian_pines	0.893931	11.904	0.799978
JapaneseVowels	0.990968	2.509	0.799920
KDDCup09_upselling	0.751462	2.097	0.799922
MIC	0.887879	1.417	0.799879
MagicTelescope	0.875920	5.095	0.800000
Marketing_Campaign	0.904018	0.803	0.800000
Mobile_Price_Classification	0.870000	0.729	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.585	0.799824
PhishingWebsites	0.961556	3.504	0.800000
PieChart3	0.875000	0.643	0.799443
Pima_Indians_Diabetes_Database	0.759740	0.436	0.799479
PizzaCutter3	0.880383	0.659	0.799616
Pumpkin_Seeds	0.876000	0.681	0.800000
QSAR_biodegradation	0.890995	0.686	0.799810
SDSS17	0.970000	98.995	0.800000
Satellite	0.992157	1.786	0.800000
Telecom_Churn_Dataset	0.934033	0.943	0.799880
UJI_Pen_Characters	0.472527	2.934	0.799853
Water_Quality_and_Potability	0.632622	0.775	0.799756
Wilt	0.989637	0.790	0.799834
abalone	0.639952	0.927	0.799856
ada	0.851807	1.689	0.799855
ada_agnostic	0.829135	1.846	0.799868
ada_prior	0.841341	1.120	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.577500	0.538	0.800000
allbp	0.976159	1.237	0.799841
allrep	0.968212	1.211	0.799841
analcatdata_authorship	0.982249	0.750	0.799049
artificial-characters	0.673679	2.213	0.799961
autoUniv-au4-2500	0.490000	1.855	0.800000
autoUniv-au7-1100	0.372727	0.507	0.800000
bank	0.896605	23.942	0.799982
banknote_authentication	0.556364	0.374	0.799563
baseball	0.944030	0.563	0.800000
car-evaluation	0.794798	0.646	0.799769
churn	0.937000	1.365	0.800000
cmc	0.586441	0.535	0.799728
company_bankruptcy_prediction	0.970674	4.279	0.799971
contraceptive_method_choice	0.596610	0.673	0.799728
credit	0.777146	4.422	0.799988
default_of_credit_card_clients	0.824167	12.669	0.800000
delta_ailerons	0.946704	1.053	0.799972
dis	0.984106	1.195	0.799841
dna	0.905956	3.550	0.799749
drug_consumption	0.403183	0.584	0.799894
dry_bean_dataset	0.926184	3.701	0.799941
eeg-eye-state	0.936582	3.966	0.800000
electricity	0.807238	21.867	0.799987
estimation_of_obesity_levels	0.981087	0.757	0.799621
eye_movements	0.563528	3.476	0.799927
eye_movements_bin	0.592641	2.055	0.799947
first-order-theorem-proving	0.606209	2.594	0.799935
gas-drift	0.994608	11.560	0.800000
gina_agnostic	0.708934	23.211	0.799885
golf_play_dataset_extended	0.926941	0.472	0.800000
heloc	0.715500	2.835	0.800000
house_16H	0.877687	3.612	0.799970
htru	0.979609	4.566	0.799978
ibm-employee-performance	0.986395	0.794	0.800000
in_vehicle_coupon_recommendation	0.673037	3.348	0.800729
internet_firewall	0.807813	41.772	0.799991
jm1	0.816720	2.999	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.779897	21.246	0.799996
kdd_ipums_la_97-small	0.851638	1.409	0.799923
kr-vs-k	0.558624	29.599	0.799971
kropt	0.558268	29.267	0.799971
led24	0.703125	1.044	0.800000
led7	0.734375	0.776	0.800000
letter	0.957000	19.005	0.800000
mammography	0.987483	1.813	0.799964
maternal_health_risk	0.748768	0.447	0.799803
mfeat-factors	0.970000	2.824	0.800000
mfeat-fourier	0.867500	1.277	0.800000
mfeat-karhunen	0.965000	1.235	0.800000
mfeat-morphological	0.762500	0.589	0.800000
mfeat-pixel	0.947500	3.116	0.800000
mfeat-zernike	0.817500	0.969	0.800000
mice_protein_expression	1.000000	0.970	0.800000
microaggregation2	0.616500	6.536	0.800000
mobile_c36_oversampling	0.962036	20.624	0.800000
mozilla4	0.917015	1.875	0.800000
naticusdroid+android+permissions+dataset	0.950230	20.459	0.799980
national-longitudinal-survey-binary	0.992872	1.265	0.799919
okcupid_stem	0.734633	9.328	0.799978
one-hundred-plants-margin	0.784375	4.663	0.800000
one-hundred-plants-shape	0.721875	4.733	0.800000
one-hundred-plants-texture	0.875000	4.981	0.799875
optdigits	0.989324	2.650	0.800000
ozone-level-8hr	0.948718	1.451	0.799921
page-blocks	0.975342	1.187	0.799927
pendigits	0.995452	2.784	0.799945
phoneme	0.871415	0.850	0.799963
pol	0.977690	2.986	0.799940
predict_students_dropout_and_academic_success	0.767232	1.511	0.799955
qsar	0.881517	0.642	0.800000
rice_cammeo_and_osmancik	0.927822	0.801	0.800000
ringnorm	0.977703	1.968	0.800000
satimage	0.919129	2.179	0.800000
segment	0.932900	0.713	0.800000
seismic+bumps	0.934236	0.788	0.799923
shuttle	0.999397	34.139	0.800000
spambase	0.935939	2.058	0.799826
splice	0.891850	1.630	0.800000
sports_articles_for_objectivity_analysis	0.835000	0.724	0.800000
statlog	0.730000	0.532	0.800000
steel_plates_faults	0.768638	0.746	0.799588
sylvine	0.939512	1.404	0.799961
taiwanese_bankruptcy_prediction	0.969941	4.370	0.799971
telco-customer-churn	0.794180	1.827	0.799943
texture	0.999091	6.499	0.800000
thyroid	0.986806	1.974	0.800000
thyroid-ann	0.984106	1.090	0.799841
thyroid-dis	0.694643	0.962	0.800000
turiye_student_evaluation	0.493986	1.860	0.800000
twonorm	0.980405	2.018	0.800000
vehicle	0.841176	0.538	0.799054
wall-robot-navigation	0.952381	1.547	0.799853
water_quality	0.899375	1.978	0.799900
waveform-5000	0.868000	1.842	0.800000
waveform_database_generator_version_1	0.863000	1.378	0.800000
website_phishing	0.904059	0.490	0.799704
wine-quality-red	0.578125	0.508	0.799875
wine-quality-white	0.601020	1.096	0.799918
yeast	0.602694	0.525	0.799865
