model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-50	149	0.375677	865.907	5.811	0.799911
step-100	149	0.492105	850.830	5.710	0.799911
step-150	149	0.524933	853.162	5.726	0.799911
step-200	149	0.534921	852.934	5.724	0.799911
step-250	149	0.533616	853.500	5.728	0.799911
step-300	149	0.534995	859.211	5.767	0.799911
step-350	149	0.535966	858.243	5.760	0.799911
step-400	149	0.535028	857.829	5.757	0.799911
step-450	149	0.537420	860.143	5.773	0.799911
step-500	149	0.541466	857.585	5.756	0.799911
step-550	149	0.548997	860.936	5.778	0.799911
step-600	149	0.557799	865.289	5.807	0.799911
step-650	149	0.570896	862.371	5.788	0.799911
step-700	149	0.598728	867.749	5.824	0.799911
step-750	149	0.623542	867.718	5.824	0.799911
step-800	149	0.634976	870.097	5.840	0.799911
step-850	149	0.642044	864.871	5.805	0.799911
step-900	149	0.643130	870.109	5.840	0.799911
step-950	149	0.657843	872.774	5.858	0.799911
step-1000	149	0.673525	874.103	5.866	0.799911
step-1050	149	0.681069	868.558	5.829	0.799911
step-1100	149	0.686066	870.351	5.841	0.799911
step-1150	149	0.686161	875.346	5.875	0.799911
step-1200	149	0.688451	869.566	5.836	0.799911
step-1250	149	0.685018	872.725	5.857	0.799911
step-1300	149	0.691388	872.374	5.855	0.799911
step-1350	149	0.695220	873.800	5.864	0.799911
step-1400	149	0.702423	867.914	5.825	0.799911
step-1450	149	0.703547	868.142	5.826	0.799911
step-1500	149	0.711097	868.808	5.831	0.799911
step-1550	149	0.717961	876.959	5.886	0.799911
step-1600	149	0.716227	870.363	5.841	0.799911
step-1650	149	0.730359	873.681	5.864	0.799911
step-1700	149	0.726641	870.706	5.844	0.799911
step-1750	149	0.713584	871.668	5.850	0.799911
step-1800	149	0.720438	867.047	5.819	0.799911
step-1850	149	0.746753	875.914	5.879	0.799911
step-1900	149	0.748134	874.538	5.869	0.799911
step-1950	149	0.733567	870.009	5.839	0.799911
step-2000	149	0.754968	874.662	5.870	0.799911
step-2050	149	0.758517	870.843	5.845	0.799911
step-2100	149	0.755173	873.175	5.860	0.799911
step-2150	149	0.766173	872.577	5.856	0.799911
step-2200	149	0.758092	875.012	5.873	0.799911
step-2250	149	0.768934	875.926	5.879	0.799911
step-2300	149	0.770978	868.651	5.830	0.799911
step-2350	149	0.758681	873.131	5.860	0.799911
step-2400	149	0.753060	873.917	5.865	0.799911
step-2450	149	0.755208	870.852	5.845	0.799911
step-2500	149	0.762834	873.256	5.861	0.799911
step-2550	149	0.780062	873.606	5.863	0.799911
step-2600	149	0.779961	874.350	5.868	0.799911
step-2650	149	0.782109	873.942	5.865	0.799911
step-2700	149	0.776293	875.683	5.877	0.799911
step-2750	149	0.783289	875.742	5.877	0.799911
step-2800	149	0.780150	870.991	5.846	0.799911
step-2850	149	0.778574	869.744	5.837	0.799911
step-2900	149	0.788168	872.555	5.856	0.799911
step-2950	149	0.787815	874.059	5.866	0.799911
step-3000	149	0.790469	869.675	5.837	0.799911
step-3050	149	0.784535	877.619	5.890	0.799911
step-3100	149	0.789095	872.284	5.854	0.799911
step-3150	149	0.780088	871.957	5.852	0.799911
step-3200	149	0.785526	868.863	5.831	0.799911
step-3250	149	0.788849	875.737	5.877	0.799911
step-3300	149	0.789812	872.020	5.852	0.799911
step-3350	149	0.793311	873.884	5.865	0.799911
step-3400	149	0.789890	876.087	5.880	0.799911
step-3450	149	0.794661	874.002	5.866	0.799911
step-3500	149	0.797645	871.109	5.846	0.799911
step-3550	149	0.793297	873.678	5.864	0.799911
step-3600	149	0.798405	874.299	5.868	0.799911
step-3650	149	0.795876	867.367	5.821	0.799911
step-3700	149	0.795025	872.968	5.859	0.799911
step-3750	149	0.798469	875.510	5.876	0.799911
step-3800	149	0.799476	872.018	5.852	0.799911
step-3850	149	0.798995	870.113	5.840	0.799911
step-3900	149	0.801875	870.903	5.845	0.799911
step-3950	149	0.801733	871.057	5.846	0.799911
step-4000	149	0.799312	872.948	5.859	0.799911
step-4050	149	0.802680	871.198	5.847	0.799911
step-4100	149	0.803499	872.683	5.857	0.799911
step-4150	149	0.803407	870.280	5.841	0.799911
step-4200	149	0.805354	872.963	5.859	0.799911
step-4250	149	0.802938	874.921	5.872	0.799911
step-4300	149	0.804821	873.284	5.861	0.799911
step-4350	149	0.807782	872.933	5.859	0.799911
step-4400	149	0.807489	870.809	5.844	0.799911
step-4450	149	0.806720	869.736	5.837	0.799911
step-4500	149	0.805330	872.909	5.858	0.799911
step-4550	149	0.807815	868.673	5.830	0.799911
step-4600	149	0.804446	874.373	5.868	0.799911
step-4650	149	0.808147	871.590	5.850	0.799911
step-4700	149	0.809497	871.716	5.850	0.799911
step-4750	149	0.807605	871.338	5.848	0.799911
step-4800	149	0.810128	877.612	5.890	0.799911
step-4850	149	0.810405	873.602	5.863	0.799911
step-4900	149	0.812328	874.886	5.872	0.799911
step-4950	149	0.812525	873.967	5.866	0.799911
step-5000	149	0.813265	879.389	5.902	0.799911
step-5050	149	0.812854	871.921	5.852	0.799911
step-5100	149	0.810941	869.464	5.835	0.799911
step-5150	149	0.811326	874.149	5.867	0.799911
step-5200	149	0.811725	873.205	5.860	0.799911
step-5250	149	0.812412	870.093	5.840	0.799911
step-5300	149	0.811997	870.939	5.845	0.799911
step-5350	149	0.811223	872.505	5.856	0.799911
step-5400	149	0.811081	872.761	5.857	0.799911
step-5450	149	0.812110	869.130	5.833	0.799911
step-5500	149	0.814069	870.288	5.841	0.799911
step-5550	149	0.812675	871.608	5.850	0.799911
step-5600	149	0.812987	869.765	5.837	0.799911
step-5650	149	0.815110	870.559	5.843	0.799911
step-5700	149	0.812449	870.777	5.844	0.799911
step-5750	149	0.814542	871.467	5.849	0.799911
step-5800	149	0.811496	871.522	5.849	0.799911
step-5850	149	0.814759	866.609	5.816	0.799911
step-5900	149	0.813743	873.160	5.860	0.799911
step-5950	149	0.813197	867.167	5.820	0.799911
step-6000	149	0.816396	868.268	5.827	0.799911
step-6050	149	0.812709	873.756	5.864	0.799911
step-6100	149	0.815309	872.665	5.857	0.799911
step-6150	149	0.815331	872.557	5.856	0.799911
step-6200	149	0.813522	870.533	5.843	0.799911
step-6250	149	0.817050	873.720	5.864	0.799911
step-6300	149	0.814623	871.057	5.846	0.799911
step-6350	149	0.814655	870.012	5.839	0.799911
step-6400	149	0.813069	870.165	5.840	0.799911
