dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.420849	2.526	0.799845	0.003	0.222	2.303	2.528
Amazon_employee_access	0.942173	10.117	0.799994	0.004	0.143	9.974	10.120
BLE_RSSI_dataset_for_Indoor_localization	0.732098	1.018	0.799980	0.002	0.034	0.984	1.020
BNG(breast-w)	0.986157	16.721	0.799980	0.004	0.236	16.485	16.726
BNG(cmc)	0.572152	30.975	0.799986	0.005	0.307	30.668	30.980
BNG(tic-tac-toe)	0.794895	16.677	0.799980	0.004	0.246	16.432	16.681
Bank_Customer_Churn_Dataset	0.866000	2.021	0.800000	0.002	0.087	1.935	2.024
Basketball_c	0.694030	0.247	0.800000	0.002	0.033	0.214	0.250
Cardiovascular-Disease-dataset	0.730071	50.466	0.800000	0.006	0.399	50.067	50.472
Click_prediction_small	0.832165	6.015	0.799990	0.003	0.075	5.940	6.018
Credit_c	0.701985	42.398	0.801311	0.006	0.844	41.554	42.403
Customer_Personality_Analysis	0.890625	0.493	0.800000	0.002	0.046	0.447	0.495
Diabetic_Retinopathy_Debrecen	0.757576	0.265	0.799305	0.002	0.030	0.234	0.267
E-CommereShippingData	0.665455	2.109	0.799982	0.003	0.062	2.047	2.112
Employee	0.848550	0.705	0.799914	0.003	0.025	0.680	0.708
FICO-HELOC-cleaned	0.739747	2.550	0.799919	0.004	0.130	2.420	2.554
Firm-Teacher_Clave-Direction_Classification	0.738426	2.408	0.800000	0.003	0.101	2.308	2.411
Fitness_Club_c	0.791946	0.188	0.799596	0.003	0.014	0.174	0.190
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.565625	0.336	0.800000	0.003	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.675000	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.593684	0.846	0.799831	0.003	0.037	0.809	0.848
GesturePhaseSegmentationProcessed	0.640000	2.962	0.799959	0.003	0.165	2.797	2.965
HR_Analytics_Job_Change_of_Data_Scientists	0.853363	1.815	0.797432	0.003	0.060	1.754	1.818
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.410	0.800000	0.002	0.051	0.359	0.413
INNHotelsGroup	0.866713	15.870	0.800000	0.004	0.302	15.568	15.874
Indian_pines	0.930563	11.320	0.799978	0.008	0.970	10.350	11.329
JapaneseVowels	0.992975	2.162	0.799920	0.003	0.081	2.082	2.166
KDDCup09_upselling	0.777778	1.798	0.799922	0.003	0.144	1.655	1.802
MIC	0.900000	1.072	0.799879	0.003	0.161	0.911	1.075
MagicTelescope	0.874606	4.769	0.800000	0.004	0.110	4.659	4.773
Marketing_Campaign	0.901786	0.504	0.800000	0.004	0.048	0.456	0.508
Mobile_Price_Classification	0.967500	0.410	0.800000	0.002	0.038	0.372	0.413
National_Health_and_Nutrition_Health_Survey	0.837719	0.293	0.799824	0.003	0.019	0.274	0.296
PhishingWebsites	0.972863	3.193	0.800000	0.003	0.146	3.047	3.196
PieChart3	0.875000	0.357	0.799443	0.003	0.056	0.300	0.359
Pima_Indians_Diabetes_Database	0.753247	0.142	0.799479	0.003	0.014	0.128	0.144
PizzaCutter3	0.885167	0.350	0.799617	0.002	0.054	0.296	0.352
Pumpkin_Seeds	0.872000	0.400	0.800000	0.002	0.026	0.374	0.402
QSAR_biodegradation	0.881517	0.377	0.799810	0.003	0.061	0.316	0.380
SDSS17	0.971550	97.176	0.800000	0.006	0.676	96.500	97.182
Satellite	0.993137	1.478	0.800000	0.003	0.106	1.372	1.481
Telecom_Churn_Dataset	0.941529	0.655	0.799880	0.005	0.041	0.614	0.660
UJI_Pen_Characters	0.487179	2.737	0.799853	0.002	0.119	2.618	2.740
Water_Quality_and_Potability	0.640244	0.492	0.799756	0.003	0.022	0.470	0.495
Wilt	0.989637	0.479	0.799834	0.002	0.019	0.460	0.481
abalone	0.639952	0.644	0.799856	0.003	0.026	0.617	0.647
ada	0.846988	1.378	0.799855	0.003	0.101	1.277	1.381
ada_agnostic	0.833516	1.539	0.799868	0.003	0.107	1.432	1.542
ada_prior	0.833520	0.820	0.799955	0.003	0.038	0.782	0.823
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.580000	0.259	0.800000	0.002	0.017	0.242	0.261
allbp	0.973510	0.918	0.799841	0.003	0.059	0.859	0.920
allrep	0.976159	0.921	0.799841	0.003	0.058	0.863	0.924
analcatdata_authorship	0.994083	0.455	0.799049	0.003	0.094	0.361	0.458
artificial-characters	0.697162	1.897	0.799961	0.003	0.045	1.852	1.900
autoUniv-au4-2500	0.502000	1.526	0.800000	0.003	0.192	1.334	1.530
autoUniv-au7-1100	0.340909	0.205	0.800000	0.002	0.020	0.185	0.208
bank	0.896495	23.360	0.799982	0.005	0.381	22.979	23.365
banknote_authentication	0.560000	0.098	0.799563	0.002	0.010	0.088	0.101
baseball	0.947761	0.270	0.800000	0.003	0.028	0.242	0.273
car-evaluation	0.869942	0.371	0.799769	0.003	0.036	0.335	0.373
churn	0.941000	1.078	0.800000	0.003	0.062	1.017	1.081
cmc	0.593220	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.969941	3.956	0.799971	0.004	0.323	3.633	3.960
contraceptive_method_choice	0.616949	0.233	0.799728	0.002	0.017	0.216	0.235
credit	0.780138	3.973	0.799988	0.004	0.093	3.880	3.977
default_of_credit_card_clients	0.823333	12.222	0.800000	0.004	0.380	11.842	12.226
delta_ailerons	0.946704	0.761	0.799972	0.003	0.026	0.735	0.764
dis	0.985430	0.921	0.799841	0.003	0.060	0.860	0.924
dna	0.935737	3.270	0.799749	0.004	0.361	2.909	3.274
drug_consumption	0.403183	0.308	0.799894	0.003	0.023	0.285	0.311
dry_bean_dataset	0.925817	3.331	0.799941	0.004	0.121	3.210	3.334
eeg-eye-state	0.959613	3.656	0.800000	0.004	0.121	3.535	3.660
electricity	0.822244	21.555	0.799987	0.004	0.256	21.299	21.560
estimation_of_obesity_levels	0.976359	0.395	0.799621	0.002	0.030	0.366	0.397
eye_movements	0.582724	3.017	0.799927	0.004	0.163	2.853	3.020
eye_movements_bin	0.588042	1.749	0.799947	0.003	0.092	1.657	1.752
first-order-theorem-proving	0.616830	2.225	0.799935	0.003	0.166	2.058	2.228
gas-drift	0.995687	11.193	0.800000	0.007	1.019	10.174	11.200
gina_agnostic	0.824207	23.301	0.799885	0.011	2.306	20.996	23.313
golf_play_dataset_extended	0.931507	0.195	0.800000	0.003	0.016	0.179	0.198
heloc	0.721000	2.553	0.800000	0.004	0.114	2.439	2.556
house_16H	0.882506	3.278	0.799970	0.003	0.118	3.160	3.282
htru	0.979330	4.323	0.799978	0.003	0.087	4.236	4.326
ibm-employee-performance	0.982993	0.405	0.800000	0.003	0.051	0.355	0.408
in_vehicle_coupon_recommendation	0.687993	3.033	0.800729	0.003	0.130	2.903	3.036
internet_firewall	0.802243	42.904	0.799991	0.004	0.188	42.716	42.908
jm1	0.819936	2.705	0.800000	0.004	0.119	2.586	2.708
jungle_chess_2pcs_raw_endgame_complete	0.848282	20.713	0.799996	0.004	0.187	20.527	20.718
kdd_ipums_la_97-small	0.865125	1.108	0.799923	0.003	0.060	1.047	1.111
kr-vs-k	0.625267	29.185	0.799971	0.004	0.130	29.055	29.189
kropt	0.628653	27.336	0.799971	0.004	0.115	27.221	27.340
led24	0.723437	0.721	0.800000	0.003	0.056	0.665	0.723
led7	0.737500	0.452	0.800000	0.003	0.019	0.433	0.455
letter	0.971000	19.600	0.800000	0.004	0.179	19.421	19.604
mammography	0.989718	1.537	0.799964	0.003	0.043	1.494	1.540
maternal_health_risk	0.812808	0.168	0.799803	0.002	0.012	0.156	0.171
mfeat-factors	0.975000	2.510	0.800000	0.004	0.362	2.148	2.514
mfeat-fourier	0.890000	0.990	0.800000	0.004	0.133	0.857	0.993
mfeat-karhunen	0.967500	0.866	0.800000	0.003	0.110	0.756	0.869
mfeat-morphological	0.750000	0.271	0.800000	0.002	0.016	0.255	0.273
mfeat-pixel	0.960000	2.813	0.800000	0.004	0.413	2.400	2.817
mfeat-zernike	0.805000	0.698	0.800000	0.003	0.091	0.607	0.701
mice_protein_expression	1.000000	0.584	0.800000	0.003	0.108	0.476	0.587
microaggregation2	0.624500	6.160	0.800000	0.004	0.191	5.970	6.164
mobile_c36_oversampling	0.971600	20.490	0.800000	0.003	0.198	20.292	20.493
mozilla4	0.924091	1.596	0.800000	0.003	0.048	1.548	1.599
naticusdroid+android+permissions+dataset	0.964547	20.046	0.799980	0.009	0.809	19.237	20.055
national-longitudinal-survey-binary	0.991853	0.941	0.799918	0.003	0.049	0.892	0.944
okcupid_stem	0.733133	8.962	0.799977	0.004	0.178	8.784	8.966
one-hundred-plants-margin	0.825000	4.410	0.800000	0.003	0.115	4.295	4.413
one-hundred-plants-shape	0.740625	4.427	0.800000	0.003	0.114	4.313	4.429
one-hundred-plants-texture	0.884375	4.292	0.799875	0.003	0.108	4.183	4.295
optdigits	0.992883	2.352	0.800000	0.004	0.187	2.166	2.356
ozone-level-8hr	0.956607	1.174	0.799921	0.006	0.133	1.041	1.180
page-blocks	0.976256	0.909	0.799927	0.002	0.035	0.874	0.912
pendigits	0.994998	2.484	0.799945	0.003	0.104	2.380	2.487
phoneme	0.883441	0.525	0.799963	0.003	0.021	0.504	0.528
pol	0.979177	2.730	0.799940	0.003	0.110	2.619	2.733
predict_students_dropout_and_academic_success	0.768362	1.225	0.799955	0.003	0.083	1.142	1.228
qsar	0.905213	0.368	0.800000	0.003	0.058	0.310	0.370
rice_cammeo_and_osmancik	0.927822	0.526	0.800000	0.002	0.021	0.505	0.528
ringnorm	0.980405	1.683	0.800000	0.003	0.082	1.601	1.686
satimage	0.916796	1.899	0.800000	0.003	0.129	1.771	1.903
segment	0.939394	0.433	0.800000	0.003	0.035	0.399	0.436
seismic+bumps	0.934236	0.478	0.799923	0.002	0.034	0.445	0.481
shuttle	0.999310	34.372	0.800000	0.005	0.319	34.053	34.377
spambase	0.946797	1.758	0.799826	0.004	0.134	1.623	1.762
splice	0.868339	1.306	0.800000	0.003	0.134	1.172	1.309
sports_articles_for_objectivity_analysis	0.855000	0.449	0.800000	0.003	0.087	0.362	0.452
statlog	0.735000	0.233	0.800000	0.004	0.030	0.203	0.237
steel_plates_faults	0.778920	0.478	0.799588	0.002	0.049	0.429	0.481
sylvine	0.939512	1.102	0.799961	0.003	0.064	1.038	1.105
taiwanese_bankruptcy_prediction	0.969208	3.963	0.799971	0.005	0.322	3.641	3.968
telco-customer-churn	0.799148	1.537	0.799943	0.003	0.074	1.463	1.540
texture	1.000000	6.107	0.800000	0.003	0.129	5.979	6.111
thyroid	0.990278	1.650	0.800000	0.003	0.068	1.582	1.653
thyroid-ann	0.986755	0.813	0.799841	0.003	0.045	0.768	0.816
thyroid-dis	0.694643	0.655	0.800000	0.003	0.050	0.605	0.658
turiye_student_evaluation	0.493127	1.582	0.800000	0.003	0.102	1.479	1.585
twonorm	0.979054	1.693	0.800000	0.003	0.087	1.606	1.696
vehicle	0.852941	0.208	0.799054	0.002	0.028	0.180	0.211
wall-robot-navigation	0.964286	1.278	0.799853	0.003	0.078	1.200	1.281
water_quality	0.904375	1.686	0.799900	0.003	0.064	1.622	1.689
waveform-5000	0.871000	1.549	0.800000	0.003	0.118	1.431	1.552
waveform_database_generator_version_1	0.868000	1.108	0.800000	0.003	0.068	1.039	1.111
website_phishing	0.907749	0.223	0.799704	0.003	0.018	0.205	0.225
wine-quality-red	0.571875	0.220	0.799875	0.002	0.010	0.210	0.223
wine-quality-white	0.610204	0.820	0.799918	0.003	0.038	0.783	0.823
yeast	0.622896	0.227	0.799865	0.003	0.017	0.211	0.230
