dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.424710	2.471	0.799845	0.003	0.205	2.265	2.474
Amazon_employee_access	0.942173	10.279	0.799994	0.004	0.139	10.139	10.282
BLE_RSSI_dataset_for_Indoor_localization	0.733600	1.012	0.799980	0.002	0.036	0.975	1.014
BNG(breast-w)	0.986919	16.793	0.799980	0.004	0.236	16.557	16.797
BNG(cmc)	0.579476	31.836	0.799986	0.004	0.307	31.529	31.841
BNG(tic-tac-toe)	0.793625	17.081	0.799980	0.004	0.263	16.818	17.085
Bank_Customer_Churn_Dataset	0.870000	1.999	0.800000	0.003	0.076	1.923	2.002
Basketball_c	0.712687	0.246	0.800000	0.003	0.033	0.213	0.248
Cardiovascular-Disease-dataset	0.730929	49.833	0.800000	0.006	0.394	49.439	49.839
Click_prediction_small	0.831790	5.894	0.799990	0.003	0.075	5.819	5.897
Credit_c	0.707444	42.007	0.801311	0.006	0.787	41.220	42.012
Customer_Personality_Analysis	0.897321	0.493	0.800000	0.002	0.046	0.447	0.495
Diabetic_Retinopathy_Debrecen	0.761905	0.265	0.799305	0.002	0.030	0.235	0.267
E-CommereShippingData	0.674091	2.121	0.799982	0.004	0.061	2.060	2.125
Employee	0.859291	0.709	0.799914	0.002	0.025	0.684	0.712
FICO-HELOC-cleaned	0.739747	2.553	0.799919	0.004	0.125	2.429	2.557
Firm-Teacher_Clave-Direction_Classification	0.757407	2.382	0.800000	0.003	0.098	2.285	2.385
Fitness_Club_c	0.802013	0.187	0.799596	0.002	0.013	0.174	0.190
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.668750	0.336	0.800000	0.003	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.687500	0.337	0.800000	0.003	0.035	0.302	0.340
Gender_Gap_in_Spanish_WP	0.601053	0.840	0.799831	0.002	0.036	0.804	0.842
GesturePhaseSegmentationProcessed	0.658734	2.974	0.799959	0.003	0.162	2.812	2.977
HR_Analytics_Job_Change_of_Data_Scientists	0.854465	1.804	0.797432	0.003	0.060	1.744	1.807
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.412	0.800000	0.003	0.051	0.360	0.414
INNHotelsGroup	0.866161	15.946	0.800000	0.004	0.301	15.644	15.950
Indian_pines	0.924002	11.331	0.799978	0.007	0.976	10.355	11.338
JapaneseVowels	0.994982	2.175	0.799920	0.003	0.079	2.096	2.178
KDDCup09_upselling	0.787524	1.801	0.799922	0.003	0.138	1.662	1.804
MIC	0.906061	1.073	0.799879	0.003	0.159	0.914	1.076
MagicTelescope	0.878286	4.823	0.800000	0.003	0.112	4.711	4.826
Marketing_Campaign	0.895089	0.511	0.800000	0.003	0.051	0.461	0.514
Mobile_Price_Classification	0.970000	0.413	0.800000	0.003	0.038	0.375	0.416
National_Health_and_Nutrition_Health_Survey	0.831140	0.297	0.799824	0.003	0.019	0.278	0.300
PhishingWebsites	0.969697	3.234	0.800000	0.004	0.162	3.073	3.238
PieChart3	0.875000	0.356	0.799443	0.002	0.055	0.301	0.359
Pima_Indians_Diabetes_Database	0.766234	0.142	0.799479	0.002	0.014	0.128	0.144
PizzaCutter3	0.885167	0.350	0.799617	0.003	0.053	0.297	0.352
Pumpkin_Seeds	0.882000	0.401	0.800000	0.002	0.025	0.376	0.404
QSAR_biodegradation	0.886256	0.376	0.799810	0.003	0.060	0.316	0.379
SDSS17	0.972050	98.616	0.800000	0.006	0.674	97.942	98.622
Satellite	0.993137	1.490	0.800000	0.003	0.111	1.379	1.493
Telecom_Churn_Dataset	0.955022	0.654	0.799880	0.002	0.041	0.613	0.656
UJI_Pen_Characters	0.498168	2.582	0.799853	0.003	0.120	2.462	2.585
Water_Quality_and_Potability	0.653963	0.496	0.799756	0.003	0.024	0.472	0.499
