dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.436293	4.920	0.799845
Amazon_employee_access	0.942173	12.346	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734101	3.620	0.799980
BNG(breast-w)	0.985268	18.605	0.799980
BNG(cmc)	0.569892	33.975	0.799986
BNG(tic-tac-toe)	0.782576	18.665	0.799980
Bank_Customer_Churn_Dataset	0.861500	4.687	0.800000
Basketball_c	0.690299	2.351	0.800000
Cardiovascular-Disease-dataset	0.730143	49.793	0.800000
Click_prediction_small	0.831414	6.430	0.799990
Credit_c	0.692556	42.210	0.801311
Customer_Personality_Analysis	0.890625	0.960	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.719	0.799305
E-CommereShippingData	0.664545	2.610	0.799982
Employee	0.844253	1.205	0.799914
FICO-HELOC-cleaned	0.738734	3.122	0.799919
Firm-Teacher_Clave-Direction_Classification	0.692593	2.758	0.800000
Fitness_Club_c	0.791946	0.484	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.631250	0.632	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.609375	0.632	0.800000
Gender_Gap_in_Spanish_WP	0.595789	1.140	0.799831
GesturePhaseSegmentationProcessed	0.606076	3.282	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.848953	2.124	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.757	0.800000
INNHotelsGroup	0.865610	16.261	0.800000
Indian_pines	0.903773	11.759	0.799978
JapaneseVowels	0.989463	2.494	0.799920
KDDCup09_upselling	0.758285	2.089	0.799922
MIC	0.896970	1.396	0.799879
MagicTelescope	0.874606	5.125	0.800000
Marketing_Campaign	0.890625	0.806	0.800000
Mobile_Price_Classification	0.805000	0.705	0.800000
National_Health_and_Nutrition_Health_Survey	0.842105	0.572	0.799824
PhishingWebsites	0.963817	3.525	0.800000
PieChart3	0.870370	0.629	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.454	0.799479
PizzaCutter3	0.880383	0.640	0.799616
Pumpkin_Seeds	0.876000	0.687	0.800000
QSAR_biodegradation	0.881517	0.658	0.799810
SDSS17	0.969950	99.138	0.800000
Satellite	0.992157	1.775	0.800000
Telecom_Churn_Dataset	0.932534	1.011	0.799880
UJI_Pen_Characters	0.483516	2.982	0.799853
Water_Quality_and_Potability	0.625000	0.780	0.799756
Wilt	0.992746	0.770	0.799834
abalone	0.620813	0.910	0.799856
ada	0.844578	1.677	0.799855
ada_agnostic	0.828039	1.844	0.799868
ada_prior	0.839106	1.109	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.575000	0.541	0.800000
allbp	0.974834	1.195	0.799841
allrep	0.968212	1.226	0.799841
analcatdata_authorship	0.976331	0.740	0.799049
artificial-characters	0.691292	2.181	0.799961
autoUniv-au4-2500	0.478000	1.824	0.800000
autoUniv-au7-1100	0.345455	0.545	0.800000
bank	0.896605	24.018	0.799982
banknote_authentication	0.549091	0.423	0.799563
baseball	0.947761	0.537	0.800000
car-evaluation	0.710983	0.657	0.799769
churn	0.937000	1.361	0.800000
cmc	0.583051	0.518	0.799728
