dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.413127	2.542	0.799845	0.003	0.246	2.296	2.545
Amazon_employee_access	0.942173	10.158	0.799994	0.004	0.142	10.016	10.162
BLE_RSSI_dataset_for_Indoor_localization	0.733600	1.015	0.799980	0.003	0.032	0.983	1.018
BNG(breast-w)	0.985522	16.699	0.799980	0.004	0.237	16.462	16.703
BNG(cmc)	0.569349	31.176	0.799986	0.005	0.307	30.869	31.181
BNG(tic-tac-toe)	0.777750	16.490	0.799980	0.004	0.241	16.249	16.494
Bank_Customer_Churn_Dataset	0.862000	1.988	0.800000	0.003	0.084	1.904	1.991
Basketball_c	0.694030	0.248	0.800000	0.002	0.033	0.215	0.250
Cardiovascular-Disease-dataset	0.729643	50.389	0.800000	0.006	0.406	49.982	50.395
Click_prediction_small	0.831790	6.009	0.799990	0.003	0.075	5.935	6.012
Credit_c	0.698511	41.160	0.801311	0.006	0.800	40.361	41.166
Customer_Personality_Analysis	0.890625	0.495	0.800000	0.002	0.047	0.448	0.498
Diabetic_Retinopathy_Debrecen	0.735931	0.266	0.799305	0.002	0.030	0.236	0.269
E-CommereShippingData	0.673636	2.155	0.799982	0.003	0.066	2.090	2.158
Employee	0.850698	0.710	0.799914	0.002	0.026	0.684	0.713
FICO-HELOC-cleaned	0.740253	2.580	0.799919	0.004	0.134	2.446	2.584
Firm-Teacher_Clave-Direction_Classification	0.760185	2.406	0.800000	0.003	0.098	2.308	2.408
Fitness_Club_c	0.788591	0.189	0.799596	0.002	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.615625	0.337	0.800000	0.002	0.035	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.637500	0.339	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.593684	0.844	0.799831	0.002	0.036	0.808	0.846
GesturePhaseSegmentationProcessed	0.637975	3.000	0.799959	0.003	0.174	2.826	3.003
HR_Analytics_Job_Change_of_Data_Scientists	0.851709	1.816	0.797432	0.009	0.060	1.756	1.825
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.408	0.800000	0.002	0.051	0.357	0.411
INNHotelsGroup	0.865059	15.859	0.800000	0.004	0.299	15.560	15.863
Indian_pines	0.902679	11.301	0.799978	0.008	1.002	10.298	11.309
JapaneseVowels	0.992975	2.195	0.799920	0.003	0.085	2.111	2.199
KDDCup09_upselling	0.786550	1.810	0.799922	0.003	0.148	1.662	1.813
MIC	0.900000	1.083	0.799879	0.005	0.167	0.916	1.088
MagicTelescope	0.877234	4.837	0.800000	0.003	0.117	4.720	4.840
Marketing_Campaign	0.897321	0.505	0.800000	0.002	0.048	0.456	0.507
Mobile_Price_Classification	0.940000	0.410	0.800000	0.002	0.038	0.372	0.412
National_Health_and_Nutrition_Health_Survey	0.833333	0.294	0.799824	0.002	0.019	0.275	0.297
PhishingWebsites	0.967436	3.186	0.800000	0.003	0.145	3.041	3.189
PieChart3	0.870370	0.361	0.799443	0.002	0.059	0.301	0.363
Pima_Indians_Diabetes_Database	0.746753	0.144	0.799479	0.003	0.014	0.130	0.146
PizzaCutter3	0.880383	0.355	0.799617	0.003	0.056	0.299	0.358
Pumpkin_Seeds	0.872000	0.401	0.800000	0.002	0.028	0.374	0.403
QSAR_biodegradation	0.886256	0.380	0.799810	0.002	0.063	0.317	0.383
SDSS17	0.971450	97.526	0.800000	0.006	0.675	96.851	97.532
Satellite	0.993137	1.473	0.800000	0.005	0.103	1.369	1.478
Telecom_Churn_Dataset	0.947526	0.657	0.799880	0.003	0.044	0.613	0.661
UJI_Pen_Characters	0.509158	2.718	0.799853	0.003	0.122	2.596	2.721
Water_Quality_and_Potability	0.634146	0.491	0.799756	0.002	0.022	0.468	0.493
Wilt	0.989637	0.477	0.799834	0.002	0.018	0.459	0.480
abalone	0.632775	0.637	0.799856	0.003	0.026	0.611	0.639
ada	0.856627	1.389	0.799855	0.003	0.103	1.285	1.392
ada_agnostic	0.831325	1.527	0.799868	0.003	0.106	1.421	1.530
ada_prior	0.837989	0.826	0.799955	0.003	0.039	0.787	0.829
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.597500	0.259	0.800000	0.003	0.017	0.242	0.262
allbp	0.976159	0.920	0.799841	0.003	0.061	0.859	0.922
