dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.405405	2.490	0.799845	0.003	0.209	2.281	2.493
Amazon_employee_access	0.942173	10.107	0.799994	0.003	0.138	9.969	10.111
BLE_RSSI_dataset_for_Indoor_localization	0.734602	1.010	0.799980	0.002	0.033	0.978	1.013
BNG(breast-w)	0.986157	16.612	0.799980	0.004	0.240	16.371	16.616
BNG(cmc)	0.578300	31.941	0.799986	0.005	0.340	31.601	31.947
BNG(tic-tac-toe)	0.785497	16.823	0.799980	0.005	0.236	16.587	16.828
Bank_Customer_Churn_Dataset	0.869500	1.989	0.800000	0.003	0.083	1.906	1.992
Basketball_c	0.705224	0.244	0.800000	0.002	0.032	0.211	0.246
Cardiovascular-Disease-dataset	0.732000	50.501	0.800000	0.006	0.393	50.108	50.506
Click_prediction_small	0.831665	5.895	0.799990	0.003	0.074	5.821	5.898
Credit_c	0.705955	41.317	0.801311	0.007	0.795	40.522	41.323
Customer_Personality_Analysis	0.892857	0.494	0.800000	0.003	0.046	0.449	0.497
Diabetic_Retinopathy_Debrecen	0.761905	0.266	0.799305	0.002	0.030	0.236	0.268
E-CommereShippingData	0.674091	2.139	0.799982	0.003	0.062	2.077	2.142
Employee	0.856069	0.709	0.799914	0.003	0.025	0.684	0.712
FICO-HELOC-cleaned	0.740253	2.563	0.799919	0.004	0.126	2.437	2.567
Firm-Teacher_Clave-Direction_Classification	0.779167	2.397	0.800000	0.003	0.103	2.294	2.400
Fitness_Club_c	0.798658	0.189	0.799596	0.003	0.013	0.176	0.192
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.659375	0.336	0.800000	0.003	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.675000	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.598947	0.843	0.799831	0.003	0.036	0.807	0.846
GesturePhaseSegmentationProcessed	0.655190	2.984	0.799959	0.003	0.164	2.820	2.988
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.809	0.797432	0.003	0.059	1.750	1.812
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.408	0.800000	0.002	0.052	0.356	0.410
INNHotelsGroup	0.869469	15.640	0.800000	0.004	0.301	15.340	15.644
Indian_pines	0.934937	11.344	0.799978	0.008	0.962	10.382	11.352
JapaneseVowels	0.994481	2.186	0.799920	0.003	0.083	2.103	2.190
KDDCup09_upselling	0.785575	1.800	0.799922	0.003	0.139	1.661	1.803
MIC	0.912121	1.071	0.799879	0.003	0.158	0.913	1.075
MagicTelescope	0.876972	4.771	0.800000	0.011	0.110	4.661	4.781
Marketing_Campaign	0.895089	0.503	0.800000	0.003	0.049	0.454	0.505
Mobile_Price_Classification	0.960000	0.408	0.800000	0.002	0.038	0.370	0.410
National_Health_and_Nutrition_Health_Survey	0.831140	0.295	0.799824	0.003	0.019	0.277	0.298
PhishingWebsites	0.966531	3.191	0.800000	0.003	0.146	3.045	3.194
PieChart3	0.879630	0.360	0.799443	0.002	0.057	0.303	0.362
Pima_Indians_Diabetes_Database	0.753247	0.143	0.799479	0.003	0.014	0.129	0.145
PizzaCutter3	0.880383	0.350	0.799617	0.003	0.053	0.297	0.353
Pumpkin_Seeds	0.880000	0.402	0.800000	0.002	0.026	0.376	0.404
QSAR_biodegradation	0.881517	0.377	0.799810	0.003	0.061	0.316	0.380
SDSS17	0.971500	99.296	0.800000	0.006	0.675	98.621	99.302
Satellite	0.993137	1.474	0.800000	0.003	0.105	1.369	1.477
Telecom_Churn_Dataset	0.956522	0.651	0.799880	0.002	0.040	0.610	0.653
UJI_Pen_Characters	0.472527	2.416	0.799853	0.002	0.118	2.297	2.418
Water_Quality_and_Potability	0.649390	0.488	0.799756	0.004	0.022	0.466	0.493
Wilt	0.990674	0.475	0.799834	0.002	0.018	0.457	0.477
abalone	0.636364	0.640	0.799856	0.003	0.026	0.614	0.643
ada	0.848193	1.375	0.799855	0.003	0.102	1.273	1.378
ada_agnostic	0.834611	1.532	0.799868	0.003	0.105	1.426	1.535
ada_prior	0.837989	0.820	0.799955	0.003	0.038	0.782	0.823
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.605000	0.254	0.800000	0.002	0.016	0.237	0.256
allbp	0.974834	0.913	0.799841	0.002	0.058	0.855	0.915
allrep	0.976159	0.913	0.799841	0.003	0.058	0.855	0.916
analcatdata_authorship	0.988166	0.455	0.799049	0.003	0.094	0.361	0.458
artificial-characters	0.695695	1.891	0.799961	0.003	0.045	1.846	1.894
autoUniv-au4-2500	0.478000	1.516	0.800000	0.003	0.190	1.326	1.519
autoUniv-au7-1100	0.381818	0.203	0.800000	0.002	0.019	0.184	0.206
bank	0.900697	23.133	0.799982	0.005	0.377	22.756	23.138
banknote_authentication	0.549091	0.097	0.799563	0.003	0.009	0.087	0.099
baseball	0.947761	0.267	0.800000	0.002	0.028	0.240	0.270
car-evaluation	0.881503	0.368	0.799769	0.002	0.036	0.332	0.370
churn	0.950000	1.077	0.800000	0.003	0.061	1.016	1.080
cmc	0.589831	0.230	0.799728	0.002	0.017	0.213	0.232
company_bankruptcy_prediction	0.972874	3.942	0.799971	0.004	0.317	3.625	3.947
contraceptive_method_choice	0.620339	0.232	0.799728	0.003	0.016	0.215	0.235
credit	0.774753	3.933	0.799988	0.003	0.091	3.841	3.936
default_of_credit_card_clients	0.827833	12.181	0.800000	0.004	0.384	11.797	12.185
delta_ailerons	0.948107	0.760	0.799972	0.003	0.025	0.735	0.762
dis	0.986755	0.916	0.799841	0.003	0.058	0.858	0.919
dna	0.937304	3.285	0.799749	0.004	0.378	2.907	3.290
drug_consumption	0.403183	0.306	0.799894	0.002	0.023	0.283	0.308
dry_bean_dataset	0.927653	3.325	0.799941	0.003	0.121	3.204	3.328
eeg-eye-state	0.955607	3.653	0.800000	0.003	0.118	3.535	3.656
electricity	0.827982	21.938	0.799987	0.004	0.272	21.666	21.942
estimation_of_obesity_levels	0.973995	0.393	0.799621	0.002	0.030	0.363	0.396
eye_movements	0.596435	3.015	0.799927	0.003	0.162	2.853	3.019
eye_movements_bin	0.593955	1.746	0.799947	0.004	0.090	1.655	1.749
first-order-theorem-proving	0.625000	2.212	0.799935	0.003	0.162	2.051	2.216
gas-drift	0.994968	11.178	0.800000	0.007	1.003	10.174	11.185
gina_agnostic	0.832853	22.786	0.799885	0.011	2.345	20.442	22.798
golf_play_dataset_extended	0.931507	0.192	0.800000	0.002	0.015	0.177	0.194
heloc	0.721000	2.533	0.800000	0.003	0.113	2.420	2.536
house_16H	0.885100	3.267	0.799970	0.004	0.116	3.151	3.271
htru	0.979888	4.219	0.799978	0.003	0.081	4.138	4.222
ibm-employee-performance	0.993197	0.402	0.800000	0.003	0.050	0.352	0.405
in_vehicle_coupon_recommendation	0.703365	3.019	0.800729	0.003	0.126	2.893	3.022
internet_firewall	0.928969	41.708	0.799991	0.004	0.169	41.539	41.712
jm1	0.813045	2.686	0.800000	0.003	0.114	2.572	2.689
jungle_chess_2pcs_raw_endgame_complete	0.857095	20.634	0.799996	0.004	0.185	20.449	20.638
kdd_ipums_la_97-small	0.878613	1.107	0.799923	0.003	0.061	1.046	1.109
kr-vs-k	0.613150	28.863	0.799971	0.003	0.130	28.733	28.867
kropt	0.613507	27.112	0.799971	0.004	0.116	26.997	27.116
led24	0.737500	0.715	0.800000	0.003	0.055	0.660	0.718
led7	0.740625	0.446	0.800000	0.003	0.019	0.427	0.449
letter	0.974250	17.207	0.800000	0.004	0.177	17.031	17.211
mammography	0.988824	1.557	0.799964	0.003	0.044	1.514	1.561
maternal_health_risk	0.832512	0.169	0.799803	0.003	0.012	0.157	0.172
mfeat-factors	0.977500	2.522	0.800000	0.004	0.375	2.146	2.525
mfeat-fourier	0.885000	0.995	0.800000	0.004	0.137	0.858	0.998
mfeat-karhunen	0.970000	0.871	0.800000	0.003	0.115	0.756	0.874
mfeat-morphological	0.765000	0.268	0.800000	0.003	0.015	0.252	0.271
mfeat-pixel	0.962500	2.829	0.800000	0.004	0.427	2.401	2.833
mfeat-zernike	0.817500	0.692	0.800000	0.003	0.089	0.603	0.695
mice_protein_expression	1.000000	0.580	0.800000	0.003	0.107	0.474	0.583
microaggregation2	0.622250	6.145	0.800000	0.004	0.181	5.964	6.149
mobile_c36_oversampling	0.973338	20.821	0.800000	0.004	0.212	20.609	20.825
mozilla4	0.929238	1.579	0.800000	0.003	0.045	1.535	1.583
naticusdroid+android+permissions+dataset	0.963866	20.122	0.799980	0.008	0.796	19.326	20.130
national-longitudinal-survey-binary	0.995927	0.942	0.799918	0.003	0.048	0.893	0.944
okcupid_stem	0.734633	8.880	0.799977	0.004	0.177	8.703	8.884
one-hundred-plants-margin	0.856250	4.122	0.800000	0.003	0.113	4.009	4.124
one-hundred-plants-shape	0.762500	4.120	0.800000	0.003	0.111	4.008	4.122
one-hundred-plants-texture	0.875000	4.199	0.799875	0.003	0.108	4.091	4.202
optdigits	0.991103	2.355	0.800000	0.004	0.188	2.166	2.359
ozone-level-8hr	0.952663	1.169	0.799921	0.003	0.133	1.036	1.173
page-blocks	0.976256	0.909	0.799927	0.003	0.035	0.875	0.913
pendigits	0.994998	2.465	0.799945	0.003	0.103	2.362	2.468
