dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.428571	2.550	0.799845	0.003	0.280	2.270	2.553
Amazon_employee_access	0.942173	10.281	0.799994	0.004	0.141	10.140	10.284
BLE_RSSI_dataset_for_Indoor_localization	0.733100	1.035	0.799980	0.002	0.046	0.989	1.037
BNG(breast-w)	0.987046	16.646	0.799980	0.004	0.246	16.400	16.651
BNG(cmc)	0.578571	30.993	0.799986	0.004	0.316	30.677	30.998
BNG(tic-tac-toe)	0.793371	16.581	0.799980	0.004	0.237	16.344	16.586
Bank_Customer_Churn_Dataset	0.868500	1.990	0.800000	0.003	0.076	1.914	1.993
Basketball_c	0.708955	0.248	0.800000	0.003	0.033	0.215	0.251
Cardiovascular-Disease-dataset	0.731214	50.333	0.800000	0.006	0.395	49.938	50.339
Click_prediction_small	0.831539	6.089	0.799990	0.003	0.081	6.008	6.092
Credit_c	0.705542	41.393	0.801311	0.006	0.796	40.597	41.400
Customer_Personality_Analysis	0.890625	0.490	0.800000	0.002	0.045	0.445	0.493
Diabetic_Retinopathy_Debrecen	0.757576	0.263	0.799305	0.002	0.030	0.233	0.265
E-CommereShippingData	0.671818	2.130	0.799982	0.003	0.061	2.070	2.133
Employee	0.860365	0.704	0.799914	0.002	0.024	0.679	0.706
FICO-HELOC-cleaned	0.740253	2.555	0.799919	0.003	0.127	2.428	2.558
Firm-Teacher_Clave-Direction_Classification	0.753704	2.434	0.800000	0.003	0.105	2.328	2.436
Fitness_Club_c	0.795302	0.181	0.799596	0.004	0.013	0.168	0.186
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.665625	0.330	0.800000	0.002	0.034	0.297	0.333
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.693750	0.332	0.800000	0.003	0.035	0.297	0.335
Gender_Gap_in_Spanish_WP	0.596842	0.836	0.799831	0.002	0.035	0.800	0.838
GesturePhaseSegmentationProcessed	0.669367	3.000	0.799959	0.003	0.172	2.828	3.003
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.824	0.797432	0.003	0.060	1.764	1.827
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.860544	0.406	0.800000	0.003	0.051	0.355	0.409
INNHotelsGroup	0.874156	15.841	0.800000	0.004	0.299	15.542	15.845
Indian_pines	0.931657	11.343	0.799978	0.008	0.969	10.374	11.351
JapaneseVowels	0.994982	2.199	0.799920	0.003	0.085	2.114	2.202
KDDCup09_upselling	0.786550	1.815	0.799922	0.004	0.150	1.665	1.818
MIC	0.903030	1.068	0.799879	0.003	0.155	0.912	1.070
MagicTelescope	0.877497	4.847	0.800000	0.003	0.119	4.728	4.850
Marketing_Campaign	0.888393	0.507	0.800000	0.002	0.049	0.459	0.510
Mobile_Price_Classification	0.960000	0.413	0.800000	0.002	0.038	0.374	0.415
National_Health_and_Nutrition_Health_Survey	0.835526	0.295	0.799824	0.003	0.018	0.276	0.298
PhishingWebsites	0.970602	3.178	0.800000	0.003	0.144	3.034	3.181
PieChart3	0.879630	0.356	0.799443	0.002	0.055	0.300	0.358
Pima_Indians_Diabetes_Database	0.759740	0.143	0.799479	0.003	0.014	0.130	0.146
PizzaCutter3	0.880383	0.350	0.799617	0.002	0.053	0.297	0.353
Pumpkin_Seeds	0.882000	0.401	0.800000	0.002	0.025	0.375	0.403
QSAR_biodegradation	0.872038	0.376	0.799810	0.002	0.060	0.316	0.378
SDSS17	0.972100	98.676	0.800000	0.006	0.670	98.006	98.681
Satellite	0.993137	1.476	0.800000	0.003	0.103	1.373	1.480
Telecom_Churn_Dataset	0.956522	0.658	0.799880	0.002	0.043	0.614	0.660
UJI_Pen_Characters	0.498168	2.699	0.799853	0.005	0.124	2.575	2.705
Water_Quality_and_Potability	0.644817	0.490	0.799756	0.002	0.022	0.468	0.493
Wilt	0.990674	0.477	0.799834	0.002	0.018	0.459	0.480
abalone	0.641148	0.637	0.799856	0.002	0.026	0.611	0.639
ada	0.849398	1.384	0.799855	0.003	0.102	1.282	1.387
ada_agnostic	0.831325	1.531	0.799868	0.003	0.105	1.426	1.534
ada_prior	0.834637	0.825	0.799955	0.003	0.041	0.785	0.828
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.590000	0.259	0.800000	0.002	0.016	0.242	0.261
allbp	0.973510	0.919	0.799841	0.002	0.058	0.861	0.921
allrep	0.977483	0.915	0.799841	0.003	0.057	0.858	0.918
analcatdata_authorship	0.988166	0.460	0.799049	0.003	0.098	0.362	0.463
artificial-characters	0.709883	1.906	0.799961	0.003	0.046	1.860	1.909
autoUniv-au4-2500	0.492000	1.533	0.800000	0.003	0.200	1.333	1.536
autoUniv-au7-1100	0.372727	0.202	0.800000	0.002	0.019	0.183	0.204
bank	0.900476	23.075	0.799982	0.004	0.376	22.699	23.079
banknote_authentication	0.545455	0.096	0.799563	0.003	0.010	0.086	0.098
baseball	0.944030	0.264	0.800000	0.002	0.027	0.236	0.266
car-evaluation	0.881503	0.363	0.799769	0.002	0.035	0.328	0.365
churn	0.950000	1.069	0.800000	0.003	0.061	1.008	1.072
cmc	0.603390	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.974340	3.980	0.799971	0.004	0.344	3.636	3.984
contraceptive_method_choice	0.620339	0.237	0.799728	0.002	0.017	0.220	0.239
credit	0.772659	3.983	0.799988	0.003	0.093	3.890	3.986
default_of_credit_card_clients	0.826333	12.335	0.800000	0.004	0.384	11.951	12.339
delta_ailerons	0.947405	0.762	0.799972	0.003	0.026	0.736	0.765
dis	0.986755	0.920	0.799841	0.003	0.061	0.859	0.923
dna	0.926332	3.294	0.799749	0.004	0.390	2.904	3.298
drug_consumption	0.403183	0.310	0.799894	0.003	0.023	0.287	0.313
dry_bean_dataset	0.926919	3.340	0.799941	0.004	0.126	3.214	3.344
eeg-eye-state	0.962617	3.645	0.800000	0.004	0.121	3.524	3.648
electricity	0.839788	21.893	0.799987	0.004	0.270	21.623	21.897
estimation_of_obesity_levels	0.969267	0.397	0.799621	0.002	0.030	0.367	0.399
eye_movements	0.600091	3.022	0.799927	0.003	0.163	2.860	3.026
eye_movements_bin	0.595926	1.753	0.799947	0.004	0.097	1.656	1.757
first-order-theorem-proving	0.633170	2.216	0.799935	0.004	0.168	2.048	2.220
gas-drift	0.995687	11.217	0.800000	0.007	1.039	10.179	11.224
gina_agnostic	0.817003	23.255	0.799885	0.011	2.335	20.920	23.266
golf_play_dataset_extended	0.931507	0.189	0.800000	0.002	0.015	0.174	0.191
heloc	0.721000	2.544	0.800000	0.003	0.116	2.428	2.547
house_16H	0.883247	3.281	0.799970	0.004	0.121	3.160	3.285
htru	0.979888	4.259	0.799978	0.003	0.079	4.180	4.262
ibm-employee-performance	1.000000	0.407	0.800000	0.003	0.052	0.355	0.409
in_vehicle_coupon_recommendation	0.723307	3.033	0.800729	0.004	0.133	2.900	3.036
internet_firewall	0.920653	42.354	0.799991	0.004	0.168	42.186	42.359
jm1	0.819017	2.679	0.800000	0.003	0.113	2.566	2.682
jungle_chess_2pcs_raw_endgame_complete	0.862338	20.573	0.799996	0.004	0.185	20.388	20.578
kdd_ipums_la_97-small	0.876686	1.108	0.799923	0.003	0.060	1.048	1.112
kr-vs-k	0.642908	29.522	0.799971	0.004	0.129	29.393	29.526
kropt	0.645046	29.170	0.799971	0.004	0.115	29.055	29.174
led24	0.735938	0.717	0.800000	0.003	0.054	0.663	0.720
led7	0.740625	0.448	0.800000	0.003	0.019	0.429	0.451
letter	0.978000	18.208	0.800000	0.004	0.176	18.032	18.212
mammography	0.989271	1.552	0.799964	0.003	0.045	1.507	1.555
maternal_health_risk	0.847291	0.164	0.799803	0.002	0.012	0.152	0.166
mfeat-factors	0.972500	2.522	0.800000	0.004	0.379	2.143	2.526
mfeat-fourier	0.887500	0.990	0.800000	0.004	0.137	0.853	0.994
mfeat-karhunen	0.970000	0.867	0.800000	0.003	0.115	0.752	0.870
mfeat-morphological	0.755000	0.267	0.800000	0.003	0.016	0.251	0.270
mfeat-pixel	0.962500	2.823	0.800000	0.004	0.427	2.396	2.827
mfeat-zernike	0.805000	0.697	0.800000	0.003	0.091	0.605	0.699
mice_protein_expression	1.000000	0.584	0.800000	0.002	0.107	0.477	0.587
microaggregation2	0.624500	6.134	0.800000	0.004	0.185	5.949	6.138
mobile_c36_oversampling	0.976623	20.786	0.800000	0.004	0.213	20.573	20.790
mozilla4	0.929881	1.581	0.800000	0.003	0.045	1.535	1.584
naticusdroid+android+permissions+dataset	0.966763	20.017	0.799980	0.009	0.818	19.199	20.026
national-longitudinal-survey-binary	0.994908	0.935	0.799918	0.003	0.048	0.887	0.937
okcupid_stem	0.733883	8.918	0.799977	0.004	0.178	8.740	8.921
one-hundred-plants-margin	0.837500	4.188	0.800000	0.003	0.112	4.076	4.190
one-hundred-plants-shape	0.753125	4.244	0.800000	0.003	0.178	4.065	4.246
one-hundred-plants-texture	0.900000	4.556	0.799875	0.003	0.110	4.446	4.559
optdigits	0.991103	2.344	0.800000	0.004	0.184	2.160	2.348
ozone-level-8hr	0.956607	1.168	0.799921	0.003	0.131	1.037	1.171
page-blocks	0.974429	0.910	0.799927	0.003	0.036	0.874	0.913
pendigits	0.994998	2.474	0.799945	0.003	0.105	2.369	2.477
phoneme	0.893617	0.523	0.799963	0.005	0.021	0.503	0.528
pol	0.979177	2.714	0.799940	0.003	0.106	2.608	2.718
predict_students_dropout_and_academic_success	0.774011	1.222	0.799955	0.003	0.082	1.140	1.225
qsar	0.905213	0.370	0.800000	0.003	0.057	0.312	0.372
rice_cammeo_and_osmancik	0.930446	0.529	0.800000	0.002	0.021	0.507	0.531
ringnorm	0.980405	1.687	0.800000	0.003	0.081	1.606	1.690
satimage	0.918351	1.895	0.800000	0.003	0.130	1.765	1.898
segment	0.939394	0.432	0.800000	0.003	0.035	0.397	0.434
seismic+bumps	0.932302	0.476	0.799923	0.002	0.033	0.443	0.478
shuttle	0.999310	34.119	0.800000	0.005	0.317	33.802	34.124
spambase	0.951140	1.753	0.799826	0.003	0.131	1.621	1.756
splice	0.876176	1.311	0.800000	0.003	0.133	1.178	1.314
sports_articles_for_objectivity_analysis	0.860000	0.447	0.800000	0.003	0.087	0.360	0.450
statlog	0.725000	0.230	0.800000	0.002	0.029	0.200	0.232
steel_plates_faults	0.778920	0.477	0.799588	0.002	0.051	0.426	0.479
sylvine	0.938537	1.096	0.799961	0.003	0.063	1.033	1.099
taiwanese_bankruptcy_prediction	0.970674	3.985	0.799971	0.004	0.345	3.639	3.989
telco-customer-churn	0.802697	1.542	0.799943	0.003	0.074	1.468	1.545
texture	0.999091	5.799	0.800000	0.003	0.126	5.673	5.802
thyroid	0.988194	1.643	0.800000	0.003	0.066	1.576	1.646
thyroid-ann	0.985430	0.817	0.799841	0.003	0.046	0.771	0.820
thyroid-dis	0.694643	0.652	0.800000	0.003	0.049	0.603	0.655
turiye_student_evaluation	0.504296	1.589	0.800000	0.003	0.103	1.486	1.592
twonorm	0.978378	1.691	0.800000	0.003	0.086	1.605	1.694
vehicle	0.864706	0.204	0.799054	0.002	0.027	0.177	0.206
wall-robot-navigation	0.973443	1.267	0.799853	0.003	0.076	1.191	1.270
water_quality	0.899375	1.683	0.799900	0.003	0.064	1.619	1.686
waveform-5000	0.867000	1.567	0.800000	0.003	0.128	1.439	1.570
waveform_database_generator_version_1	0.867000	1.102	0.800000	0.003	0.065	1.037	1.105
website_phishing	0.918819	0.215	0.799704	0.002	0.017	0.198	0.218
wine-quality-red	0.578125	0.214	0.799875	0.002	0.010	0.204	0.217
wine-quality-white	0.630612	0.815	0.799918	0.003	0.037	0.779	0.818
yeast	0.616162	0.220	0.799865	0.002	0.016	0.204	0.222
