dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.413127	2.502	0.799845	0.003	0.235	2.267	2.505
Amazon_employee_access	0.942173	10.079	0.799994	0.004	0.138	9.941	10.083
BLE_RSSI_dataset_for_Indoor_localization	0.735103	1.016	0.799980	0.002	0.033	0.983	1.018
BNG(breast-w)	0.986157	16.804	0.799980	0.004	0.236	16.568	16.808
BNG(cmc)	0.578029	31.354	0.799986	0.004	0.307	31.047	31.358
BNG(tic-tac-toe)	0.795276	16.500	0.799980	0.004	0.243	16.257	16.504
Bank_Customer_Churn_Dataset	0.871000	2.002	0.800000	0.003	0.071	1.932	2.005
Basketball_c	0.708955	0.248	0.800000	0.002	0.033	0.215	0.250
Cardiovascular-Disease-dataset	0.731571	50.039	0.800000	0.006	0.397	49.642	50.045
Click_prediction_small	0.831539	6.029	0.799990	0.003	0.075	5.954	6.032
Credit_c	0.704549	42.214	0.801311	0.006	0.796	41.418	42.220
Customer_Personality_Analysis	0.895089	0.495	0.800000	0.003	0.048	0.448	0.498
Diabetic_Retinopathy_Debrecen	0.753247	0.266	0.799305	0.002	0.031	0.235	0.268
E-CommereShippingData	0.674091	2.159	0.799982	0.003	0.066	2.093	2.162
Employee	0.857143	0.710	0.799914	0.002	0.026	0.684	0.713
FICO-HELOC-cleaned	0.740759	2.583	0.799919	0.003	0.135	2.447	2.586
Firm-Teacher_Clave-Direction_Classification	0.759259	2.413	0.800000	0.003	0.102	2.311	2.416
Fitness_Club_c	0.808725	0.189	0.799596	0.002	0.014	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.659375	0.337	0.800000	0.002	0.035	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.684375	0.338	0.800000	0.003	0.037	0.302	0.341
Gender_Gap_in_Spanish_WP	0.597895	0.844	0.799831	0.002	0.036	0.808	0.847
GesturePhaseSegmentationProcessed	0.670380	3.002	0.799959	0.003	0.175	2.827	3.005
HR_Analytics_Job_Change_of_Data_Scientists	0.855017	1.810	0.797432	0.003	0.059	1.751	1.813
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.857143	0.409	0.800000	0.002	0.051	0.358	0.412
INNHotelsGroup	0.867540	15.888	0.800000	0.004	0.300	15.588	15.892
Indian_pines	0.940951	11.267	0.799978	0.007	0.985	10.282	11.274
JapaneseVowels	0.994982	2.197	0.799920	0.003	0.086	2.111	2.200
KDDCup09_upselling	0.788499	1.812	0.799922	0.003	0.149	1.663	1.816
MIC	0.912121	1.076	0.799879	0.003	0.162	0.914	1.079
MagicTelescope	0.878023	4.842	0.800000	0.003	0.119	4.723	4.845
Marketing_Campaign	0.890625	0.504	0.800000	0.002	0.048	0.456	0.507
Mobile_Price_Classification	0.967500	0.410	0.800000	0.003	0.037	0.372	0.412
National_Health_and_Nutrition_Health_Survey	0.833333	0.291	0.799824	0.003	0.019	0.272	0.293
PhishingWebsites	0.969697	3.195	0.800000	0.003	0.144	3.051	3.199
PieChart3	0.879630	0.354	0.799443	0.002	0.056	0.298	0.357
Pima_Indians_Diabetes_Database	0.753247	0.138	0.799479	0.003	0.014	0.125	0.141
PizzaCutter3	0.885167	0.348	0.799617	0.003	0.054	0.295	0.352
Pumpkin_Seeds	0.880000	0.397	0.800000	0.002	0.026	0.371	0.399
QSAR_biodegradation	0.872038	0.376	0.799810	0.003	0.061	0.314	0.379
SDSS17	0.971950	97.445	0.800000	0.006	0.675	96.770	97.451
Satellite	0.993137	1.477	0.800000	0.003	0.104	1.373	1.480
Telecom_Churn_Dataset	0.953523	0.656	0.799880	0.003	0.043	0.613	0.659
UJI_Pen_Characters	0.501832	2.700	0.799853	0.005	0.124	2.576	2.704
Water_Quality_and_Potability	0.647866	0.490	0.799756	0.002	0.022	0.468	0.493
Wilt	0.991710	0.478	0.799834	0.002	0.018	0.459	0.480
abalone	0.645933	0.641	0.799856	0.002	0.026	0.615	0.644
ada	0.853012	1.377	0.799855	0.003	0.101	1.276	1.380
ada_agnostic	0.830230	1.536	0.799868	0.003	0.106	1.429	1.539
ada_prior	0.834637	0.820	0.799955	0.003	0.038	0.782	0.822
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.595000	0.259	0.800000	0.002	0.017	0.242	0.261
allbp	0.973510	0.920	0.799841	0.003	0.061	0.859	0.923
allrep	0.974834	0.920	0.799841	0.003	0.058	0.862	0.923
analcatdata_authorship	0.994083	0.454	0.799049	0.002	0.094	0.360	0.457
artificial-characters	0.704012	1.902	0.799961	0.003	0.046	1.856	1.905
autoUniv-au4-2500	0.508000	1.532	0.800000	0.003	0.200	1.332	1.535
autoUniv-au7-1100	0.359091	0.204	0.800000	0.005	0.019	0.185	0.209
bank	0.899701	22.946	0.799982	0.004	0.377	22.569	22.950
banknote_authentication	0.545455	0.099	0.799563	0.002	0.010	0.089	0.102
baseball	0.944030	0.269	0.800000	0.002	0.028	0.241	0.271
car-evaluation	0.867052	0.368	0.799769	0.003	0.036	0.333	0.371
churn	0.946000	1.076	0.800000	0.003	0.062	1.014	1.080
cmc	0.606780	0.236	0.799728	0.002	0.018	0.218	0.238
company_bankruptcy_prediction	0.972874	3.976	0.799971	0.004	0.339	3.636	3.980
contraceptive_method_choice	0.623729	0.232	0.799728	0.002	0.017	0.216	0.235
credit	0.776548	3.987	0.799988	0.003	0.092	3.894	3.990
default_of_credit_card_clients	0.827000	12.342	0.800000	0.004	0.381	11.960	12.346
delta_ailerons	0.948107	0.762	0.799972	0.003	0.025	0.736	0.765
dis	0.988079	0.924	0.799841	0.003	0.062	0.862	0.927
dna	0.935737	3.273	0.799749	0.004	0.366	2.907	3.277
drug_consumption	0.403183	0.308	0.799894	0.002	0.023	0.285	0.310
dry_bean_dataset	0.927286	3.337	0.799941	0.003	0.121	3.216	3.340
eeg-eye-state	0.958611	3.716	0.800000	0.003	0.128	3.588	3.719
electricity	0.839347	21.574	0.799987	0.004	0.252	21.322	21.579
estimation_of_obesity_levels	0.971631	0.395	0.799621	0.002	0.029	0.365	0.397
eye_movements	0.595521	3.019	0.799927	0.003	0.161	2.858	3.022
eye_movements_bin	0.588699	1.764	0.799947	0.004	0.098	1.666	1.768
first-order-theorem-proving	0.624183	2.234	0.799935	0.003	0.173	2.061	2.238
gas-drift	0.995327	11.183	0.800000	0.007	0.998	10.185	11.190
gina_agnostic	0.815562	23.360	0.799885	0.012	2.382	20.978	23.372
golf_play_dataset_extended	0.931507	0.194	0.800000	0.003	0.016	0.179	0.197
heloc	0.720500	2.549	0.800000	0.003	0.114	2.435	2.552
house_16H	0.884729	3.295	0.799970	0.003	0.118	3.178	3.299
htru	0.979609	4.299	0.799978	0.003	0.083	4.216	4.302
ibm-employee-performance	0.996599	0.404	0.800000	0.002	0.051	0.353	0.406
in_vehicle_coupon_recommendation	0.726631	3.046	0.800729	0.003	0.128	2.917	3.049
internet_firewall	0.921950	42.587	0.799991	0.004	0.170	42.417	42.591
jm1	0.815342	2.677	0.800000	0.003	0.115	2.562	2.680
jungle_chess_2pcs_raw_endgame_complete	0.860776	20.891	0.799996	0.004	0.184	20.707	20.895
kdd_ipums_la_97-small	0.872832	1.114	0.799923	0.003	0.061	1.053	1.116
kr-vs-k	0.631682	27.290	0.799971	0.003	0.129	27.161	27.293
kropt	0.635959	29.154	0.799971	0.003	0.118	29.036	29.157
led24	0.732812	0.721	0.800000	0.003	0.055	0.666	0.724
led7	0.740625	0.452	0.800000	0.003	0.019	0.433	0.455
letter	0.977500	18.079	0.800000	0.003	0.180	17.899	18.082
mammography	0.989718	1.535	0.799964	0.003	0.043	1.492	1.538
maternal_health_risk	0.847291	0.167	0.799803	0.002	0.012	0.156	0.170
mfeat-factors	0.972500	2.511	0.800000	0.004	0.367	2.144	2.515
mfeat-fourier	0.895000	0.990	0.800000	0.004	0.133	0.856	0.994
mfeat-karhunen	0.972500	0.865	0.800000	0.003	0.109	0.755	0.868
mfeat-morphological	0.752500	0.270	0.800000	0.003	0.015	0.254	0.272
mfeat-pixel	0.962500	2.809	0.800000	0.004	0.411	2.398	2.813
mfeat-zernike	0.810000	0.697	0.800000	0.003	0.093	0.604	0.700
mice_protein_expression	1.000000	0.582	0.800000	0.003	0.108	0.474	0.585
microaggregation2	0.622750	6.276	0.800000	0.004	0.200	6.075	6.280
mobile_c36_oversampling	0.974691	20.450	0.800000	0.004	0.198	20.252	20.454
mozilla4	0.930524	1.601	0.800000	0.003	0.044	1.557	1.604
naticusdroid+android+permissions+dataset	0.966081	20.025	0.799980	0.008	0.807	19.219	20.033
national-longitudinal-survey-binary	0.995927	0.946	0.799918	0.003	0.051	0.894	0.949
okcupid_stem	0.735570	9.091	0.799977	0.004	0.193	8.898	9.095
one-hundred-plants-margin	0.834375	4.412	0.800000	0.003	0.115	4.297	4.414
one-hundred-plants-shape	0.743750	4.491	0.800000	0.003	0.113	4.378	4.494
one-hundred-plants-texture	0.893750	4.469	0.799875	0.003	0.117	4.352	4.471
optdigits	0.992883	2.348	0.800000	0.004	0.185	2.163	2.352
ozone-level-8hr	0.954635	1.177	0.799921	0.003	0.138	1.039	1.180
page-blocks	0.973516	0.909	0.799927	0.003	0.035	0.874	0.912
pendigits	0.995452	2.480	0.799945	0.005	0.105	2.375	2.485
phoneme	0.889917	0.526	0.799963	0.003	0.021	0.505	0.529
pol	0.977690	2.760	0.799940	0.004	0.118	2.642	2.764
predict_students_dropout_and_academic_success	0.776271	1.225	0.799955	0.003	0.083	1.143	1.228
qsar	0.905213	0.369	0.800000	0.003	0.058	0.312	0.372
rice_cammeo_and_osmancik	0.929134	0.528	0.800000	0.003	0.021	0.507	0.530
ringnorm	0.982432	1.686	0.800000	0.003	0.083	1.603	1.689
satimage	0.919907	1.899	0.800000	0.003	0.130	1.769	1.903
segment	0.941558	0.430	0.800000	0.002	0.034	0.396	0.433
seismic+bumps	0.934236	0.476	0.799923	0.002	0.033	0.442	0.478
shuttle	0.999397	34.972	0.800000	0.005	0.339	34.633	34.977
spambase	0.945711	1.756	0.799826	0.003	0.133	1.623	1.759
splice	0.893417	1.306	0.800000	0.003	0.133	1.173	1.309
sports_articles_for_objectivity_analysis	0.850000	0.453	0.800000	0.003	0.089	0.364	0.456
statlog	0.720000	0.231	0.800000	0.003	0.030	0.201	0.234
steel_plates_faults	0.786632	0.478	0.799588	0.003	0.049	0.429	0.481
sylvine	0.936585	1.099	0.799961	0.003	0.064	1.035	1.102
taiwanese_bankruptcy_prediction	0.972141	3.956	0.799971	0.004	0.324	3.632	3.960
telco-customer-churn	0.799148	1.543	0.799943	0.003	0.074	1.468	1.546
texture	0.999091	5.760	0.800000	0.004	0.126	5.635	5.764
thyroid	0.986111	1.644	0.800000	0.003	0.067	1.576	1.647
thyroid-ann	0.986755	0.816	0.799841	0.003	0.046	0.771	0.819
thyroid-dis	0.694643	0.654	0.800000	0.003	0.050	0.604	0.656
turiye_student_evaluation	0.497423	1.587	0.800000	0.003	0.102	1.485	1.590
twonorm	0.977703	1.697	0.800000	0.003	0.092	1.605	1.700
vehicle	0.858824	0.207	0.799054	0.002	0.027	0.180	0.209
wall-robot-navigation	0.974359	1.273	0.799853	0.003	0.077	1.195	1.276
water_quality	0.900625	1.727	0.799900	0.003	0.087	1.640	1.730
waveform-5000	0.867000	1.555	0.800000	0.003	0.118	1.436	1.558
waveform_database_generator_version_1	0.868000	1.100	0.800000	0.003	0.064	1.036	1.102
website_phishing	0.915129	0.222	0.799704	0.002	0.017	0.204	0.224
wine-quality-red	0.581250	0.220	0.799875	0.002	0.010	0.210	0.223
wine-quality-white	0.622449	0.819	0.799918	0.003	0.037	0.781	0.821
yeast	0.612795	0.229	0.799865	0.002	0.017	0.212	0.231
