dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.440154	2.506	0.799845	0.003	0.215	2.291	2.509
Amazon_employee_access	0.942173	10.163	0.799994	0.004	0.140	10.023	10.166
BLE_RSSI_dataset_for_Indoor_localization	0.730596	1.011	0.799980	0.003	0.032	0.979	1.013
BNG(breast-w)	0.985903	16.431	0.799980	0.004	0.249	16.182	16.435
BNG(cmc)	0.571519	31.669	0.799986	0.004	0.301	31.368	31.673
BNG(tic-tac-toe)	0.786640	16.809	0.799980	0.004	0.240	16.568	16.813
Bank_Customer_Churn_Dataset	0.863000	1.995	0.800000	0.003	0.077	1.918	1.998
Basketball_c	0.686567	0.242	0.800000	0.002	0.032	0.210	0.244
Cardiovascular-Disease-dataset	0.729071	50.165	0.800000	0.006	0.398	49.767	50.171
Click_prediction_small	0.832040	6.015	0.799990	0.003	0.074	5.941	6.018
Credit_c	0.707031	41.613	0.801311	0.006	0.791	40.822	41.619
Customer_Personality_Analysis	0.892857	0.495	0.800000	0.011	0.047	0.448	0.506
Diabetic_Retinopathy_Debrecen	0.744589	0.265	0.799305	0.002	0.030	0.235	0.267
E-CommereShippingData	0.666818	2.154	0.799982	0.003	0.065	2.089	2.157
Employee	0.841031	0.712	0.799914	0.003	0.026	0.686	0.715
FICO-HELOC-cleaned	0.740253	2.581	0.799919	0.004	0.135	2.447	2.585
Firm-Teacher_Clave-Direction_Classification	0.721759	2.407	0.800000	0.003	0.099	2.308	2.410
Fitness_Club_c	0.791946	0.188	0.799596	0.002	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.559375	0.336	0.800000	0.002	0.035	0.301	0.338
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.621875	0.338	0.800000	0.002	0.036	0.302	0.340
Gender_Gap_in_Spanish_WP	0.592632	0.840	0.799831	0.002	0.035	0.805	0.842
GesturePhaseSegmentationProcessed	0.641013	3.000	0.799959	0.003	0.173	2.826	3.003
HR_Analytics_Job_Change_of_Data_Scientists	0.855017	1.815	0.797432	0.003	0.061	1.754	1.818
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.406	0.800000	0.002	0.051	0.355	0.408
INNHotelsGroup	0.860786	15.922	0.800000	0.004	0.299	15.623	15.926
Indian_pines	0.922909	11.359	0.799978	0.007	0.992	10.367	11.366
JapaneseVowels	0.994481	2.199	0.799920	0.003	0.084	2.115	2.202
KDDCup09_upselling	0.771930	1.811	0.799922	0.003	0.148	1.663	1.814
MIC	0.912121	1.075	0.799879	0.003	0.161	0.913	1.078
MagicTelescope	0.873817	4.847	0.800000	0.003	0.116	4.730	4.850
Marketing_Campaign	0.892857	0.511	0.800000	0.003	0.049	0.462	0.513
Mobile_Price_Classification	0.952500	0.415	0.800000	0.003	0.038	0.377	0.418
National_Health_and_Nutrition_Health_Survey	0.835526	0.294	0.799824	0.002	0.019	0.276	0.296
PhishingWebsites	0.965174	3.198	0.800000	0.004	0.144	3.054	3.202
PieChart3	0.884259	0.357	0.799443	0.002	0.056	0.301	0.359
Pima_Indians_Diabetes_Database	0.766234	0.143	0.799479	0.002	0.014	0.129	0.145
PizzaCutter3	0.880383	0.352	0.799617	0.002	0.054	0.298	0.354
Pumpkin_Seeds	0.880000	0.401	0.800000	0.002	0.026	0.375	0.403
QSAR_biodegradation	0.876777	0.380	0.799810	0.002	0.061	0.319	0.382
SDSS17	0.970550	97.431	0.800000	0.006	0.676	96.755	97.436
Satellite	0.992157	1.484	0.800000	0.003	0.107	1.377	1.488
Telecom_Churn_Dataset	0.941529	0.656	0.799880	0.002	0.042	0.613	0.658
UJI_Pen_Characters	0.487179	2.725	0.799853	0.002	0.122	2.602	2.727
Water_Quality_and_Potability	0.647866	0.495	0.799756	0.003	0.023	0.472	0.498
Wilt	0.988601	0.483	0.799834	0.002	0.019	0.463	0.485
abalone	0.625598	0.643	0.799856	0.002	0.026	0.617	0.646
ada	0.851807	1.388	0.799855	0.003	0.104	1.284	1.391
ada_agnostic	0.830230	1.539	0.799868	0.003	0.106	1.433	1.542
ada_prior	0.839106	0.826	0.799955	0.003	0.039	0.787	0.828
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.572500	0.259	0.800000	0.003	0.017	0.242	0.262
allbp	0.976159	0.922	0.799841	0.002	0.061	0.861	0.925
allrep	0.968212	0.924	0.799841	0.003	0.059	0.865	0.926
analcatdata_authorship	0.988166	0.460	0.799049	0.004	0.096	0.364	0.463
artificial-characters	0.687867	1.918	0.799961	0.003	0.050	1.868	1.920
autoUniv-au4-2500	0.494000	1.524	0.800000	0.003	0.190	1.334	1.527
autoUniv-au7-1100	0.368182	0.206	0.800000	0.003	0.020	0.186	0.209
bank	0.896052	23.468	0.799982	0.005	0.381	23.087	23.473
banknote_authentication	0.552727	0.099	0.799563	0.002	0.010	0.089	0.101
baseball	0.947761	0.270	0.800000	0.002	0.028	0.242	0.273
car-evaluation	0.771676	0.370	0.799769	0.002	0.036	0.334	0.372
churn	0.935000	1.079	0.800000	0.002	0.062	1.017	1.081
cmc	0.572881	0.237	0.799728	0.002	0.018	0.220	0.240
company_bankruptcy_prediction	0.969941	3.958	0.799971	0.004	0.320	3.638	3.962
contraceptive_method_choice	0.593220	0.236	0.799728	0.002	0.017	0.218	0.238
credit	0.775950	4.012	0.799988	0.003	0.100	3.912	4.015
default_of_credit_card_clients	0.823167	12.265	0.800000	0.004	0.383	11.882	12.269
delta_ailerons	0.947405	0.762	0.799972	0.002	0.025	0.738	0.765
dis	0.984106	0.925	0.799841	0.003	0.060	0.865	0.928
dna	0.937304	3.285	0.799749	0.004	0.380	2.905	3.289
drug_consumption	0.403183	0.309	0.799894	0.003	0.023	0.287	0.312
dry_bean_dataset	0.925817	3.348	0.799941	0.003	0.123	3.225	3.351
eeg-eye-state	0.962283	3.695	0.800000	0.003	0.122	3.573	3.698
electricity	0.815514	21.918	0.799987	0.004	0.270	21.648	21.922
estimation_of_obesity_levels	0.969267	0.396	0.799621	0.002	0.030	0.367	0.398
eye_movements	0.572212	3.025	0.799927	0.003	0.164	2.861	3.029
eye_movements_bin	0.591984	1.757	0.799947	0.003	0.091	1.666	1.760
first-order-theorem-proving	0.605392	2.222	0.799935	0.003	0.164	2.058	2.225
gas-drift	0.995687	11.216	0.800000	0.007	1.022	10.194	11.224
gina_agnostic	0.744957	23.249	0.799885	0.011	2.286	20.962	23.260
golf_play_dataset_extended	0.931507	0.196	0.800000	0.002	0.016	0.180	0.198
