dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.420849	2.477	0.799845	0.003	0.207	2.270	2.480
Amazon_employee_access	0.942173	10.249	0.799994	0.004	0.137	10.112	10.253
BLE_RSSI_dataset_for_Indoor_localization	0.730095	1.020	0.799980	0.002	0.034	0.986	1.022
BNG(breast-w)	0.986284	16.942	0.799980	0.004	0.271	16.671	16.947
BNG(cmc)	0.572875	31.589	0.799986	0.005	0.303	31.285	31.594
BNG(tic-tac-toe)	0.785243	16.487	0.799980	0.004	0.257	16.231	16.492
Bank_Customer_Churn_Dataset	0.870500	1.990	0.800000	0.003	0.075	1.915	1.993
Basketball_c	0.701493	0.245	0.800000	0.002	0.034	0.211	0.247
Cardiovascular-Disease-dataset	0.730786	49.897	0.800000	0.006	0.396	49.501	49.903
Click_prediction_small	0.831915	6.025	0.799990	0.003	0.075	5.949	6.028
Credit_c	0.704218	41.412	0.801311	0.006	0.804	40.608	41.418
Customer_Personality_Analysis	0.895089	0.491	0.800000	0.010	0.045	0.446	0.502
Diabetic_Retinopathy_Debrecen	0.770563	0.263	0.799305	0.002	0.030	0.234	0.266
E-CommereShippingData	0.672273	2.125	0.799982	0.003	0.061	2.064	2.128
Employee	0.848550	0.705	0.799914	0.003	0.024	0.681	0.708
FICO-HELOC-cleaned	0.739241	2.555	0.799919	0.004	0.126	2.428	2.558
Firm-Teacher_Clave-Direction_Classification	0.723148	2.413	0.800000	0.003	0.098	2.315	2.416
Fitness_Club_c	0.805369	0.188	0.799596	0.003	0.013	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.581250	0.334	0.800000	0.003	0.034	0.300	0.337
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.671875	0.336	0.800000	0.003	0.035	0.301	0.339
Gender_Gap_in_Spanish_WP	0.594737	0.846	0.799831	0.003	0.036	0.810	0.848
GesturePhaseSegmentationProcessed	0.636962	2.977	0.799959	0.003	0.169	2.809	2.981
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.818	0.797432	0.003	0.059	1.759	1.821
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.410	0.800000	0.003	0.051	0.359	0.413
INNHotelsGroup	0.865472	15.923	0.800000	0.004	0.300	15.623	15.927
Indian_pines	0.933844	11.446	0.799978	0.007	0.981	10.465	11.453
JapaneseVowels	0.993979	2.170	0.799920	0.003	0.078	2.092	2.174
KDDCup09_upselling	0.774854	1.800	0.799922	0.004	0.142	1.658	1.804
MIC	0.909091	1.069	0.799879	0.003	0.157	0.911	1.072
MagicTelescope	0.875920	4.722	0.800000	0.003	0.111	4.611	4.726
Marketing_Campaign	0.895089	0.508	0.800000	0.003	0.051	0.457	0.511
Mobile_Price_Classification	0.967500	0.414	0.800000	0.003	0.041	0.373	0.417
National_Health_and_Nutrition_Health_Survey	0.835526	0.292	0.799824	0.003	0.018	0.274	0.295
PhishingWebsites	0.967436	3.181	0.800000	0.003	0.144	3.037	3.185
PieChart3	0.879630	0.356	0.799443	0.003	0.057	0.299	0.358
Pima_Indians_Diabetes_Database	0.740260	0.140	0.799479	0.003	0.014	0.127	0.143
PizzaCutter3	0.885167	0.350	0.799617	0.003	0.055	0.296	0.353
Pumpkin_Seeds	0.878000	0.401	0.800000	0.002	0.027	0.374	0.403
QSAR_biodegradation	0.881517	0.377	0.799810	0.003	0.062	0.314	0.379
SDSS17	0.972350	100.178	0.800000	0.006	0.721	99.458	100.184
Satellite	0.993137	1.477	0.800000	0.003	0.104	1.373	1.480
Telecom_Churn_Dataset	0.950525	0.656	0.799880	0.002	0.042	0.614	0.658
UJI_Pen_Characters	0.494505	2.730	0.799853	0.003	0.121	2.609	2.732
