dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.200772	7.036	0.799845
Amazon_employee_access	0.942173	14.307	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.714572	5.594	0.799980
BNG(breast-w)	0.955931	21.149	0.799980
BNG(cmc)	0.348734	34.889	0.799986
BNG(tic-tac-toe)	0.652908	20.777	0.799980
Bank_Customer_Churn_Dataset	0.796500	6.734	0.800000
Basketball_c	0.380597	4.602	0.800000
Cardiovascular-Disease-dataset	0.500286	48.029	0.800000
Click_prediction_small	0.831539	6.297	0.799990
Credit_c	0.309512	40.900	0.801311
Customer_Personality_Analysis	0.850446	0.959	0.800000
Diabetic_Retinopathy_Debrecen	0.532468	0.689	0.799305
E-CommereShippingData	0.403182	2.620	0.799982
Employee	0.656284	1.164	0.799914
FICO-HELOC-cleaned	0.520506	3.151	0.799919
Firm-Teacher_Clave-Direction_Classification	0.398148	2.677	0.800000
Fitness_Club_c	0.694631	0.487	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.500000	0.631	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.509375	0.644	0.800000
Gender_Gap_in_Spanish_WP	0.588421	1.152	0.799831
GesturePhaseSegmentationProcessed	0.101266	3.291	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.167034	2.133	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	0.736	0.800000
INNHotelsGroup	0.672364	15.635	0.800000
Indian_pines	0.442865	11.790	0.799978
JapaneseVowels	0.086302	2.462	0.799920
KDDCup09_upselling	0.500000	2.110	0.799922
MIC	0.845455	1.380	0.799879
MagicTelescope	0.690326	5.006	0.800000
Marketing_Campaign	0.850446	0.783	0.800000
Mobile_Price_Classification	0.250000	0.682	0.800000
National_Health_and_Nutrition_Health_Survey	0.839912	0.554	0.799824
PhishingWebsites	0.443238	3.458	0.800000
PieChart3	0.875000	0.657	0.799443
Pima_Indians_Diabetes_Database	0.649351	0.442	0.799479
PizzaCutter3	0.880383	0.634	0.799616
Pumpkin_Seeds	0.480000	0.687	0.800000
QSAR_biodegradation	0.336493	0.661	0.799810
SDSS17	0.594450	94.920	0.800000
Satellite	0.985294	1.754	0.800000
Telecom_Churn_Dataset	0.856072	0.971	0.799880
UJI_Pen_Characters	0.032967	3.035	0.799853
Water_Quality_and_Potability	0.609756	0.772	0.799756
Wilt	0.946114	0.765	0.799834
abalone	0.316986	0.940	0.799856
ada	0.751807	1.698	0.799855
ada_agnostic	0.751369	1.849	0.799868
ada_prior	0.248045	1.105	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	0.539	0.800000
allbp	0.956291	1.227	0.799841
allrep	0.966887	1.204	0.799841
analcatdata_authorship	0.349112	0.727	0.799049
artificial-characters	0.138454	2.187	0.799961
autoUniv-au4-2500	0.452000	1.837	0.800000
autoUniv-au7-1100	0.195455	0.506	0.800000
bank	0.883003	22.807	0.799982
banknote_authentication	0.556364	0.381	0.799563
baseball	0.854478	0.557	0.800000
car-evaluation	0.040462	0.650	0.799769
churn	0.859000	1.349	0.800000
cmc	0.345763	0.539	0.799728
company_bankruptcy_prediction	0.032258	4.260	0.799971
contraceptive_method_choice	0.227119	0.699	0.799728
credit	0.500150	4.300	0.799988
default_of_credit_card_clients	0.778833	12.414	0.800000
delta_ailerons	0.868864	1.041	0.799972
dis	0.015894	1.193	0.799841
dna	0.518809	3.538	0.799749
drug_consumption	0.403183	0.611	0.799894
dry_bean_dataset	0.168564	3.662	0.799941
eeg-eye-state	0.448598	3.934	0.800000
electricity	0.575527	21.173	0.799987
estimation_of_obesity_levels	0.153664	0.771	0.799621
eye_movements	0.262340	3.330	0.799927
eye_movements_bin	0.557162	2.042	0.799947
first-order-theorem-proving	0.100490	2.603	0.799935
gas-drift	0.210280	11.496	0.800000
gina_agnostic	0.491354	23.135	0.799885
golf_play_dataset_extended	0.789954	0.479	0.800000
heloc	0.682000	2.839	0.800000
house_16H	0.500000	3.629	0.799970
htru	0.908380	4.447	0.799978
ibm-employee-performance	0.846939	0.803	0.800000
in_vehicle_coupon_recommendation	0.570004	3.284	0.800729
internet_firewall	0.574350	40.933	0.799991
jm1	0.716582	2.936	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.514614	20.373	0.799996
kdd_ipums_la_97-small	0.841040	1.408	0.799923
kr-vs-k	0.149501	29.058	0.799971
kropt	0.002851	27.198	0.799971
led24	0.092188	0.998	0.800000
led7	0.084375	0.729	0.800000
letter	0.039250	19.750	0.800000
mammography	0.976755	1.788	0.799964
maternal_health_risk	0.330049	0.431	0.799803
mfeat-factors	0.100000	2.835	0.800000
mfeat-fourier	0.100000	1.265	0.800000
mfeat-karhunen	0.100000	1.230	0.800000
mfeat-morphological	0.100000	0.553	0.800000
mfeat-pixel	0.100000	3.078	0.800000
mfeat-zernike	0.100000	0.976	0.800000
mice_protein_expression	0.125000	0.964	0.800000
microaggregation2	0.224000	6.334	0.800000
mobile_c36_oversampling	0.622392	20.155	0.800000
mozilla4	0.671277	1.850	0.800000
naticusdroid+android+permissions+dataset	0.498892	20.181	0.799980
national-longitudinal-survey-binary	0.622200	1.302	0.799919
okcupid_stem	0.174475	9.095	0.799978
one-hundred-plants-margin	0.009375	4.752	0.800000
one-hundred-plants-shape	0.018750	4.502	0.800000
one-hundred-plants-texture	0.009375	4.722	0.799875
optdigits	0.100534	2.638	0.800000
ozone-level-8hr	0.067061	1.492	0.799921
page-blocks	0.060274	1.214	0.799927
pendigits	0.095953	2.734	0.799945
phoneme	0.706753	0.803	0.799963
pol	0.500248	3.006	0.799940
predict_students_dropout_and_academic_success	0.179661	1.494	0.799955
qsar	0.663507	0.650	0.800000
rice_cammeo_and_osmancik	0.906824	0.810	0.800000
ringnorm	0.835811	1.964	0.800000
satimage	0.234837	2.192	0.800000
segment	0.142857	0.710	0.800000
seismic+bumps	0.067698	0.757	0.799923
shuttle	0.000862	33.332	0.800000
spambase	0.395223	2.023	0.799826
splice	0.241379	1.631	0.800000
sports_articles_for_objectivity_analysis	0.365000	0.726	0.800000
statlog	0.700000	0.522	0.800000
steel_plates_faults	0.239075	0.748	0.799588
sylvine	0.692683	1.385	0.799961
taiwanese_bankruptcy_prediction	0.032258	4.388	0.799971
telco-customer-churn	0.734564	1.820	0.799943
texture	0.090909	6.228	0.800000
thyroid	0.925694	1.905	0.800000
thyroid-ann	0.924503	1.098	0.799841
thyroid-dis	0.098214	0.944	0.800000
turiye_student_evaluation	0.094502	1.883	0.800000
twonorm	0.906757	1.958	0.800000
vehicle	0.247059	0.524	0.799054
wall-robot-navigation	0.060440	1.556	0.799853
water_quality	0.886250	1.947	0.799900
waveform-5000	0.331000	1.821	0.800000
waveform_database_generator_version_1	0.339000	1.378	0.800000
website_phishing	0.405904	0.496	0.799704
wine-quality-red	0.400000	0.508	0.799875
wine-quality-white	0.033673	1.098	0.799918
yeast	0.313131	0.538	0.799865
