dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.409266	5.695	0.799845
Amazon_employee_access	0.942173	13.483	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.729594	3.118	0.799980
BNG(breast-w)	0.985649	20.052	0.799980
BNG(cmc)	0.572514	34.734	0.799986
BNG(tic-tac-toe)	0.792609	18.815	0.799980
Bank_Customer_Churn_Dataset	0.867000	5.344	0.800000
Basketball_c	0.697761	3.474	0.800000
Cardiovascular-Disease-dataset	0.731286	49.669	0.800000
Click_prediction_small	0.831539	6.424	0.799990
Credit_c	0.705707	42.297	0.801311
Customer_Personality_Analysis	0.890625	0.946	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.703	0.799305
E-CommereShippingData	0.671818	2.591	0.799982
Employee	0.852846	1.155	0.799914
FICO-HELOC-cleaned	0.738734	3.090	0.799919
Firm-Teacher_Clave-Direction_Classification	0.733796	2.718	0.800000
Fitness_Club_c	0.788591	0.468	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.621875	0.641	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.634375	0.662	0.800000
Gender_Gap_in_Spanish_WP	0.592632	1.184	0.799831
GesturePhaseSegmentationProcessed	0.636456	3.289	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	2.145	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.732	0.800000
INNHotelsGroup	0.867815	16.047	0.800000
Indian_pines	0.919628	11.781	0.799978
JapaneseVowels	0.994481	2.493	0.799920
KDDCup09_upselling	0.783626	2.096	0.799922
MIC	0.906061	1.429	0.799879
MagicTelescope	0.877497	5.090	0.800000
Marketing_Campaign	0.892857	0.804	0.800000
Mobile_Price_Classification	0.967500	0.689	0.800000
National_Health_and_Nutrition_Health_Survey	0.837719	0.576	0.799824
PhishingWebsites	0.967888	3.501	0.800000
PieChart3	0.879630	0.649	0.799443
Pima_Indians_Diabetes_Database	0.740260	0.443	0.799479
PizzaCutter3	0.880383	0.695	0.799616
Pumpkin_Seeds	0.886000	0.691	0.800000
QSAR_biodegradation	0.881517	0.661	0.799810
SDSS17	0.972250	97.634	0.800000
Satellite	0.992157	1.771	0.800000
Telecom_Churn_Dataset	0.946027	0.939	0.799880
UJI_Pen_Characters	0.483516	3.138	0.799853
Water_Quality_and_Potability	0.640244	0.772	0.799756
Wilt	0.992746	0.865	0.799834
abalone	0.639952	0.923	0.799856
ada	0.857831	1.682	0.799855
ada_agnostic	0.835706	1.821	0.799868
ada_prior	0.832402	1.112	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.580000	0.520	0.800000
allbp	0.974834	1.270	0.799841
allrep	0.973510	1.212	0.799841
analcatdata_authorship	0.988166	0.738	0.799049
artificial-characters	0.698141	2.193	0.799961
autoUniv-au4-2500	0.474000	1.823	0.800000
autoUniv-au7-1100	0.381818	0.543	0.800000
bank	0.898264	23.485	0.799982
banknote_authentication	0.560000	0.363	0.799563
baseball	0.944030	0.599	0.800000
car-evaluation	0.838150	0.643	0.799769
churn	0.936000	1.366	0.800000
cmc	0.579661	0.506	0.799728
company_bankruptcy_prediction	0.969941	4.261	0.799971
contraceptive_method_choice	0.600000	0.613	0.799728
credit	0.776847	4.419	0.799988
default_of_credit_card_clients	0.823167	12.645	0.800000
delta_ailerons	0.946704	1.103	0.799972
dis	0.985430	1.196	0.799841
dna	0.937304	3.553	0.799749
drug_consumption	0.403183	0.577	0.799894
dry_bean_dataset	0.927286	3.677	0.799941
eeg-eye-state	0.955274	3.992	0.800000
electricity	0.823458	21.841	0.799987
estimation_of_obesity_levels	0.981087	0.760	0.799621
eye_movements	0.591865	3.496	0.799927
eye_movements_bin	0.593298	2.036	0.799947
first-order-theorem-proving	0.611111	2.605	0.799935
gas-drift	0.995327	11.486	0.800000
gina_agnostic	0.819885	23.164	0.799885
golf_play_dataset_extended	0.917808	0.488	0.800000
heloc	0.719500	2.840	0.800000
house_16H	0.882506	3.600	0.799970
htru	0.978771	4.598	0.799978
ibm-employee-performance	1.000000	0.777	0.800000
in_vehicle_coupon_recommendation	0.670129	3.362	0.800729
internet_firewall	0.914244	41.950	0.799991
jm1	0.815802	2.977	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.844935	21.062	0.799996
kdd_ipums_la_97-small	0.870906	1.425	0.799923
kr-vs-k	0.599430	27.970	0.799971
kropt	0.605310	29.505	0.799971
led24	0.704688	1.030	0.800000
led7	0.742188	0.728	0.800000
