dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.451737	2.378	0.799845	0.003	0.204	2.174	2.381
Amazon_employee_access	0.942173	10.057	0.799994	0.003	0.147	9.910	10.060
BLE_RSSI_dataset_for_Indoor_localization	0.732599	1.023	0.799980	0.003	0.032	0.991	1.026
BNG(breast-w)	0.985903	16.612	0.799980	0.004	0.236	16.376	16.616
BNG(cmc)	0.569620	31.913	0.799986	0.005	0.334	31.578	31.918
BNG(tic-tac-toe)	0.781941	16.839	0.799980	0.004	0.248	16.591	16.843
Bank_Customer_Churn_Dataset	0.871500	1.983	0.800000	0.003	0.070	1.913	1.985
Basketball_c	0.690299	0.249	0.800000	0.002	0.033	0.215	0.251
Cardiovascular-Disease-dataset	0.729571	50.432	0.800000	0.005	0.395	50.037	50.438
Click_prediction_small	0.831790	6.009	0.799990	0.003	0.075	5.934	6.012
Credit_c	0.705790	41.714	0.801311	0.007	0.785	40.928	41.721
Customer_Personality_Analysis	0.892857	0.490	0.800000	0.002	0.045	0.445	0.493
Diabetic_Retinopathy_Debrecen	0.761905	0.262	0.799305	0.002	0.030	0.232	0.264
E-CommereShippingData	0.671364	2.111	0.799982	0.002	0.061	2.050	2.114
Employee	0.849624	0.706	0.799914	0.002	0.024	0.682	0.708
FICO-HELOC-cleaned	0.740759	2.551	0.799919	0.003	0.124	2.427	2.554
Firm-Teacher_Clave-Direction_Classification	0.762963	2.403	0.800000	0.002	0.100	2.303	2.405
Fitness_Club_c	0.798658	0.185	0.799596	0.002	0.013	0.172	0.187
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.650000	0.334	0.800000	0.002	0.034	0.300	0.336
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.643750	0.335	0.800000	0.003	0.035	0.300	0.338
Gender_Gap_in_Spanish_WP	0.594737	0.841	0.799831	0.002	0.036	0.805	0.843
GesturePhaseSegmentationProcessed	0.655190	2.972	0.799959	0.003	0.162	2.810	2.975
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.803	0.797432	0.003	0.059	1.744	1.805
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.410	0.800000	0.002	0.051	0.358	0.412
INNHotelsGroup	0.868642	15.623	0.800000	0.004	0.300	15.323	15.627
Indian_pines	0.926736	11.570	0.799978	0.007	0.972	10.598	11.577
JapaneseVowels	0.994982	2.176	0.799920	0.003	0.081	2.096	2.180
KDDCup09_upselling	0.780702	1.794	0.799922	0.003	0.139	1.654	1.797
MIC	0.903030	1.066	0.799879	0.003	0.157	0.909	1.068
MagicTelescope	0.877760	4.765	0.800000	0.003	0.108	4.657	4.768
Marketing_Campaign	0.886161	0.506	0.800000	0.003	0.049	0.458	0.509
Mobile_Price_Classification	0.975000	0.412	0.800000	0.002	0.038	0.374	0.414
National_Health_and_Nutrition_Health_Survey	0.826754	0.291	0.799824	0.002	0.018	0.273	0.294
PhishingWebsites	0.965174	3.181	0.800000	0.003	0.143	3.038	3.184
PieChart3	0.875000	0.355	0.799443	0.002	0.055	0.300	0.357
Pima_Indians_Diabetes_Database	0.772727	0.140	0.799479	0.003	0.014	0.126	0.142
PizzaCutter3	0.880383	0.348	0.799617	0.002	0.053	0.296	0.350
Pumpkin_Seeds	0.878000	0.399	0.800000	0.002	0.025	0.374	0.401
QSAR_biodegradation	0.881517	0.375	0.799810	0.002	0.060	0.315	0.378
SDSS17	0.972050	99.424	0.800000	0.006	0.677	98.747	99.430
Satellite	0.993137	1.473	0.800000	0.003	0.104	1.369	1.477
Telecom_Churn_Dataset	0.943028	0.650	0.799880	0.003	0.041	0.609	0.653
UJI_Pen_Characters	0.483516	2.431	0.799853	0.002	0.119	2.312	2.434
Water_Quality_and_Potability	0.641768	0.489	0.799756	0.002	0.022	0.467	0.491
Wilt	0.991710	0.476	0.799834	0.003	0.018	0.457	0.479
abalone	0.643541	0.635	0.799856	0.002	0.026	0.609	0.637
ada	0.854217	1.383	0.799855	0.003	0.103	1.280	1.385
ada_agnostic	0.834611	1.527	0.799868	0.003	0.106	1.421	1.530
ada_prior	0.833520	0.817	0.799955	0.002	0.038	0.780	0.820
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.602500	0.256	0.800000	0.003	0.017	0.239	0.258
allbp	0.973510	0.916	0.799841	0.003	0.059	0.857	0.918
allrep	0.976159	0.913	0.799841	0.002	0.058	0.855	0.916
analcatdata_authorship	0.988166	0.455	0.799049	0.003	0.095	0.360	0.457
artificial-characters	0.693738	1.893	0.799961	0.002	0.045	1.848	1.896
autoUniv-au4-2500	0.494000	1.520	0.800000	0.003	0.191	1.329	1.523
autoUniv-au7-1100	0.386364	0.200	0.800000	0.002	0.019	0.180	0.202
bank	0.899259	22.955	0.799982	0.004	0.376	22.578	22.959
banknote_authentication	0.552727	0.095	0.799563	0.003	0.009	0.086	0.098
baseball	0.944030	0.266	0.800000	0.003	0.027	0.239	0.269
car-evaluation	0.815029	0.364	0.799769	0.002	0.035	0.329	0.366
churn	0.936000	1.072	0.800000	0.003	0.062	1.010	1.075
cmc	0.579661	0.232	0.799728	0.002	0.017	0.215	0.234
company_bankruptcy_prediction	0.971408	3.942	0.799971	0.004	0.325	3.617	3.946
contraceptive_method_choice	0.610169	0.230	0.799728	0.002	0.016	0.213	0.232
credit	0.775351	3.970	0.799988	0.003	0.093	3.878	3.973
default_of_credit_card_clients	0.823167	12.249	0.800000	0.004	0.380	11.869	12.253
delta_ailerons	0.947405	0.758	0.799972	0.003	0.025	0.733	0.761
dis	0.986755	0.925	0.799841	0.003	0.062	0.862	0.927
dna	0.929467	3.260	0.799749	0.004	0.359	2.900	3.263
drug_consumption	0.403183	0.307	0.799894	0.002	0.023	0.284	0.309
dry_bean_dataset	0.929490	3.286	0.799941	0.003	0.124	3.161	3.289
eeg-eye-state	0.950601	3.721	0.800000	0.004	0.127	3.594	3.726
electricity	0.822465	21.719	0.799987	0.004	0.253	21.466	21.722
estimation_of_obesity_levels	0.983452	0.394	0.799621	0.002	0.030	0.364	0.396
eye_movements	0.574040	2.998	0.799927	0.004	0.166	2.832	3.002
eye_movements_bin	0.597898	1.768	0.799947	0.003	0.099	1.668	1.771
first-order-theorem-proving	0.612745	2.235	0.799935	0.003	0.175	2.060	2.238
gas-drift	0.994608	11.133	0.800000	0.007	1.013	10.120	11.141
gina_agnostic	0.804035	22.886	0.799885	0.010	2.255	20.631	22.897
golf_play_dataset_extended	0.931507	0.194	0.800000	0.002	0.016	0.178	0.196
heloc	0.719500	2.568	0.800000	0.003	0.123	2.445	2.571
house_16H	0.883988	3.323	0.799970	0.003	0.127	3.196	3.326
htru	0.979050	4.247	0.799978	0.003	0.081	4.166	4.249
ibm-employee-performance	1.000000	0.406	0.800000	0.002	0.052	0.354	0.408
in_vehicle_coupon_recommendation	0.665974	3.079	0.800729	0.003	0.140	2.940	3.083
internet_firewall	0.918593	42.315	0.799991	0.004	0.167	42.148	42.319
jm1	0.813964	2.680	0.800000	0.003	0.118	2.562	2.683
jungle_chess_2pcs_raw_endgame_complete	0.844489	21.107	0.799996	0.004	0.196	20.910	21.111
kdd_ipums_la_97-small	0.869942	1.104	0.799923	0.003	0.062	1.043	1.108
kr-vs-k	0.600499	29.110	0.799971	0.004	0.131	28.980	29.114
kropt	0.608874	27.350	0.799971	0.003	0.116	27.234	27.353
led24	0.718750	0.719	0.800000	0.002	0.055	0.664	0.722
led7	0.740625	0.450	0.800000	0.003	0.019	0.431	0.453
letter	0.970250	18.075	0.800000	0.003	0.176	17.899	18.079
mammography	0.989718	1.540	0.799964	0.002	0.043	1.497	1.542
maternal_health_risk	0.827586	0.164	0.799803	0.002	0.011	0.153	0.166
mfeat-factors	0.970000	2.503	0.800000	0.004	0.361	2.142	2.507
mfeat-fourier	0.880000	0.984	0.800000	0.003	0.132	0.852	0.987
mfeat-karhunen	0.972500	0.861	0.800000	0.004	0.109	0.752	0.865
mfeat-morphological	0.765000	0.267	0.800000	0.002	0.015	0.252	0.269
mfeat-pixel	0.962500	2.806	0.800000	0.004	0.410	2.395	2.809
mfeat-zernike	0.810000	0.691	0.800000	0.003	0.088	0.603	0.693
mice_protein_expression	1.000000	0.577	0.800000	0.002	0.105	0.472	0.580
microaggregation2	0.621000	6.222	0.800000	0.005	0.180	6.042	6.228
mobile_c36_oversampling	0.974304	20.449	0.800000	0.003	0.198	20.251	20.452
mozilla4	0.928273	1.598	0.800000	0.003	0.044	1.554	1.601
naticusdroid+android+permissions+dataset	0.967445	20.032	0.799980	0.008	0.803	19.229	20.040
national-longitudinal-survey-binary	0.994908	0.947	0.799918	0.002	0.052	0.896	0.950
okcupid_stem	0.734070	9.125	0.799977	0.003	0.191	8.934	9.129
one-hundred-plants-margin	0.843750	4.068	0.800000	0.004	0.112	3.955	4.072
one-hundred-plants-shape	0.743750	4.112	0.800000	0.002	0.110	4.002	4.115
one-hundred-plants-texture	0.884375	4.257	0.799875	0.002	0.112	4.145	4.260
optdigits	0.990214	2.482	0.800000	0.003	0.191	2.290	2.485
ozone-level-8hr	0.952663	1.167	0.799921	0.002	0.131	1.035	1.169
page-blocks	0.974429	0.918	0.799927	0.003	0.037	0.881	0.921
