dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.281853	2.300	0.799845	0.003	0.202	2.098	2.303
Amazon_employee_access	0.942173	9.897	0.799994	0.003	0.138	9.760	9.901
BLE_RSSI_dataset_for_Indoor_localization	0.730095	1.031	0.799980	0.002	0.046	0.985	1.034
BNG(breast-w)	0.979934	16.294	0.799980	0.003	0.245	16.049	16.298
BNG(cmc)	0.557866	31.183	0.799986	0.004	0.301	30.882	31.187
BNG(tic-tac-toe)	0.720726	16.278	0.799980	0.004	0.239	16.039	16.282
Bank_Customer_Churn_Dataset	0.825500	1.988	0.800000	0.002	0.077	1.910	1.990
Basketball_c	0.701493	0.241	0.800000	0.003	0.032	0.209	0.244
Cardiovascular-Disease-dataset	0.698071	49.884	0.800000	0.005	0.394	49.490	49.890
Click_prediction_small	0.831539	5.981	0.799990	0.003	0.080	5.901	5.984
Credit_c	0.623573	41.533	0.801311	0.006	0.795	40.738	41.539
Customer_Personality_Analysis	0.863839	0.489	0.800000	0.002	0.045	0.445	0.491
Diabetic_Retinopathy_Debrecen	0.623377	0.261	0.799305	0.003	0.030	0.231	0.263
E-CommereShippingData	0.660909	2.120	0.799982	0.004	0.062	2.058	2.124
Employee	0.741139	0.701	0.799914	0.002	0.025	0.677	0.703
FICO-HELOC-cleaned	0.726582	2.550	0.799919	0.003	0.127	2.423	2.554
Firm-Teacher_Clave-Direction_Classification	0.557407	2.414	0.800000	0.003	0.104	2.310	2.417
Fitness_Club_c	0.781879	0.182	0.799596	0.002	0.013	0.170	0.185
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.531250	0.332	0.800000	0.002	0.034	0.298	0.334
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.525000	0.335	0.800000	0.002	0.035	0.300	0.337
Gender_Gap_in_Spanish_WP	0.591579	0.836	0.799831	0.002	0.036	0.799	0.838
GesturePhaseSegmentationProcessed	0.482025	2.993	0.799959	0.003	0.173	2.819	2.996
HR_Analytics_Job_Change_of_Data_Scientists	0.843991	1.804	0.797432	0.003	0.059	1.745	1.807
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.853741	0.404	0.800000	0.003	0.050	0.354	0.407
INNHotelsGroup	0.806754	15.756	0.800000	0.004	0.300	15.456	15.760
Indian_pines	0.725533	11.497	0.799978	0.008	0.960	10.538	11.505
JapaneseVowels	0.920221	2.196	0.799920	0.003	0.085	2.111	2.199
KDDCup09_upselling	0.688109	1.811	0.799922	0.003	0.149	1.661	1.814
MIC	0.872727	1.080	0.799879	0.003	0.162	0.918	1.083
MagicTelescope	0.814406	4.686	0.800000	0.003	0.110	4.575	4.689
Marketing_Campaign	0.870536	0.507	0.800000	0.002	0.050	0.457	0.510
Mobile_Price_Classification	0.415000	0.412	0.800000	0.002	0.039	0.373	0.414
National_Health_and_Nutrition_Health_Survey	0.839912	0.294	0.799824	0.002	0.019	0.275	0.297
PhishingWebsites	0.900950	3.206	0.800000	0.003	0.155	3.051	3.209
PieChart3	0.879630	0.358	0.799443	0.003	0.056	0.302	0.361
Pima_Indians_Diabetes_Database	0.766234	0.143	0.799479	0.002	0.014	0.129	0.146
PizzaCutter3	0.885167	0.353	0.799617	0.003	0.054	0.299	0.355
Pumpkin_Seeds	0.868000	0.401	0.800000	0.003	0.026	0.374	0.403
QSAR_biodegradation	0.886256	0.379	0.799810	0.002	0.062	0.317	0.381
SDSS17	0.847550	97.678	0.800000	0.006	0.676	97.002	97.684
Satellite	0.990196	1.485	0.800000	0.003	0.110	1.375	1.488
Telecom_Churn_Dataset	0.890555	0.648	0.799880	0.002	0.041	0.608	0.650
UJI_Pen_Characters	0.391941	2.516	0.799853	0.002	0.187	2.328	2.518
Water_Quality_and_Potability	0.631098	0.493	0.799756	0.002	0.023	0.469	0.495
Wilt	0.953368	0.480	0.799834	0.002	0.020	0.460	0.482
abalone	0.604067	0.641	0.799856	0.002	0.028	0.613	0.643
ada	0.837349	1.386	0.799855	0.003	0.102	1.284	1.389
ada_agnostic	0.803943	1.537	0.799868	0.003	0.114	1.423	1.540
ada_prior	0.820112	0.819	0.799955	0.002	0.039	0.780	0.821
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.582500	0.256	0.800000	0.002	0.017	0.239	0.258
allbp	0.956291	0.918	0.799841	0.002	0.058	0.860	0.920
allrep	0.966887	0.911	0.799841	0.003	0.058	0.852	0.913
analcatdata_authorship	0.970414	0.458	0.799049	0.003	0.097	0.362	0.461
artificial-characters	0.505382	1.914	0.799961	0.002	0.050	1.864	1.916
autoUniv-au4-2500	0.498000	1.525	0.800000	0.003	0.190	1.335	1.528
autoUniv-au7-1100	0.340909	0.199	0.800000	0.002	0.019	0.179	0.201
bank	0.885547	22.676	0.799982	0.004	0.380	22.296	22.680
banknote_authentication	0.527273	0.096	0.799563	0.002	0.009	0.087	0.099
baseball	0.917910	0.264	0.800000	0.002	0.027	0.237	0.266
car-evaluation	0.699422	0.363	0.799769	0.002	0.035	0.328	0.365
churn	0.868000	1.072	0.800000	0.002	0.061	1.011	1.074
cmc	0.538983	0.232	0.799728	0.002	0.018	0.214	0.234
company_bankruptcy_prediction	0.972141	3.948	0.799971	0.004	0.318	3.631	3.952
contraceptive_method_choice	0.579661	0.234	0.799728	0.002	0.017	0.217	0.236
credit	0.754711	3.986	0.799988	0.003	0.100	3.886	3.989
default_of_credit_card_clients	0.803167	12.233	0.800000	0.004	0.379	11.854	12.237
delta_ailerons	0.941094	0.762	0.799972	0.003	0.025	0.737	0.765
dis	0.984106	0.920	0.799841	0.003	0.059	0.861	0.923
dna	0.520376	3.285	0.799749	0.004	0.383	2.902	3.289
drug_consumption	0.400531	0.309	0.799894	0.002	0.023	0.286	0.311
dry_bean_dataset	0.899376	3.342	0.799941	0.003	0.121	3.221	3.345
eeg-eye-state	0.745661	3.640	0.800000	0.003	0.118	3.523	3.644
electricity	0.773695	21.737	0.799987	0.004	0.269	21.467	21.741
estimation_of_obesity_levels	0.732861	0.396	0.799621	0.002	0.030	0.367	0.398
eye_movements	0.523766	3.015	0.799927	0.003	0.165	2.850	3.018
eye_movements_bin	0.574244	1.746	0.799947	0.003	0.092	1.655	1.750
first-order-theorem-proving	0.491013	2.217	0.799935	0.003	0.164	2.053	2.221
gas-drift	0.834292	11.211	0.800000	0.007	1.016	10.194	11.217
gina_agnostic	0.642651	23.271	0.799885	0.011	2.260	21.011	23.282
golf_play_dataset_extended	0.881279	0.190	0.800000	0.002	0.015	0.174	0.192
heloc	0.715000	2.545	0.800000	0.003	0.115	2.429	2.548
house_16H	0.825056	3.295	0.799970	0.006	0.118	3.177	3.301
htru	0.977374	4.261	0.799978	0.003	0.081	4.179	4.263
ibm-employee-performance	0.850340	0.400	0.800000	0.004	0.050	0.350	0.404
in_vehicle_coupon_recommendation	0.643955	3.031	0.800729	0.003	0.129	2.902	3.034
internet_firewall	0.746700	42.523	0.799991	0.004	0.169	42.354	42.527
jm1	0.811667	2.661	0.800000	0.003	0.116	2.545	2.663
jungle_chess_2pcs_raw_endgame_complete	0.676707	20.801	0.799996	0.004	0.184	20.616	20.804
kdd_ipums_la_97-small	0.839114	1.110	0.799923	0.003	0.061	1.049	1.113
kr-vs-k	0.304170	28.758	0.799971	0.003	0.129	28.628	28.761
kropt	0.325909	27.334	0.799971	0.003	0.116	27.218	27.338
led24	0.634375	0.715	0.800000	0.002	0.056	0.659	0.717
led7	0.718750	0.445	0.800000	0.003	0.019	0.426	0.448
letter	0.793750	17.365	0.800000	0.004	0.179	17.186	17.368
mammography	0.976755	1.547	0.799964	0.003	0.045	1.502	1.550
maternal_health_risk	0.674877	0.167	0.799803	0.004	0.012	0.155	0.171
mfeat-factors	0.950000	2.524	0.800000	0.004	0.379	2.145	2.528
mfeat-fourier	0.835000	0.994	0.800000	0.003	0.138	0.856	0.998
mfeat-karhunen	0.870000	0.871	0.800000	0.003	0.114	0.757	0.873
mfeat-morphological	0.710000	0.270	0.800000	0.002	0.016	0.254	0.273
mfeat-pixel	0.837500	2.825	0.800000	0.005	0.427	2.398	2.830
mfeat-zernike	0.757500	0.698	0.800000	0.002	0.090	0.608	0.701
mice_protein_expression	0.976852	0.583	0.800000	0.003	0.104	0.479	0.585
microaggregation2	0.563500	6.152	0.800000	0.004	0.185	5.967	6.155
mobile_c36_oversampling	0.885819	20.787	0.800000	0.003	0.211	20.575	20.790
mozilla4	0.825024	1.560	0.800000	0.003	0.046	1.514	1.563
naticusdroid+android+permissions+dataset	0.886654	20.305	0.799980	0.008	0.800	19.505	20.313
national-longitudinal-survey-binary	0.854379	0.943	0.799918	0.003	0.048	0.895	0.946
okcupid_stem	0.721327	8.756	0.799977	0.003	0.178	8.578	8.759
one-hundred-plants-margin	0.571875	4.369	0.800000	0.003	0.113	4.256	4.372
one-hundred-plants-shape	0.318750	4.374	0.800000	0.003	0.112	4.262	4.377
one-hundred-plants-texture	0.656250	4.254	0.799875	0.003	0.108	4.145	4.256
optdigits	0.911922	2.354	0.800000	0.004	0.188	2.166	2.358
ozone-level-8hr	0.936884	1.169	0.799921	0.003	0.135	1.034	1.172
page-blocks	0.934247	0.908	0.799927	0.002	0.035	0.873	0.910
pendigits	0.897226	2.477	0.799945	0.003	0.105	2.372	2.480
phoneme	0.798335	0.529	0.799963	0.002	0.022	0.507	0.532
pol	0.918195	2.713	0.799940	0.003	0.111	2.602	2.716
predict_students_dropout_and_academic_success	0.703955	1.223	0.799955	0.003	0.084	1.139	1.226
