dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.424710	2.380	0.799845	0.003	0.202	2.177	2.383
Amazon_employee_access	0.942173	10.049	0.799994	0.003	0.149	9.900	10.052
BLE_RSSI_dataset_for_Indoor_localization	0.734101	1.014	0.799980	0.002	0.033	0.980	1.016
BNG(breast-w)	0.986538	16.649	0.799980	0.004	0.244	16.406	16.654
BNG(cmc)	0.577758	31.292	0.799986	0.005	0.303	30.990	31.297
BNG(tic-tac-toe)	0.794260	16.839	0.799980	0.004	0.239	16.600	16.843
Bank_Customer_Churn_Dataset	0.870500	1.985	0.800000	0.003	0.068	1.917	1.988
Basketball_c	0.708955	0.258	0.800000	0.002	0.045	0.213	0.261
Cardiovascular-Disease-dataset	0.732286	50.846	0.800000	0.006	0.425	50.421	50.852
Click_prediction_small	0.831539	5.896	0.799990	0.003	0.075	5.821	5.899
Credit_c	0.705459	42.138	0.801311	0.006	0.792	41.346	42.143
Customer_Personality_Analysis	0.890625	0.490	0.800000	0.002	0.045	0.445	0.492
Diabetic_Retinopathy_Debrecen	0.753247	0.262	0.799305	0.002	0.030	0.232	0.264
E-CommereShippingData	0.673182	2.135	0.799982	0.003	0.061	2.073	2.137
Employee	0.853921	0.704	0.799914	0.002	0.024	0.680	0.706
FICO-HELOC-cleaned	0.740253	2.560	0.799919	0.003	0.125	2.434	2.563
Firm-Teacher_Clave-Direction_Classification	0.758333	2.394	0.800000	0.003	0.104	2.291	2.398
Fitness_Club_c	0.802013	0.184	0.799596	0.002	0.013	0.171	0.187
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.653125	0.333	0.800000	0.002	0.033	0.299	0.335
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.687500	0.334	0.800000	0.003	0.035	0.300	0.337
Gender_Gap_in_Spanish_WP	0.596842	0.847	0.799831	0.003	0.037	0.811	0.850
GesturePhaseSegmentationProcessed	0.671899	2.977	0.799959	0.003	0.162	2.816	2.981
HR_Analytics_Job_Change_of_Data_Scientists	0.855568	1.805	0.797432	0.003	0.063	1.742	1.807
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.853741	0.412	0.800000	0.003	0.052	0.360	0.415
INNHotelsGroup	0.870848	15.669	0.800000	0.005	0.303	15.366	15.674
Indian_pines	0.933844	11.428	0.799978	0.008	0.985	10.443	11.436
JapaneseVowels	0.994982	2.181	0.799920	0.003	0.079	2.102	2.184
KDDCup09_upselling	0.787524	1.796	0.799922	0.003	0.139	1.657	1.799
MIC	0.912121	1.066	0.799879	0.003	0.157	0.909	1.069
MagicTelescope	0.879338	4.793	0.800000	0.003	0.111	4.683	4.797
Marketing_Campaign	0.890625	0.509	0.800000	0.003	0.049	0.461	0.512
Mobile_Price_Classification	0.967500	0.414	0.800000	0.002	0.038	0.376	0.417
National_Health_and_Nutrition_Health_Survey	0.828947	0.292	0.799824	0.003	0.018	0.273	0.294
PhishingWebsites	0.969697	3.194	0.800000	0.004	0.144	3.050	3.198
PieChart3	0.875000	0.358	0.799443	0.002	0.056	0.302	0.360
Pima_Indians_Diabetes_Database	0.753247	0.144	0.799479	0.003	0.014	0.130	0.147
PizzaCutter3	0.885167	0.351	0.799617	0.003	0.053	0.298	0.354
Pumpkin_Seeds	0.878000	0.402	0.800000	0.005	0.026	0.377	0.408
QSAR_biodegradation	0.876777	0.379	0.799810	0.003	0.061	0.317	0.382
SDSS17	0.971900	99.398	0.800000	0.006	0.674	98.724	99.404
Satellite	0.993137	1.476	0.800000	0.003	0.103	1.373	1.479
Telecom_Churn_Dataset	0.952024	0.654	0.799880	0.002	0.041	0.614	0.657
UJI_Pen_Characters	0.501832	2.730	0.799853	0.002	0.119	2.611	2.732
Water_Quality_and_Potability	0.649390	0.492	0.799756	0.003	0.022	0.470	0.495
Wilt	0.990674	0.477	0.799834	0.003	0.019	0.459	0.480
abalone	0.642344	0.637	0.799856	0.003	0.027	0.610	0.640
ada	0.853012	1.375	0.799855	0.003	0.101	1.275	1.378
ada_agnostic	0.829135	1.529	0.799868	0.003	0.108	1.421	1.532
ada_prior	0.830168	0.818	0.799955	0.003	0.038	0.780	0.821
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.610000	0.258	0.800000	0.002	0.017	0.242	0.261
allbp	0.974834	0.917	0.799841	0.003	0.058	0.859	0.920
allrep	0.977483	0.914	0.799841	0.003	0.058	0.856	0.917
analcatdata_authorship	0.988166	0.454	0.799049	0.003	0.094	0.360	0.456
artificial-characters	0.704501	1.899	0.799961	0.003	0.047	1.852	1.902
autoUniv-au4-2500	0.502000	1.519	0.800000	0.003	0.189	1.329	1.522
autoUniv-au7-1100	0.363636	0.207	0.800000	0.003	0.020	0.187	0.209
bank	0.900254	22.890	0.799982	0.004	0.381	22.509	22.894
banknote_authentication	0.545455	0.099	0.799563	0.003	0.010	0.089	0.102
baseball	0.944030	0.270	0.800000	0.002	0.028	0.242	0.272
car-evaluation	0.864162	0.370	0.799769	0.003	0.036	0.333	0.372
churn	0.946000	1.082	0.800000	0.003	0.062	1.020	1.085
cmc	0.606780	0.234	0.799728	0.002	0.017	0.217	0.237
company_bankruptcy_prediction	0.972874	3.951	0.799971	0.004	0.318	3.634	3.956
contraceptive_method_choice	0.623729	0.235	0.799728	0.003	0.017	0.218	0.237
