dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.424710	4.883	0.799845
Amazon_employee_access	0.942173	13.464	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.731597	3.856	0.799980
BNG(breast-w)	0.985014	19.041	0.799980
BNG(cmc)	0.569168	34.641	0.799986
BNG(tic-tac-toe)	0.783973	19.929	0.799980
Bank_Customer_Churn_Dataset	0.861000	5.298	0.800000
Basketball_c	0.686567	3.342	0.800000
Cardiovascular-Disease-dataset	0.730143	49.605	0.800000
Click_prediction_small	0.831539	6.425	0.799990
Credit_c	0.700000	42.109	0.801311
Customer_Personality_Analysis	0.895089	0.928	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.700	0.799305
E-CommereShippingData	0.666818	2.626	0.799982
Employee	0.848550	1.146	0.799914
FICO-HELOC-cleaned	0.740253	3.112	0.799919
Firm-Teacher_Clave-Direction_Classification	0.722685	2.708	0.800000
Fitness_Club_c	0.791946	0.448	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.628125	0.693	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.650000	0.632	0.800000
Gender_Gap_in_Spanish_WP	0.600000	1.135	0.799831
GesturePhaseSegmentationProcessed	0.618734	3.374	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.851158	2.134	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.696	0.800000
INNHotelsGroup	0.861751	16.076	0.800000
Indian_pines	0.918535	11.842	0.799978
JapaneseVowels	0.990968	2.469	0.799920
KDDCup09_upselling	0.779727	2.083	0.799922
MIC	0.903030	1.391	0.799879
MagicTelescope	0.876446	5.125	0.800000
Marketing_Campaign	0.888393	0.803	0.800000
Mobile_Price_Classification	0.917500	0.709	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.547	0.799824
PhishingWebsites	0.961556	3.486	0.800000
PieChart3	0.875000	0.718	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.414	0.799479
PizzaCutter3	0.880383	0.642	0.799616
Pumpkin_Seeds	0.874000	0.695	0.800000
QSAR_biodegradation	0.895735	0.657	0.799810
SDSS17	0.971150	98.117	0.800000
Satellite	0.993137	1.754	0.800000
Telecom_Churn_Dataset	0.949025	0.923	0.799880
UJI_Pen_Characters	0.490842	2.989	0.799853
Water_Quality_and_Potability	0.641768	0.823	0.799756
Wilt	0.990674	0.801	0.799834
abalone	0.632775	0.914	0.799856
ada	0.854217	1.676	0.799855
ada_agnostic	0.830230	1.817	0.799868
ada_prior	0.836872	1.079	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.567500	0.526	0.800000
allbp	0.974834	1.206	0.799841
allrep	0.969536	1.223	0.799841
analcatdata_authorship	0.976331	0.741	0.799049
artificial-characters	0.676614	2.176	0.799961
autoUniv-au4-2500	0.490000	1.794	0.800000
autoUniv-au7-1100	0.363636	0.491	0.800000
bank	0.895168	23.488	0.799982
banknote_authentication	0.549091	0.383	0.799563
baseball	0.951493	0.542	0.800000
car-evaluation	0.783237	0.653	0.799769
churn	0.940000	1.365	0.800000
cmc	0.576271	0.495	0.799728
company_bankruptcy_prediction	0.968475	4.245	0.799971
contraceptive_method_choice	0.606780	0.616	0.799728
credit	0.775651	4.359	0.799988
default_of_credit_card_clients	0.822333	12.607	0.800000
delta_ailerons	0.946704	1.062	0.799972
dis	0.984106	1.195	0.799841
dna	0.935737	3.544	0.799749
drug_consumption	0.403183	0.570	0.799894
dry_bean_dataset	0.928755	3.676	0.799941
eeg-eye-state	0.941923	3.955	0.800000
electricity	0.811652	21.895	0.799987
estimation_of_obesity_levels	0.971631	0.782	0.799621
eye_movements	0.552559	3.412	0.799927
eye_movements_bin	0.597898	2.060	0.799947
first-order-theorem-proving	0.596405	2.602	0.799935
gas-drift	0.994608	11.488	0.800000
gina_agnostic	0.788184	23.112	0.799885
golf_play_dataset_extended	0.913242	0.478	0.800000
heloc	0.712500	2.821	0.800000
house_16H	0.880282	3.608	0.799970
htru	0.979050	4.549	0.799978
ibm-employee-performance	0.996599	0.792	0.800000
in_vehicle_coupon_recommendation	0.667636	3.351	0.800729
internet_firewall	0.800793	41.891	0.799991
jm1	0.816261	2.941	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.773092	21.015	0.799996
kdd_ipums_la_97-small	0.850674	1.367	0.799923
kr-vs-k	0.587313	29.281	0.799971
kropt	0.588560	28.000	0.799971
led24	0.703125	1.031	0.800000
led7	0.735938	0.821	0.800000
letter	0.958750	18.900	0.800000
mammography	0.988377	1.775	0.799964
maternal_health_risk	0.778325	0.435	0.799803
mfeat-factors	0.970000	2.781	0.800000
mfeat-fourier	0.887500	1.282	0.800000
mfeat-karhunen	0.967500	1.209	0.800000
mfeat-morphological	0.750000	0.551	0.800000
mfeat-pixel	0.952500	3.102	0.800000
mfeat-zernike	0.812500	0.945	0.800000
mice_protein_expression	1.000000	0.918	0.800000
microaggregation2	0.618500	6.479	0.800000
mobile_c36_oversampling	0.964162	20.676	0.800000
mozilla4	0.923770	1.863	0.800000
naticusdroid+android+permissions+dataset	0.958071	20.491	0.799980
national-longitudinal-survey-binary	0.990835	1.236	0.799919
okcupid_stem	0.732759	9.320	0.799978
one-hundred-plants-margin	0.818750	4.593	0.800000
one-hundred-plants-shape	0.743750	4.365	0.800000
one-hundred-plants-texture	0.903125	4.813	0.799875
optdigits	0.992883	2.611	0.800000
ozone-level-8hr	0.954635	1.459	0.799921
page-blocks	0.978082	1.190	0.799927
pendigits	0.995452	2.757	0.799945
phoneme	0.866790	0.798	0.799963
pol	0.974715	2.976	0.799940
predict_students_dropout_and_academic_success	0.766102	1.489	0.799955
qsar	0.900474	0.652	0.800000
rice_cammeo_and_osmancik	0.926509	0.781	0.800000
ringnorm	0.975676	2.008	0.800000
satimage	0.916796	2.169	0.800000
segment	0.930736	0.722	0.800000
seismic+bumps	0.928433	0.770	0.799923
shuttle	0.999397	34.606	0.800000
spambase	0.945711	2.015	0.799826
splice	0.868339	1.611	0.800000
sports_articles_for_objectivity_analysis	0.845000	0.711	0.800000
statlog	0.740000	0.508	0.800000
steel_plates_faults	0.773779	0.739	0.799588
sylvine	0.937561	1.380	0.799961
taiwanese_bankruptcy_prediction	0.969208	4.384	0.799971
telco-customer-churn	0.795600	1.807	0.799943
texture	0.999091	6.036	0.800000
thyroid	0.986806	1.930	0.800000
thyroid-ann	0.985430	1.075	0.799841
thyroid-dis	0.694643	0.941	0.800000
turiye_student_evaluation	0.495704	1.877	0.800000
twonorm	0.978378	1.982	0.800000
vehicle	0.841176	0.524	0.799054
wall-robot-navigation	0.960623	1.545	0.799853
water_quality	0.902500	1.940	0.799900
waveform-5000	0.858000	1.829	0.800000
waveform_database_generator_version_1	0.867000	1.373	0.800000
website_phishing	0.907749	0.495	0.799704
wine-quality-red	0.581250	0.482	0.799875
wine-quality-white	0.592857	1.096	0.799918
yeast	0.616162	0.507	0.799865
