dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.436293	2.379	0.799845	0.003	0.205	2.174	2.382
Amazon_employee_access	0.942173	10.174	0.799994	0.004	0.138	10.037	10.178
BLE_RSSI_dataset_for_Indoor_localization	0.728593	1.011	0.799980	0.002	0.032	0.980	1.014
BNG(breast-w)	0.986030	16.780	0.799980	0.004	0.240	16.540	16.784
BNG(cmc)	0.573689	31.892	0.799986	0.005	0.338	31.554	31.897
BNG(tic-tac-toe)	0.785243	16.478	0.799980	0.004	0.246	16.232	16.482
Bank_Customer_Churn_Dataset	0.869000	2.001	0.800000	0.003	0.072	1.929	2.003
Basketball_c	0.705224	0.247	0.800000	0.003	0.033	0.213	0.249
Cardiovascular-Disease-dataset	0.729429	49.962	0.800000	0.005	0.394	49.568	49.968
Click_prediction_small	0.832165	6.012	0.799990	0.003	0.074	5.938	6.015
Credit_c	0.708189	42.030	0.801311	0.005	0.797	41.233	42.036
Customer_Personality_Analysis	0.892857	0.490	0.800000	0.002	0.045	0.445	0.492
Diabetic_Retinopathy_Debrecen	0.766234	0.263	0.799305	0.002	0.030	0.233	0.265
E-CommereShippingData	0.670000	2.111	0.799982	0.003	0.060	2.051	2.114
Employee	0.849624	0.706	0.799914	0.002	0.024	0.681	0.708
FICO-HELOC-cleaned	0.743291	2.548	0.799919	0.003	0.127	2.421	2.551
Firm-Teacher_Clave-Direction_Classification	0.762963	2.403	0.800000	0.002	0.098	2.304	2.405
Fitness_Club_c	0.798658	0.186	0.799596	0.002	0.013	0.173	0.188
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.628125	0.334	0.800000	0.002	0.034	0.300	0.336
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.662500	0.336	0.800000	0.002	0.036	0.301	0.339
Gender_Gap_in_Spanish_WP	0.597895	0.841	0.799831	0.002	0.036	0.805	0.843
GesturePhaseSegmentationProcessed	0.649114	2.976	0.799959	0.003	0.166	2.811	2.979
HR_Analytics_Job_Change_of_Data_Scientists	0.852811	1.808	0.797432	0.003	0.059	1.749	1.811
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.410	0.800000	0.002	0.051	0.359	0.412
INNHotelsGroup	0.867126	15.785	0.800000	0.004	0.301	15.484	15.788
Indian_pines	0.932750	11.257	0.799978	0.007	0.983	10.274	11.265
JapaneseVowels	0.994982	2.178	0.799920	0.003	0.081	2.097	2.181
KDDCup09_upselling	0.782651	1.792	0.799922	0.003	0.138	1.655	1.796
MIC	0.906061	1.066	0.799879	0.002	0.158	0.908	1.068
MagicTelescope	0.877497	4.720	0.800000	0.003	0.111	4.610	4.724
Marketing_Campaign	0.890625	0.510	0.800000	0.002	0.049	0.461	0.512
Mobile_Price_Classification	0.975000	0.414	0.800000	0.002	0.038	0.376	0.416
National_Health_and_Nutrition_Health_Survey	0.831140	0.290	0.799824	0.003	0.018	0.272	0.293
PhishingWebsites	0.964270	3.200	0.800000	0.003	0.145	3.055	3.204
PieChart3	0.870370	0.353	0.799443	0.002	0.055	0.298	0.355
Pima_Indians_Diabetes_Database	0.753247	0.139	0.799479	0.003	0.013	0.126	0.141
PizzaCutter3	0.875598	0.348	0.799617	0.002	0.053	0.295	0.350
Pumpkin_Seeds	0.878000	0.396	0.800000	0.002	0.026	0.370	0.398
QSAR_biodegradation	0.872038	0.372	0.799810	0.002	0.060	0.312	0.374
SDSS17	0.972600	99.458	0.800000	0.005	0.672	98.786	99.464
Satellite	0.993137	1.481	0.800000	0.004	0.105	1.376	1.485
Telecom_Churn_Dataset	0.952024	0.655	0.799880	0.002	0.042	0.613	0.657
UJI_Pen_Characters	0.490842	2.734	0.799853	0.002	0.120	2.613	2.736
Water_Quality_and_Potability	0.646341	0.495	0.799756	0.003	0.023	0.472	0.498
Wilt	0.991710	0.482	0.799834	0.002	0.019	0.463	0.484
abalone	0.639952	0.641	0.799856	0.003	0.026	0.615	0.644
ada	0.854217	1.385	0.799855	0.003	0.102	1.283	1.388
ada_agnostic	0.838992	1.534	0.799868	0.003	0.106	1.429	1.537
ada_prior	0.834637	0.823	0.799955	0.003	0.039	0.784	0.826
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.595000	0.262	0.800000	0.004	0.018	0.244	0.265
allbp	0.974834	0.920	0.799841	0.003	0.059	0.861	0.922
allrep	0.972185	0.917	0.799841	0.002	0.059	0.858	0.919
analcatdata_authorship	0.988166	0.457	0.799049	0.002	0.095	0.362	0.459
artificial-characters	0.696184	1.889	0.799961	0.003	0.049	1.840	1.891
autoUniv-au4-2500	0.504000	1.527	0.800000	0.003	0.193	1.334	1.530
autoUniv-au7-1100	0.377273	0.205	0.800000	0.003	0.020	0.185	0.207
bank	0.899370	23.194	0.799982	0.004	0.379	22.815	23.198
banknote_authentication	0.549091	0.098	0.799563	0.003	0.010	0.088	0.100
baseball	0.944030	0.270	0.800000	0.002	0.028	0.241	0.272
car-evaluation	0.826590	0.368	0.799769	0.003	0.036	0.331	0.370
churn	0.937000	1.077	0.800000	0.003	0.064	1.013	1.080
cmc	0.593220	0.237	0.799728	0.002	0.018	0.219	0.239
company_bankruptcy_prediction	0.970674	3.966	0.799971	0.004	0.327	3.639	3.969
contraceptive_method_choice	0.610169	0.232	0.799728	0.002	0.017	0.216	0.235
credit	0.773856	3.917	0.799988	0.003	0.093	3.824	3.919
default_of_credit_card_clients	0.823333	12.131	0.800000	0.004	0.383	11.748	12.135
delta_ailerons	0.947405	0.766	0.799972	0.003	0.026	0.740	0.769
dis	0.985430	0.924	0.799841	0.003	0.062	0.863	0.927
dna	0.931034	3.258	0.799749	0.004	0.360	2.898	3.261
drug_consumption	0.403183	0.312	0.799894	0.002	0.023	0.289	0.315
dry_bean_dataset	0.928021	3.342	0.799941	0.003	0.124	3.218	3.346
eeg-eye-state	0.957610	3.728	0.800000	0.003	0.129	3.599	3.731
electricity	0.821582	21.319	0.799987	0.004	0.252	21.067	21.324
estimation_of_obesity_levels	0.973995	0.401	0.799621	0.002	0.031	0.370	0.403
eye_movements	0.577697	3.024	0.799927	0.004	0.163	2.861	3.028
eye_movements_bin	0.593298	1.770	0.799947	0.003	0.100	1.670	1.773
first-order-theorem-proving	0.622549	2.235	0.799935	0.003	0.174	2.061	2.238
gas-drift	0.994608	11.203	0.800000	0.007	1.006	10.197	11.210
gina_agnostic	0.792507	22.778	0.799885	0.011	2.307	20.470	22.789
golf_play_dataset_extended	0.931507	0.196	0.800000	0.002	0.016	0.180	0.198
heloc	0.718500	2.567	0.800000	0.003	0.123	2.444	2.570
house_16H	0.882876	3.322	0.799970	0.003	0.127	3.195	3.325
htru	0.979330	4.288	0.799978	0.003	0.080	4.208	4.291
ibm-employee-performance	1.000000	0.403	0.800000	0.002	0.052	0.351	0.405
in_vehicle_coupon_recommendation	0.675114	3.071	0.800729	0.003	0.137	2.934	3.075
internet_firewall	0.930343	42.594	0.799991	0.004	0.169	42.425	42.598
jm1	0.815802	2.693	0.800000	0.003	0.118	2.575	2.696
jungle_chess_2pcs_raw_endgame_complete	0.849509	21.074	0.799996	0.004	0.197	20.877	21.077
kdd_ipums_la_97-small	0.873796	1.114	0.799923	0.003	0.061	1.053	1.117
kr-vs-k	0.603350	29.112	0.799971	0.004	0.130	28.982	29.116
kropt	0.609052	29.205	0.799971	0.003	0.116	29.088	29.208
led24	0.725000	0.722	0.800000	0.003	0.055	0.667	0.725
led7	0.740625	0.452	0.800000	0.003	0.020	0.433	0.455
letter	0.972750	18.734	0.800000	0.004	0.180	18.554	18.738
mammography	0.990165	1.525	0.799964	0.002	0.042	1.482	1.527
maternal_health_risk	0.832512	0.165	0.799803	0.002	0.012	0.153	0.167
mfeat-factors	0.977500	2.506	0.800000	0.003	0.367	2.139	2.510
mfeat-fourier	0.892500	0.988	0.800000	0.003	0.134	0.855	0.992
mfeat-karhunen	0.972500	0.868	0.800000	0.003	0.110	0.758	0.871
mfeat-morphological	0.770000	0.269	0.800000	0.002	0.016	0.253	0.272
mfeat-pixel	0.962500	2.812	0.800000	0.004	0.417	2.394	2.815
mfeat-zernike	0.807500	0.694	0.800000	0.003	0.091	0.603	0.697
mice_protein_expression	1.000000	0.582	0.800000	0.003	0.109	0.473	0.585
microaggregation2	0.622250	6.125	0.800000	0.004	0.186	5.940	6.129
mobile_c36_oversampling	0.974015	20.251	0.800000	0.003	0.199	20.052	20.254
mozilla4	0.929238	1.568	0.800000	0.003	0.044	1.523	1.570
naticusdroid+android+permissions+dataset	0.967275	20.460	0.799980	0.008	0.922	19.538	20.468
national-longitudinal-survey-binary	0.992872	0.937	0.799918	0.002	0.049	0.888	0.940
okcupid_stem	0.733696	8.847	0.799977	0.003	0.176	8.671	8.850
one-hundred-plants-margin	0.837500	4.012	0.800000	0.002	0.113	3.899	4.014
one-hundred-plants-shape	0.756250	4.008	0.800000	0.003	0.113	3.895	4.010
one-hundred-plants-texture	0.890625	4.286	0.799875	0.003	0.234	4.052	4.289
optdigits	0.987544	2.348	0.800000	0.004	0.184	2.164	2.351
ozone-level-8hr	0.952663	1.171	0.799921	0.004	0.136	1.035	1.175
page-blocks	0.976256	0.906	0.799927	0.002	0.036	0.870	0.908
pendigits	0.995907	2.469	0.799945	0.003	0.106	2.363	2.472
phoneme	0.886216	0.524	0.799963	0.002	0.022	0.502	0.527
pol	0.977690	2.720	0.799940	0.004	0.110	2.611	2.725
predict_students_dropout_and_academic_success	0.780791	1.225	0.799955	0.003	0.082	1.143	1.228
qsar	0.909953	0.370	0.800000	0.003	0.058	0.313	0.373
rice_cammeo_and_osmancik	0.931759	0.527	0.800000	0.002	0.021	0.506	0.529
ringnorm	0.979054	1.685	0.800000	0.003	0.082	1.603	1.688
satimage	0.919129	1.898	0.800000	0.003	0.132	1.766	1.901
segment	0.930736	0.431	0.800000	0.002	0.035	0.396	0.433
seismic+bumps	0.932302	0.477	0.799923	0.003	0.034	0.443	0.479
shuttle	0.999397	33.992	0.800000	0.004	0.319	33.673	33.996
spambase	0.941368	1.757	0.799826	0.003	0.133	1.623	1.760
splice	0.869906	1.323	0.800000	0.003	0.138	1.185	1.326
sports_articles_for_objectivity_analysis	0.860000	0.450	0.800000	0.002	0.088	0.362	0.452
statlog	0.735000	0.232	0.800000	0.002	0.030	0.202	0.235
steel_plates_faults	0.781491	0.477	0.799588	0.003	0.049	0.427	0.479
sylvine	0.937561	1.098	0.799961	0.002	0.065	1.033	1.100
taiwanese_bankruptcy_prediction	0.969941	3.952	0.799971	0.004	0.318	3.634	3.956
telco-customer-churn	0.799148	1.541	0.799943	0.003	0.075	1.466	1.544
texture	0.998182	5.484	0.800000	0.003	0.130	5.353	5.487
thyroid	0.987500	1.639	0.800000	0.003	0.067	1.572	1.642
thyroid-ann	0.985430	0.817	0.799841	0.003	0.046	0.771	0.820
thyroid-dis	0.689286	0.651	0.800000	0.003	0.050	0.601	0.654
turiye_student_evaluation	0.493127	1.590	0.800000	0.003	0.103	1.487	1.593
twonorm	0.979054	1.688	0.800000	0.003	0.088	1.600	1.690
vehicle	0.852941	0.209	0.799054	0.002	0.028	0.181	0.211
wall-robot-navigation	0.965201	1.277	0.799853	0.003	0.077	1.200	1.280
water_quality	0.903125	1.701	0.799900	0.003	0.063	1.638	1.704
waveform-5000	0.871000	1.563	0.800000	0.003	0.121	1.442	1.566
waveform_database_generator_version_1	0.864000	1.106	0.800000	0.002	0.068	1.038	1.109
website_phishing	0.907749	0.218	0.799704	0.002	0.017	0.200	0.220
wine-quality-red	0.581250	0.216	0.799875	0.002	0.010	0.206	0.219
wine-quality-white	0.622449	0.815	0.799918	0.002	0.038	0.778	0.818
yeast	0.609428	0.227	0.799865	0.002	0.017	0.210	0.229
