dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.428571	6.913	0.799845
Amazon_employee_access	0.942173	14.712	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.732098	5.736	0.799980
BNG(breast-w)	0.984252	21.292	0.799980
BNG(cmc)	0.566365	35.846	0.799986
BNG(tic-tac-toe)	0.752477	21.259	0.799980
Bank_Customer_Churn_Dataset	0.855000	6.649	0.800000
Basketball_c	0.712687	4.954	0.800000
Cardiovascular-Disease-dataset	0.715929	49.665	0.800000
Click_prediction_small	0.831915	6.480	0.799990
Credit_c	0.674442	42.060	0.801311
Customer_Personality_Analysis	0.886161	0.993	0.800000
Diabetic_Retinopathy_Debrecen	0.714286	0.716	0.799305
E-CommereShippingData	0.660455	2.705	0.799982
Employee	0.839957	1.171	0.799914
FICO-HELOC-cleaned	0.735190	3.110	0.799919
Firm-Teacher_Clave-Direction_Classification	0.445370	2.720	0.800000
Fitness_Club_c	0.771812	0.510	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.503125	0.648	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.506250	0.613	0.800000
Gender_Gap_in_Spanish_WP	0.590526	1.124	0.799831
GesturePhaseSegmentationProcessed	0.487089	3.291	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	2.153	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.860544	0.739	0.800000
INNHotelsGroup	0.839835	16.103	0.800000
Indian_pines	0.870421	11.882	0.799978
JapaneseVowels	0.986954	2.476	0.799920
KDDCup09_upselling	0.754386	2.090	0.799922
MIC	0.887879	1.351	0.799879
MagicTelescope	0.871451	5.109	0.800000
Marketing_Campaign	0.890625	0.794	0.800000
Mobile_Price_Classification	0.475000	0.694	0.800000
National_Health_and_Nutrition_Health_Survey	0.839912	0.589	0.799824
PhishingWebsites	0.940751	3.501	0.800000
PieChart3	0.875000	0.646	0.799443
Pima_Indians_Diabetes_Database	0.746753	0.474	0.799479
PizzaCutter3	0.880383	0.655	0.799616
Pumpkin_Seeds	0.874000	0.685	0.800000
QSAR_biodegradation	0.881517	0.650	0.799810
SDSS17	0.957250	98.475	0.800000
Satellite	0.992157	1.771	0.800000
Telecom_Churn_Dataset	0.916042	0.947	0.799880
UJI_Pen_Characters	0.476190	3.082	0.799853
Water_Quality_and_Potability	0.615854	0.804	0.799756
Wilt	0.980311	0.810	0.799834
abalone	0.637560	0.970	0.799856
ada	0.838554	1.663	0.799855
ada_agnostic	0.818182	1.850	0.799868
ada_prior	0.834637	1.123	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.580000	0.540	0.800000
allbp	0.973510	1.587	0.799841
allrep	0.972185	1.224	0.799841
analcatdata_authorship	0.976331	0.731	0.799049
artificial-characters	0.669765	2.197	0.799961
autoUniv-au4-2500	0.446000	2.933	0.800000
autoUniv-au7-1100	0.354545	0.519	0.800000
bank	0.887869	23.606	0.799982
banknote_authentication	0.549091	0.377	0.799563
baseball	0.951493	0.574	0.800000
car-evaluation	0.699422	0.656	0.799769
churn	0.908000	1.368	0.800000
cmc	0.562712	0.535	0.799728
company_bankruptcy_prediction	0.970674	4.266	0.799971
contraceptive_method_choice	0.579661	1.036	0.799728
credit	0.772061	5.470	0.799988
default_of_credit_card_clients	0.804500	12.671	0.800000
delta_ailerons	0.948107	1.048	0.799972
dis	0.984106	1.205	0.799841
dna	0.904389	3.536	0.799749
drug_consumption	0.400531	0.606	0.799894
dry_bean_dataset	0.926919	3.692	0.799941
eeg-eye-state	0.756342	3.985	0.800000
electricity	0.807128	21.883	0.799987
estimation_of_obesity_levels	0.947991	0.807	0.799621
eye_movements	0.569013	3.403	0.799927
eye_movements_bin	0.591984	2.025	0.799947
first-order-theorem-proving	0.558824	2.608	0.799935
gas-drift	0.990295	11.549	0.800000
gina_agnostic	0.667147	23.111	0.799885
golf_play_dataset_extended	0.904110	0.489	0.800000
heloc	0.712500	2.910	0.800000
