dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.409266	2.493	0.799845	0.003	0.206	2.287	2.496
Amazon_employee_access	0.942173	10.058	0.799994	0.003	0.140	9.918	10.061
BLE_RSSI_dataset_for_Indoor_localization	0.731097	1.017	0.799980	0.003	0.034	0.983	1.020
BNG(breast-w)	0.985903	16.525	0.799980	0.004	0.235	16.290	16.529
BNG(cmc)	0.572242	30.917	0.799986	0.005	0.313	30.604	30.922
BNG(tic-tac-toe)	0.781941	17.007	0.799980	0.004	0.264	16.743	17.011
Bank_Customer_Churn_Dataset	0.870500	1.994	0.800000	0.003	0.077	1.917	1.997
Basketball_c	0.712687	0.245	0.800000	0.002	0.032	0.213	0.247
Cardiovascular-Disease-dataset	0.731429	50.442	0.800000	0.005	0.393	50.050	50.448
Click_prediction_small	0.831790	6.025	0.799990	0.003	0.075	5.950	6.028
Credit_c	0.700993	41.822	0.801311	0.006	0.789	41.033	41.828
Customer_Personality_Analysis	0.888393	0.491	0.800000	0.002	0.045	0.446	0.494
Diabetic_Retinopathy_Debrecen	0.735931	0.264	0.799305	0.002	0.030	0.234	0.266
E-CommereShippingData	0.667727	2.135	0.799982	0.003	0.061	2.074	2.138
Employee	0.856069	0.707	0.799914	0.002	0.024	0.682	0.709
FICO-HELOC-cleaned	0.735696	2.562	0.799919	0.003	0.126	2.436	2.566
Firm-Teacher_Clave-Direction_Classification	0.768981	2.416	0.800000	0.003	0.100	2.316	2.420
Fitness_Club_c	0.798658	0.187	0.799596	0.002	0.013	0.174	0.189
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.578125	0.335	0.800000	0.003	0.034	0.301	0.337
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.665625	0.337	0.800000	0.003	0.035	0.301	0.340
Gender_Gap_in_Spanish_WP	0.590526	0.846	0.799831	0.003	0.036	0.809	0.848
GesturePhaseSegmentationProcessed	0.613165	2.983	0.799959	0.003	0.167	2.816	2.986
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	1.811	0.797432	0.003	0.059	1.752	1.814
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.411	0.800000	0.002	0.052	0.359	0.413
INNHotelsGroup	0.863267	15.914	0.800000	0.005	0.306	15.609	15.919
Indian_pines	0.928923	11.402	0.799978	0.008	0.977	10.426	11.411
JapaneseVowels	0.991972	2.180	0.799920	0.003	0.079	2.101	2.183
KDDCup09_upselling	0.774854	1.798	0.799922	0.003	0.140	1.658	1.801
MIC	0.900000	1.068	0.799879	0.003	0.158	0.910	1.071
MagicTelescope	0.876446	4.748	0.800000	0.003	0.108	4.640	4.752
Marketing_Campaign	0.890625	0.509	0.800000	0.003	0.050	0.458	0.512
Mobile_Price_Classification	0.962500	0.414	0.800000	0.002	0.040	0.375	0.417
National_Health_and_Nutrition_Health_Survey	0.831140	0.293	0.799824	0.002	0.018	0.275	0.296
PhishingWebsites	0.965626	3.194	0.800000	0.003	0.151	3.043	3.197
PieChart3	0.879630	0.357	0.799443	0.002	0.057	0.301	0.360
Pima_Indians_Diabetes_Database	0.753247	0.143	0.799479	0.002	0.014	0.129	0.145
PizzaCutter3	0.875598	0.351	0.799617	0.003	0.054	0.297	0.354
Pumpkin_Seeds	0.872000	0.402	0.800000	0.002	0.026	0.376	0.405
QSAR_biodegradation	0.876777	0.380	0.799810	0.003	0.062	0.318	0.382
SDSS17	0.972200	100.032	0.800000	0.005	0.722	99.309	100.037
Satellite	0.993137	1.480	0.800000	0.003	0.107	1.372	1.483
Telecom_Churn_Dataset	0.947526	0.649	0.799880	0.002	0.040	0.609	0.651
UJI_Pen_Characters	0.483516	2.460	0.799853	0.003	0.118	2.343	2.463
Water_Quality_and_Potability	0.649390	0.492	0.799756	0.006	0.022	0.470	0.498
Wilt	0.991710	0.479	0.799834	0.002	0.019	0.461	0.482
abalone	0.639952	0.645	0.799856	0.003	0.027	0.617	0.647
ada	0.846988	1.377	0.799855	0.003	0.102	1.275	1.380
ada_agnostic	0.830230	1.540	0.799868	0.003	0.108	1.432	1.543
ada_prior	0.839106	0.817	0.799955	0.002	0.037	0.779	0.819
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.592500	0.259	0.800000	0.003	0.017	0.242	0.263
allbp	0.976159	0.916	0.799841	0.003	0.058	0.859	0.919
allrep	0.976159	0.912	0.799841	0.003	0.057	0.855	0.915
analcatdata_authorship	0.988166	0.462	0.799049	0.003	0.096	0.366	0.465
artificial-characters	0.673679	1.893	0.799961	0.003	0.046	1.847	1.896
autoUniv-au4-2500	0.488000	1.524	0.800000	0.003	0.194	1.330	1.528
autoUniv-au7-1100	0.368182	0.199	0.800000	0.002	0.019	0.180	0.202
bank	0.900144	23.074	0.799982	0.004	0.377	22.697	23.078
banknote_authentication	0.549091	0.098	0.799563	0.003	0.010	0.088	0.101
baseball	0.940299	0.267	0.800000	0.003	0.028	0.240	0.270
car-evaluation	0.829480	0.367	0.799769	0.003	0.036	0.331	0.370
churn	0.942000	1.076	0.800000	0.003	0.062	1.015	1.079
cmc	0.593220	0.235	0.799728	0.002	0.018	0.218	0.237
company_bankruptcy_prediction	0.969941	3.955	0.799971	0.004	0.325	3.630	3.960
contraceptive_method_choice	0.627119	0.234	0.799728	0.002	0.017	0.217	0.236
credit	0.774155	3.976	0.799988	0.003	0.096	3.879	3.979
default_of_credit_card_clients	0.824333	12.353	0.800000	0.004	0.385	11.968	12.358
delta_ailerons	0.948107	0.758	0.799972	0.003	0.026	0.732	0.760
dis	0.985430	0.914	0.799841	0.003	0.059	0.855	0.917
dna	0.932602	3.270	0.799749	0.005	0.364	2.906	3.275
drug_consumption	0.403183	0.310	0.799894	0.002	0.023	0.287	0.312
dry_bean_dataset	0.927286	3.330	0.799941	0.003	0.124	3.206	3.333
eeg-eye-state	0.953605	3.636	0.800000	0.003	0.118	3.517	3.639
electricity	0.814852	21.302	0.799987	0.004	0.255	21.047	21.306
estimation_of_obesity_levels	0.978723	0.397	0.799621	0.002	0.030	0.367	0.399
eye_movements	0.558958	3.027	0.799927	0.003	0.175	2.852	3.031
eye_movements_bin	0.588042	1.743	0.799947	0.004	0.094	1.649	1.746
first-order-theorem-proving	0.607843	2.212	0.799935	0.003	0.168	2.044	2.215
gas-drift	0.994968	11.238	0.800000	0.007	1.064	10.174	11.245
gina_agnostic	0.796830	23.122	0.799885	0.011	2.290	20.832	23.133
golf_play_dataset_extended	0.931507	0.198	0.800000	0.002	0.016	0.182	0.200
heloc	0.717500	2.557	0.800000	0.004	0.116	2.442	2.561
house_16H	0.882135	3.301	0.799970	0.003	0.118	3.184	3.305
htru	0.979050	4.265	0.799978	0.003	0.080	4.184	4.268
