dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.424710	2.498	0.799845	0.003	0.209	2.289	2.501
Amazon_employee_access	0.942173	10.172	0.799994	0.004	0.138	10.034	10.175
BLE_RSSI_dataset_for_Indoor_localization	0.732599	1.013	0.799980	0.002	0.032	0.981	1.016
BNG(breast-w)	0.986157	16.810	0.799980	0.004	0.241	16.569	16.814
BNG(cmc)	0.577125	31.937	0.799986	0.006	0.333	31.603	31.942
BNG(tic-tac-toe)	0.793498	16.501	0.799980	0.004	0.248	16.253	16.505
Bank_Customer_Churn_Dataset	0.869500	1.992	0.800000	0.002	0.072	1.919	1.994
Basketball_c	0.708955	0.240	0.800000	0.002	0.031	0.209	0.242
Cardiovascular-Disease-dataset	0.730786	50.728	0.800000	0.005	0.394	50.334	50.733
Click_prediction_small	0.831790	6.031	0.799990	0.003	0.075	5.956	6.034
Credit_c	0.703805	41.839	0.801311	0.006	0.795	41.044	41.845
Customer_Personality_Analysis	0.895089	0.494	0.800000	0.002	0.046	0.448	0.496
Diabetic_Retinopathy_Debrecen	0.757576	0.265	0.799305	0.002	0.031	0.235	0.268
E-CommereShippingData	0.670455	2.113	0.799982	0.003	0.062	2.052	2.117
Employee	0.851772	0.710	0.799914	0.003	0.025	0.685	0.712
FICO-HELOC-cleaned	0.744810	2.551	0.799919	0.007	0.126	2.425	2.557
Firm-Teacher_Clave-Direction_Classification	0.753241	2.411	0.800000	0.003	0.099	2.312	2.414
Fitness_Club_c	0.802013	0.188	0.799596	0.002	0.014	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.625000	0.347	0.800000	0.003	0.045	0.302	0.350
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.684375	0.339	0.800000	0.003	0.036	0.303	0.342
Gender_Gap_in_Spanish_WP	0.600000	0.839	0.799831	0.002	0.035	0.804	0.842
GesturePhaseSegmentationProcessed	0.639494	2.975	0.799959	0.003	0.166	2.809	2.978
