dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.416988	6.315	0.799845
Amazon_employee_access	0.942173	14.305	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.729594	4.897	0.799980
BNG(breast-w)	0.985395	20.937	0.799980
BNG(cmc)	0.574231	35.558	0.799986
BNG(tic-tac-toe)	0.793244	20.655	0.799980
Bank_Customer_Churn_Dataset	0.865000	6.169	0.800000
Basketball_c	0.705224	4.262	0.800000
Cardiovascular-Disease-dataset	0.730571	49.574	0.800000
Click_prediction_small	0.831915	6.443	0.799990
Credit_c	0.707858	42.093	0.801311
Customer_Personality_Analysis	0.892857	0.918	0.800000
Diabetic_Retinopathy_Debrecen	0.766234	0.734	0.799305
E-CommereShippingData	0.669545	2.568	0.799982
Employee	0.853921	1.154	0.799914
FICO-HELOC-cleaned	0.738228	3.141	0.799919
Firm-Teacher_Clave-Direction_Classification	0.721296	2.716	0.800000
Fitness_Club_c	0.798658	0.510	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.593750	0.648	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.640625	0.631	0.800000
Gender_Gap_in_Spanish_WP	0.589474	1.135	0.799831
GesturePhaseSegmentationProcessed	0.650633	3.262	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.851158	2.122	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.874150	0.733	0.800000
INNHotelsGroup	0.867677	16.031	0.800000
Indian_pines	0.913067	11.851	0.799978
JapaneseVowels	0.994982	2.498	0.799920
KDDCup09_upselling	0.779727	2.065	0.799922
MIC	0.900000	1.376	0.799879
MagicTelescope	0.875657	5.072	0.800000
Marketing_Campaign	0.890625	0.765	0.800000
Mobile_Price_Classification	0.975000	0.714	0.800000
National_Health_and_Nutrition_Health_Survey	0.828947	0.550	0.799824
PhishingWebsites	0.967888	3.513	0.800000
PieChart3	0.884259	0.632	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.396	0.799479
PizzaCutter3	0.880383	0.710	0.799616
Pumpkin_Seeds	0.874000	0.663	0.800000
QSAR_biodegradation	0.876777	0.632	0.799810
SDSS17	0.972300	98.026	0.800000
Satellite	0.993137	1.750	0.800000
Telecom_Churn_Dataset	0.940030	0.933	0.799880
UJI_Pen_Characters	0.468864	2.900	0.799853
Water_Quality_and_Potability	0.631098	0.775	0.799756
Wilt	0.990674	1.966	0.799834
abalone	0.631579	0.942	0.799856
ada	0.845783	1.659	0.799855
ada_agnostic	0.838992	1.903	0.799868
ada_prior	0.833520	1.084	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.580000	0.525	0.800000
allbp	0.974834	1.182	0.799841
allrep	0.973510	1.186	0.799841
analcatdata_authorship	0.988166	0.715	0.799049
artificial-characters	0.701566	2.183	0.799961
autoUniv-au4-2500	0.482000	1.931	0.800000
autoUniv-au7-1100	0.363636	1.581	0.800000
bank	0.897047	23.465	0.799982
banknote_authentication	0.545455	0.360	0.799563
baseball	0.944030	0.527	0.800000
car-evaluation	0.800578	0.622	0.799769
churn	0.932000	1.338	0.800000
cmc	0.586441	0.513	0.799728
company_bankruptcy_prediction	0.969941	4.238	0.799971
contraceptive_method_choice	0.610169	0.608	0.799728
credit	0.776249	4.341	0.799988
default_of_credit_card_clients	0.821000	12.612	0.800000
delta_ailerons	0.947405	1.059	0.799972
dis	0.984106	1.182	0.799841
dna	0.923197	3.538	0.799749
drug_consumption	0.403183	0.584	0.799894
dry_bean_dataset	0.928755	3.688	0.799941
eeg-eye-state	0.952937	3.955	0.800000
electricity	0.819044	21.892	0.799987
estimation_of_obesity_levels	0.981087	0.826	0.799621
eye_movements	0.574040	3.382	0.799927
eye_movements_bin	0.591327	2.074	0.799947
first-order-theorem-proving	0.618464	2.600	0.799935
gas-drift	0.994249	11.546	0.800000
gina_agnostic	0.788184	23.170	0.799885
golf_play_dataset_extended	0.926941	0.476	0.800000
heloc	0.719000	2.817	0.800000
house_16H	0.882876	4.746	0.799970
htru	0.979888	4.549	0.799978
ibm-employee-performance	1.000000	0.802	0.800000
in_vehicle_coupon_recommendation	0.654757	3.308	0.800729
internet_firewall	0.802548	42.007	0.799991
jm1	0.815342	2.970	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.842593	21.013	0.799996
kdd_ipums_la_97-small	0.868979	1.367	0.799923
kr-vs-k	0.607627	27.641	0.799971
kropt	0.611368	28.442	0.799971
led24	0.704688	1.017	0.800000
led7	0.734375	0.709	0.800000
letter	0.969000	18.860	0.800000
mammography	0.989718	1.787	0.799964
maternal_health_risk	0.812808	0.447	0.799803
mfeat-factors	0.975000	2.797	0.800000
mfeat-fourier	0.887500	1.267	0.800000
mfeat-karhunen	0.965000	1.223	0.800000
mfeat-morphological	0.762500	1.636	0.800000
mfeat-pixel	0.965000	3.153	0.800000
mfeat-zernike	0.810000	0.975	0.800000
mice_protein_expression	1.000000	0.946	0.800000
microaggregation2	0.621250	6.474	0.800000
mobile_c36_oversampling	0.971793	20.775	0.800000
