dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.401544	7.109	0.799845
Amazon_employee_access	0.942173	15.018	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.727591	5.620	0.799980
BNG(breast-w)	0.983363	21.381	0.799980
BNG(cmc)	0.560217	35.964	0.799986
BNG(tic-tac-toe)	0.747904	21.408	0.799980
Bank_Customer_Churn_Dataset	0.864500	6.684	0.800000
Basketball_c	0.697761	4.953	0.800000
Cardiovascular-Disease-dataset	0.722429	49.599	0.800000
Click_prediction_small	0.831539	6.472	0.799990
Credit_c	0.668156	42.030	0.801311
Customer_Personality_Analysis	0.881696	0.978	0.800000
Diabetic_Retinopathy_Debrecen	0.727273	0.760	0.799305
E-CommereShippingData	0.657273	2.638	0.799982
Employee	0.832438	1.189	0.799914
FICO-HELOC-cleaned	0.728101	3.142	0.799919
Firm-Teacher_Clave-Direction_Classification	0.404167	2.712	0.800000
Fitness_Club_c	0.785235	0.517	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.543750	0.671	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.518750	0.637	0.800000
Gender_Gap_in_Spanish_WP	0.588421	1.181	0.799831
GesturePhaseSegmentationProcessed	0.528608	3.292	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.836825	2.152	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.853741	0.743	0.800000
INNHotelsGroup	0.837354	16.063	0.800000
Indian_pines	0.759978	12.003	0.799978
JapaneseVowels	0.973407	2.509	0.799920
KDDCup09_upselling	0.752437	2.123	0.799922
MIC	0.893939	1.376	0.799879
MagicTelescope	0.865405	5.095	0.800000
Marketing_Campaign	0.886161	0.815	0.800000
Mobile_Price_Classification	0.407500	0.727	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.576	0.799824
PhishingWebsites	0.924921	3.505	0.800000
PieChart3	0.879630	0.652	0.799443
Pima_Indians_Diabetes_Database	0.779221	0.445	0.799479
PizzaCutter3	0.880383	0.641	0.799616
Pumpkin_Seeds	0.874000	0.672	0.800000
QSAR_biodegradation	0.876777	0.657	0.799810
SDSS17	0.920400	98.500	0.800000
Satellite	0.991176	1.762	0.800000
Telecom_Churn_Dataset	0.899550	0.952	0.799880
UJI_Pen_Characters	0.428571	3.131	0.799853
Water_Quality_and_Potability	0.615854	0.771	0.799756
Wilt	0.986528	0.883	0.799834
abalone	0.624402	0.954	0.799856
ada	0.836145	1.674	0.799855
ada_agnostic	0.820372	1.837	0.799868
ada_prior	0.825698	1.108	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.575000	0.530	0.800000
allbp	0.970861	1.294	0.799841
allrep	0.966887	1.178	0.799841
analcatdata_authorship	0.964497	0.737	0.799049
artificial-characters	0.627202	2.193	0.799961
autoUniv-au4-2500	0.450000	3.214	0.800000
autoUniv-au7-1100	0.350000	0.484	0.800000
bank	0.889417	23.518	0.799982
banknote_authentication	0.552727	0.369	0.799563
baseball	0.947761	0.552	0.800000
car-evaluation	0.699422	0.628	0.799769
churn	0.893000	1.362	0.800000
cmc	0.583051	0.516	0.799728
company_bankruptcy_prediction	0.967742	4.251	0.799971
contraceptive_method_choice	0.552542	0.732	0.799728
credit	0.763386	5.589	0.799988
default_of_credit_card_clients	0.809333	12.637	0.800000
delta_ailerons	0.947405	1.038	0.799972
dis	0.984106	1.187	0.799841
dna	0.877743	3.546	0.799749
drug_consumption	0.403183	0.593	0.799894
dry_bean_dataset	0.922145	3.718	0.799941
eeg-eye-state	0.883845	3.953	0.800000
electricity	0.797308	21.925	0.799987
estimation_of_obesity_levels	0.926714	0.868	0.799621
eye_movements	0.519196	3.406	0.799927
eye_movements_bin	0.574901	2.059	0.799947
first-order-theorem-proving	0.504085	2.620	0.799935
gas-drift	0.985981	11.525	0.800000
gina_agnostic	0.675793	23.092	0.799885
golf_play_dataset_extended	0.917808	0.501	0.800000
heloc	0.716000	2.856	0.800000
house_16H	0.869533	3.725	0.799970
htru	0.980168	4.569	0.799978
ibm-employee-performance	0.860544	0.761	0.800000
in_vehicle_coupon_recommendation	0.613211	3.326	0.800729
internet_firewall	0.801404	42.035	0.799991
jm1	0.808911	2.980	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.667559	21.071	0.799996
kdd_ipums_la_97-small	0.845857	1.406	0.799923
kr-vs-k	0.385424	28.601	0.799971
kropt	0.382751	26.656	0.799971
led24	0.404687	0.981	0.800000
led7	0.635938	0.769	0.800000
letter	0.886500	18.811	0.800000
mammography	0.986142	1.806	0.799964
maternal_health_risk	0.768473	0.442	0.799803
mfeat-factors	0.965000	2.823	0.800000
mfeat-fourier	0.845000	1.271	0.800000
mfeat-karhunen	0.927500	1.208	0.800000
mfeat-morphological	0.745000	0.654	0.800000
mfeat-pixel	0.767500	3.122	0.800000
mfeat-zernike	0.745000	0.967	0.800000
mice_protein_expression	0.990741	0.965	0.800000
microaggregation2	0.566250	6.476	0.800000
mobile_c36_oversampling	0.940301	20.755	0.800000
mozilla4	0.888067	1.872	0.800000
naticusdroid+android+permissions+dataset	0.910346	21.785	0.799980
national-longitudinal-survey-binary	0.922607	1.385	0.799919
okcupid_stem	0.731447	9.323	0.799978
one-hundred-plants-margin	0.681250	4.608	0.800000
one-hundred-plants-shape	0.675000	4.612	0.800000
one-hundred-plants-texture	0.746875	4.859	0.799875
optdigits	0.911032	2.666	0.800000
ozone-level-8hr	0.944773	1.458	0.799921
page-blocks	0.964384	1.199	0.799927
pendigits	0.977262	2.758	0.799945
phoneme	0.867715	0.804	0.799963
pol	0.957362	2.998	0.799940
predict_students_dropout_and_academic_success	0.716384	1.502	0.799955
qsar	0.890995	0.639	0.800000
rice_cammeo_and_osmancik	0.925197	0.827	0.800000
ringnorm	0.977703	1.984	0.800000
satimage	0.908243	2.171	0.800000
segment	0.919913	0.703	0.800000
seismic+bumps	0.930368	0.773	0.799923
shuttle	0.997500	34.714	0.800000
spambase	0.913138	2.033	0.799826
splice	0.813480	2.228	0.800000
sports_articles_for_objectivity_analysis	0.810000	0.742	0.800000
statlog	0.755000	1.897	0.800000
steel_plates_faults	0.745501	0.750	0.799588
sylvine	0.933659	1.407	0.799961
taiwanese_bankruptcy_prediction	0.971408	4.372	0.799971
telco-customer-churn	0.767211	1.829	0.799943
texture	0.989091	6.370	0.800000
thyroid	0.968750	1.922	0.800000
thyroid-ann	0.966887	1.106	0.799841
thyroid-dis	0.669643	0.942	0.800000
turiye_student_evaluation	0.493127	1.858	0.800000
twonorm	0.978378	1.990	0.800000
vehicle	0.805882	0.511	0.799054
wall-robot-navigation	0.892857	1.550	0.799853
water_quality	0.894375	1.960	0.799900
waveform-5000	0.785000	1.832	0.800000
waveform_database_generator_version_1	0.789000	1.387	0.800000
website_phishing	0.859779	0.487	0.799704
wine-quality-red	0.596875	0.504	0.799875
wine-quality-white	0.582653	1.108	0.799918
yeast	0.609428	0.517	0.799865
