dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.440154	2.506	0.799845	0.003	0.220	2.286	2.509
Amazon_employee_access	0.942173	10.274	0.799994	0.004	0.140	10.134	10.278
BLE_RSSI_dataset_for_Indoor_localization	0.733600	1.015	0.799980	0.002	0.034	0.980	1.017
BNG(breast-w)	0.986538	16.562	0.799980	0.004	0.235	16.327	16.566
BNG(cmc)	0.576673	31.005	0.799986	0.005	0.309	30.696	31.010
BNG(tic-tac-toe)	0.789053	16.805	0.799980	0.004	0.235	16.570	16.809
Bank_Customer_Churn_Dataset	0.872000	1.995	0.800000	0.003	0.068	1.927	1.998
Basketball_c	0.716418	0.246	0.800000	0.003	0.037	0.208	0.249
Cardiovascular-Disease-dataset	0.731429	50.679	0.800000	0.005	0.392	50.287	50.685
Click_prediction_small	0.832416	5.904	0.799990	0.003	0.076	5.828	5.907
Credit_c	0.704632	42.323	0.801311	0.006	0.786	41.537	42.328
Customer_Personality_Analysis	0.890625	0.496	0.800000	0.002	0.047	0.448	0.498
Diabetic_Retinopathy_Debrecen	0.757576	0.267	0.799305	0.002	0.031	0.236	0.269
E-CommereShippingData	0.673636	2.158	0.799982	0.003	0.066	2.092	2.161
Employee	0.852846	0.710	0.799914	0.002	0.026	0.684	0.712
FICO-HELOC-cleaned	0.741266	2.583	0.799919	0.004	0.135	2.448	2.587
Firm-Teacher_Clave-Direction_Classification	0.763889	2.396	0.800000	0.003	0.100	2.296	2.399
Fitness_Club_c	0.802013	0.189	0.799596	0.002	0.014	0.175	0.191
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.606250	0.338	0.800000	0.003	0.035	0.303	0.341
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.640625	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.597895	0.850	0.799831	0.003	0.037	0.813	0.853
GesturePhaseSegmentationProcessed	0.638987	3.000	0.799959	0.003	0.172	2.828	3.003
HR_Analytics_Job_Change_of_Data_Scientists	0.853914	1.813	0.797432	0.003	0.061	1.753	1.816
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.867347	0.414	0.800000	0.003	0.051	0.363	0.417
INNHotelsGroup	0.866575	15.967	0.800000	0.004	0.304	15.664	15.972
Indian_pines	0.926736	11.503	0.799978	0.008	1.088	10.415	11.511
JapaneseVowels	0.992474	2.200	0.799920	0.003	0.085	2.115	2.204
KDDCup09_upselling	0.768031	1.813	0.799922	0.003	0.149	1.664	1.816
MIC	0.903030	1.068	0.799879	0.003	0.156	0.912	1.071
MagicTelescope	0.875920	4.846	0.800000	0.003	0.116	4.730	4.849
Marketing_Campaign	0.888393	0.502	0.800000	0.003	0.048	0.454	0.504
Mobile_Price_Classification	0.952500	0.407	0.800000	0.002	0.037	0.369	0.409
