model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-25650	149	0.824626	870.999	5.846	0.799911
step-25700	149	0.823990	872.218	5.854	0.799911
step-25750	149	0.824768	872.124	5.853	0.799911
step-25800	149	0.826203	871.857	5.851	0.799911
step-25850	149	0.825185	869.628	5.836	0.799911
step-25900	149	0.826655	873.102	5.860	0.799911
step-25950	149	0.824758	860.046	5.772	0.799911
step-26000	149	0.824757	870.387	5.842	0.799911
step-26050	149	0.823637	856.535	5.749	0.799911
step-26100	149	0.826144	871.429	5.849	0.799911
step-26150	149	0.824800	868.089	5.826	0.799911
step-26200	149	0.825456	862.024	5.785	0.799911
step-26250	149	0.825289	870.887	5.845	0.799911
step-26300	149	0.825235	869.308	5.834	0.799911
step-26350	149	0.825706	871.732	5.851	0.799911
step-26400	149	0.825981	882.854	5.925	0.799911
step-26450	149	0.825595	877.656	5.890	0.799911
step-26500	149	0.826018	862.161	5.786	0.799911
step-26550	149	0.825849	869.773	5.837	0.799911
step-26600	149	0.825809	872.582	5.856	0.799911
step-26650	149	0.825859	878.272	5.894	0.799911
step-26700	149	0.824451	873.738	5.864	0.799911
step-26750	149	0.825782	867.298	5.821	0.799911
step-26800	149	0.826548	866.025	5.812	0.799911
step-26850	149	0.825870	872.746	5.857	0.799911
step-26900	149	0.826783	877.929	5.892	0.799911
step-26950	149	0.825940	873.908	5.865	0.799911
step-27000	149	0.825410	855.736	5.743	0.799911
step-27050	149	0.826032	869.608	5.836	0.799911
step-27100	149	0.826628	869.950	5.839	0.799911
step-27150	149	0.826486	877.039	5.886	0.799911
step-27200	149	0.827008	866.939	5.818	0.799911
step-27250	149	0.825978	857.215	5.753	0.799911
step-27300	149	0.826015	873.566	5.863	0.799911
step-27350	149	0.824943	865.612	5.809	0.799911
step-27400	149	0.826456	860.011	5.772	0.799911
step-27450	149	0.826626	846.447	5.681	0.799911
step-27500	149	0.825821	868.674	5.830	0.799911
step-27550	149	0.826644	876.908	5.885	0.799911
step-27600	149	0.825816	869.864	5.838	0.799911
step-27650	149	0.825903	871.636	5.850	0.799911
step-27700	149	0.825012	866.618	5.816	0.799911
step-27750	149	0.826014	879.374	5.902	0.799911
step-27800	149	0.828023	876.769	5.884	0.799911
step-27850	149	0.827501	872.158	5.853	0.799911
step-27900	149	0.825642	873.090	5.860	0.799911
step-27950	149	0.824901	874.185	5.867	0.799911
step-28000	149	0.826635	877.387	5.889	0.799911
step-28050	149	0.824880	872.192	5.854	0.799911
step-28100	149	0.826621	870.780	5.844	0.799911
step-28150	149	0.827758	867.916	5.825	0.799911
step-28200	149	0.826288	876.888	5.885	0.799911
step-28250	149	0.826146	874.300	5.868	0.799911
step-28300	149	0.827475	874.353	5.868	0.799911
step-28350	149	0.827212	869.910	5.838	0.799911
step-28400	149	0.828414	872.613	5.856	0.799911
step-28450	149	0.827489	872.219	5.854	0.799911
step-28500	149	0.827084	874.970	5.872	0.799911
step-28550	149	0.828103	871.440	5.849	0.799911
step-28600	149	0.827400	873.379	5.862	0.799911
step-28650	149	0.826984	880.664	5.910	0.799911
