dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.436293	7.095	0.799845
Amazon_employee_access	0.942173	14.741	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.734101	5.551	0.799980
BNG(breast-w)	0.984887	21.282	0.799980
BNG(cmc)	0.569711	36.161	0.799986
BNG(tic-tac-toe)	0.784100	21.074	0.799980
Bank_Customer_Churn_Dataset	0.864000	6.790	0.800000
Basketball_c	0.682836	4.825	0.800000
Cardiovascular-Disease-dataset	0.729143	49.720	0.800000
Click_prediction_small	0.831539	6.447	0.799990
Credit_c	0.701985	42.121	0.801311
Customer_Personality_Analysis	0.892857	0.993	0.800000
Diabetic_Retinopathy_Debrecen	0.761905	0.737	0.799305
E-CommereShippingData	0.665455	2.633	0.799982
Employee	0.851772	1.167	0.799914
FICO-HELOC-cleaned	0.739241	3.121	0.799919
Firm-Teacher_Clave-Direction_Classification	0.669444	2.745	0.800000
Fitness_Club_c	0.791946	0.494	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.546875	0.662	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.659375	0.624	0.800000
Gender_Gap_in_Spanish_WP	0.596842	1.142	0.799831
GesturePhaseSegmentationProcessed	0.617215	3.325	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.847850	2.133	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.870748	0.735	0.800000
INNHotelsGroup	0.861337	16.154	0.800000
Indian_pines	0.893384	11.947	0.799978
JapaneseVowels	0.991470	2.488	0.799920
KDDCup09_upselling	0.754386	2.113	0.799922
MIC	0.900000	1.400	0.799879
MagicTelescope	0.875394	5.118	0.800000
Marketing_Campaign	0.892857	0.794	0.800000
Mobile_Price_Classification	0.947500	0.705	0.800000
National_Health_and_Nutrition_Health_Survey	0.835526	0.585	0.799824
PhishingWebsites	0.970149	3.493	0.800000
PieChart3	0.879630	0.625	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.455	0.799479
PizzaCutter3	0.880383	0.643	0.799616
Pumpkin_Seeds	0.874000	0.677	0.800000
QSAR_biodegradation	0.881517	0.670	0.799810
SDSS17	0.970250	98.430	0.800000
Satellite	0.993137	1.783	0.800000
Telecom_Churn_Dataset	0.946027	0.936	0.799880
UJI_Pen_Characters	0.476190	2.946	0.799853
Water_Quality_and_Potability	0.635671	0.803	0.799756
Wilt	0.990674	0.776	0.799834
abalone	0.641148	0.937	0.799856
ada	0.840964	1.684	0.799855
ada_agnostic	0.836802	1.837	0.799868
ada_prior	0.840223	1.090	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.600000	0.553	0.800000
allbp	0.974834	2.125	0.799841
allrep	0.976159	1.198	0.799841
analcatdata_authorship	0.994083	0.740	0.799049
artificial-characters	0.678082	2.186	0.799961
autoUniv-au4-2500	0.470000	1.832	0.800000
autoUniv-au7-1100	0.350000	0.509	0.800000
bank	0.893619	23.611	0.799982
banknote_authentication	0.552727	0.386	0.799563
baseball	0.947761	0.566	0.800000
car-evaluation	0.786127	0.655	0.799769
churn	0.943000	1.366	0.800000
cmc	0.572881	0.508	0.799728
company_bankruptcy_prediction	0.970674	4.268	0.799971
contraceptive_method_choice	0.610169	1.473	0.799728
credit	0.776249	4.433	0.799988
default_of_credit_card_clients	0.823833	12.685	0.800000
delta_ailerons	0.947405	1.051	0.799972
dis	0.984106	1.203	0.799841
dna	0.920063	3.562	0.799749
drug_consumption	0.403183	0.581	0.799894
dry_bean_dataset	0.928021	3.688	0.799941
eeg-eye-state	0.952270	3.961	0.800000
electricity	0.809445	21.969	0.799987
estimation_of_obesity_levels	0.973995	0.774	0.799621
eye_movements	0.566728	3.407	0.799927
eye_movements_bin	0.589356	2.043	0.799947
first-order-theorem-proving	0.606209	2.635	0.799935
gas-drift	0.994249	11.596	0.800000
gina_agnostic	0.788184	23.161	0.799885
golf_play_dataset_extended	0.931507	0.488	0.800000
heloc	0.714000	2.830	0.800000
house_16H	0.878799	4.426	0.799970
htru	0.978492	4.590	0.799978
ibm-employee-performance	0.976190	0.800	0.800000
in_vehicle_coupon_recommendation	0.662651	3.339	0.800729
internet_firewall	0.801556	41.791	0.799991
jm1	0.815342	2.989	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.816934	21.072	0.799996
kdd_ipums_la_97-small	0.845857	1.402	0.799923
kr-vs-k	0.585175	27.034	0.799971
kropt	0.587669	28.798	0.799971
led24	0.693750	1.040	0.800000
led7	0.731250	0.751	0.800000
letter	0.961000	19.191	0.800000
mammography	0.989718	1.822	0.799964
maternal_health_risk	0.793103	0.458	0.799803
mfeat-factors	0.970000	2.807	0.800000
mfeat-fourier	0.867500	1.281	0.800000
mfeat-karhunen	0.955000	1.229	0.800000
mfeat-morphological	0.765000	0.569	0.800000
mfeat-pixel	0.952500	3.140	0.800000
mfeat-zernike	0.805000	0.967	0.800000
mice_protein_expression	1.000000	0.973	0.800000
microaggregation2	0.617000	6.500	0.800000
mobile_c36_oversampling	0.962713	20.663	0.800000
mozilla4	0.921518	1.879	0.800000
naticusdroid+android+permissions+dataset	0.950060	20.488	0.799980
national-longitudinal-survey-binary	0.988798	2.045	0.799919
okcupid_stem	0.732759	9.363	0.799978
one-hundred-plants-margin	0.812500	4.681	0.800000
one-hundred-plants-shape	0.731250	4.647	0.800000
one-hundred-plants-texture	0.875000	4.888	0.799875
optdigits	0.991103	2.633	0.800000
ozone-level-8hr	0.950690	1.453	0.799921
page-blocks	0.975342	1.188	0.799927
pendigits	0.995907	2.790	0.799945
phoneme	0.878816	0.832	0.799963
pol	0.973228	3.003	0.799940
predict_students_dropout_and_academic_success	0.761582	1.522	0.799955
qsar	0.881517	0.681	0.800000
rice_cammeo_and_osmancik	0.930446	0.814	0.800000
ringnorm	0.978378	1.971	0.800000
satimage	0.918351	2.180	0.800000
segment	0.932900	0.712	0.800000
seismic+bumps	0.934236	0.776	0.799923
shuttle	0.999397	34.520	0.800000
spambase	0.946797	2.057	0.799826
splice	0.873041	1.627	0.800000
sports_articles_for_objectivity_analysis	0.835000	0.728	0.800000
statlog	0.745000	0.510	0.800000
steel_plates_faults	0.784062	0.752	0.799588
sylvine	0.937561	1.369	0.799961
taiwanese_bankruptcy_prediction	0.970674	4.398	0.799971
telco-customer-churn	0.797729	1.823	0.799943
texture	0.999091	6.496	0.800000
thyroid	0.989583	1.967	0.800000
thyroid-ann	0.986755	1.094	0.799841
thyroid-dis	0.682143	0.957	0.800000
turiye_student_evaluation	0.500000	1.894	0.800000
twonorm	0.978378	1.977	0.800000
vehicle	0.858824	0.493	0.799054
wall-robot-navigation	0.966117	1.548	0.799853
water_quality	0.900625	1.981	0.799900
waveform-5000	0.865000	1.837	0.800000
waveform_database_generator_version_1	0.869000	1.387	0.800000
website_phishing	0.915129	0.522	0.799704
wine-quality-red	0.581250	0.504	0.799875
wine-quality-white	0.587755	1.108	0.799918
yeast	0.609428	0.509	0.799865
